Count,Mean,Median,TStat,WinRate,LossRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Top5SharePositiveSum,Top10SharePositiveSum,ExitHorizon,DisasterStop,ProfitCap
47,0.8085106382978723,-2.25,0.3705031780159658,0.425531914893617,0.574468085106383,1.1593291404612158,-12.0,-12.0,6.375,19.9,48.0,0.4566003616636528,0.6247739602169982,8,12.0,48.0
47,0.7925531914893617,-0.25,0.4096445028525077,0.46808510638297873,0.5106382978723404,1.1691259931895572,-24.0,-7.125,8.25,24.0,24.0,0.2796116504854369,0.46601941747572817,8,24.0,24.0
47,0.7872340425531915,0.75,0.5386404869076609,0.5106382978723404,0.46808510638297873,1.2308892355694228,-24.0,-5.125,7.625,16.0,16.0,0.24334600760456274,0.4055766793409379,5,24.0,16.0
47,0.7819148936170213,-0.25,0.44711833569822235,0.48936170212765956,0.5106382978723404,1.184673366834171,-24.0,-7.375,7.875,17.849999999999987,24.0,0.3054082714740191,0.5090137857900318,6,24.0,24.0
47,0.776595744680851,-0.25,0.44775449570591264,0.48936170212765956,0.5106382978723404,1.1831869510664994,-20.0,-7.375,7.875,17.849999999999987,24.0,0.3054082714740191,0.5090137857900318,6,20.0,24.0
47,0.7606382978723404,-0.25,0.4001680741174619,0.48936170212765956,0.5106382978723404,1.1720818291215402,-29.0,-7.375,7.875,12.699999999999998,32.0,0.3942505133470226,0.5349075975359343,6,None,32.0
47,0.7606382978723404,-0.25,0.3590485162436378,0.46808510638297873,0.5106382978723404,1.1534334763948497,-36.5,-7.125,8.25,19.9,32.0,0.3572093023255814,0.5302325581395348,8,None,32.0
47,0.75,-0.5,0.49266758894017615,0.44680851063829785,0.5319148936170213,1.2110778443113772,-12.0,-6.0,7.625,11.549999999999995,32.0,0.3868974042027194,0.5216316440049443,4,12.0,32.0
47,0.75,-2.0,0.3085757395390196,0.46808510638297873,0.5319148936170213,1.1207191780821917,-16.0,-15.0,9.625,18.85,48.0,0.4094728800611154,0.5263559969442322,10,16.0,48.0
47,0.7393617021276596,0.25,0.7260718744595964,0.5319148936170213,0.46808510638297873,1.3406862745098038,-16.5,-2.625,4.375,7.1,16.0,0.3510054844606947,0.5210237659963437,3,None,16.0
47,0.7393617021276596,0.25,0.7260718744595964,0.5319148936170213,0.46808510638297873,1.3406862745098038,-16.5,-2.625,4.375,7.1,16.0,0.3510054844606947,0.5210237659963437,3,20.0,16.0
47,0.7393617021276596,0.25,0.7260718744595964,0.5319148936170213,0.46808510638297873,1.3406862745098038,-16.5,-2.625,4.375,7.1,16.0,0.3510054844606947,0.5210237659963437,3,24.0,16.0
47,0.7393617021276596,-0.25,0.4970313448783096,0.44680851063829785,0.5319148936170213,1.2145061728395061,-16.0,-5.125,7.625,11.649999999999995,24.0,0.36594663278271916,0.5082592121982211,4,16.0,24.0
47,0.7340425531914894,0.0,0.5004311960359825,0.48936170212765956,0.48936170212765956,1.23,-37.5,-4.125,8.0,13.95,16.0,0.2601626016260163,0.4241192411924119,4,None,16.0
47,0.7340425531914894,-5.0,0.3183989133342157,0.44680851063829785,0.5531914893617021,1.1261425959780622,-12.0,-12.0,8.75,18.45,48.0,0.43506493506493504,0.5576298701298701,10,12.0,48.0
47,0.6436170212765957,-0.25,0.3323041406171121,0.46808510638297873,0.5106382978723404,1.1331133113311331,-20.0,-7.875,8.25,24.0,24.0,0.2796116504854369,0.46601941747572817,8,20.0,24.0
47,0.6329787234042553,-0.5,0.43797861597267834,0.44680851063829785,0.5319148936170213,1.1781437125748504,-12.0,-6.0,7.625,11.649999999999995,24.0,0.36594663278271916,0.5082592121982211,4,12.0,24.0
47,0.6117021276595744,0.75,0.398519928071934,0.5106382978723404,0.46808510638297873,1.1706231454005935,-32.25,-5.125,7.625,16.0,16.0,0.24334600760456274,0.4055766793409379,5,None,16.0
47,0.5957446808510638,-0.25,0.3291374327823758,0.48936170212765956,0.5106382978723404,1.134777376654633,-29.0,-7.375,7.875,17.849999999999987,24.0,0.3054082714740191,0.5090137857900318,6,None,24.0
47,0.5851063829787234,0.0,0.3384731723161761,0.48936170212765956,0.48936170212765956,1.1513067400275103,-16.0,-6.625,4.625,11.799999999999999,32.0,0.45878136200716846,0.6320191158900836,5,16.0,32.0
47,0.5319148936170213,0.25,0.3433652337854603,0.5106382978723404,0.48936170212765956,1.17921146953405,-16.0,-3.25,4.125,6.85,48.0,0.5531914893617021,0.6398176291793313,3,16.0,48.0
47,0.5212765957446809,-0.25,0.25724211919732826,0.46808510638297873,0.5106382978723404,1.1051502145922747,-36.5,-7.125,8.25,24.0,24.0,0.2796116504854369,0.46601941747572817,8,None,24.0
47,0.48404255319148937,0.0,0.29875951002718076,0.48936170212765956,0.48936170212765956,1.125171939477304,-16.0,-6.625,5.125,16.94999999999998,24.0,0.35207823960880197,0.58679706601467,5,16.0,24.0
47,0.4627659574468085,-1.5,0.20321238644988418,0.44680851063829785,0.5531914893617021,1.084220716360116,-16.0,-11.375,6.375,19.9,48.0,0.45089285714285715,0.6169642857142857,8,16.0,48.0
47,0.4308510638297872,0.25,0.21408565203886815,0.5106382978723404,0.48936170212765956,1.0775862068965518,-38.5,-9.0,16.0,16.0,16.0,0.17066666666666666,0.28444444444444444,10,None,16.0
47,0.4148936170212766,-0.25,0.303317011963305,0.44680851063829785,0.5319148936170213,1.1203703703703705,-16.0,-5.125,8.0,13.95,16.0,0.2644628099173554,0.43112947658402206,4,16.0,16.0
47,0.4095744680851064,-0.75,0.23012787701827128,0.46808510638297873,0.5319148936170213,1.0899532710280373,-12.0,-12.0,6.125,12.699999999999998,32.0,0.4115755627009646,0.5584137191854234,6,12.0,32.0
47,0.40425531914893614,-0.5,0.23788741785130108,0.46808510638297873,0.5106382978723404,1.1002638522427441,-12.0,-8.625,4.625,11.799999999999999,32.0,0.460431654676259,0.6342925659472423,5,12.0,32.0
47,0.39361702127659576,0.25,0.26948161628241485,0.5106382978723404,0.48936170212765956,1.1326164874551972,-16.0,-3.25,4.125,6.85,41.5,0.5348101265822784,0.625,3,16.0,None
47,0.39361702127659576,-0.25,0.24497822994410134,0.48936170212765956,0.5106382978723404,1.092964824120603,-24.0,-7.375,9.625,16.0,16.0,0.2206896551724138,0.367816091954023,6,24.0,16.0
47,0.3882978723404255,-0.25,0.24404848826966563,0.48936170212765956,0.5106382978723404,1.0915934755332497,-20.0,-7.375,9.625,16.0,16.0,0.2206896551724138,0.367816091954023,6,20.0,16.0
