APVA Structural State Machine Study v0.1 - Aggregate
========================================================

Instruments: 6E, NQ, CL
Structural states are compressed from family-path signatures.

Aggregate Structural State Table
================================
             State               6E_N            6E_Freq            6E_Cont            6E_Fail               NQ_N            NQ_Freq            NQ_Cont            NQ_Fail               CL_N            CL_Freq            CL_Cont            CL_Fail             ValidN           MeanFreq           MeanCont           MeanFail
RecoveryResolution               4873             13.82%             46.29%             49.59%                198             10.26%             54.59%             44.90%                396             14.75%             48.56%             50.65%                  3             12.94%             49.81%             48.38%
ExhaustionPersistence               3652             10.36%             46.07%             48.88%                189              9.79%             46.81%             52.13%                301             11.21%             49.00%             50.33%                  3             10.45%             47.29%             50.45%
CompressionProcessing               6435             18.25%             46.21%             48.92%                179              9.27%             49.44%             50.56%                326             12.15%             47.65%             51.41%                  3             13.22%             47.77%             50.30%
 NeutralProcessing              11331             32.14%             46.43%             47.96%                745             38.60%             49.32%             50.68%                876             32.64%             49.00%             50.18%                  3             34.46%             48.25%             49.61%
ReassertionProcessing               6942             19.69%             46.42%             48.21%                484             25.08%             47.93%             51.24%                628             23.40%             49.68%             49.68%                  3             22.72%             48.01%             49.71%
    DecayToNeutral               1239              3.51%             45.41%             50.61%                 77              3.99%             46.05%             53.95%                 96              3.58%             50.55%             49.45%                  3              3.69%             47.34%             51.34%
DestructiveRotation                682              1.93%             46.72%             49.10%                 34              1.76%             44.12%             55.88%                 51              1.90%             50.98%             49.02%                  3              1.87%             47.27%             51.34%
ConstructiveEmergence                 16              0.05%             56.25%             43.75%                  2              0.10%             50.00%             50.00%                  1              0.04%              0.00%            100.00%                  3              0.06%             35.42%             64.58%
    MixedStructure                 90              0.26%             39.76%             54.22%                 22              1.14%             50.00%             50.00%                  9              0.34%             66.67%             33.33%                  3              0.58%             52.14%             45.85%

Aggregate Transition Table
==========================

Lag 1
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
DecayToNeutral               RecoveryResolution                 42      3.39%      0.245        1      1.30%      0.127        1      1.04%      0.071       3      1.91%      0.148
ReassertionProcessing        CompressionProcessing             176      2.54%      0.139        6      1.24%      0.134       10      1.59%      0.131       3      1.79%      0.135
NeutralProcessing            RecoveryResolution                242      2.14%      0.155        8      1.08%      0.105       17      1.94%      0.132       3      1.72%      0.130
ExhaustionPersistence        CompressionProcessing              54      1.48%      0.081        2      1.06%      0.114        3      1.00%      0.082       3      1.18%      0.092
RecoveryResolution           DecayToNeutral                      5      0.10%      0.029        1      0.51%      0.127        1      0.25%      0.071       3      0.29%      0.075
NeutralProcessing            DecayToNeutral                     30      0.26%      0.075        0      0.00%        N/A        0      0.00%        N/A       1      0.26%      0.075
DestructiveRotation          NeutralProcessing                   8      1.17%      0.037        1      2.94%      0.076        0      0.00%        N/A       2      2.06%      0.056
DestructiveRotation          ReassertionProcessing               5      0.73%      0.037        0      0.00%        N/A        0      0.00%        N/A       1      0.73%      0.037
RecoveryResolution           ReassertionProcessing              18      0.37%      0.019        3      1.52%      0.060        2      0.51%      0.022       3      0.80%      0.034
RecoveryResolution           NeutralProcessing                   5      0.10%      0.003        0      0.00%        N/A        0      0.00%        N/A       1      0.10%      0.003

Lag 2
Source                       Target                           6E_N    6E_Prob    6E_Lift     NQ_N    NQ_Prob    NQ_Lift     CL_N    CL_Prob    CL_Lift  ValidN   MeanProb   MeanLift
ConstructiveEmergence        MixedStructure                      5     31.25%    122.438        0      0.00%        N/A        1    100.00%    298.445       2     65.62%    210.441
MixedStructure               MixedStructure                      7      7.78%     30.473        3     13.64%     11.975        0      0.00%        N/A       2     10.71%     21.224
ConstructiveEmergence        DecayToNeutral                      3     18.75%      5.336        1     50.00%     12.545        0      0.00%        N/A       2     34.38%      8.941
DecayToNeutral               ConstructiveEmergence               5      0.40%      8.894        0      0.00%        N/A        0      0.00%        N/A       1      0.40%      8.894
DestructiveRotation          DecayToNeutral                    149     21.88%      6.218       10     29.41%      7.380       10     19.61%      5.486       3     23.63%      6.361
DestructiveRotation          DestructiveRotation                81     11.89%      6.141        2      5.88%      3.343        7     13.73%      7.229       3     10.50%      5.571
MixedStructure               DecayToNeutral                     19     21.11%      6.008        5     22.73%      5.702        1     11.11%      3.109       3     18.32%      4.940
ExhaustionPersistence        ExhaustionPersistence            1835     50.25%      4.852      102     53.97%      5.517      144     47.84%      4.269       3     50.69%      4.879
DecayToNeutral               MixedStructure                     13      1.05%      4.111        0      0.00%        N/A        0      0.00%        N/A       1      1.05%      4.111
RecoveryResolution           RecoveryResolution               2468     50.65%      3.665       98     49.49%      4.830      214     54.18%      3.665       3     51.44%      4.053
CompressionProcessing        CompressionProcessing            3295     51.20%      2.806       79     44.13%      4.764      153     47.08%      3.867       3     47.47%      3.812
DecayToNeutral               DestructiveRotation                72      5.81%      3.005        2      2.60%      1.476       10     10.42%      5.486       3      6.28%      3.322
DecayToNeutral               DecayToNeutral                    121      9.77%      2.779        9     11.69%      2.933        9      9.38%      2.623       3     10.28%      2.778
ReassertionProcessing        ConstructiveEmergence               3      0.04%      0.952        0      0.00%        N/A        1      0.16%      4.277       2      0.10%      2.615
RecoveryResolution           CompressionProcessing            1528     31.36%      1.718       57     28.79%      3.107      100     25.32%      2.081       3     28.49%      2.302
ReassertionProcessing        ReassertionProcessing            3240     46.68%      2.371      232     47.93%      1.913      304     48.41%      2.070       3     47.67%      2.118
MixedStructure               DestructiveRotation                 2      2.22%      1.149        1      4.55%      2.583        0      0.00%        N/A       2      3.38%      1.866
NeutralProcessing            NeutralProcessing                7051     62.23%      1.937      475     63.93%      1.653      529     60.39%      1.852       3     62.18%      1.814
DestructiveRotation          ExhaustionPersistence             111     16.30%      1.572        8     23.53%      2.405        8     15.69%      1.400       3     18.51%      1.792
ReassertionProcessing        DecayToNeutral                    394      5.68%      1.615       31      6.40%      1.607       44      7.01%      1.960       3      6.36%      1.728
CompressionProcessing        ConstructiveEmergence               5      0.08%      1.712        0      0.00%        N/A        0      0.00%        N/A       1      0.08%      1.712
ReassertionProcessing        DestructiveRotation               193      2.78%      1.437       15      3.10%      1.761       17      2.71%      1.426       3      2.86%      1.541
DestructiveRotation          RecoveryResolution                174     25.55%      1.846        5     14.71%      1.435       10     19.61%      1.330       3     19.95%      1.537
ReassertionProcessing        MixedStructure                     23      0.33%      1.298        9      1.86%      1.633        3      0.48%      1.426       3      0.89%      1.452
NeutralProcessing            ConstructiveEmergence               1      0.01%      0.194        2      0.27%      2.593        0      0.00%        N/A       2      0.14%      1.394
ExhaustionPersistence        RecoveryResolution                629     17.22%      1.246       28     14.81%      1.446       64     21.26%      1.442       3     17.77%      1.378
RecoveryResolution           MixedStructure                     12      0.25%      0.965        4      2.02%      1.774        0      0.00%        N/A       2      1.13%      1.369
DecayToNeutral               NeutralProcessing                 456     36.80%      1.145       43     55.84%      1.448       39     40.62%      1.246       3     44.42%      1.280
