File,EntryBarIndex,EntryTime,SignedReturn,DirectionalMFE,DirectionalMAE,EntryRollingEntropy,EntryRollingDirectionalPresence,EntryDominantPressure,PriorBarCount,PriorDominantPressureSeq,PrevDominantPressure,PriorResolvedArchetypeSeq,PrevResolvedArchetype,PriorMacroStateSeq,PrevMacroState,PriorMean_RollingEntropy,PriorLast_RollingEntropy,PriorDelta_RollingEntropy,PriorMean_RollingDirectionalPresence,PriorLast_RollingDirectionalPresence,PriorDelta_RollingDirectionalPresence,PriorMean_RollingVelocity,PriorLast_RollingVelocity,PriorDelta_RollingVelocity,PriorMean_DominantPressureValue,PriorLast_DominantPressureValue,PriorDelta_DominantPressureValue
xApvaV01StateLog_ES.csv,2852,2026-05-19 11:45:00,6.0,17.0,-0.25,0.8812908992278072,0.0,CompressionPressure,5,RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure,RotationalPressure,Unstable Rotational Balance > Unstable Rotational Balance > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Balance > Balance > Unresolved > Unresolved > Unresolved,Unresolved,1.3714672254295985,1.2954618442339936,-0.19001345298901273,0.0,0.0,0.0,0.7333333333333333,0.7777777777777778,0.11111111111111116,0.6750084555627247,0.5750489450928526,-0.24989877617467993
xApvaV01StateLog_ES.csv,2861,2026-05-19 12:30:00,18.75,20.0,-2.75,1.2954618442339936,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > RotationalPressure > RotationalPressure > RotationalPressure,RotationalPressure,Stable Compression Basin > Stable Compression Basin > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,Unresolved > Unresolved > Degrading > Degrading > Degrading,Degrading,1.3714672254295985,1.2954618442339936,-0.19001345298901273,0.0,0.0,0.0,0.4444444444444445,0.4444444444444444,0.0,0.5051147068473587,0.4500489450928527,-0.13766440438626498
xApvaV01StateLog_ES.csv,2862,2026-05-19 12:35:00,4.5,17.0,-1.75,1.2954618442339936,0.0,CompressionPressure,5,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Degrading > Degrading > Unresolved > Unresolved > Unresolved,Unresolved,1.2954618442339936,1.2954618442339936,0.0,0.0,0.0,0.0,0.5111111111111111,0.5555555555555556,0.11111111111111116,0.548106425545033,0.6134780791798199,0.1634291340869672
xApvaV01StateLog_ES.csv,2863,2026-05-19 12:40:00,10.25,15.75,-0.25,0.9709505944517832,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,1.2954618442339936,1.2954618442339936,0.0,0.0,0.0,0.0,0.48888888888888893,0.4444444444444444,-0.11111111111111116,0.6301447458464866,0.6412558569575977,0.02777777777777779
xApvaV01StateLog_ES.csv,2879,2026-05-19 14:00:00,-25.5,-8.25,-38.0,1.2954618442339936,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,1.360964047439353,1.360964047439353,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6232730803683738,0.6232730803683738,0.0
xApvaV01StateLog_ES.csv,2880,2026-05-20 06:35:00,-5.0,13.75,-16.0,0.8812908992278072,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,1.3216627255161373,1.2954618442339936,-0.06550220320535938,0.0,0.0,0.0,0.2666666666666667,0.2222222222222222,-0.1111111111111111,0.6673960796552415,0.6968114125131533,0.07353833214477945
xApvaV01StateLog_ES.csv,2888,2026-05-20 07:15:00,-26.75,1.25,-37.5,0.9219280948830342,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,Unstable Rotational Balance,Unresolved > Unresolved > Balance > Balance > Balance,Balance,0.2813973561512604,0.4689955935863958,0.46899559358783866,0.0,0.0,0.0,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.6707459985738434,0.4512433309564058,-0.5487566690435942
xApvaV01StateLog_ES.csv,2889,2026-05-20 07:20:00,10.0,17.25,-8.25,1.1567796494427114,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Unstable Rotational Balance > Unstable Rotational Balance > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Balance > Balance > Unresolved > Unresolved > Unresolved,Unresolved,0.7407550943643788,0.9219280948830342,0.45293250129663837,0.0,0.0,0.0,0.17777777777777776,0.2222222222222222,0.1111111111111111,0.6625916954911152,0.8034906051809215,0.35224727422451574
xApvaV01StateLog_ES.csv,2890,2026-05-20 07:25:00,11.5,21.5,-4.0,1.2954618442339936,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,1.0628390276188404,1.1567796494427114,0.2348515545596772,0.0,0.0,0.0,0.22222222222222224,0.2222222222222222,0.0,0.7696836718849337,0.747145716354275,-0.056344888826646566
xApvaV01StateLog_ES.csv,2897,2026-05-20 08:00:00,9.75,27.25,-6.25,0.8812908992278072,0.0,CompressionPressure,5,RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure,RotationalPressure,Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,Unstable Rotational Balance,Balance > Balance > Balance > Balance > Balance,Balance,1.1007550943646673,0.9709505944517832,-0.32451124978221035,0.0,0.0,0.0,0.48888888888888893,0.4444444444444444,-0.11111111111111116,0.6741235102256043,0.6290621092029942,-0.11265350255652518
xApvaV01StateLog_ES.csv,2898,2026-05-20 08:05:00,4.75,31.0,-2.5,0.8812908992278072,0.0,CompressionPressure,5,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Unstable Rotational Balance > Unstable Rotational Balance > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Balance > Balance > Unresolved > Unresolved > Unresolved,Unresolved,0.9171547773173977,0.8812908992278072,-0.08965969522397599,0.0,0.0,0.0,0.4444444444444445,0.4444444444444444,0.0,0.6769097682934883,0.7088082076871509,0.0797460984841567
xApvaV01StateLog_ES.csv,2900,2026-05-20 08:15:00,11.5,31.5,0.0,0.9709505944517832,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > RotationalPressure > RotationalPressure > RotationalPressure,RotationalPressure,Stable Compression Basin > Stable Compression Basin > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,Unstable Rotational Balance,Unresolved > Unresolved > Balance > Balance > Balance,Balance,0.9350867163621928,0.9709505944517832,0.08965969522397599,0.0,0.0,0.0,0.5111111111111111,0.5555555555555556,0.11111111111111116,0.6859605485966569,0.670728775869661,-0.03807943181748996
xApvaV01StateLog_ES.csv,2903,2026-05-20 08:30:00,-14.25,0.5,-16.75,0.9999999999971146,0.0,CompressionPressure,5,RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure > RotationalPressure,RotationalPressure,Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance > Unstable Rotational Balance,Unstable Rotational Balance,Balance > Balance > Balance > Balance > Balance,Balance,0.988380237778982,0.9999999999971146,0.02904940554533142,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.6745415103474856,0.6770833333327021,0.006354557463041144
xApvaV01StateLog_ES.csv,2904,2026-05-20 08:35:00,-3.0,2.75,-10.25,0.9999999999971146,0.0,CompressionPressure,5,RotationalPressure > RotationalPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Unstable Rotational Balance > Unstable Rotational Balance > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Balance > Balance > Unresolved > Unresolved > Unresolved,Unresolved,0.9999999999971146,0.9999999999971146,0.0,0.0,0.0,0.0,0.6222222222222221,0.6666666666666666,0.11111111111111105,0.6083333333331891,0.5625000000001804,-0.11458333333252169
xApvaV01StateLog_ES.csv,2905,2026-05-20 08:40:00,-3.5,2.5,-10.5,0.9709505944517832,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,0.9999999999971146,0.9999999999971146,0.0,0.0,0.0,0.0,0.6,0.5555555555555556,-0.11111111111111105,0.5791666666668471,0.5902777777779582,0.02777777777777779
xApvaV01StateLog_ES.csv,2906,2026-05-20 08:45:00,1.5,4.5,-6.5,1.2954618442339936,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin > Stable Compression Basin,Stable Compression Basin,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,0.9825703566699158,0.9709505944517832,-0.02904940554533142,0.0,0.0,0.0,0.5555555555555556,0.5555555555555556,0.0,0.6163671304859081,0.633760032291208,0.04348225451324983
xApvaV01StateLog_ES.csv,2911,2026-05-20 09:10:00,14.75,16.5,-1.5,1.2954618442339936,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,1.5000564162870176,1.4854752972230063,-0.03645279766002818,0.0,0.0,0.0,0.2666666666666667,0.2222222222222222,-0.1111111111111111,0.6145798073153947,0.6432689050346733,0.07172274429819625
xApvaV01StateLog_ES.csv,2912,2026-05-20 09:15:00,12.5,16.0,-0.5,0.8812908992278072,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium,Pure Unresolved Compression Equilibrium,Unresolved > Unresolved > Unresolved > Unresolved > Unresolved,Unresolved,1.3714672254295985,1.2954618442339936,-0.19001345298901273,0.0,0.0,0.0,0.22222222222222224,0.2222222222222222,0.0,0.6753944095217613,0.6968114125131533,0.053542507478479995
xApvaV01StateLog_ES.csv,2955,2026-05-20 12:50:00,1.75,5.5,-4.0,0.9219280948830342,0.0,CompressionPressure,5,CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure > CompressionPressure,CompressionPressure,Pure Unresolved Compression Equilibrium > Pure Unresolved Compression Equilibrium > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse > Sponsor Exhaustion Collapse,Sponsor Exhaustion Collapse,Unresolved > Unresolved > Degrading > Degrading > Degrading,Degrading,0.2813973561512604,0.4689955935863958,0.46899559358783866,0.0,0.0,0.0,0.06666666666666667,0.1111111111111111,0.1111111111111111,0.6707459985738434,0.4512433309564058,-0.5487566690435942
