Stop,Target,CollisionMode,Count,MeanOutcome,MedianOutcome,TStat,WinRate,LossRate,ProfitFactor,MinOutcome,MaxOutcome,Top5PctShareOfPositiveSum,Top10PctShareOfPositiveSum
12.0,16.0,conservative,47,0.6382978723404256,0.0,0.4589585362101736,0.48936170212765956,0.48936170212765956,1.1801801801801801,-12.0,16.0,0.24427480916030533,0.4071246819338422
10.0,20.0,conservative,47,0.5212765957446809,-0.5,0.3663397538703086,0.46808510638297873,0.5106382978723404,1.1460506706408347,-10.0,20.0,0.31209362808842656,0.5201560468140443
6.0,12.0,conservative,47,0.4627659574468085,-1.0,0.46021888251168275,0.44680851063829785,0.5531914893617021,1.1736526946107784,-6.0,12.0,0.24489795918367346,0.40816326530612246
10.0,16.0,conservative,47,0.35106382978723405,-0.5,0.26205982690467317,0.46808510638297873,0.5106382978723404,1.098360655737705,-10.0,16.0,0.26051560379918587,0.43419267299864317
2.0,12.0,conservative,47,0.34574468085106386,-2.0,0.5010814506637261,0.23404255319148937,0.7659574468085106,1.2256944444444444,-2.0,12.0,0.40793201133144474,0.6798866855524079
4.0,12.0,conservative,47,0.2978723404255319,-4.0,0.3435214634739266,0.3829787234042553,0.6170212765957447,1.1293302540415704,-4.0,12.0,0.294478527607362,0.49079754601226994
2.0,10.0,conservative,47,0.22340425531914893,-2.0,0.35026290159672063,0.23404255319148937,0.7659574468085106,1.1458333333333333,-2.0,10.0,0.36363636363636365,0.6060606060606061
8.0,12.0,conservative,47,0.2127659574468085,-0.5,0.19261619977659736,0.46808510638297873,0.5106382978723404,1.0688468158347677,-8.0,12.0,0.2318840579710145,0.3864734299516908
6.0,10.0,conservative,47,0.1702127659574468,-1.0,0.1832340790315435,0.44680851063829785,0.5531914893617021,1.0638722554890219,-6.0,10.0,0.225140712945591,0.37523452157598497
4.0,10.0,conservative,47,0.09042553191489362,-4.0,0.11284355403432215,0.3829787234042553,0.6170212765957447,1.0392609699769053,-4.0,10.0,0.26666666666666666,0.4444444444444444
2.0,8.0,conservative,47,0.06914893617021277,-2.0,0.11938319641256438,0.23404255319148937,0.7659574468085106,1.0451388888888888,-2.0,8.0,0.31893687707641194,0.53156146179402
12.0,12.0,conservative,47,0.015957446808510637,0.0,0.012796914829250439,0.48936170212765956,0.48936170212765956,1.0045045045045045,-12.0,12.0,0.21524663677130046,0.35874439461883406
4.0,8.0,conservative,47,-0.005319148936170213,-4.0,-0.00707278240064283,0.3829787234042553,0.6170212765957447,0.9976905311778291,-4.0,8.0,0.2222222222222222,0.37037037037037035
6.0,8.0,conservative,47,-0.010638297872340425,-1.0,-0.012255287278042553,0.44680851063829785,0.5531914893617021,0.9960079840319361,-6.0,8.0,0.19238476953907815,0.32064128256513025
8.0,10.0,conservative,47,-0.0797872340425532,-0.5,-0.0771762236585662,0.46808510638297873,0.5106382978723404,0.9741824440619621,-8.0,10.0,0.21201413427561838,0.35335689045936397
10.0,12.0,conservative,47,-0.26595744680851063,-0.5,-0.22393964416255913,0.46808510638297873,0.5106382978723404,0.9254843517138599,-10.0,12.0,0.2318840579710145,0.3864734299516908
8.0,8.0,conservative,47,-0.26595744680851063,-0.5,-0.2720794916058384,0.46808510638297873,0.5106382978723404,0.9139414802065404,-8.0,8.0,0.1807909604519774,0.3013182674199623
2.0,6.0,conservative,47,-0.31382978723404253,-2.0,-0.6738548719026656,0.23404255319148937,0.7659574468085106,0.7951388888888888,-2.0,6.0,0.314410480349345,0.5240174672489083
12.0,10.0,conservative,47,-0.3191489361702128,0.0,-0.2716592804835723,0.48936170212765956,0.48936170212765956,0.9099099099099099,-12.0,10.0,0.19801980198019803,0.33003300330033003
6.0,6.0,conservative,47,-0.3829787234042553,-0.75,-0.4983953551320977,0.46808510638297873,0.5319148936170213,0.8530612244897959,-6.0,6.0,0.1722488038277512,0.28708133971291866
4.0,6.0,conservative,47,-0.4787234042553192,-4.0,-0.7444729346969087,0.3829787234042553,0.6170212765957447,0.792147806004619,-4.0,6.0,0.2099125364431487,0.3498542274052478
12.0,8.0,conservative,47,-0.5478723404255319,0.0,-0.4905581746616835,0.48936170212765956,0.48936170212765956,0.8453453453453453,-12.0,8.0,0.1705150976909414,0.2841918294849023
10.0,10.0,conservative,47,-0.5585106382978723,-0.5,-0.4989449832252693,0.46808510638297873,0.5106382978723404,0.8435171385991058,-10.0,10.0,0.21201413427561838,0.35335689045936397
2.0,4.0,conservative,47,-0.6382978723404256,-2.0,-1.746281511122194,0.23404255319148937,0.7659574468085106,0.5833333333333334,-2.0,4.0,0.2857142857142857,0.47619047619047616
8.0,6.0,conservative,47,-0.6808510638297872,0.0,-0.7738191993507805,0.48936170212765956,0.48936170212765956,0.775438596491228,-8.0,6.0,0.16289592760180996,0.27149321266968324
12.0,6.0,conservative,47,-0.7393617021276596,0.75,-0.7204103566588312,0.5319148936170213,0.44680851063829785,0.7790143084260731,-12.0,6.0,0.1469387755102041,0.24489795918367346
6.0,4.0,conservative,47,-0.7393617021276596,-0.5,-1.0830199956517352,0.48936170212765956,0.5106382978723404,0.7139917695473251,-6.0,4.0,0.138328530259366,0.23054755043227665
10.0,8.0,conservative,47,-0.7446808510638298,-0.5,-0.69873355390316,0.46808510638297873,0.5106382978723404,0.7913561847988078,-10.0,8.0,0.1807909604519774,0.3013182674199623
4.0,4.0,conservative,47,-0.8138297872340425,-4.0,-1.4636334260264818,0.3829787234042553,0.6170212765957447,0.6466512702078522,-4.0,4.0,0.17142857142857143,0.2857142857142857
10.0,6.0,conservative,47,-0.8936170212765957,0.75,-0.9145097474587388,0.5106382978723404,0.46808510638297873,0.7350157728706624,-10.0,6.0,0.15450643776824036,0.2575107296137339
2.0,2.0,conservative,47,-1.0638297872340425,-2.0,-4.260311317879543,0.23404255319148937,0.7659574468085106,0.3055555555555556,-2.0,2.0,0.2727272727272727,0.45454545454545453
8.0,4.0,conservative,47,-1.0797872340425532,0.75,-1.3562020814003275,0.5106382978723404,0.46808510638297873,0.6413427561837456,-8.0,4.0,0.1322314049586777,0.22038567493112948
12.0,4.0,conservative,47,-1.2234042553191489,4.0,-1.297404715296692,0.5531914893617021,0.425531914893617,0.632,-12.0,4.0,0.12151898734177215,0.20253164556962025
6.0,2.0,conservative,47,-1.2819148936170213,2.0,-2.281869056289781,0.5531914893617021,0.44680851063829785,0.46325167037861914,-6.0,2.0,0.11538461538461539,0.19230769230769232
10.0,4.0,conservative,47,-1.3351063829787233,2.0,-1.493424292707675,0.5319148936170213,0.44680851063829785,0.6015873015873016,-10.0,4.0,0.1266490765171504,0.21108179419525067
4.0,2.0,conservative,47,-1.5372340425531914,-4.0,-3.6451983770322576,0.3829787234042553,0.6170212765957447,0.3325635103926097,-4.0,2.0,0.16666666666666666,0.2777777777777778
12.0,2.0,conservative,47,-1.601063829787234,2.0,-1.9120224435297306,0.6595744680851063,0.3191489361702128,0.4517304189435337,-12.0,2.0,0.0967741935483871,0.16129032258064516
8.0,2.0,conservative,47,-1.6648936170212767,2.0,-2.4367305894354874,0.574468085106383,0.40425531914893614,0.40831758034026466,-8.0,2.0,0.1111111111111111,0.18518518518518517
10.0,2.0,conservative,47,-1.7765957446808511,2.0,-2.2702185696298836,0.6170212765957447,0.3617021276595745,0.4098939929328622,-10.0,2.0,0.10344827586206896,0.1724137931034483
