BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
1396,"2026-05-01 06:55:00",97.65,97.85,96.95,97.07,3243,"OutsideBar","Red","Up",0.9,0.92,0.9,"Up",0.9,0.58,"Up",0.9,0.133333,0.522222,False,False,True,True,"Peak","Strong","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;BreaksPriorHigh;BreaksPriorLow;AcceptanceAccepted"
1397,"2026-05-01 07:00:00",97.07,97.12,96.18,96.61,4822,"LLLH","Red","Up",0.95,0.98,0.94,"Up",0.9,0.46,"Down",0.8,0.457447,0.180851,False,False,False,True,"Climactic","Strong","Absent","Absent","Accepted","Structural","VolumePeak20;VolumeClimactic50;RangePeak20;BreaksPriorLow;AcceptanceAccepted"
1398,"2026-05-01 07:05:00",96.61,96.7,95.87,96,3151,"LLLH","Red","Down",0.8,0.88,0.83,"Down",0.8,0.61,"Up",0.9,0.156627,0.626506,False,False,False,True,"Peak","Strong","Absent","Local","Accepted","Major","VolumePeak20;RangePeak20;BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
1399,"2026-05-01 07:10:00",95.98,96.66,95.86,96.29,3351,"LLLH","Black","Up",0.85,0.9,0.8,"Down",0.75,0.31,"Down",0.55,0.5375,0.9875,True,True,False,True,"Peak","Absent","Clustered","Local","Contained","Structural","VolumePeak20;BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
1400,"2026-05-01 07:15:00",96.31,96.33,95.06,95.49,5261,"LLLH","Red","Up",0.95,0.98,1.27,"Up",1,0.82,"Up",0.95,0.338583,0.370079,False,False,False,True,"Climactic","Climactic","Absent","Absent","Accepted","SessionDefining","VolumePeak20;VolumeClimactic50;RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
1401,"2026-05-01 07:20:00",95.47,96.08,95.36,95.76,3079,"InsideBar","Black","Down",0.65,0.84,0.72,"Down",0.65,0.29,"Down",0.45,0.555556,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Moderate","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1402,"2026-05-01 07:25:00",95.76,96.1,95.52,96.1,1637,"HHHL","Black","Down",0.35,0.68,0.58,"Down",0.5,0.34,"Up",0.55,1,0.965517,False,False,True,False,"Falling","Absent","Clustered","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted;CompressionClustered"
1403,"2026-05-01 07:30:00",96.12,96.57,96.12,96.42,2261,"HHHL","Black","Up",0.55,0.8,0.45,"Down",0.25,0.3,"Down",0.4,0.666667,0,False,False,True,False,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1404,"2026-05-01 07:35:00",96.43,96.94,96.3,96.81,2104,"HHHL","Black","Down",0.45,0.74,0.64,"Up",0.6,0.38,"Up",0.6,0.796875,0.421875,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Moderate","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1405,"2026-05-01 07:40:00",96.79,97.16,96.66,96.99,1997,"HHHL","Black","Down",0.45,0.7,0.5,"Down",0.4,0.2,"Down",0.15,0.66,0.56,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1406,"2026-05-01 07:45:00",96.99,97.38,96.87,97.33,1899,"HHHL","Black","Down",0.4,0.66,0.51,"Up",0.45,0.34,"Up",0.6,0.901961,0.568627,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
1407,"2026-05-01 07:50:00",97.32,97.42,97.1,97.19,1106,"HHHL","Red","Down",0.15,0.32,0.32,"Down",0.05,0.13,"Down",0.05,0.28125,0.875,True,True,True,False,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
1408,"2026-05-01 07:55:00",97.18,97.5,97.11,97.39,1067,"HHHL","Black","Down",0.1,0.26,0.39,"Up",0.15,0.21,"Up",0.35,0.717949,0.794872,True,False,True,False,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
1409,"2026-05-01 08:00:00",97.4,97.44,97.19,97.37,923,"InsideBar","Red","Down",0.05,0.16,0.25,"Down",0.05,0.03,"Down",0.05,0.72,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
1410,"2026-05-01 08:05:00",97.35,97.94,97.35,97.9,1922,"HHHL","Black","Up",0.4,0.66,0.59,"Up",0.6,0.55,"Up",0.8,0.932203,0.152542,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorHigh;AcceptanceAccepted"
1411,"2026-05-01 08:10:00",97.91,98,97.62,97.68,1275,"HHHL","Red","Down",0.2,0.5,0.38,"Down",0.15,0.23,"Down",0.35,0.157895,0.842105,True,True,True,False,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
