Instrument,RegimeWeek,Policy_Count,Policy_Mean,Policy_Median,Policy_Std,Policy_TStat,Policy_WinRate,Policy_LossRate,Policy_ProfitFactor,Policy_GrossWin,Policy_GrossLoss,Policy_Min,Policy_Q25,Policy_Q75,Policy_Q90,Policy_Max,Policy_Top5SharePositiveSum,Policy_Top10SharePositiveSum,Policy_Sum,TimeExit_Count,TimeExit_Mean,TimeExit_Median,TimeExit_Std,TimeExit_TStat,TimeExit_WinRate,TimeExit_LossRate,TimeExit_ProfitFactor,TimeExit_GrossWin,TimeExit_GrossLoss,TimeExit_Min,TimeExit_Q25,TimeExit_Q75,TimeExit_Q90,TimeExit_Max,TimeExit_Top5SharePositiveSum,TimeExit_Top10SharePositiveSum,TimeExit_Sum,SignedNormEntry_Count,SignedNormEntry_Mean,SignedNormEntry_Median,SignedNormEntry_Std,SignedNormEntry_TStat,SignedNormEntry_WinRate,SignedNormEntry_LossRate,SignedNormEntry_ProfitFactor,SignedNormEntry_GrossWin,SignedNormEntry_GrossLoss,SignedNormEntry_Min,SignedNormEntry_Q25,SignedNormEntry_Q75,SignedNormEntry_Q90,SignedNormEntry_Max,SignedNormEntry_Top5SharePositiveSum,SignedNormEntry_Top10SharePositiveSum,SignedNormEntry_Sum,StopRate,MeanMaxFavorableMove,MedianMaxFavorableMove,MeanMaxAdverseMove,MedianMaxAdverseMove
ES,2026-W20,7,0.10714285714285714,0.75,6.438583473315939,0.044027285804672286,0.5714285714285714,0.42857142857142855,1.0535714285714286,14.75,14.0,-10.25,-1.875,1.25,5.650000000000004,11.5,0.7796610169491526,0.7796610169491526,0.75,7,0.10714285714285714,0.75,6.438583473315939,0.044027285804672286,0.5714285714285714,0.42857142857142855,1.0535714285714286,14.75,14.0,-10.25,-1.875,1.25,5.650000000000004,11.5,0.7796610169491526,0.7796610169491526,0.75,7,-0.28659986834852197,0.0446333687566418,1.286540651425219,-0.5893882766891461,0.5714285714285714,0.42857142857142855,0.47052781674583727,1.782855647928506,3.7890547263681595,-2.855721393034826,-0.4666666666666667,0.20382188338758495,0.7206929434202165,1.3305785123966942,0.7463187016529852,0.7463187016529852,-2.006199078439654,0.0,5.285714285714286,4.5,-6.964285714285714,-4.75
ES,2026-W21,6,8.875,4.625,15.849881703028576,1.3715699507742574,0.6666666666666666,0.3333333333333333,15.2,57.0,3.75,-3.0,0.5625,6.8125,23.875,40.25,0.706140350877193,0.706140350877193,53.25,6,8.875,4.625,15.849881703028576,1.3715699507742574,0.6666666666666666,0.3333333333333333,15.2,57.0,3.75,-3.0,0.5625,6.8125,23.875,40.25,0.706140350877193,0.706140350877193,53.25,6,2.0928566278600025,0.4710919540229885,4.094975667303958,1.2518831025030233,0.6666666666666666,0.3333333333333333,36.0039508598767,12.915874694466567,0.35873492730655276,-0.2921739130434783,0.04562521631418838,1.36568093385214,5.986845393210295,10.339449541284404,0.8005225960975018,0.8005225960975018,12.557139767160015,0.0,19.583333333333332,13.0,-6.625,-4.875
NQ,2026-W14,10,-11.05,-20.0,16.388003742575442,-2.132240673955883,0.2,0.8,0.22183098591549297,31.5,142.0,-20.0,-20.0,-6.5,5.349999999999991,28.75,0.9126984126984127,0.9126984126984127,-110.5,10,-13.125,-10.875,25.416598360563952,-1.6329838360316702,0.3,0.7,0.26264044943820225,46.75,178.0,-50.25,-34.375,1.5625,16.599999999999994,28.75,0.6149732620320856,0.6149732620320856,-131.25,10,-0.636813649048538,-0.21933179641629974,1.4199546787065038,-1.41820130337606,0.3,0.7,0.2744288018172012,2.4085852239851637,8.776721714470545,-2.792401628222524,-1.6719838552285362,0.04512913473192485,0.7552256228162728,1.658084449021627,0.6884059706545141,0.6884059706545141,-6.36813649048538,0.7,30.1,29.875,-43.6,-39.375
NQ,2026-W15,18,-13.972222222222221,-20.0,12.281588590270138,-4.8266653823948324,0.16666666666666666,0.8333333333333334,0.12292938099389712,35.25,286.75,-20.0,-20.0,-20.0,9.750000000000004,13.75,0.3900709219858156,0.7659574468085106,-251.5,18,22.84722222222222,9.75,54.33204956079906,1.7840769006732515,0.5555555555555556,0.4444444444444444,5.809941520467836,496.75,85.5,-23.75,-6.75,29.5,65.45000000000005,200.75,0.40412682435832914,0.6295923502767992,411.25,18,0.7308206923205885,0.6713232671501606,1.6146571523656859,1.920289765344433,0.5555555555555556,0.4444444444444444,3.9453855109896576,17.62100359270006,4.466231130929464,-1.2966207759699624,-0.378621901113515,1.0168890595009596,3.07000696543124,4.413793103448276,0.25048477404980496,0.48988013364809685,13.154772461770595,0.7777777777777778,45.513888888888886,20.875,-29.22222222222222,-27.75
NQ,2026-W16,29,-1.6896551724137931,-6.25,18.893930333529756,-0.4815870181614911,0.4827586206896552,0.5172413793103449,0.8082191780821918,206.5,255.5,-20.0,-20.0,10.25,22.749999999999986,37.0,0.3583535108958838,0.5363196125907991,-49.0,29,-9.258620689655173,1.5,47.52698870297185,-1.0490712679513976,0.5172413793103449,0.4827586206896552,0.46326836581709147,231.75,500.25,-223.25,-15.0,10.75,27.54999999999999,37.0,0.3193096008629989,0.4778856526429342,-268.5,29,-0.6979344602242494,0.1368078175895765,3.2495563120474764,-1.1566170061284147,0.5172413793103449,0.4827586206896552,0.4375492755307117,15.745451859962344,35.98555120646558,-14.847980997624704,-1.1515613099771516,0.7221654749744637,1.3434798309785743,4.316666666666666,0.41828638055065265,0.5212032390414166,-20.240099346503232,0.3793103448275862,17.75,11.75,-28.905172413793103,-13.0
NQ,2026-W17,33,-6.78030303030303,-20.0,19.85216431602114,-1.96199643021562,0.24242424242424243,0.696969696969697,0.43390259329538267,171.5,395.25,-20.0,-20.0,0.0,15.650000000000002,65.5,0.5991253644314869,0.8017492711370262,-223.75,33,0.18181818181818182,-4.0,32.686859023786745,0.031953695366511436,0.3939393939393939,0.5151515151515151,1.0163376446562287,373.25,367.25,-53.25,-14.25,11.0,34.30000000000001,102.75,0.4507702612190221,0.7213663764233088,6.0,33,-0.012890221334168029,-0.1829268292682926,1.5312421877095652,-0.048358570953841995,0.3939393939393939,0.5151515151515151,0.9780886368071363,18.988170830033003,19.413548134060544,-2.420880913539968,-1.0316742081447965,0.8639551192145862,1.7472868217054265,4.220943613348677,0.370257566607139,0.5695860724863783,-0.4253773040275449,0.5454545454545454,22.12878787878788,13.25,-26.234848484848484,-21.75
NQ,2026-W18,26,3.6346153846153846,-1.5,29.667173000576813,0.6246963527734192,0.5,0.5,1.4295454545454545,314.5,220.0,-20.0,-20.0,12.5,34.875,112.0,0.492845786963434,0.609697933227345,94.5,26,9.615384615384615,3.125,29.926930244282552,1.6382914446734091,0.6538461538461539,0.34615384615384615,2.769911504424779,391.25,141.25,-43.5,-6.5,20.1875,39.875,112.0,0.41214057507987223,0.5220447284345048,250.0,26,0.5142960598311702,0.16904151315947885,1.50922788618968,1.737580963643442,0.6538461538461539,0.34615384615384615,2.582729580476075,21.82020178561812,8.448504230007696,-2.25984251968504,-0.3138149493546907,1.3405664566329767,1.908033919048868,4.981731532962669,0.34275708830472207,0.4324441254155198,13.371697555610426,0.38461538461538464,27.259615384615383,18.625,-20.173076923076923,-17.25
NQ,2026-W19,40,2.425,-20.0,39.89992288405889,0.3843878770488604,0.375,0.625,1.2078200321371184,563.75,466.75,-20.0,-20.0,8.3125,39.47500000000002,178.0,0.5006651884700665,0.697560975609756,97.0,40,11.03125,6.375,45.41003318411088,1.5363950648218605,0.6,0.4,2.0677555958862675,854.5,413.25,-87.5,-15.375,29.8125,55.550000000000004,178.0,0.3303101228788765,0.4789350497366881,441.25,40,0.4194384071352533,0.21154047921388924,1.694949379889568,1.5650977196579632,0.6,0.4,1.9208106208332651,34.99793460165425,18.220398316244122,-3.191316146540027,-0.628656615368591,1.4477814027607296,2.554047675994579,4.864812103465105,0.24490619795877472,0.419126905072392,16.777536285410132,0.55,36.75,30.625,-26.50625,-22.5
NQ,2026-W20,25,-13.69,-20.0,14.486034941740728,-4.725240569644424,0.16,0.84,0.17480409885473178,72.5,414.75,-20.0,-20.0,-20.0,12.450000000000003,29.0,0.6620689655172414,0.8448275862068966,-342.25,25,-1.64,5.25,44.37124866772777,-0.1848043552122086,0.52,0.48,0.9087367835281024,408.25,449.25,-127.75,-24.25,28.0,50.90000000000002,72.75,0.3263931414574403,0.4647887323943662,-41.0,25,-0.061674233836561336,0.0839760068551842,1.5024853648256185,-0.2052407140874859,0.52,0.48,0.9049572445787706,14.680904522096442,16.222760368010476,-3.251818181818182,-1.028642590286426,0.926342072409488,1.7376784593508472,2.40625,0.30203214975817777,0.43680793282591995,-1.5418558459140335,0.8,32.86,24.5,-41.08,-34.0
NQ,2026-W21,28,-1.6875,-20.0,36.19268297495954,-0.24671867186582833,0.32142857142857145,0.6785714285714286,0.8756578947368421,332.75,380.0,-20.0,-20.0,6.625,38.35000000000001,140.0,0.6168294515401953,0.7625845229151015,-47.25,28,6.428571428571429,10.25,43.60076967671691,0.780188121059607,0.6071428571428571,0.39285714285714285,1.4979253112033195,541.5,361.5,-80.75,-19.125,26.5625,51.57500000000001,140.0,0.37903970452446906,0.48753462603878117,180.0,28,0.38743220545891116,0.3771258868372346,1.4719091147400654,1.3928159765796146,0.6071428571428571,0.39285714285714285,2.1100877688575035,20.620393689742325,9.772291936892811,-1.7642276422764227,-0.6620051612074227,0.9510754909585843,1.7271391947472288,5.644348452123831,0.3685279296574201,0.4629467576542124,10.848101752849512,0.6785714285714286,39.669642857142854,31.625,-31.946428571428573,-26.0
