APVA Branch Forecast Study v0.1 - Aggregate
============================================================================================================
Instruments: 6E, CL, NQ

Aggregate Model Comparison Table
Model | Top1Accuracy_6E | Top1Accuracy_CL | Top1Accuracy_NQ | MeanTop1Accuracy | Top2Accuracy | Top3Accuracy | MeanBrierScore | MeanCalibrationError | MeanForecastEntropy | UniqueKeyCount | SparseKeyRate
Baseline_MostCommonNextNode | 16.09% | 16.62% | 15.40% | 16.04% | 25.43% | 34.54% | 0.9278 | 0.00% | 2.9245 | 1 | 0.00%
Model1_CurrentNode | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model2_CurrentPreviousNode | 59.75% | 60.49% | 63.50% | 61.25% | 80.35% | 89.69% | 0.5504 | 0.00% | 1.0961 | 227 | 59.47%
Model3_CurrentMemoryClass | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model4_CurrentConfidenceBucket | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model5_CurrentEntropyBucket | 56.18% | 55.09% | 58.48% | 56.58% | 76.02% | 86.40% | 0.5936 | 0.00% | 1.2167 | 41 | 24.39%
Model6_Combined | 59.75% | 60.49% | 63.50% | 61.25% | 80.35% | 89.69% | 0.5504 | 0.00% | 1.0961 | 227 | 59.47%

Aggregate Branch Table
CurrentNode | NextNode | Count | Probability_6E | Probability_CL | Probability_NQ | ReplicationCount
CompressionProcessing_Age4 | MixedStructure_Age1 | 24 | 4.17% | 0.00% | 11.11% | 2
CompressionProcessing_Age4 | RecoveryResolution_Age1 | 24 | 4.36% | 0.00% | 5.56% | 2
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 24 | 0.61% | 1.08% | 0.55% | 3
NeutralProcessing_Age4 | ExhaustionPersistence_Age1 | 24 | 1.60% | 1.89% | 1.20% | 3
CompressionProcessing_Age4 | DecayToNeutral_Age1 | 23 | 3.60% | 9.09% | 11.11% | 3
CompressionProcessing_Age5 | ExhaustionPersistence_Age1 | 23 | 6.74% | 33.33% | 0.00% | 2
ExhaustionPersistence_Age5 | ExhaustionPersistence_Age6-10 | 23 | 31.03% | 12.50% | 66.67% | 3
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 22 | 0.72% | 0.00% | 1.12% | 2

Aggregate Entropy Table
CurrentNode | BranchEntropy | NormalizedBranchEntropy | DominantBranchProbability | BranchConcentration
DestructiveRotation_Age1 | 1.8058 | 82.19% | 29.48% | 1.75%
MixedStructure_Age1 | 1.7596 | 80.08% | 37.55% | 17.66%
DestructiveRotation_Age2 | 1.7173 | 82.58% | 41.46% | 25.20%
MixedStructure_Age2 | 1.6945 | 81.49% | 30.98% | 1.46%
ExhaustionPersistence_Age1 | 1.6768 | 93.58% | 28.01% | 6.33%
MixedStructure_Age3 | 1.6710 | 85.87% | 35.29% | 11.76%
ExhaustionPersistence_Age5 | 1.6549 | 92.36% | 31.94% | 9.72%
CompressionProcessing_Age5 | 1.5600 | 75.02% | 44.70% | 18.21%
ExhaustionPersistence_Age4 | 1.5489 | 86.45% | 42.35% | 22.94%
ExhaustionPersistence_Age6-10 | 1.4974 | 83.57% | 39.47% | 13.16%
CompressionProcessing_Age6-10 | 1.4805 | 67.38% | 48.47% | 22.52%
MixedStructure_Age4 | 1.4241 | 88.49% | 41.67% | 16.67%
ReassertionProcessing_Age1 | 1.3785 | 76.94% | 40.58% | 8.22%
CompressionProcessing_Age4 | 1.3344 | 64.17% | 53.17% | 26.94%
NeutralProcessing_Age1 | 1.2648 | 70.59% | 56.64% | 41.83%
CompressionProcessing_Age2 | 1.2375 | 56.32% | 50.55% | 17.43%
NeutralProcessing_Age2 | 1.2303 | 68.66% | 55.22% | 37.24%
NeutralProcessing_Age6-10 | 1.1786 | 56.68% | 66.13% | 56.41%
CompressionProcessing_Age3 | 1.1487 | 55.24% | 62.35% | 41.27%
ConstructiveEmergence_Age1 | 1.1479 | 82.80% | 48.62% | 16.51%
DecayToNeutral_Age1 | 1.1418 | 63.73% | 55.58% | 27.52%
DestructiveRotation_Age3 | 1.1185 | 69.50% | 64.71% | 52.94%
CompressionProcessing_Age1 | 1.1164 | 53.69% | 56.42% | 25.95%
CompressionProcessing_Age11-20 | 1.0549 | 96.02% | 40.00% | 0.00%
ReassertionProcessing_Age2 | 1.0143 | 73.17% | 48.67% | 7.33%
NeutralProcessing_Age11-20 | 0.9558 | 45.96% | 74.53% | 65.45%
RecoveryResolution_Age3 | 0.9500 | 68.53% | 68.64% | 55.40%
RecoveryResolution_Age1 | 0.9484 | 86.32% | 55.70% | 23.71%
ExhaustionPersistence_Age3 | 0.8673 | 62.56% | 63.20% | 33.83%
NeutralProcessing_Age3 | 0.8421 | 52.32% | 74.83% | 64.21%
NeutralProcessing_Age21+ | 0.7959 | 49.45% | 78.05% | 69.51%
NeutralProcessing_Age5 | 0.7548 | 38.79% | 81.42% | 74.91%
RecoveryResolution_Age6-10 | 0.6730 | 97.10% | 60.00% | 20.00%
RecoveryResolution_Age4 | 0.6492 | 93.67% | 64.71% | 29.41%
ExhaustionPersistence_Age2 | 0.5968 | 54.32% | 75.99% | 53.11%
RecoveryResolution_Age2 | 0.5773 | 83.29% | 73.59% | 47.18%
RecoveryResolution_Age5 | 0.4506 | 65.00% | 83.33% | 66.67%
NeutralProcessing_Age4 | 0.4478 | 23.01% | 91.07% | 88.67%
ReassertionProcessing_Age3 | 0.2237 | 32.28% | 94.12% | 88.24%
DestructiveRotation_Age4 | -0.0000 | 0.00% | 100.00% | 100.00%
MixedStructure_Age5 | -0.0000 | 0.00% | 100.00% | 100.00%

Aggregate PreviousNode Gain Table
CurrentNode | Model1Accuracy | ModelAccuracy | AccuracyGain
RecoveryResolution_Age1 | 55.70% | 88.27% | 32.57%
ReassertionProcessing_Age1 | 40.58% | 55.72% | 15.14%
DestructiveRotation_Age1 | 29.48% | 43.92% | 14.43%
MixedStructure_Age1 | 37.55% | 45.84% | 8.29%
ConstructiveEmergence_Age1 | 48.62% | 54.13% | 5.50%
ExhaustionPersistence_Age1 | 28.01% | 33.47% | 5.46%
ExhaustionPersistence_Age6-10 | 39.47% | 44.74% | 5.26%
CompressionProcessing_Age1 | 56.42% | 61.52% | 5.10%
DecayToNeutral_Age1 | 55.58% | 55.82% | 0.24%
NeutralProcessing_Age1 | 56.64% | 56.70% | 0.06%
CompressionProcessing_Age11-20 | 40.00% | 40.00% | 0.00%
CompressionProcessing_Age2 | 50.55% | 50.55% | 0.00%
CompressionProcessing_Age3 | 62.35% | 62.35% | 0.00%
CompressionProcessing_Age4 | 53.17% | 53.17% | 0.00%
