APVA Destination Robustness Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Destination event count: 747

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.2547 | 1 | Positive | 6
MixedStructure | BodyRelativeToPrevious | t-1 | -0.2509 | 1 | Negative | 7
MixedStructure | VolumeRelativeToRollingMean | t-1 | -0.2338 | 0 | Negative | 8
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.2074 | 0 | Positive | 9
MixedStructure | RangeRelativeToPrevious | t-1 | -0.2001 | 0 | Negative | 10
MixedStructure | BodyRelativeToPrevious | t-2 | 0.1981 | 0 | Positive | 11
MixedStructure | VolumeRelativeToSessionMean | t-2 | 0.1889 | 0 | Positive | 12
MixedStructure | VolumeRelativeToSessionMean | t-1 | -0.1707 | 0 | Negative | 13
MixedStructure | TrueRangeRelativeToPrevious | t-1 | -0.1634 | 0 | Negative | 14
MixedStructure | VolumeRelativeToPrevious | t-3 | 0.1530 | 0 | Positive | 15
MixedStructure | CloseLocation | t-2 | 0.1497 | 0 | Positive | 16
MixedStructure | VolumeRelativeToPrevious | t-5 | 0.1448 | 0 | Positive | 17
MixedStructure | BodyRelativeToPrevious | t-3 | 0.1232 | 0 | Positive | 18
MixedStructure | RangeRelativeToPrevious | t-5 | 0.1218 | 0 | Positive | 19
MixedStructure | PolarityFlipFlag | t-1 | -0.1154 | 0 | Negative | 20
MixedStructure | TrueRangeRelativeToPrevious | t-5 | 0.0999 | 0 | Positive | 21
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.0995 | 0 | Positive | 22
MixedStructure | EfficiencyRatio | t-2 | 0.0986 | 0 | Positive | 23
MixedStructure | MemoryStrength | t-2 | -0.0846 | 0 | Negative | 24
MixedStructure | BranchEntropy | t-2 | 0.0846 | 0 | Positive | 25
MixedStructure | CloseLocation | t-1 | -0.0789 | 0 | Negative | 26
MixedStructure | EfficiencyRatio | t-5 | -0.0769 | 0 | Negative | 27
MixedStructure | CloseLocation | t-3 | 0.0647 | 0 | Positive | 28
MixedStructure | PolarityFlipFlag | t-5 | 0.0603 | 0 | Positive | 29
MixedStructure | EfficiencyRatio | t-1 | -0.0594 | 0 | Negative | 30
MixedStructure | RangeRelativeToPrevious | t-2 | 0.0574 | 0 | Positive | 31
MixedStructure | TrueRangeRelativeToPrevious | t-2 | 0.0448 | 0 | Positive | 32
MixedStructure | MemoryStrength | t-5 | 0.0414 | 0 | Positive | 33
MixedStructure | PolarityFlipFlag | t-2 | 0.0402 | 0 | Positive | 34
MixedStructure | PolarityFlipFlag | t-3 | -0.0344 | 0 | Negative | 35
MixedStructure | CloseLocation | t-5 | -0.0272 | 0 | Negative | 36
MixedStructure | BodyRelativeToPrevious | t-5 | 0.0232 | 0 | Positive | 37
MixedStructure | BranchEntropy | t-5 | -0.0130 | 0 | Negative | 38
MixedStructure | BranchEntropy | t-3 | 0.0124 | 0 | Positive | 39
MixedStructure | VolumeRelativeToPrevious | t-2 | -0.0042 | 0 | Negative | 40
MixedStructure | MemoryStrength | t-3 | -0.0040 | 0 | Negative | 41
MixedStructure | EfficiencyRatio | t-3 | 0.0039 | 0 | Positive | 42
MixedStructure | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
MixedStructure | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | -0.8182 | 1 | Negative | 1
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | -0.5906 | 1 | Negative | 2
ReassertionProcessing | RangeRelativeToPrevious | t-1 | -0.5614 | 1 | Negative | 3
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | -0.5454 | 1 | Negative | 4
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | -0.5274 | 1 | Negative | 5
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | -0.4857 | 1 | Negative | 6
ReassertionProcessing | BodyRelativeToPrevious | t-1 | -0.4040 | 1 | Negative | 7
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | -0.3656 | 1 | Negative | 8
ReassertionProcessing | VolumeRelativeToSessionMean | t-3 | -0.2259 | 0 | Negative | 9
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | -0.2045 | 0 | Negative | 10
ReassertionProcessing | CloseLocation | t-2 | -0.1742 | 0 | Negative | 11
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | -0.1600 | 0 | Negative | 12
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | -0.1490 | 0 | Negative | 13
ReassertionProcessing | BranchEntropy | t-5 | -0.1281 | 0 | Negative | 14
ReassertionProcessing | EfficiencyRatio | t-2 | 0.1216 | 0 | Positive | 15
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | -0.1214 | 0 | Negative | 16
ReassertionProcessing | MemoryStrength | t-5 | 0.1196 | 0 | Positive | 17
ReassertionProcessing | RangeRelativeToPrevious | t-3 | -0.1174 | 0 | Negative | 18
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | -0.1070 | 0 | Negative | 19
ReassertionProcessing | EfficiencyRatio | t-3 | 0.1053 | 0 | Positive | 20
ReassertionProcessing | PolarityFlipFlag | t-1 | 0.1018 | 0 | Positive | 21
ReassertionProcessing | PolarityFlipFlag | t-2 | -0.0830 | 0 | Negative | 22
ReassertionProcessing | PolarityFlipFlag | t-3 | 0.0728 | 0 | Positive | 23
ReassertionProcessing | PolarityFlipFlag | t-5 | -0.0721 | 0 | Negative | 24
ReassertionProcessing | RangeRelativeToPrevious | t-5 | -0.0666 | 0 | Negative | 25
ReassertionProcessing | MemoryStrength | t-3 | -0.0630 | 0 | Negative | 26
ReassertionProcessing | BranchEntropy | t-3 | 0.0620 | 0 | Positive | 27
ReassertionProcessing | CloseLocation | t-3 | -0.0611 | 0 | Negative | 28
ReassertionProcessing | EfficiencyRatio | t-1 | -0.0524 | 0 | Negative | 29
ReassertionProcessing | BodyRelativeToPrevious | t-5 | 0.0503 | 0 | Positive | 30
ReassertionProcessing | VolumeRelativeToPrevious | t-3 | -0.0465 | 0 | Negative | 31
ReassertionProcessing | TrueRangeRelativeToPrevious | t-5 | -0.0438 | 0 | Negative | 32
ReassertionProcessing | TrueRangeRelativeToPrevious | t-2 | 0.0426 | 0 | Positive | 33
ReassertionProcessing | BranchEntropy | t-2 | 0.0413 | 0 | Positive | 34
ReassertionProcessing | MemoryStrength | t-2 | -0.0413 | 0 | Negative | 35
ReassertionProcessing | RangeRelativeToPrevious | t-2 | 0.0394 | 0 | Positive | 36
ReassertionProcessing | CloseLocation | t-5 | 0.0386 | 0 | Positive | 37
ReassertionProcessing | VolumeRelativeToPrevious | t-2 | -0.0312 | 0 | Negative | 38
ReassertionProcessing | CloseLocation | t-1 | -0.0241 | 0 | Negative | 39
ReassertionProcessing | EfficiencyRatio | t-5 | -0.0239 | 0 | Negative | 40
ReassertionProcessing | BodyRelativeToPrevious | t-3 | 0.0029 | 0 | Positive | 41
