APVA Neutral Failure Timing Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2052
StableControlCount: 14630
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 931 | 931 | 0 | 0 | 45.37%
AllFailureNodes | 3 | t-0 | TrueRangeRelativeToPrevious | 0.9104 | 1.0213 | -0.2469 | 0
AllFailureNodes | 21+ | t-1 | EfficiencyRatio | 0.5485 | 0.4590 | 0.2464 | 0
AllFailureNodes | All | t-3 | TrueRangeRelativeToPrevious | 1.3275 | 1.1358 | 0.2430 | 0
AllFailureNodes | 3 | t-5 | BodyRelativeToPrevious | 0.7447 | 1.0861 | -0.2399 | 0
AllFailureNodes | 11-20 | t-5 | PolarityFlipFlag | 0.6111 | 0.7205 | -0.2335 | 0
AllFailureNodes | 21+ | t-2 | EfficiencyRatio | 0.4994 | 0.4265 | 0.2305 | 0
AllFailureNodes | All | t-3 | RangeRelativeToPrevious | 1.3290 | 1.1439 | 0.2282 | 0
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToSessionMean | 0.6911 | 0.5447 | 0.2279 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToRollingMean | 0.7616 | 0.6388 | 0.2177 | 0
AllFailureNodes | All | t-3 | BodyRelativeToPrevious | 1.7595 | 1.3410 | 0.2145 | 0
AllFailureNodes | 3 | t-5 | RangeRelativeToPrevious | 0.8378 | 0.9422 | -0.2128 | 0
AllFailureNodes | 2 | t-0 | RangeRelativeToPrevious | 0.8975 | 0.9957 | -0.2124 | 0
AllFailureNodes | 3 | t-5 | TrueRangeRelativeToPrevious | 0.8426 | 0.9497 | -0.2120 | 0
AllFailureNodes | 2 | t-0 | TrueRangeRelativeToPrevious | 0.9072 | 1.0021 | -0.2116 | 0
AllFailureNodes | 3 | t-5 | VolumeRelativeToRollingMean | 0.8002 | 0.9749 | -0.2070 | 0
AllFailureNodes | 4 | t-3 | TrueRangeRelativeToPrevious | 0.9760 | 0.8921 | 0.2069 | 0
AllFailureNodes | 3 | t-2 | BodyRelativeToPrevious | 0.6807 | 0.8507 | -0.2067 | 0
AllFailureNodes | 21+ | t-1 | TrueRangeRelativeToPrevious | 1.2760 | 1.1250 | 0.2066 | 0
AllFailureNodes | 6-10 | t-1 | BodyRelativeToPrevious | 1.6558 | 1.2555 | 0.2050 | 0
AllFailureNodes | 4 | t-3 | RangeRelativeToPrevious | 0.9737 | 0.8904 | 0.2031 | 0
AllFailureNodes | 5 | t-0 | EfficiencyRatio | 0.5202 | 0.4586 | 0.1989 | 0
AllFailureNodes | 11-20 | t-2 | CloseLocation | 0.5615 | 0.4934 | 0.1944 | 0
AllFailureNodes | 4 | t-3 | VolumeRelativeToRollingMean | 0.8072 | 0.6995 | 0.1924 | 0
AllFailureNodes | 4 | t-3 | VolumeRelativeToPrevious | 1.0694 | 0.9308 | 0.1916 | 0
AllFailureNodes | All | t-0 | VolumeRelativeToRollingMean | 0.7666 | 0.6413 | 0.1910 | 0
AllFailureNodes | 21+ | t-2 | PolarityFlipFlag | 0.5455 | 0.6364 | -0.1857 | 0
AllFailureNodes | All | t-2 | VolumeRelativeToRollingMean | 0.8381 | 0.7013 | 0.1837 | 0
AllFailureNodes | 5 | t-2 | VolumeRelativeToRollingMean | 0.6694 | 0.5823 | 0.1821 | 0
AllFailureNodes | 4 | t-5 | VolumeRelativeToPrevious | 1.7280 | 1.4703 | 0.1796 | 0
AllFailureNodes | 5 | t-1 | VolumeRelativeToSessionMean | 0.7650 | 0.5542 | 0.1758 | 0
AllFailureNodes | 3 | t-5 | PolarityFlipFlag | 0.6570 | 0.5723 | 0.1748 | 0
AllFailureNodes | 4 | t-1 | PolarityFlipFlag | 0.7222 | 0.6421 | 0.1727 | 0
AllFailureNodes | 5 | t-1 | VolumeRelativeToRollingMean | 1.0193 | 0.6233 | 0.1720 | 0
AllFailureNodes | 11-20 | t-2 | PolarityFlipFlag | 0.6349 | 0.7150 | -0.1716 | 0
AllFailureNodes | 5 | t-0 | BodyRelativeToPrevious | 1.8133 | 1.4366 | 0.1692 | 0
AllFailureNodes | 11-20 | t-2 | BodyRelativeToPrevious | 1.8508 | 1.1604 | 0.1673 | 0
AllFailureNodes | 4 | t-1 | VolumeRelativeToRollingMean | 0.6655 | 0.6011 | 0.1673 | 0
AllFailureNodes | 11-20 | t-1 | VolumeRelativeToPrevious | 1.6868 | 1.3377 | 0.1672 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToSessionMean | 1.0015 | 0.8425 | 0.1655 | 0
AllFailureNodes | 5 | t-1 | VolumeRelativeToPrevious | 2.1999 | 1.2919 | 0.1645 | 0
AllFailureNodes | 2 | t-2 | TrueRangeRelativeToPrevious | 1.2118 | 1.0920 | 0.1638 | 0
AllFailureNodes | 2 | t-2 | RangeRelativeToPrevious | 1.2317 | 1.1060 | 0.1629 | 0
AllFailureNodes | 4 | t-2 | VolumeRelativeToSessionMean | 0.4876 | 0.5860 | -0.1611 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToSessionMean | 0.6359 | 0.5448 | 0.1591 | 0
AllFailureNodes | 4 | t-3 | BodyRelativeToPrevious | 1.0396 | 0.8595 | 0.1582 | 0
AllFailureNodes | 5 | t-3 | VolumeRelativeToPrevious | 1.1480 | 1.0171 | 0.1560 | 0
AllFailureNodes | 3 | t-5 | EfficiencyRatio | 0.4136 | 0.4586 | -0.1549 | 0
AllFailureNodes | 11-20 | t-0 | EfficiencyRatio | 0.4962 | 0.4448 | 0.1548 | 0
AllFailureNodes | 5 | t-3 | VolumeRelativeToRollingMean | 0.6776 | 0.5987 | 0.1523 | 0
AllFailureNodes | 21+ | t-0 | CloseLocation | 0.5561 | 0.5031 | 0.1522 | 0
AllFailureNodes | 6-10 | t-2 | VolumeRelativeToRollingMean | 0.6988 | 0.6133 | 0.1515 | 0
AllFailureNodes | 21+ | t-0 | VolumeRelativeToPrevious | 1.2272 | 1.3895 | -0.1482 | 0
AllFailureNodes | 11-20 | t-5 | CloseLocation | 0.4414 | 0.4914 | -0.1480 | 0
AllFailureNodes | 5 | t-0 | CloseLocation | 0.4844 | 0.5364 | -0.1472 | 0
AllFailureNodes | 11-20 | t-0 | VolumeRelativeToRollingMean | 0.7871 | 0.6575 | 0.1444 | 0
AllFailureNodes | 11-20 | t-3 | BodyRelativeToPrevious | 1.3050 | 1.0917 | 0.1417 | 0

3. Warning Score Distribution
Score | FailureCount | ControlCount | FailurePercent | ControlPercent
0 | 100 | 81 | 4.87% | 4.35%
1 | 344 | 292 | 16.76% | 15.67%
2 | 490 | 454 | 23.88% | 24.37%
3 | 511 | 506 | 24.90% | 27.16%
4 | 333 | 324 | 16.23% | 17.39%
5 | 207 | 158 | 10.09% | 8.48%
6 | 67 | 48 | 3.27% | 2.58%

4. Threshold Performance Table
Threshold | DetectionAtFailure | EarlyDetection1 | EarlyDetection2 | EarlyDetection3 | FalsePositiveRate | Precision | Recall
>=1 | 95.13% | 99.95% | 100.00% | 100.00% | 40.59% | 29.82% | 95.13%
>=2 | 78.36% | 97.32% | 99.85% | 100.00% | 34.13% | 29.39% | 78.36%
>=3 | 54.48% | 82.55% | 94.35% | 99.22% | 24.07% | 29.09% | 54.48%
>=4 | 29.58% | 53.12% | 72.56% | 89.38% | 12.79% | 29.54% | 29.58%

5. Warning Score by Neutral Age Table
AgeBucket | Threshold | DetectionRate | FalsePositiveRate | Precision | Recall
2 | >=1 | 94.63% | 62.81% | 30.44% | 94.63%
2 | >=2 | 77.23% | 51.95% | 30.16% | 77.23%
2 | >=3 | 50.70% | 35.60% | 29.26% | 50.70%
2 | >=4 | 22.45% | 16.29% | 28.59% | 22.45%
3 | >=1 | 95.87% | 80.62% | 14.09% | 95.87%
3 | >=2 | 74.38% | 67.96% | 13.12% | 74.38%
3 | >=3 | 48.35% | 47.09% | 12.41% | 48.35%
3 | >=4 | 20.66% | 22.86% | 11.09% | 20.66%
4 | >=1 | 100.00% | 90.17% | 7.07% | 100.00%
4 | >=2 | 98.89% | 77.21% | 8.08% | 98.89%
4 | >=3 | 90.00% | 54.73% | 10.14% | 90.00%
4 | >=4 | 74.44% | 31.10% | 14.11% | 74.44%
5 | >=1 | 95.86% | 86.07% | 11.93% | 95.86%
5 | >=2 | 83.45% | 75.67% | 11.83% | 83.45%
5 | >=3 | 64.83% | 57.47% | 12.07% | 64.83%
5 | >=4 | 48.97% | 37.50% | 13.71% | 48.97%
6-10 | >=1 | 94.48% | 56.66% | 22.67% | 94.48%
6-10 | >=2 | 77.12% | 47.43% | 22.23% | 77.12%
6-10 | >=3 | 54.64% | 33.36% | 22.36% | 54.64%
6-10 | >=4 | 30.37% | 19.35% | 21.63% | 30.37%
11-20 | >=1 | 96.03% | 49.94% | 21.38% | 96.03%
11-20 | >=2 | 78.57% | 42.20% | 20.84% | 78.57%
11-20 | >=3 | 57.14% | 30.75% | 20.81% | 57.14%
11-20 | >=4 | 42.06% | 17.28% | 25.60% | 42.06%
21+ | >=1 | 90.91% | 54.88% | 18.18% | 90.91%
21+ | >=2 | 81.82% | 48.78% | 18.37% | 81.82%
21+ | >=3 | 45.45% | 37.80% | 13.89% | 45.45%
21+ | >=4 | 27.27% | 20.73% | 15.00% | 27.27%

6. Hard vs Warning Table
Method | DetectionRate | FalsePositiveRate | Precision | Recall | PhaseAgreement
HardNeutralFailurePhase | 24.81% | 2.37% | 49.08% | 24.81% | 65.94%
FailureWarningScore>=3 | 54.48% | 24.07% | 29.09% | 54.48% | 65.94%

7. Destination Conditioning Table
DestinationFamily | MeanWarningScore | DetectionRate | TopSignal
CompressionProcessing | 2.8246 | 59.27% | VolumeRelativeToRollingMean
MixedStructure | 2.5969 | 51.53% | VolumeRelativeToRollingMean
ReassertionProcessing | 2.5338 | 47.27% | VolumeRelativeToRollingMean
RecoveryResolution | 4.5417 | 91.67% | VolumeRelativeToRollingMean
ExhaustionPersistence | 4.5000 | 93.75% | VolumeRelativeToRollingMean
ConstructiveEmergence | 3.3500 | 75.00% | VolumeRelativeToRollingMean
