APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
State-age key count: 41

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
CompressionProcessing | 6-10 | t+5 | 247 | NeutralProcessing:39.68%, CompressionProcessing:19.84%, MixedStructure:12.55%, ExhaustionPersistence:11.34%, RecoveryResolution:6.48%, DecayToNeutral:4.86%, DestructiveRotation:3.24%, ReassertionProcessing:1.62%, ConstructiveEmergence:0.40% | 19.84% | 80.16% | 1.7193 | 0.7825 | NeutralProcessing | 39.68%
ConstructiveEmergence | 1 | t+1 | 83 | MixedStructure:46.99%, NeutralProcessing:32.53%, DecayToNeutral:13.25%, CompressionProcessing:7.23% | 0.00% | 100.00% | 1.1780 | 0.8497 | MixedStructure | 46.99%
ConstructiveEmergence | 1 | t+2 | 83 | NeutralProcessing:48.19%, MixedStructure:24.10%, DecayToNeutral:9.64%, CompressionProcessing:8.43%, ExhaustionPersistence:4.82%, DestructiveRotation:2.41%, RecoveryResolution:2.41% | 0.00% | 100.00% | 1.4544 | 0.7474 | NeutralProcessing | 48.19%
ConstructiveEmergence | 1 | t+3 | 83 | NeutralProcessing:43.37%, MixedStructure:24.10%, CompressionProcessing:15.66%, DecayToNeutral:6.02%, DestructiveRotation:4.82%, RecoveryResolution:4.82%, ExhaustionPersistence:1.20% | 0.00% | 100.00% | 1.5104 | 0.7762 | NeutralProcessing | 43.37%
ConstructiveEmergence | 1 | t+5 | 83 | NeutralProcessing:53.01%, CompressionProcessing:13.25%, MixedStructure:10.84%, ReassertionProcessing:10.84%, ExhaustionPersistence:3.61%, RecoveryResolution:3.61%, DecayToNeutral:2.41%, DestructiveRotation:2.41% | 0.00% | 100.00% | 1.5056 | 0.7241 | NeutralProcessing | 53.01%
DecayToNeutral | 1 | t+1 | 1486 | NeutralProcessing:54.58%, MixedStructure:28.47%, DestructiveRotation:8.55%, CompressionProcessing:6.73%, ReassertionProcessing:1.28%, ConstructiveEmergence:0.40% | 0.00% | 100.00% | 1.1580 | 0.6463 | NeutralProcessing | 54.58%
DecayToNeutral | 1 | t+2 | 1485 | NeutralProcessing:29.02%, MixedStructure:22.63%, DecayToNeutral:18.65%, CompressionProcessing:11.58%, DestructiveRotation:6.67%, ReassertionProcessing:3.97%, ExhaustionPersistence:3.70%, RecoveryResolution:2.96%, ConstructiveEmergence:0.81% | 18.65% | 81.35% | 1.8321 | 0.8338 | NeutralProcessing | 29.02%
DecayToNeutral | 1 | t+3 | 1485 | NeutralProcessing:44.92%, MixedStructure:19.80%, CompressionProcessing:14.21%, ReassertionProcessing:5.72%, ExhaustionPersistence:4.78%, DecayToNeutral:4.71%, RecoveryResolution:2.90%, DestructiveRotation:2.42%, ConstructiveEmergence:0.54% | 4.71% | 95.29% | 1.6314 | 0.7425 | NeutralProcessing | 44.92%
DecayToNeutral | 1 | t+5 | 1485 | NeutralProcessing:45.86%, CompressionProcessing:17.37%, MixedStructure:11.58%, ReassertionProcessing:6.73%, ExhaustionPersistence:5.45%, DecayToNeutral:4.78%, RecoveryResolution:4.78%, DestructiveRotation:3.23%, ConstructiveEmergence:0.20% | 4.78% | 95.22% | 1.6658 | 0.7581 | NeutralProcessing | 45.86%
DestructiveRotation | 1 | t+1 | 836 | DecayToNeutral:29.78%, NeutralProcessing:27.27%, DestructiveRotation:11.96%, ExhaustionPersistence:11.36%, ReassertionProcessing:6.10%, RecoveryResolution:5.14%, MixedStructure:5.02%, CompressionProcessing:2.99%, ConstructiveEmergence:0.36% | 11.96% | 88.04% | 1.8149 | 0.8260 | DecayToNeutral | 29.78%
DestructiveRotation | 1 | t+2 | 836 | NeutralProcessing:36.60%, MixedStructure:13.64%, CompressionProcessing:12.80%, DestructiveRotation:10.29%, DecayToNeutral:9.69%, ReassertionProcessing:7.78%, ExhaustionPersistence:5.38%, RecoveryResolution:3.47%, ConstructiveEmergence:0.36% | 10.29% | 89.71% | 1.8555 | 0.8445 | NeutralProcessing | 36.60%
DestructiveRotation | 1 | t+3 | 836 | NeutralProcessing:33.73%, CompressionProcessing:15.07%, MixedStructure:14.71%, DecayToNeutral:11.24%, ReassertionProcessing:7.78%, DestructiveRotation:7.06%, RecoveryResolution:5.14%, ExhaustionPersistence:4.90%, ConstructiveEmergence:0.36% | 7.06% | 92.94% | 1.8859 | 0.8583 | NeutralProcessing | 33.73%
DestructiveRotation | 1 | t+5 | 835 | NeutralProcessing:47.07%, CompressionProcessing:18.32%, MixedStructure:10.66%, ExhaustionPersistence:5.75%, DecayToNeutral:5.39%, RecoveryResolution:4.67%, ReassertionProcessing:4.55%, DestructiveRotation:3.11%, ConstructiveEmergence:0.48% | 3.11% | 96.89% | 1.6432 | 0.7479 | NeutralProcessing | 47.07%
DestructiveRotation | 2 | t+1 | 100 | DecayToNeutral:45.00%, ExhaustionPersistence:15.00%, DestructiveRotation:11.00%, NeutralProcessing:10.00%, ReassertionProcessing:6.00%, RecoveryResolution:6.00%, MixedStructure:5.00%, CompressionProcessing:2.00% | 11.00% | 89.00% | 1.6826 | 0.8092 | DecayToNeutral | 45.00%
DestructiveRotation | 2 | t+2 | 100 | NeutralProcessing:34.00%, DecayToNeutral:18.00%, MixedStructure:14.00%, CompressionProcessing:12.00%, DestructiveRotation:10.00%, RecoveryResolution:5.00%, ExhaustionPersistence:4.00%, ReassertionProcessing:3.00% | 10.00% | 90.00% | 1.8191 | 0.8748 | NeutralProcessing | 34.00%
DestructiveRotation | 2 | t+3 | 100 | NeutralProcessing:35.00%, CompressionProcessing:15.00%, DestructiveRotation:11.00%, MixedStructure:11.00%, DecayToNeutral:9.00%, RecoveryResolution:7.00%, ExhaustionPersistence:6.00%, ReassertionProcessing:6.00% | 11.00% | 89.00% | 1.8781 | 0.9032 | NeutralProcessing | 35.00%
DestructiveRotation | 2 | t+5 | 100 | NeutralProcessing:55.00%, CompressionProcessing:17.00%, MixedStructure:11.00%, DecayToNeutral:4.00%, DestructiveRotation:4.00%, ExhaustionPersistence:3.00%, ReassertionProcessing:3.00%, RecoveryResolution:3.00% | 4.00% | 96.00% | 1.4459 | 0.6954 | NeutralProcessing | 55.00%
DestructiveRotation | 3 | t+1 | 11 | DecayToNeutral:63.64%, NeutralProcessing:18.18%, CompressionProcessing:9.09%, DestructiveRotation:9.09% | 9.09% | 90.91% | 1.0336 | 0.7456 | DecayToNeutral | 63.64%
DestructiveRotation | 3 | t+2 | 11 | DestructiveRotation:45.45%, NeutralProcessing:27.27%, CompressionProcessing:9.09%, DecayToNeutral:9.09%, MixedStructure:9.09% | 45.45% | 54.55% | 1.3667 | 0.8492 | DestructiveRotation | 45.45%
DestructiveRotation | 3 | t+3 | 11 | NeutralProcessing:36.36%, DecayToNeutral:27.27%, CompressionProcessing:9.09%, DestructiveRotation:9.09%, MixedStructure:9.09%, RecoveryResolution:9.09% | 9.09% | 90.91% | 1.5942 | 0.8897 | NeutralProcessing | 36.36%
DestructiveRotation | 3 | t+5 | 11 | NeutralProcessing:72.73%, MixedStructure:18.18%, RecoveryResolution:9.09% | 0.00% | 100.00% | 0.7595 | 0.6914 | NeutralProcessing | 72.73%
DestructiveRotation | 4 | t+1 | 1 | DecayToNeutral:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | DecayToNeutral | 100.00%
DestructiveRotation | 4 | t+2 | 1 | CompressionProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00%
DestructiveRotation | 4 | t+3 | 1 | CompressionProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00%
DestructiveRotation | 4 | t+5 | 1 | NeutralProcessing:100.00% | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00%
ExhaustionPersistence | 1 | t+1 | 1116 | ExhaustionPersistence:27.24%, RecoveryResolution:21.24%, DecayToNeutral:19.53%, NeutralProcessing:14.70%, CompressionProcessing:12.99%, DestructiveRotation:4.30% | 27.24% | 72.76% | 1.6846 | 0.9402 | ExhaustionPersistence | 27.24%
ExhaustionPersistence | 1 | t+2 | 1116 | RecoveryResolution:27.24%, NeutralProcessing:23.21%, ExhaustionPersistence:20.97%, DestructiveRotation:17.03%, CompressionProcessing:8.69%, DecayToNeutral:2.87% | 20.97% | 79.03% | 1.6364 | 0.9133 | RecoveryResolution | 27.24%
ExhaustionPersistence | 1 | t+3 | 1116 | RecoveryResolution:25.90%, NeutralProcessing:25.63%, ExhaustionPersistence:15.77%, DestructiveRotation:13.62%, DecayToNeutral:11.74%, CompressionProcessing:7.35% | 15.77% | 84.23% | 1.7049 | 0.9515 | RecoveryResolution | 25.90%
ExhaustionPersistence | 1 | t+5 | 1116 | NeutralProcessing:40.41%, CompressionProcessing:26.88%, MixedStructure:9.23%, ExhaustionPersistence:7.80%, RecoveryResolution:6.27%, DecayToNeutral:4.48%, DestructiveRotation:2.33%, ReassertionProcessing:2.15%, ConstructiveEmergence:0.45% | 7.80% | 92.20% | 1.6453 | 0.7488 | NeutralProcessing | 40.41%
ExhaustionPersistence | 2 | t+1 | 304 | ExhaustionPersistence:76.97%, RecoveryResolution:22.04%, NeutralProcessing:0.99% | 76.97% | 23.03% | 0.5803 | 0.5282 | ExhaustionPersistence | 76.97%
ExhaustionPersistence | 2 | t+2 | 304 | ExhaustionPersistence:47.04%, RecoveryResolution:27.96%, NeutralProcessing:24.01%, DecayToNeutral:0.66%, DestructiveRotation:0.33% | 47.04% | 52.96% | 1.1055 | 0.6869 | ExhaustionPersistence | 47.04%
ExhaustionPersistence | 2 | t+3 | 304 | RecoveryResolution:26.32%, NeutralProcessing:25.66%, ExhaustionPersistence:19.41%, DecayToNeutral:10.53%, DestructiveRotation:10.53%, CompressionProcessing:7.24%, MixedStructure:0.33% | 19.41% | 80.59% | 1.7013 | 0.8743 | RecoveryResolution | 26.32%
ExhaustionPersistence | 2 | t+5 | 304 | NeutralProcessing:39.80%, CompressionProcessing:24.34%, ExhaustionPersistence:9.87%, MixedStructure:7.57%, RecoveryResolution:7.24%, DecayToNeutral:4.93%, DestructiveRotation:3.29%, ReassertionProcessing:2.63%, ConstructiveEmergence:0.33% | 9.87% | 90.13% | 1.6998 | 0.7736 | NeutralProcessing | 39.80%
ExhaustionPersistence | 3 | t+1 | 234 | ExhaustionPersistence:61.11%, NeutralProcessing:30.34%, RecoveryResolution:7.69%, DecayToNeutral:0.85% | 61.11% | 38.89% | 0.9008 | 0.6498 | ExhaustionPersistence | 61.11%
ExhaustionPersistence | 3 | t+2 | 234 | NeutralProcessing:26.07%, ExhaustionPersistence:24.79%, DecayToNeutral:13.68%, DestructiveRotation:13.68%, RecoveryResolution:12.39%, CompressionProcessing:9.40% | 24.79% | 75.21% | 1.7214 | 0.9607 | NeutralProcessing | 26.07%
ExhaustionPersistence | 3 | t+3 | 234 | NeutralProcessing:38.46%, MixedStructure:13.25%, RecoveryResolution:12.82%, ExhaustionPersistence:12.39%, CompressionProcessing:9.83%, DecayToNeutral:8.12%, DestructiveRotation:4.70%, ConstructiveEmergence:0.43% | 12.39% | 87.61% | 1.7563 | 0.8446 | NeutralProcessing | 38.46%
ExhaustionPersistence | 3 | t+5 | 234 | NeutralProcessing:43.16%, CompressionProcessing:21.37%, MixedStructure:7.26%, DecayToNeutral:6.84%, ExhaustionPersistence:6.41%, RecoveryResolution:5.56%, ReassertionProcessing:4.70%, DestructiveRotation:4.27%, ConstructiveEmergence:0.43% | 6.41% | 93.59% | 1.7048 | 0.7759 | NeutralProcessing | 43.16%
ExhaustionPersistence | 4 | t+1 | 143 | ExhaustionPersistence:40.56%, DecayToNeutral:22.38%, NeutralProcessing:16.08%, CompressionProcessing:9.79%, RecoveryResolution:7.69%, DestructiveRotation:3.50% | 40.56% | 59.44% | 1.5370 | 0.8578 | ExhaustionPersistence | 40.56%
ExhaustionPersistence | 4 | t+2 | 143 | NeutralProcessing:31.47%, ExhaustionPersistence:13.99%, CompressionProcessing:13.29%, DecayToNeutral:13.29%, MixedStructure:10.49%, RecoveryResolution:9.79%, DestructiveRotation:6.99%, ConstructiveEmergence:0.70% | 13.99% | 86.01% | 1.8601 | 0.8945 | NeutralProcessing | 31.47%
ExhaustionPersistence | 4 | t+3 | 143 | NeutralProcessing:29.37%, CompressionProcessing:16.08%, ExhaustionPersistence:11.89%, MixedStructure:11.89%, RecoveryResolution:11.19%, DecayToNeutral:10.49%, DestructiveRotation:4.90%, ReassertionProcessing:3.50%, ConstructiveEmergence:0.70% | 11.89% | 88.11% | 1.9413 | 0.8835 | NeutralProcessing | 29.37%
ExhaustionPersistence | 4 | t+5 | 143 | NeutralProcessing:51.05%, CompressionProcessing:18.88%, MixedStructure:6.99%, DecayToNeutral:6.29%, DestructiveRotation:4.90%, ReassertionProcessing:4.20%, RecoveryResolution:4.20%, ExhaustionPersistence:3.50% | 3.50% | 96.50% | 1.5491 | 0.7450 | NeutralProcessing | 51.05%
ExhaustionPersistence | 5 | t+1 | 58 | ExhaustionPersistence:31.03%, DecayToNeutral:24.14%, NeutralProcessing:17.24%, CompressionProcessing:12.07%, DestructiveRotation:10.34%, RecoveryResolution:5.17% | 31.03% | 68.97% | 1.6524 | 0.9222 | ExhaustionPersistence | 31.03%
ExhaustionPersistence | 5 | t+2 | 58 | NeutralProcessing:27.59%, ExhaustionPersistence:20.69%, DecayToNeutral:13.79%, CompressionProcessing:12.07%, DestructiveRotation:10.34%, RecoveryResolution:10.34%, MixedStructure:5.17% | 20.69% | 79.31% | 1.8323 | 0.9416 | NeutralProcessing | 27.59%
ExhaustionPersistence | 5 | t+3 | 58 | NeutralProcessing:41.38%, CompressionProcessing:17.24%, DecayToNeutral:10.34%, RecoveryResolution:10.34%, MixedStructure:6.90%, DestructiveRotation:5.17%, ExhaustionPersistence:5.17%, ConstructiveEmergence:1.72%, ReassertionProcessing:1.72% | 5.17% | 94.83% | 1.7684 | 0.8048 | NeutralProcessing | 41.38%
ExhaustionPersistence | 5 | t+5 | 58 | NeutralProcessing:55.17%, CompressionProcessing:17.24%, ExhaustionPersistence:6.90%, MixedStructure:6.90%, DecayToNeutral:5.17%, RecoveryResolution:5.17%, DestructiveRotation:3.45% | 6.90% | 93.10% | 1.4226 | 0.7310 | NeutralProcessing | 55.17%
ExhaustionPersistence | 6-10 | t+1 | 29 | ExhaustionPersistence:37.93%, DecayToNeutral:31.03%, NeutralProcessing:13.79%, RecoveryResolution:13.79%, CompressionProcessing:3.45% | 37.93% | 62.07% | 1.3934 | 0.8658 | ExhaustionPersistence | 37.93%
ExhaustionPersistence | 6-10 | t+2 | 29 | NeutralProcessing:44.83%, RecoveryResolution:20.69%, DecayToNeutral:13.79%, DestructiveRotation:10.34%, ExhaustionPersistence:6.90%, MixedStructure:3.45% | 6.90% | 93.10% | 1.4941 | 0.8339 | NeutralProcessing | 44.83%
ExhaustionPersistence | 6-10 | t+3 | 29 | NeutralProcessing:41.38%, RecoveryResolution:17.24%, DestructiveRotation:13.79%, CompressionProcessing:10.34%, DecayToNeutral:6.90%, MixedStructure:6.90%, ExhaustionPersistence:3.45% | 3.45% | 96.55% | 1.6611 | 0.8536 | NeutralProcessing | 41.38%
ExhaustionPersistence | 6-10 | t+5 | 29 | NeutralProcessing:48.28%, CompressionProcessing:24.14%, ExhaustionPersistence:10.34%, MixedStructure:6.90%, DecayToNeutral:3.45%, ReassertionProcessing:3.45%, RecoveryResolution:3.45% | 10.34% | 89.66% | 1.4621 | 0.7514 | NeutralProcessing | 48.28%
MixedStructure | 1 | t+1 | 3264 | NeutralProcessing:37.35%, DecayToNeutral:20.28%, ExhaustionPersistence:12.22%, MixedStructure:10.88%, RecoveryResolution:9.41%, ReassertionProcessing:4.41%, CompressionProcessing:2.79%, DestructiveRotation:2.05%, ConstructiveEmergence:0.61% | 10.88% | 89.12% | 1.7605 | 0.8012 | NeutralProcessing | 37.35%
MixedStructure | 1 | t+2 | 3264 | NeutralProcessing:42.28%, MixedStructure:20.99%, CompressionProcessing:13.66%, DecayToNeutral:7.41%, ReassertionProcessing:5.58%, ExhaustionPersistence:4.32%, RecoveryResolution:3.62%, DestructiveRotation:1.99%, ConstructiveEmergence:0.15% | 20.99% | 79.01% | 1.6611 | 0.7560 | NeutralProcessing | 42.28%
MixedStructure | 1 | t+3 | 3263 | NeutralProcessing:33.77%, MixedStructure:16.89%, CompressionProcessing:16.06%, DecayToNeutral:10.91%, ExhaustionPersistence:6.19%, ReassertionProcessing:6.16%, RecoveryResolution:5.91%, DestructiveRotation:3.74%, ConstructiveEmergence:0.37% | 16.89% | 83.11% | 1.8570 | 0.8452 | NeutralProcessing | 33.77%
