APVA Memory Forecast Study v0.1
============================================================================================================
Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Node count: 41

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | ForecastConfidence | EntropyGrowth | AttentionCategory
80 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
81 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 0.2484 | 1.9626 | Secondary Node
82 | RecoveryResolution_Age2 | Secondary Node | 0.2814 | 3.00 | 0.4808 | 2.3364 | Secondary Node
83 | RecoveryResolution_Age3 | Secondary Node | 0.2098 | 3.00 | 0.5657 | 1.9592 | Secondary Node
84 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
85 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 0.2484 | 1.9626 | Secondary Node
86 | RecoveryResolution_Age2 | Secondary Node | 0.2814 | 3.00 | 0.4808 | 2.3364 | Secondary Node
87 | RecoveryResolution_Age3 | Secondary Node | 0.2098 | 3.00 | 0.5657 | 1.9592 | Secondary Node
88 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
89 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 0.1754 | 1.6725 | Weak Node
90 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 0.4179 | 1.7733 | Secondary Node
91 | CompressionProcessing_Age4 | Weak Node | 0.2023 | 2.00 | 0.2652 | 1.6005 | Weak Node
92 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
93 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
94 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 0.6385 | 2.0830 | Core Node
95 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 0.8841 | 2.4809 | Core Node
96 | RecoveryResolution_Age1 | Secondary Node | 0.2497 | 5.00 | 0.2484 | 1.9626 | Secondary Node
97 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
98 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
99 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
100 | ExhaustionPersistence_Age2 | Secondary Node | 0.2372 | 3.00 | 0.5493 | 2.3244 | Secondary Node
101 | ExhaustionPersistence_Age3 | Weak Node | 0.1959 | 2.00 | 0.3077 | 2.0053 | Weak Node
102 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
103 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 0.0251 | 1.0910 | Weak Node
104 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
105 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
106 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
107 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 0.0251 | 1.0910 | Weak Node
108 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
109 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
110 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 0.0251 | 1.0910 | Weak Node
111 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
112 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
113 | CompressionProcessing_Age2 | Weak Node | 0.2038 | 3.00 | 0.1754 | 1.6725 | Weak Node
114 | CompressionProcessing_Age3 | Secondary Node | 0.2152 | 3.00 | 0.4179 | 1.7733 | Secondary Node
115 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
116 | CompressionProcessing_Age1 | Secondary Node | 0.2107 | 3.00 | 0.2623 | 1.7972 | Secondary Node
117 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
118 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
119 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 0.6385 | 2.0830 | Core Node
120 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 0.8841 | 2.4809 | Core Node
121 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 0.7500 | 2.1684 | Core Node
122 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
123 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
124 | ConstructiveEmergence_Age1 | Weak Node | 0.2062 | 3.00 | 0.1446 | 1.7277 | Weak Node
125 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
126 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
127 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
128 | NeutralProcessing_Age3 | Core Node | 0.3511 | 5.00 | 0.6385 | 2.0830 | Core Node
129 | NeutralProcessing_Age4 | Core Node | 0.3683 | 5.00 | 0.8841 | 2.4809 | Core Node
130 | NeutralProcessing_Age5 | Core Node | 0.3132 | 5.00 | 0.7500 | 2.1684 | Core Node
131 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
132 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
133 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
134 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 0.0251 | 1.0910 | Weak Node
135 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
136 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
137 | DestructiveRotation_Age1 | Weak Node | 0.1720 | 3.00 | 0.0251 | 1.0910 | Weak Node
138 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
139 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
140 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
141 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
142 | DecayToNeutral_Age1 | Secondary Node | 0.2121 | 5.00 | 0.2611 | 1.7484 | Secondary Node
143 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
144 | NeutralProcessing_Age2 | Core Node | 0.2651 | 5.00 | 0.3685 | 1.6844 | Core Node
145 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
146 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
147 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
148 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
149 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
150 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
151 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
152 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
153 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
154 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
155 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
156 | NeutralProcessing_Age1 | Core Node | 0.2167 | 3.00 | 0.4161 | 1.6504 | Core Node
157 | ReassertionProcessing_Age1 | Weak Node | 0.1787 | 3.00 | 0.0955 | 1.5273 | Weak Node
158 | MixedStructure_Age1 | Weak Node | 0.1787 | 3.00 | 0.1706 | 1.1466 | Weak Node
159 | ExhaustionPersistence_Age1 | Secondary Node | 0.1775 | 11.00 | 0.0600 | 1.2226 | Secondary Node
