APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Terminal        3 CompressionProcessing             1223       15.47%     0.840
Terminal        3 NeutralProcessing                 3009       38.06%     0.790
Terminal        3 ReassertionProcessing              651        8.23%     1.444
Terminal        3 DecayToNeutral                     676        8.55%     2.029
Terminal        3 DestructiveRotation                365        4.62%     1.717
Terminal        3 ConstructiveEmergence               19        0.24%     1.021
Terminal        3 MixedStructure                    1207       15.27%     1.467
Insufficient    3 RecoveryResolution                   4        5.88%     1.223
Insufficient    3 ExhaustionPersistence                4        5.88%     1.101
Insufficient    3 CompressionProcessing               20       29.41%     1.598
Insufficient    3 NeutralProcessing                   22       32.35%     0.671
Insufficient    3 ReassertionProcessing                2        2.94%     0.516
Insufficient    3 DecayToNeutral                       6        8.82%     2.093
Insufficient    3 DestructiveRotation                  6        8.82%     3.282
Insufficient    3 MixedStructure                       4        5.88%     0.565
Birth           5 RecoveryResolution                 624        5.05%     1.049
Birth           5 ExhaustionPersistence              706        5.71%     1.069
Birth           5 CompressionProcessing             2472       20.00%     1.086
Birth           5 NeutralProcessing                 5699       46.10%     0.957
Birth           5 ReassertionProcessing              655        5.30%     0.929
Birth           5 DecayToNeutral                     541        4.38%     1.038
Birth           5 DestructiveRotation                339        2.74%     1.020
Birth           5 ConstructiveEmergence               29        0.23%     0.996
Birth           5 MixedStructure                    1297       10.49%     1.009
