APVA Phase Transition Matrix Study v0.1 - 6E
=============================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Structural state counts: {'MixedStructure': 3671, 'NeutralProcessing': 16992, 'ReassertionProcessing': 2011, 'RecoveryResolution': 1696, 'CompressionProcessing': 6489, 'ExhaustionPersistence': 1884, 'DecayToNeutral': 1486, 'DestructiveRotation': 948, 'ConstructiveEmergence': 83}
Lifecycle phase counts: {'Terminal': 7908, 'Growth': 6973, 'Maturity': 2937, 'Insufficient': 68, 'Birth': 12364, 'Decay': 5010}
Valid phase observations: 35192

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth              12364     35.07%
Growth              6973     19.78%
Maturity            2937      8.33%
Decay               5010     14.21%
Terminal            7908     22.43%
Insufficient          68      0.19%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
ExhaustionPersistence        Decay           3 DecayToNeutral                      36        8.87%     2.104
ExhaustionPersistence        Decay           3 DestructiveRotation                 22        5.42%     2.015
ExhaustionPersistence        Decay           3 ConstructiveEmergence                2        0.49%     2.093
ExhaustionPersistence        Decay           3 MixedStructure                      50       12.32%     1.184
ExhaustionPersistence        Terminal        3 RecoveryResolution                   6       10.34%     2.151
ExhaustionPersistence        Terminal        3 ExhaustionPersistence                3        5.17%     0.968
ExhaustionPersistence        Terminal        3 CompressionProcessing               10       17.24%     0.937
ExhaustionPersistence        Terminal        3 NeutralProcessing                   24       41.38%     0.859
ExhaustionPersistence        Terminal        3 ReassertionProcessing                1        1.72%     0.302
ExhaustionPersistence        Terminal        3 DecayToNeutral                       6       10.34%     2.454
ExhaustionPersistence        Terminal        3 DestructiveRotation                  3        5.17%     1.924
ExhaustionPersistence        Terminal        3 ConstructiveEmergence                1        1.72%     7.324
ExhaustionPersistence        Terminal        3 MixedStructure                       4        6.90%     0.663
CompressionProcessing        Birth           3 RecoveryResolution                 146        4.99%     1.037
CompressionProcessing        Birth           3 ExhaustionPersistence              192        6.56%     1.227
CompressionProcessing        Birth           3 CompressionProcessing             1247       42.59%     2.314
CompressionProcessing        Birth           3 NeutralProcessing                  921       31.45%     0.653
CompressionProcessing        Birth           3 ReassertionProcessing               75        2.56%     0.449
CompressionProcessing        Birth           3 DecayToNeutral                     103        3.52%     0.835
CompressionProcessing        Birth           3 DestructiveRotation                 42        1.43%     0.533
CompressionProcessing        Birth           3 ConstructiveEmergence                5        0.17%     0.725
CompressionProcessing        Birth           3 MixedStructure                     197        6.73%     0.647
CompressionProcessing        Growth          3 RecoveryResolution                  98        5.91%     1.228
CompressionProcessing        Growth          3 ExhaustionPersistence              112        6.75%     1.263
CompressionProcessing        Growth          3 CompressionProcessing              651       39.24%     2.132
CompressionProcessing        Growth          3 NeutralProcessing                  569       34.30%     0.712
CompressionProcessing        Growth          3 ReassertionProcessing               34        2.05%     0.359
CompressionProcessing        Growth          3 DecayToNeutral                      55        3.32%     0.787
CompressionProcessing        Growth          3 DestructiveRotation                 30        1.81%     0.673
CompressionProcessing        Growth          3 ConstructiveEmergence                1        0.06%     0.256
CompressionProcessing        Growth          3 MixedStructure                     109        6.57%     0.632
CompressionProcessing        Maturity        3 RecoveryResolution                  53        6.31%     1.312
CompressionProcessing        Maturity        3 ExhaustionPersistence               57        6.79%     1.270
CompressionProcessing        Maturity        3 CompressionProcessing              252       30.00%     1.630
CompressionProcessing        Maturity        3 NeutralProcessing                  286       34.05%     0.706
CompressionProcessing        Maturity        3 ReassertionProcessing               37        4.40%     0.772
CompressionProcessing        Maturity        3 DecayToNeutral                      47        5.60%     1.328
CompressionProcessing        Maturity        3 DestructiveRotation                 23        2.74%     1.018
CompressionProcessing        Maturity        3 ConstructiveEmergence                2        0.24%     1.011
CompressionProcessing        Maturity        3 MixedStructure                      83        9.88%     0.950
CompressionProcessing        Decay           3 RecoveryResolution                  27        5.11%     1.063
CompressionProcessing        Decay           3 ExhaustionPersistence               30        5.68%     1.063
CompressionProcessing        Decay           3 CompressionProcessing              151       28.60%     1.554
CompressionProcessing        Decay           3 NeutralProcessing                  192       36.36%     0.755
CompressionProcessing        Decay           3 ReassertionProcessing               29        5.49%     0.963
CompressionProcessing        Decay           3 DecayToNeutral                      23        4.36%     1.034
CompressionProcessing        Decay           3 DestructiveRotation                 18        3.41%     1.268
CompressionProcessing        Decay           3 MixedStructure                      58       10.98%     1.056
CompressionProcessing        Terminal        3 RecoveryResolution                  34        6.43%     1.336
CompressionProcessing        Terminal        3 ExhaustionPersistence               37        6.99%     1.309
CompressionProcessing        Terminal        3 CompressionProcessing              148       27.98%     1.520
CompressionProcessing        Terminal        3 NeutralProcessing                  183       34.59%     0.718
CompressionProcessing        Terminal        3 ReassertionProcessing               17        3.21%     0.563
CompressionProcessing        Terminal        3 DecayToNeutral                      32        6.05%     1.435
CompressionProcessing        Terminal        3 DestructiveRotation                 16        3.02%     1.125
CompressionProcessing        Terminal        3 MixedStructure                      62       11.72%     1.127
CompressionProcessing        Insufficient    3 ExhaustionPersistence                1       20.00%     3.743
CompressionProcessing        Insufficient    3 CompressionProcessing                1       20.00%     1.087
CompressionProcessing        Insufficient    3 NeutralProcessing                    2       40.00%     0.830
CompressionProcessing        Insufficient    3 DestructiveRotation                  1       20.00%     7.438
NeutralProcessing            Birth           3 RecoveryResolution                 155        2.73%     0.568
NeutralProcessing            Birth           3 ExhaustionPersistence              256        4.51%     0.845
NeutralProcessing            Birth           3 CompressionProcessing              750       13.22%     0.718
NeutralProcessing            Birth           3 NeutralProcessing                 3310       58.36%     1.211
NeutralProcessing            Birth           3 ReassertionProcessing              367        6.47%     1.134
NeutralProcessing            Birth           3 DecayToNeutral                     111        1.96%     0.464
NeutralProcessing            Birth           3 DestructiveRotation                 78        1.38%     0.511
NeutralProcessing            Birth           3 ConstructiveEmergence               17        0.30%     1.273
NeutralProcessing            Birth           3 MixedStructure                     628       11.07%     1.064
NeutralProcessing            Growth          3 RecoveryResolution                 133        2.68%     0.558
NeutralProcessing            Growth          3 ExhaustionPersistence              147        2.96%     0.555
NeutralProcessing            Growth          3 CompressionProcessing              346        6.98%     0.379
NeutralProcessing            Growth          3 NeutralProcessing                 3624       73.08%     1.516
NeutralProcessing            Growth          3 ReassertionProcessing              298        6.01%     1.054
NeutralProcessing            Growth          3 DestructiveRotation                 33        0.67%     0.247
NeutralProcessing            Growth          3 ConstructiveEmergence               11        0.22%     0.942
NeutralProcessing            Growth          3 MixedStructure                     367        7.40%     0.711
NeutralProcessing            Maturity        3 RecoveryResolution                  34        2.59%     0.539
NeutralProcessing            Maturity        3 ExhaustionPersistence               47        3.58%     0.670
NeutralProcessing            Maturity        3 CompressionProcessing              115        8.77%     0.476
NeutralProcessing            Maturity        3 NeutralProcessing                  873       66.54%     1.381
NeutralProcessing            Maturity        3 ReassertionProcessing               86        6.55%     1.149
NeutralProcessing            Maturity        3 DecayToNeutral                      24        1.83%     0.434
NeutralProcessing            Maturity        3 DestructiveRotation                 13        0.99%     0.369
NeutralProcessing            Maturity        3 ConstructiveEmergence                2        0.15%     0.648
NeutralProcessing            Maturity        3 MixedStructure                     118        8.99%     0.864
NeutralProcessing            Decay           3 RecoveryResolution                 114        2.80%     0.581
NeutralProcessing            Decay           3 ExhaustionPersistence              155        3.80%     0.712
NeutralProcessing            Decay           3 CompressionProcessing              422       10.35%     0.563
NeutralProcessing            Decay           3 NeutralProcessing                 2414       59.22%     1.229
NeutralProcessing            Decay           3 ReassertionProcessing              328        8.05%     1.411
NeutralProcessing            Decay           3 DecayToNeutral                     104        2.55%     0.605
NeutralProcessing            Decay           3 DestructiveRotation                 68        1.67%     0.620
NeutralProcessing            Decay           3 ConstructiveEmergence               14        0.34%     1.459
NeutralProcessing            Decay           3 MixedStructure                     457       11.21%     1.078
NeutralProcessing            Terminal        3 RecoveryResolution                  32        3.29%     0.684
NeutralProcessing            Terminal        3 ExhaustionPersistence               33        3.39%     0.635
NeutralProcessing            Terminal        3 CompressionProcessing              102       10.48%     0.570
NeutralProcessing            Terminal        3 NeutralProcessing                  617       63.41%     1.316
NeutralProcessing            Terminal        3 ReassertionProcessing               57        5.86%     1.027
NeutralProcessing            Terminal        3 DecayToNeutral                      22        2.26%     0.536
NeutralProcessing            Terminal        3 DestructiveRotation                 16        1.64%     0.612
NeutralProcessing            Terminal        3 MixedStructure                      94        9.66%     0.929
ReassertionProcessing        Terminal        3 RecoveryResolution                  38        1.90%     0.396
ReassertionProcessing        Terminal        3 ExhaustionPersistence               54        2.71%     0.506
ReassertionProcessing        Terminal        3 CompressionProcessing              232       11.62%     0.632
ReassertionProcessing        Terminal        3 NeutralProcessing                  724       36.27%     0.753
ReassertionProcessing        Terminal        3 ReassertionProcessing              308       15.43%     2.705
ReassertionProcessing        Terminal        3 DecayToNeutral                     148        7.41%     1.759
ReassertionProcessing        Terminal        3 DestructiveRotation                138        6.91%     2.571
ReassertionProcessing        Terminal        3 ConstructiveEmergence                3        0.15%     0.638
ReassertionProcessing        Terminal        3 MixedStructure                     351       17.59%     1.690
ReassertionProcessing        Insufficient    3 RecoveryResolution                   1        6.67%     1.386
ReassertionProcessing        Insufficient    3 ExhaustionPersistence                1        6.67%     1.248
ReassertionProcessing        Insufficient    3 CompressionProcessing                4       26.67%     1.449
ReassertionProcessing        Insufficient    3 NeutralProcessing                    2       13.33%     0.277
ReassertionProcessing        Insufficient    3 ReassertionProcessing                2       13.33%     2.338
ReassertionProcessing        Insufficient    3 DecayToNeutral                       2       13.33%     3.163
ReassertionProcessing        Insufficient    3 DestructiveRotation                  3       20.00%     7.438
DecayToNeutral               Birth           3 RecoveryResolution                  43        2.90%     0.602
DecayToNeutral               Birth           3 ExhaustionPersistence               71        4.78%     0.895
DecayToNeutral               Birth           3 CompressionProcessing              211       14.21%     0.772
DecayToNeutral               Birth           3 NeutralProcessing                  667       44.92%     0.932
DecayToNeutral               Birth           3 ReassertionProcessing               85        5.72%     1.004
DecayToNeutral               Birth           3 DecayToNeutral                      70        4.71%     1.118
DecayToNeutral               Birth           3 DestructiveRotation                 36        2.42%     0.902
DecayToNeutral               Birth           3 ConstructiveEmergence                8        0.54%     2.288
DecayToNeutral               Birth           3 MixedStructure                     294       19.80%     1.903
DestructiveRotation          Maturity        3 RecoveryResolution                   7        7.00%     1.455
DestructiveRotation          Maturity        3 ExhaustionPersistence                6        6.00%     1.123
DestructiveRotation          Maturity        3 CompressionProcessing               15       15.00%     0.815
DestructiveRotation          Maturity        3 NeutralProcessing                   35       35.00%     0.726
DestructiveRotation          Maturity        3 ReassertionProcessing                6        6.00%     1.052
DestructiveRotation          Maturity        3 DecayToNeutral                       9        9.00%     2.135
DestructiveRotation          Maturity        3 DestructiveRotation                 11       11.00%     4.091
DestructiveRotation          Maturity        3 MixedStructure                      11       11.00%     1.057
DestructiveRotation          Terminal        3 RecoveryResolution                  43        5.14%     1.069
DestructiveRotation          Terminal        3 ExhaustionPersistence               41        4.90%     0.918
DestructiveRotation          Terminal        3 CompressionProcessing              126       15.07%     0.819
DestructiveRotation          Terminal        3 NeutralProcessing                  282       33.73%     0.700
DestructiveRotation          Terminal        3 ReassertionProcessing               65        7.78%     1.363
DestructiveRotation          Terminal        3 DecayToNeutral                      94       11.24%     2.668
DestructiveRotation          Terminal        3 DestructiveRotation                 59        7.06%     2.625
DestructiveRotation          Terminal        3 ConstructiveEmergence                3        0.36%     1.524
DestructiveRotation          Terminal        3 MixedStructure                     123       14.71%     1.414
DestructiveRotation          Insufficient    3 RecoveryResolution                   1        8.33%     1.732
DestructiveRotation          Insufficient    3 CompressionProcessing                2       16.67%     0.906
DestructiveRotation          Insufficient    3 NeutralProcessing                    4       33.33%     0.692
DestructiveRotation          Insufficient    3 DecayToNeutral                       3       25.00%     5.932
DestructiveRotation          Insufficient    3 DestructiveRotation                  1        8.33%     3.099
DestructiveRotation          Insufficient    3 MixedStructure                       1        8.33%     0.801
ConstructiveEmergence        Birth           3 RecoveryResolution                   4        4.82%     1.002
ConstructiveEmergence        Birth           3 ExhaustionPersistence                1        1.20%     0.225
ConstructiveEmergence        Birth           3 CompressionProcessing               13       15.66%     0.851
ConstructiveEmergence        Birth           3 NeutralProcessing                   36       43.37%     0.900
ConstructiveEmergence        Birth           3 DecayToNeutral                       5        6.02%     1.429
ConstructiveEmergence        Birth           3 DestructiveRotation                  4        4.82%     1.792
ConstructiveEmergence        Birth           3 MixedStructure                      20       24.10%     2.316
MixedStructure               Growth          3 RecoveryResolution                  20        5.63%     1.171
MixedStructure               Growth          3 ExhaustionPersistence               20        5.63%     1.054
MixedStructure               Growth          3 CompressionProcessing               60       16.90%     0.918
MixedStructure               Growth          3 NeutralProcessing                  126       35.49%     0.736
MixedStructure               Growth          3 ReassertionProcessing                7        1.97%     0.346
MixedStructure               Growth          3 DecayToNeutral                      51       14.37%     3.409
MixedStructure               Growth          3 DestructiveRotation                 12        3.38%     1.257
MixedStructure               Growth          3 ConstructiveEmergence                2        0.56%     2.393
MixedStructure               Growth          3 MixedStructure                      57       16.06%     1.543
MixedStructure               Maturity        3 RecoveryResolution                   5       11.90%     2.475
MixedStructure               Maturity        3 ExhaustionPersistence                4        9.52%     1.782
MixedStructure               Maturity        3 CompressionProcessing                2        4.76%     0.259
MixedStructure               Maturity        3 NeutralProcessing                   17       40.48%     0.840
MixedStructure               Maturity        3 ReassertionProcessing                1        2.38%     0.417
MixedStructure               Maturity        3 DecayToNeutral                       3        7.14%     1.695
MixedStructure               Maturity        3 DestructiveRotation                  3        7.14%     2.656
MixedStructure               Maturity        3 MixedStructure                       7       16.67%     1.602
MixedStructure               Terminal        3 RecoveryResolution                 193        5.91%     1.230
MixedStructure               Terminal        3 ExhaustionPersistence              202        6.19%     1.159
MixedStructure               Terminal        3 CompressionProcessing              524       16.06%     0.873
MixedStructure               Terminal        3 NeutralProcessing                 1102       33.77%     0.701
MixedStructure               Terminal        3 ReassertionProcessing              201        6.16%     1.080
MixedStructure               Terminal        3 DecayToNeutral                     356       10.91%     2.589
MixedStructure               Terminal        3 DestructiveRotation                122        3.74%     1.391
MixedStructure               Terminal        3 ConstructiveEmergence               12        0.37%     1.562
MixedStructure               Terminal        3 MixedStructure                     551       16.89%     1.623
MixedStructure               Insufficient    3 ExhaustionPersistence                1       11.11%     2.079
MixedStructure               Insufficient    3 NeutralProcessing                    4       44.44%     0.922
MixedStructure               Insufficient    3 DecayToNeutral                       1       11.11%     2.636
MixedStructure               Insufficient    3 MixedStructure                       3       33.33%     3.204
RecoveryResolution           Birth           5 RecoveryResolution                  80        7.41%     1.541
RecoveryResolution           Birth           5 ExhaustionPersistence               67        6.21%     1.162
RecoveryResolution           Birth           5 CompressionProcessing              268       24.84%     1.349
RecoveryResolution           Birth           5 NeutralProcessing                  452       41.89%     0.869
RecoveryResolution           Birth           5 ReassertionProcessing               26        2.41%     0.422
RecoveryResolution           Birth           5 DecayToNeutral                      46        4.26%     1.011
RecoveryResolution           Birth           5 DestructiveRotation                 33        3.06%     1.137
RecoveryResolution           Birth           5 ConstructiveEmergence                1        0.09%     0.394
RecoveryResolution           Birth           5 MixedStructure                     106        9.82%     0.944
RecoveryResolution           Maturity        5 RecoveryResolution                  26        7.67%     1.594
RecoveryResolution           Maturity        5 ExhaustionPersistence               18        5.31%     0.994
RecoveryResolution           Maturity        5 CompressionProcessing               81       23.89%     1.298
RecoveryResolution           Maturity        5 NeutralProcessing                  136       40.12%     0.832
RecoveryResolution           Maturity        5 ReassertionProcessing               13        3.83%     0.672
RecoveryResolution           Maturity        5 DecayToNeutral                      17        5.01%     1.190
RecoveryResolution           Maturity        5 DestructiveRotation                 13        3.83%     1.426
RecoveryResolution           Maturity        5 ConstructiveEmergence                2        0.59%     2.506
RecoveryResolution           Maturity        5 MixedStructure                      33        9.73%     0.936
RecoveryResolution           Terminal        5 RecoveryResolution                  21        8.37%     1.739
RecoveryResolution           Terminal        5 ExhaustionPersistence               20        7.97%     1.491
RecoveryResolution           Terminal        5 CompressionProcessing               56       22.31%     1.212
RecoveryResolution           Terminal        5 NeutralProcessing                  104       41.43%     0.860
RecoveryResolution           Terminal        5 ReassertionProcessing               10        3.98%     0.698
RecoveryResolution           Terminal        5 DecayToNeutral                      14        5.58%     1.323
RecoveryResolution           Terminal        5 DestructiveRotation                  5        1.99%     0.741
RecoveryResolution           Terminal        5 MixedStructure                      21        8.37%     0.804
RecoveryResolution           Insufficient    5 ExhaustionPersistence                1        3.70%     0.693
RecoveryResolution           Insufficient    5 CompressionProcessing                8       29.63%     1.610
RecoveryResolution           Insufficient    5 NeutralProcessing                   16       59.26%     1.230
RecoveryResolution           Insufficient    5 DestructiveRotation                  1        3.70%     1.377
RecoveryResolution           Insufficient    5 MixedStructure                       1        3.70%     0.356
ExhaustionPersistence        Birth           5 RecoveryResolution                  70        6.27%     1.304
ExhaustionPersistence        Birth           5 ExhaustionPersistence               87        7.80%     1.459
ExhaustionPersistence        Birth           5 CompressionProcessing              300       26.88%     1.460
ExhaustionPersistence        Birth           5 NeutralProcessing                  451       40.41%     0.839
ExhaustionPersistence        Birth           5 ReassertionProcessing               24        2.15%     0.377
ExhaustionPersistence        Birth           5 DecayToNeutral                      50        4.48%     1.063
ExhaustionPersistence        Birth           5 DestructiveRotation                 26        2.33%     0.866
ExhaustionPersistence        Birth           5 ConstructiveEmergence                5        0.45%     1.903
ExhaustionPersistence        Birth           5 MixedStructure                     103        9.23%     0.887
ExhaustionPersistence        Maturity        5 RecoveryResolution                  22        7.24%     1.504
ExhaustionPersistence        Maturity        5 ExhaustionPersistence               30        9.87%     1.847
ExhaustionPersistence        Maturity        5 CompressionProcessing               74       24.34%     1.323
ExhaustionPersistence        Maturity        5 NeutralProcessing                  121       39.80%     0.826
ExhaustionPersistence        Maturity        5 ReassertionProcessing                8        2.63%     0.461
ExhaustionPersistence        Maturity        5 DecayToNeutral                      15        4.93%     1.171
ExhaustionPersistence        Maturity        5 DestructiveRotation                 10        3.29%     1.223
ExhaustionPersistence        Maturity        5 ConstructiveEmergence                1        0.33%     1.397
ExhaustionPersistence        Maturity        5 MixedStructure                      23        7.57%     0.727
ExhaustionPersistence        Decay           5 RecoveryResolution                  20        4.93%     1.024
ExhaustionPersistence        Decay           5 ExhaustionPersistence               23        5.67%     1.060
ExhaustionPersistence        Decay           5 CompressionProcessing               84       20.69%     1.124
ExhaustionPersistence        Decay           5 NeutralProcessing                  188       46.31%     0.961
ExhaustionPersistence        Decay           5 ReassertionProcessing               18        4.43%     0.777
ExhaustionPersistence        Decay           5 DecayToNeutral                      26        6.40%     1.519
ExhaustionPersistence        Decay           5 DestructiveRotation                 17        4.19%     1.557
ExhaustionPersistence        Decay           5 ConstructiveEmergence                1        0.25%     1.046
ExhaustionPersistence        Decay           5 MixedStructure                      29        7.14%     0.687
ExhaustionPersistence        Terminal        5 RecoveryResolution                   3        5.17%     1.075
ExhaustionPersistence        Terminal        5 ExhaustionPersistence                4        6.90%     1.291
ExhaustionPersistence        Terminal        5 CompressionProcessing               10       17.24%     0.937
ExhaustionPersistence        Terminal        5 NeutralProcessing                   32       55.17%     1.145
ExhaustionPersistence        Terminal        5 DecayToNeutral                       3        5.17%     1.227
ExhaustionPersistence        Terminal        5 DestructiveRotation                  2        3.45%     1.282
ExhaustionPersistence        Terminal        5 MixedStructure                       4        6.90%     0.663
CompressionProcessing        Birth           5 RecoveryResolution                 170        5.81%     1.207
CompressionProcessing        Birth           5 ExhaustionPersistence              194        6.63%     1.240
CompressionProcessing        Birth           5 CompressionProcessing              624       21.31%     1.158
CompressionProcessing        Birth           5 NeutralProcessing                 1332       45.49%     0.944
CompressionProcessing        Birth           5 ReassertionProcessing              117        4.00%     0.701
CompressionProcessing        Birth           5 DecayToNeutral                     122        4.17%     0.989
CompressionProcessing        Birth           5 DestructiveRotation                 74        2.53%     0.940
CompressionProcessing        Birth           5 ConstructiveEmergence                6        0.20%     0.870
CompressionProcessing        Birth           5 MixedStructure                     289        9.87%     0.949
CompressionProcessing        Growth          5 RecoveryResolution                 102        6.15%     1.278
CompressionProcessing        Growth          5 ExhaustionPersistence               96        5.79%     1.083
CompressionProcessing        Growth          5 CompressionProcessing              372       22.42%     1.218
CompressionProcessing        Growth          5 NeutralProcessing                  756       45.57%     0.946
CompressionProcessing        Growth          5 ReassertionProcessing               76        4.58%     0.803
CompressionProcessing        Growth          5 DecayToNeutral                      65        3.92%     0.930
CompressionProcessing        Growth          5 DestructiveRotation                 44        2.65%     0.986
CompressionProcessing        Growth          5 ConstructiveEmergence                1        0.06%     0.256
CompressionProcessing        Growth          5 MixedStructure                     147        8.86%     0.852
CompressionProcessing        Maturity        5 RecoveryResolution                  62        7.38%     1.534
CompressionProcessing        Maturity        5 ExhaustionPersistence               47        5.60%     1.047
CompressionProcessing        Maturity        5 CompressionProcessing              187       22.26%     1.209
CompressionProcessing        Maturity        5 NeutralProcessing                  369       43.93%     0.911
CompressionProcessing        Maturity        5 ReassertionProcessing               35        4.17%     0.730
CompressionProcessing        Maturity        5 DecayToNeutral                      33        3.93%     0.932
CompressionProcessing        Maturity        5 DestructiveRotation                 30        3.57%     1.328
CompressionProcessing        Maturity        5 MixedStructure                      77        9.17%     0.881
CompressionProcessing        Decay           5 RecoveryResolution                  39        7.39%     1.535
CompressionProcessing        Decay           5 ExhaustionPersistence               33        6.25%     1.170
CompressionProcessing        Decay           5 CompressionProcessing              107       20.27%     1.101
CompressionProcessing        Decay           5 NeutralProcessing                  246       46.59%     0.967
CompressionProcessing        Decay           5 ReassertionProcessing               25        4.73%     0.830
CompressionProcessing        Decay           5 DecayToNeutral                      24        4.55%     1.078
CompressionProcessing        Decay           5 DestructiveRotation                 13        2.46%     0.916
CompressionProcessing        Decay           5 MixedStructure                      41        7.77%     0.747
CompressionProcessing        Terminal        5 RecoveryResolution                  33        6.24%     1.297
CompressionProcessing        Terminal        5 ExhaustionPersistence               46        8.70%     1.627
CompressionProcessing        Terminal        5 CompressionProcessing              109       20.60%     1.119
CompressionProcessing        Terminal        5 NeutralProcessing                  225       42.53%     0.883
CompressionProcessing        Terminal        5 ReassertionProcessing               27        5.10%     0.895
CompressionProcessing        Terminal        5 DecayToNeutral                      19        3.59%     0.852
CompressionProcessing        Terminal        5 DestructiveRotation                 13        2.46%     0.914
CompressionProcessing        Terminal        5 ConstructiveEmergence                2        0.38%     1.606
CompressionProcessing        Terminal        5 MixedStructure                      55       10.40%     1.000
CompressionProcessing        Insufficient    5 CompressionProcessing                1       20.00%     1.087
CompressionProcessing        Insufficient    5 NeutralProcessing                    3       60.00%     1.245
CompressionProcessing        Insufficient    5 DestructiveRotation                  1       20.00%     7.438
NeutralProcessing            Birth           5 RecoveryResolution                 230        4.06%     0.843
NeutralProcessing            Birth           5 ExhaustionPersistence              274        4.83%     0.904
NeutralProcessing            Birth           5 CompressionProcessing             1011       17.83%     0.969
NeutralProcessing            Birth           5 NeutralProcessing                 2739       48.30%     1.002
NeutralProcessing            Birth           5 ReassertionProcessing              379        6.68%     1.172
NeutralProcessing            Birth           5 DecayToNeutral                     250        4.41%     1.046
NeutralProcessing            Birth           5 DestructiveRotation                156        2.75%     1.023
NeutralProcessing            Birth           5 ConstructiveEmergence               14        0.25%     1.049
NeutralProcessing            Birth           5 MixedStructure                     618       10.90%     1.048
NeutralProcessing            Growth          5 RecoveryResolution                 198        3.99%     0.830
NeutralProcessing            Growth          5 ExhaustionPersistence              228        4.60%     0.860
NeutralProcessing            Growth          5 CompressionProcessing              764       15.41%     0.837
NeutralProcessing            Growth          5 NeutralProcessing                 2506       50.53%     1.049
NeutralProcessing            Growth          5 ReassertionProcessing              358        7.22%     1.266
NeutralProcessing            Growth          5 DecayToNeutral                     192        3.87%     0.919
NeutralProcessing            Growth          5 DestructiveRotation                145        2.92%     1.087
NeutralProcessing            Growth          5 ConstructiveEmergence               12        0.24%     1.028
NeutralProcessing            Growth          5 MixedStructure                     556       11.21%     1.078
NeutralProcessing            Maturity        5 RecoveryResolution                  27        2.06%     0.428
NeutralProcessing            Maturity        5 ExhaustionPersistence               62        4.73%     0.884
NeutralProcessing            Maturity        5 CompressionProcessing              202       15.40%     0.836
NeutralProcessing            Maturity        5 NeutralProcessing                  690       52.59%     1.091
NeutralProcessing            Maturity        5 ReassertionProcessing              104        7.93%     1.390
NeutralProcessing            Maturity        5 DecayToNeutral                      46        3.51%     0.832
NeutralProcessing            Maturity        5 DestructiveRotation                 40        3.05%     1.134
NeutralProcessing            Maturity        5 ConstructiveEmergence                5        0.38%     1.619
NeutralProcessing            Maturity        5 MixedStructure                     136       10.37%     0.997
NeutralProcessing            Decay           5 RecoveryResolution                 177        4.34%     0.903
NeutralProcessing            Decay           5 ExhaustionPersistence              194        4.76%     0.891
NeutralProcessing            Decay           5 CompressionProcessing              583       14.30%     0.777
NeutralProcessing            Decay           5 NeutralProcessing                 2097       51.45%     1.067
NeutralProcessing            Decay           5 ReassertionProcessing              286        7.02%     1.230
NeutralProcessing            Decay           5 DecayToNeutral                     160        3.93%     0.931
NeutralProcessing            Decay           5 DestructiveRotation                121        2.97%     1.104
NeutralProcessing            Decay           5 ConstructiveEmergence                8        0.20%     0.834
NeutralProcessing            Decay           5 MixedStructure                     450       11.04%     1.061
NeutralProcessing            Terminal        5 RecoveryResolution                  47        4.83%     1.004
NeutralProcessing            Terminal        5 ExhaustionPersistence               46        4.73%     0.885
NeutralProcessing            Terminal        5 CompressionProcessing              166       17.06%     0.927
NeutralProcessing            Terminal        5 NeutralProcessing                  512       52.62%     1.092
NeutralProcessing            Terminal        5 ReassertionProcessing               47        4.83%     0.847
NeutralProcessing            Terminal        5 DecayToNeutral                      40        4.11%     0.975
NeutralProcessing            Terminal        5 DestructiveRotation                 18        1.85%     0.688
NeutralProcessing            Terminal        5 ConstructiveEmergence                2        0.21%     0.873
NeutralProcessing            Terminal        5 MixedStructure                      95        9.76%     0.939
ReassertionProcessing        Terminal        5 RecoveryResolution                  68        3.41%     0.708
ReassertionProcessing        Terminal        5 ExhaustionPersistence               81        4.06%     0.759
ReassertionProcessing        Terminal        5 CompressionProcessing              288       14.43%     0.784
ReassertionProcessing        Terminal        5 NeutralProcessing                 1063       53.26%     1.105
ReassertionProcessing        Terminal        5 ReassertionProcessing              133        6.66%     1.168
ReassertionProcessing        Terminal        5 DecayToNeutral                      88        4.41%     1.046
ReassertionProcessing        Terminal        5 DestructiveRotation                 43        2.15%     0.801
ReassertionProcessing        Terminal        5 ConstructiveEmergence                5        0.25%     1.064
ReassertionProcessing        Terminal        5 MixedStructure                     227       11.37%     1.093
ReassertionProcessing        Insufficient    5 CompressionProcessing                4       26.67%     1.449
ReassertionProcessing        Insufficient    5 NeutralProcessing                    8       53.33%     1.107
ReassertionProcessing        Insufficient    5 DecayToNeutral                       1        6.67%     1.582
ReassertionProcessing        Insufficient    5 MixedStructure                       2       13.33%     1.282
DecayToNeutral               Birth           5 RecoveryResolution                  71        4.78%     0.994
DecayToNeutral               Birth           5 ExhaustionPersistence               81        5.45%     1.021
DecayToNeutral               Birth           5 CompressionProcessing              258       17.37%     0.944
DecayToNeutral               Birth           5 NeutralProcessing                  681       45.86%     0.952
DecayToNeutral               Birth           5 ReassertionProcessing              100        6.73%     1.181
DecayToNeutral               Birth           5 DecayToNeutral                      71        4.78%     1.134
DecayToNeutral               Birth           5 DestructiveRotation                 48        3.23%     1.202
DecayToNeutral               Birth           5 ConstructiveEmergence                3        0.20%     0.858
DecayToNeutral               Birth           5 MixedStructure                     172       11.58%     1.114
DestructiveRotation          Maturity        5 RecoveryResolution                   3        3.00%     0.624
DestructiveRotation          Maturity        5 ExhaustionPersistence                3        3.00%     0.561
