APVA Sequence Evolution Study v0.1
==================================
Input: Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35151
SequenceStage logic reuses the crude proxy from APVA_PostBreakoutOOE_10.py.
This is not true PVA OOE.
Same-bar IB/SYM and lateral breakouts create parallel source-specific segments.
Transition-rate lookahead: next 5 bars of the same segment.
Ranked-condition minimum Count: 30

Diagnostics
===========
Total segments:         3181
IBSYM segments:         1191
Lateral segments:       1990
Up segments:            1561
Down segments:          1620
Average segment length: 10.18
Median segment length:  9.00
Max segment length:     20
Zero-length segments:   119

Segment Ledger
==============
SegmentId Type     Direction   StartBar     EndBar   Length  MaxStage  ToStage1  ToStage2  ToStage3  ToStage4
      158 IBSYM    Up              1605       1612        8         3         1         4         6        NA
      159 Lateral  Up              1605       1612        8         3         1         4         6        NA
      160 Lateral  Down            1614       1626       13         2         4         8        NA        NA
      161 Lateral  Up              1628       1642       15         4         3         7         8         9
      162 IBSYM    Down            1644       1648        5         1         2        NA        NA        NA
      163 Lateral  Down            1644       1648        5         1         2        NA        NA        NA
      164 IBSYM    Down            1650       1657        8         2         2         7        NA        NA
      165 Lateral  Down            1650       1657        8         2         2         7        NA        NA
      166 IBSYM    Down            1659       1660        2         0        NA        NA        NA        NA
      167 IBSYM    Up              1662       1663        2         1         2        NA        NA        NA
      168 Lateral  Up              1665       1674       10         2         1         7        NA        NA
      169 Lateral  Down            1676       1694       19         4         3        11        13        19
      170 Lateral  Down            1696       1698        3         1         3        NA        NA        NA
      171 IBSYM    Down            1700       1709       10         3         1         2         7        NA
      172 IBSYM    Up              1711       1714        4         1         4        NA        NA        NA
      173 Lateral  Up              1711       1714        4         1         4        NA        NA        NA
      174 IBSYM    Up              1716       1721        6         2         1         5        NA        NA
      175 IBSYM    Down            1723       1730        8         1         2        NA        NA        NA
      176 Lateral  Up              1732       1739        8         1         1        NA        NA        NA
      177 IBSYM    Down            1741       1760       20         3         1         3        19        NA
      178 Lateral  Down            1741       1760       20         3         1         3        19        NA
      179 Lateral  Down            1764       1767        4         2         1         4        NA        NA
      180 Lateral  Up              1769       1780       12         2         1         3        NA        NA
      181 Lateral  Up              1782       1801       20         4         2         6         8        18
      182 IBSYM    Up              1811       1821       11         1         5        NA        NA        NA
      183 Lateral  Up              1811       1821       11         1         5        NA        NA        NA
      184 IBSYM    Up              1823       1827        5         4         2         3         4         5
      185 Lateral  Down            1829       1837        9         3         1         6         8        NA
      186 Lateral  Down            1839       1845        7         3         2         3         6        NA
      187 Lateral  Up              1847       1846        0         0        NA        NA        NA        NA
      188 IBSYM    Up              1848       1867       20         4         3         7         8        10
      189 Lateral  Down            1886       1905       20         4         1         5         7        11
      190 Lateral  Down            1931       1945       15         4         1         5         6         9
      191 IBSYM    Up              1947       1966       20         4         4         7        11        13
      192 Lateral  Up              1947       1966       20         4         4         7        11        13
      193 Lateral  Up              1971       1975        5         0        NA        NA        NA        NA
      194 Lateral  Down            1977       1986       10         2         3         5        NA        NA
      195 Lateral  Up              1988       2000       13         4         1         3         9        10
      196 IBSYM    Up              2002       2008        7         2         2         6        NA        NA
      197 Lateral  Up              2010       2011        2         0        NA        NA        NA        NA
      198 IBSYM    Up              2013       2021        9         4         1         2         3         6
      199 Lateral  Up              2013       2021        9         4         1         2         3         6
      200 Lateral  Down            2023       2042       20         4         3         6        11        12
      201 Lateral  Up              2045       2064       20         4         1         6         7        12
      202 IBSYM    Up              2080       2099       20         4         4         6         9        10
      203 Lateral  Up              2080       2099       20         4         4         6         9        10
      204 IBSYM    Down            2101       2109        9         2         1         4        NA        NA
      205 Lateral  Down            2101       2109        9         2         1         4        NA        NA
      206 Lateral  Up              2111       2115        5         0        NA        NA        NA        NA
      207 IBSYM    Down            2117       2136       20         4         2         4         5         8
      208 Lateral  Down            2117       2136       20         4         2         4         5         8
      209 IBSYM    Up              2156       2170       15         4         2         6         7         8
      210 Lateral  Up              2172       2191       20         4         1         2         5         6
      211 IBSYM    Up              2209       2213        5         1         2        NA        NA        NA
      212 IBSYM    Up              2215       2228       14         4         1        10        13        14
      213 Lateral  Up              2215       2228       14         4         1        10        13        14
      214 Lateral  Up              2230       2233        4         1         1        NA        NA        NA
      215 IBSYM    Down            2235       2244       10         4         1         5         9        10
      216 Lateral  Down            2246       2252        7         4         1         2         3         4
      217 IBSYM    Down            2254       2273       20         4         1         5         9        12
      218 Lateral  Down            2254       2273       20         4         1         5         9        12
      219 Lateral  Down            2289       2298       10         2         2         7        NA        NA
      220 Lateral  Up              2300       2301        2         1         2        NA        NA        NA
      221 Lateral  Up              2303       2322       20         4         1        10        11        13
      222 IBSYM    Down            2347       2355        9         3         1         2         9        NA
      223 Lateral  Down            2347       2355        9         3         1         2         9        NA
      224 Lateral  Up              2357       2362        6         3         3         5         6        NA
      225 Lateral  Down            2364       2378       15         3         3         8        15        NA
      226 Lateral  Up              2380       2396       17         4         1         2         7         9
      227 Lateral  Down            2398       2415       18         4         2         3         4        12
      228 Lateral  Down            2417       2431       15         4         6         7         8        11
      229 IBSYM    Up              2433       2435        3         0        NA        NA        NA        NA
      230 IBSYM    Up              2437       2446       10         3         2         3         6        NA
      231 Lateral  Up              2437       2446       10         3         2         3         6        NA
      232 IBSYM    Down            2448       2467       20         3         1         3        15        NA
      233 Lateral  Down            2448       2467       20         3         1         3        15        NA
      234 IBSYM    Down            2470       2479       10         1         1        NA        NA        NA
      235 Lateral  Down            2470       2479       10         1         1        NA        NA        NA
      236 IBSYM    Down            2481       2494       14         4         2         3         8         9
      237 Lateral  Down            2481       2494       14         4         2         3         8         9
      238 Lateral  Up              2496       2504        9         4         2         4         7         9
      239 Lateral  Down            2506       2509        4         2         2         4        NA        NA
      240 Lateral  Up              2511       2525       15         4         1         4         7         8
      241 IBSYM    Up              2527       2530        4         1         3        NA        NA        NA
      242 IBSYM    Down            2532       2542       11         2         8         9        NA        NA
      243 Lateral  Down            2544       2553       10         4         2         3         4         6
      244 Lateral  Down            2555       2557        3         0        NA        NA        NA        NA
      245 IBSYM    Up              2559       2565        7         1         3        NA        NA        NA
      246 Lateral  Up              2559       2565        7         1         3        NA        NA        NA
      247 Lateral  Up              2567       2586       20         4         2         4        10        11
      248 Lateral  Down            2591       2599        9         1         1        NA        NA        NA
      249 Lateral  Down            2601       2608        8         3         1         3         4        NA
      250 Lateral  Down            2610       2629       20         4         2         3        12        16
      251 IBSYM    Up              2631       2635        5         1         4        NA        NA        NA
      252 Lateral  Up              2631       2635        5         1         4        NA        NA        NA
      253 IBSYM    Up              2637       2639        3         0        NA        NA        NA        NA
      254 Lateral  Up              2637       2639        3         0        NA        NA        NA        NA
      255 IBSYM    Down            2641       2640        0         0        NA        NA        NA        NA
      256 Lateral  Down            2642       2646        5         1         3        NA        NA        NA
      257 IBSYM    Down            2648       2654        7         1         6        NA        NA        NA
      258 Lateral  Down            2648       2654        7         1         6        NA        NA        NA
      259 IBSYM    Down            2656       2675       20         4         4         8        17        19
      260 Lateral  Down            2656       2675       20         4         4         8        17        19
      261 IBSYM    Down            2693       2701        9         3         1         5         9        NA
      262 Lateral  Down            2693       2701        9         3         1         5         9        NA
      263 Lateral  Up              2703       2716       14         2         1         9        NA        NA
      264 Lateral  Up              2718       2737       20         4         4         5         6        12
      265 Lateral  Up              2749       2751        3         0        NA        NA        NA        NA
      266 IBSYM    Down            2753       2769       17         4         1         2         8        12
      267 Lateral  Down            2753       2769       17         4         1         2         8        12
      268 IBSYM    Down            2771       2770        0         0        NA        NA        NA        NA
      269 Lateral  Down            2772       2791       20         3         1        10        16        NA
      270 IBSYM    Down            2798       2801        4         3         1         2         3        NA
      271 Lateral  Up              2803       2822       20         4         2         3         4         6
      272 Lateral  Up              2825       2829        5         1         2        NA        NA        NA
      273 IBSYM    Down            2831       2842       12         2         6         8        NA        NA
      274 Lateral  Down            2831       2842       12         2         6         8        NA        NA
      275 IBSYM    Down            2844       2843        0         0        NA        NA        NA        NA
      276 Lateral  Down            2845       2864       20         4         3         4        14        16
      277 Lateral  Down            2879       2891       13         2         4        12        NA        NA
      278 Lateral  Up              2893       2911       19         2         2         4        NA        NA
      279 IBSYM    Down            2913       2912        0         0        NA        NA        NA        NA
      280 Lateral  Up              2914       2932       19         4         2         6         8        11
      281 IBSYM    Up              2934       2953       20         4         3         4         6         9
      282 Lateral  Up              2934       2953       20         4         3         4         6         9
      283 IBSYM    Up              2967       2968        2         0        NA        NA        NA        NA
      284 Lateral  Down            2970       2977        8         3         1         4         8        NA
      285 IBSYM    Down            2979       2981        3         1         1        NA        NA        NA
      286 Lateral  Down            2979       2981        3         1         1        NA        NA        NA
      287 Lateral  Down            2983       2989        7         2         1         2        NA        NA
      288 IBSYM    Down            2991       3005       15         3         1         8        15        NA
      289 Lateral  Down            2991       3005       15         3         1         8        15        NA
      290 IBSYM    Up              3007       3025       19         4         1        10        14        16
      291 Lateral  Up              3027       3046       20         4         2         4        12        14
      292 IBSYM    Up              3048       3061       14         4         1         3         6         8
      293 Lateral  Up              3048       3061       14         4         1         3         6         8
      294 IBSYM    Down            3063       3075       13         4         2         3        11        12
      295 Lateral  Down            3063       3075       13         4         2         3        11        12
      296 IBSYM    Up              3077       3081        5         2         3         4        NA        NA
      297 Lateral  Up              3077       3081        5         2         3         4        NA        NA
      298 Lateral  Up              3083       3094       12         4         1         5         7        10
      299 IBSYM    Down            3096       3099        4         0        NA        NA        NA        NA
      300 Lateral  Up              3101       3104        4         3         1         2         4        NA
      301 IBSYM    Down            3106       3105        0         0        NA        NA        NA        NA
      302 Lateral  Down            3107       3126       20         4         1         2         9        12
      303 Lateral  Up              3144       3145        2         1         2        NA        NA        NA
      304 Lateral  Up              3147       3148        2         0        NA        NA        NA        NA
      305 Lateral  Down            3150       3152        3         1         1        NA        NA        NA
      306 Lateral  Up              3154       3161        8         4         4         5         7         8
      307 Lateral  Up              3163       3180       18         4         2         4         7        13
      308 IBSYM    Down            3182       3182        1         1         1        NA        NA        NA
      309 Lateral  Down            3184       3203       20         4         8        11        16        20
      310 IBSYM    Down            3206       3208        3         2         1         2        NA        NA
      311 Lateral  Up              3210       3223       14         4         4         6         8        10
      312 IBSYM    Up              3225       3244       20         4         2         5         6        17
      313 Lateral  Up              3225       3244       20         4         2         5         6        17
      314 IBSYM    Up              3252       3256        5         3         1         3         5        NA
      315 IBSYM    Up              3258       3277       20         2        12        18        NA        NA
      316 IBSYM    Up              3308       3318       11         4         1         3         9        10
      317 IBSYM    Up              3320       3330       11         1         8        NA        NA        NA
      318 Lateral  Up              3320       3330       11         1         8        NA        NA        NA
      319 Lateral  Up              3332       3346       15         4         1         5         9        15
      320 IBSYM    Down            3348       3356        9         2         1         8        NA        NA
      321 Lateral  Down            3348       3356        9         2         1         8        NA        NA
      322 Lateral  Down            3358       3366        9         2         3         4        NA        NA
      323 Lateral  Up              3368       3385       18         4         5         7        12        13
      324 IBSYM    Down            3387       3391        5         2         2         4        NA        NA
      325 Lateral  Down            3387       3391        5         2         2         4        NA        NA
      326 IBSYM    Down            3393       3393        1         0        NA        NA        NA        NA
      327 Lateral  Up              3395       3404       10         1         7        NA        NA        NA
      328 IBSYM    Down            3406       3425       20         4         1         3         7        10
      329 Lateral  Down            3406       3425       20         4         1         3         7        10
      330 Lateral  Down            3441       3460       20         4         2         4        11        17
      331 IBSYM    Up              3477       3476        0         0        NA        NA        NA        NA
      332 Lateral  Up              3478       3490       13         4         1         2         3         5
      333 Lateral  Up              3492       3511       20         4         2         3         5         6
      334 Lateral  Up              3555       3566       12         3         1         3        11        NA
      335 Lateral  Down            3568       3587       20         4         6         8        10        15
      336 IBSYM    Up              3606       3613        8         1         4        NA        NA        NA
      337 Lateral  Up              3606       3613        8         1         4        NA        NA        NA
      338 IBSYM    Down            3615       3627       13         3         1         2         9        NA
      339 Lateral  Down            3615       3627       13         3         1         2         9        NA
      340 IBSYM    Up              3629       3643       15         4         4         9        10        13
      341 Lateral  Up              3629       3643       15         4         4         9        10        13
      342 IBSYM    Down            3645       3651        7         1         6        NA        NA        NA
      343 Lateral  Down            3645       3651        7         1         6        NA        NA        NA
      344 IBSYM    Up              3653       3668       16         3         3        10        12        NA
      345 Lateral  Up              3653       3668       16         3         3        10        12        NA
      346 IBSYM    Up              3670       3689       20         4         1         2         4         6
      347 Lateral  Up              3670       3689       20         4         1         2         4         6
      348 Lateral  Down            3710       3714        5         1         1        NA        NA        NA
      349 IBSYM    Up              3716       3735       20         4         1         3         4         5
      350 Lateral  Up              3716       3735       20         4         1         3         4         5
      351 IBSYM    Up              3756       3755        0         0        NA        NA        NA        NA
      352 Lateral  Up              3757       3762        6         2         1         3        NA        NA
      353 Lateral  Up              3764       3773       10         1         1        NA        NA        NA
      354 Lateral  Up              3775       3794       20         4         2         8         9        12
      355 Lateral  Down            3825       3832        8         3         1         7         8        NA
      356 Lateral  Up              3834       3853       20         4         2         3         4         5
      357 IBSYM    Down            3858       3862        5         4         1         2         3         4
      358 Lateral  Up              3864       3870        7         1         3        NA        NA        NA
      359 IBSYM    Down            3872       3891       20         3         3         8        18        NA
      360 Lateral  Down            3872       3891       20         3         3         8        18        NA
      361 Lateral  Down            3893       3911       19         4         1         2         4        11
      362 Lateral  Up              3913       3925       13         4         2         3        10        11
      363 Lateral  Down            3927       3929        3         2         1         3        NA        NA
      364 Lateral  Up              3931       3938        8         2         3         7        NA        NA
      365 IBSYM    Up              3940       3940        1         0        NA        NA        NA        NA
      366 Lateral  Up              3940       3940        1         0        NA        NA        NA        NA
      367 IBSYM    Down            3942       3947        6         2         2         5        NA        NA
      368 Lateral  Up              3949       3963       15         3         5         6        12        NA
      369 IBSYM    Down            3965       3984       20         4         2         5         9        15
      370 Lateral  Down            3965       3984       20         4         2         5         9        15
      371 Lateral  Up              4029       4048       20         4         4         5        11        13
      372 IBSYM    Down            4082       4087        6         0        NA        NA        NA        NA
      373 Lateral  Down            4082       4087        6         0        NA        NA        NA        NA
      374 IBSYM    Up              4089       4091        3         1         2        NA        NA        NA
      375 Lateral  Up              4093       4101        9         4         1         3         4         9
      376 Lateral  Down            4103       4109        7         2         1         3        NA        NA
      377 IBSYM    Down            4111       4111        1         0        NA        NA        NA        NA
      378 Lateral  Up              4113       4123       11         3         1         3         4        NA
      379 IBSYM    Down            4125       4132        8         2         1         2        NA        NA
      380 Lateral  Down            4125       4132        8         2         1         2        NA        NA
      381 Lateral  Down            4134       4139        6         1         4        NA        NA        NA
      382 Lateral  Up              4141       4146        6         2         2         5        NA        NA
      383 IBSYM    Down            4148       4147        0         0        NA        NA        NA        NA
      384 Lateral  Down            4149       4161       13         4         1         2         5        11
      385 Lateral  Up              4163       4170        8         4         1         2         4         8
      386 IBSYM    Up              4172       4181       10         2         3         7        NA        NA
      387 IBSYM    Down            4183       4183        1         0        NA        NA        NA        NA
      388 Lateral  Down            4185       4190        6         2         5         6        NA        NA
      389 IBSYM    Down            4192       4191        0         0        NA        NA        NA        NA
      390 Lateral  Down            4193       4196        4         0        NA        NA        NA        NA
      391 Lateral  Up              4198       4203        6         1         6        NA        NA        NA
      392 IBSYM    Up              4205       4206        2         0        NA        NA        NA        NA
      393 Lateral  Up              4205       4206        2         0        NA        NA        NA        NA
      394 IBSYM    Up              4208       4212        5         1         1        NA        NA        NA
      395 Lateral  Up              4214       4229       16         2         7        12        NA        NA
      396 Lateral  Down            4231       4232        2         1         2        NA        NA        NA
      397 IBSYM    Down            4234       4238        5         1         3        NA        NA        NA
      398 Lateral  Down            4234       4238        5         1         3        NA        NA        NA
      399 Lateral  Up              4240       4248        9         2         1         7        NA        NA
      400 Lateral  Down            4250       4251        2         0        NA        NA        NA        NA
      401 Lateral  Up              4253       4259        7         2         2         6        NA        NA
      402 Lateral  Down            4261       4280       20         4         2         3         4        18
      403 Lateral  Up              4314       4318        5         3         2         3         4        NA
      404 Lateral  Down            4320       4339       20         3         9        12        16        NA
      405 Lateral  Up              4341       4346        6         2         2         3        NA        NA
      406 Lateral  Down            4348       4359       12         4         2         8        10        11
      407 IBSYM    Up              4361       4371       11         3         1         3         4        NA
      408 Lateral  Up              4361       4371       11         3         1         3         4        NA
      409 IBSYM    Down            4373       4376        4         1         1        NA        NA        NA
