APVA Excursion Destinations Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Destination event count: 747

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
MixedStructure | EfficiencyRatio | t-1 | 0.4704 | 0.5000 | 0.3251
MixedStructure | EfficiencyRatio | t-2 | 0.5001 | 0.5000 | 0.3010
MixedStructure | EfficiencyRatio | t-3 | 0.4768 | 0.5000 | 0.3127
MixedStructure | EfficiencyRatio | t-5 | 0.3903 | 0.3333 | 0.2921
MixedStructure | CloseLocation | t-1 | 0.4808 | 0.4530 | 0.3458
MixedStructure | CloseLocation | t-2 | 0.5288 | 0.5000 | 0.3458
MixedStructure | CloseLocation | t-3 | 0.5125 | 0.5000 | 0.3445
MixedStructure | CloseLocation | t-5 | 0.4883 | 0.5000 | 0.3257
MixedStructure | MemoryStrength | t-1 | 0.2232 | 0.2232 | 0.0000
MixedStructure | MemoryStrength | t-2 | 0.2481 | 0.2232 | 0.0403
MixedStructure | MemoryStrength | t-3 | 0.2935 | 0.3132 | 0.0600
MixedStructure | MemoryStrength | t-5 | 0.3149 | 0.3511 | 0.0501
MixedStructure | BranchEntropy | t-1 | 1.1703 | 1.1703 | 0.0000
MixedStructure | BranchEntropy | t-2 | 1.0585 | 1.1703 | 0.1807
MixedStructure | BranchEntropy | t-3 | 0.8361 | 0.7665 | 0.2932
MixedStructure | BranchEntropy | t-5 | 0.8980 | 0.8439 | 0.2853
MixedStructure | PolarityFlipFlag | t-1 | 0.5791 | 1.0000 | 0.4937
MixedStructure | PolarityFlipFlag | t-2 | 0.6799 | 1.0000 | 0.4665
MixedStructure | PolarityFlipFlag | t-3 | 0.6403 | 1.0000 | 0.4799
MixedStructure | PolarityFlipFlag | t-5 | 0.7266 | 1.0000 | 0.4457
ReassertionProcessing | RangeRelativeToPrevious | t-1 | 0.8241 | 0.7500 | 0.4576
ReassertionProcessing | RangeRelativeToPrevious | t-2 | 1.2856 | 1.0000 | 0.7944
ReassertionProcessing | RangeRelativeToPrevious | t-3 | 1.1253 | 1.0000 | 0.6891
ReassertionProcessing | RangeRelativeToPrevious | t-5 | 1.0128 | 1.0000 | 0.4705
ReassertionProcessing | BodyRelativeToPrevious | t-1 | 0.8285 | 0.5500 | 1.0060
ReassertionProcessing | BodyRelativeToPrevious | t-2 | 1.6435 | 1.0000 | 2.1864
ReassertionProcessing | BodyRelativeToPrevious | t-3 | 1.3803 | 1.0000 | 1.6780
ReassertionProcessing | BodyRelativeToPrevious | t-5 | 1.0439 | 1.0000 | 1.0851
