APVA Loop Closure Study v0.1 - 6E
================================================================================================
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Loop candidates: 2061

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
6E | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50
Aggregate | 2052 | 4 | 5 | 99.56% | 10.8762 | 9.0000 | 50

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
21+ | 11 | 0.54% | MixedStructure

5. Failure Node Table
FailureNode | Count | Probability | TopDestinationFamily | TopReturnFamily
NeutralProcessing_Age2 | 931 | 45.37% | MixedStructure | CompressionProcessing
NeutralProcessing_Age6-10 | 507 | 24.71% | MixedStructure | CompressionProcessing
NeutralProcessing_Age3 | 242 | 11.79% | MixedStructure | MixedStructure
NeutralProcessing_Age5 | 145 | 7.07% | MixedStructure | CompressionProcessing
NeutralProcessing_Age11-20 | 126 | 6.14% | MixedStructure | MixedStructure
NeutralProcessing_Age4 | 90 | 4.39% | MixedStructure | CompressionProcessing
NeutralProcessing_Age21+ | 11 | 0.54% | MixedStructure | CompressionProcessing

6. Destination In Loop Context Table
MaxNeutralAgeReached | FailureNode | DestinationFamily | Count | Probability
2 | NeutralProcessing_Age2 | MixedStructure | 373 | 40.06%
2 | NeutralProcessing_Age2 | ReassertionProcessing | 274 | 29.43%
2 | NeutralProcessing_Age2 | CompressionProcessing | 261 | 28.03%
6-10 | NeutralProcessing_Age6-10 | MixedStructure | 191 | 37.67%
6-10 | NeutralProcessing_Age6-10 | ReassertionProcessing | 176 | 34.71%
3 | NeutralProcessing_Age3 | MixedStructure | 98 | 40.50%
6-10 | NeutralProcessing_Age6-10 | CompressionProcessing | 92 | 18.15%
3 | NeutralProcessing_Age3 | ReassertionProcessing | 80 | 33.06%
3 | NeutralProcessing_Age3 | CompressionProcessing | 60 | 24.79%
5 | NeutralProcessing_Age5 | MixedStructure | 48 | 33.10%
11-20 | NeutralProcessing_Age11-20 | MixedStructure | 48 | 38.10%
11-20 | NeutralProcessing_Age11-20 | ReassertionProcessing | 38 | 30.16%
5 | NeutralProcessing_Age5 | ReassertionProcessing | 36 | 24.83%
5 | NeutralProcessing_Age5 | CompressionProcessing | 35 | 24.14%
6-10 | NeutralProcessing_Age6-10 | ExhaustionPersistence | 27 | 5.33%
11-20 | NeutralProcessing_Age11-20 | CompressionProcessing | 26 | 20.63%
4 | NeutralProcessing_Age4 | MixedStructure | 22 | 24.44%
2 | NeutralProcessing_Age2 | DestructiveRotation | 18 | 1.93%
4 | NeutralProcessing_Age4 | CompressionProcessing | 18 | 20.00%
4 | NeutralProcessing_Age4 | RecoveryResolution | 18 | 20.00%
4 | NeutralProcessing_Age4 | ExhaustionPersistence | 17 | 18.89%
4 | NeutralProcessing_Age4 | ReassertionProcessing | 15 | 16.67%
6-10 | NeutralProcessing_Age6-10 | RecoveryResolution | 14 | 2.76%
5 | NeutralProcessing_Age5 | ExhaustionPersistence | 14 | 9.66%
5 | NeutralProcessing_Age5 | RecoveryResolution | 9 | 6.21%
6-10 | NeutralProcessing_Age6-10 | ConstructiveEmergence | 7 | 1.38%
11-20 | NeutralProcessing_Age11-20 | RecoveryResolution | 7 | 5.56%
11-20 | NeutralProcessing_Age11-20 | ExhaustionPersistence | 6 | 4.76%
2 | NeutralProcessing_Age2 | ConstructiveEmergence | 5 | 0.54%
21+ | NeutralProcessing_Age21+ | MixedStructure | 4 | 36.36%
3 | NeutralProcessing_Age3 | ConstructiveEmergence | 4 | 1.65%
21+ | NeutralProcessing_Age21+ | CompressionProcessing | 4 | 36.36%
21+ | NeutralProcessing_Age21+ | ReassertionProcessing | 3 | 27.27%
5 | NeutralProcessing_Age5 | ConstructiveEmergence | 3 | 2.07%
11-20 | NeutralProcessing_Age11-20 | ConstructiveEmergence | 1 | 0.79%

7. Excursion Sequence Table
ExcursionSequence | Count | Probability | ReplicationCount | MeanReturnTime
MixedStructure | 446 | 21.73% | 1 | 1.0740
ReassertionProcessing | 428 | 20.86% | 1 | 1.1168
CompressionProcessing | 356 | 17.35% | 1 | 1.5815
ReassertionProcessing -> MixedStructure | 61 | 2.97% | 1 | 2.0000
MixedStructure -> DecayToNeutral | 51 | 2.49% | 1 | 2.2353
MixedStructure -> ExhaustionPersistence | 48 | 2.34% | 1 | 2.5000
ExhaustionPersistence | 42 | 2.05% | 1 | 1.5476
MixedStructure -> RecoveryResolution -> CompressionProcessing | 34 | 1.66% | 1 | 4.5000
MixedStructure -> RecoveryResolution | 33 | 1.61% | 1 | 2.0000
RecoveryResolution | 29 | 1.41% | 1 | 1.0000
ReassertionProcessing -> CompressionProcessing | 22 | 1.07% | 1 | 3.1818
CompressionProcessing -> RecoveryResolution -> CompressionProcessing | 19 | 0.93% | 1 | 5.6842
MixedStructure -> CompressionProcessing | 17 | 0.83% | 1 | 3.9412
MixedStructure -> ExhaustionPersistence -> DecayToNeutral | 15 | 0.73% | 1 | 3.3333
