APVA Stage + Alignment + Breakout Type Study v0.1 - 6E
======================================================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_OPEN_apva_bar_evidence_v01.csv
Total rows: 35179
Total stage-alignment-breakout observations: 28147
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM            8724
Lateral         19423

Observation Counts by Stage
===========================
Stage0      2892
Stage1      8403
Stage2      6783
Stage3      3856
Stage4      6213

Observation Counts by Alignment
===============================
Aligned         13938
Opposed         14209

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
ParticipationPeak        IBSYM          230    51.74%        151     43.05%     8.69%    0.000052
ParticipationPeak        Lateral        508    51.57%        348     45.98%     5.60%    0.000105
ParticipationClimactic   IBSYM           78    46.15%         53     50.94%    -4.79%   -0.000217
ParticipationClimactic   Lateral        271    54.24%        177     41.24%    13.00%    0.000137
PeakContained            IBSYM           90    55.56%         44     45.45%    10.10%    0.000063
PeakContained            Lateral        191    51.31%        115     41.74%     9.57%    0.000204
PeakAccepted             IBSYM          112    51.79%         80     41.25%    10.54%    0.000084
PeakAccepted             Lateral        251    52.19%        178     51.69%     0.51%    0.000042
ClimacticContained       IBSYM           26    53.85%         15     46.67%     7.18%   -0.000064
ClimacticContained       Lateral         65    58.46%         60     46.67%    11.79%    0.000207
ClimacticAccepted        IBSYM           47    42.55%         31     54.84%   -12.29%   -0.000424
ClimacticAccepted        Lateral        186    51.61%         96     41.67%     9.95%    0.000041

Immature Aligned versus Immature Opposed by BreakoutType
========================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM         2066    44.34%       1656     45.95%    -1.62%   -0.000061
AllBars                  Lateral       4466    44.98%       3107     46.67%    -1.68%   -0.000024
DissipationAny           IBSYM          970    45.15%        864     45.83%    -0.68%   -0.000052
DissipationAny           Lateral       2247    46.46%       1677     46.51%    -0.05%   -0.000006
DissipationContained     IBSYM          368    46.74%        432     47.22%    -0.48%   -0.000053
DissipationContained     Lateral        851    47.71%        812     46.43%     1.28%   -0.000014
DissipationAccepted      IBSYM          524    45.61%        378     44.18%     1.43%   -0.000043
DissipationAccepted      Lateral       1246    45.51%        768     46.22%    -0.72%   -0.000000
ParticipationPeak        IBSYM          456    40.57%        180     49.44%    -8.87%   -0.000173
ParticipationPeak        Lateral       1041    43.23%        352     48.86%    -5.64%   -0.000090
ParticipationClimactic   IBSYM          146    41.10%         65     53.85%   -12.75%   -0.000308
ParticipationClimactic   Lateral        499    43.09%        147     47.62%    -4.53%   -0.000076
PeakContained            IBSYM          116    43.10%         51     43.14%    -0.03%   -0.000009
PeakContained            Lateral        247    44.94%        104     41.35%     3.59%   -0.000003
PeakAccepted             IBSYM          298    39.93%         93     49.46%    -9.53%   -0.000245
PeakAccepted             Lateral        700    42.14%        173     49.71%    -7.57%   -0.000143
ClimacticContained       IBSYM           28    46.43%         16     43.75%     2.68%    0.000104
ClimacticContained       Lateral         88    47.73%         47     40.43%     7.30%    0.000195
ClimacticAccepted        IBSYM          114    40.35%         38     52.63%   -12.28%   -0.000412
ClimacticAccepted        Lateral        388    43.30%         77     53.25%    -9.95%   -0.000210

Mature Aligned versus Immature Aligned by BreakoutType
======================================================
Event                    Type     LeftCount  LeftCont5 RightCount  RightCont5 DeltaCont5  DeltaMean5
AllBars                  IBSYM         1039    48.99%       2066     44.34%     4.65%    0.000033
AllBars                  Lateral       2558    50.70%       4466     44.98%     5.72%    0.000065
DissipationAny           IBSYM          469    51.39%        970     45.15%     6.23%    0.000039
DissipationAny           Lateral       1143    51.53%       2247     46.46%     5.07%    0.000046
DissipationContained     IBSYM          200    51.50%        368     46.74%     4.76%    0.000066
DissipationContained     Lateral        468    52.35%        851     47.71%     4.64%    0.000065
DissipationAccepted      IBSYM          209    52.63%        524     45.61%     7.02%   -0.000006
DissipationAccepted      Lateral        537    51.40%       1246     45.51%     5.89%    0.000030
ParticipationPeak        IBSYM          230    51.74%        456     40.57%    11.17%    0.000066
ParticipationPeak        Lateral        508    51.57%       1041     43.23%     8.35%    0.000072
ParticipationClimactic   IBSYM           78    46.15%        146     41.10%     5.06%   -0.000002
ParticipationClimactic   Lateral        271    54.24%        499     43.09%    11.16%    0.000133
PeakContained            IBSYM           90    55.56%        116     43.10%    12.45%    0.000060
PeakContained            Lateral        191    51.31%        247     44.94%     6.37%    0.000012
PeakAccepted             IBSYM          112    51.79%        298     39.93%    11.85%    0.000055
PeakAccepted             Lateral        251    52.19%        700     42.14%    10.05%    0.000101
ClimacticContained       IBSYM           26    53.85%         28     46.43%     7.42%    0.000002
ClimacticContained       Lateral         65    58.46%         88     47.73%    10.73%    0.000112
