APVA Trajectory Study v0.1 - 6E
===============================
Instrument: 6E
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
Valid polarity rows: 31107
Family counts: {'A': 181, 'B': 3069, 'C': 5456, 'D': 6497, 'N': 20057}
Total path windows by length: {3: 35258, 4: 35257, 5: 35256}
Study 30 family precedence reused exactly: A, then B, then C, then D, then N.

Section 1 - Family Path Tables
==============================
Path                               Len    Count   Frequency    Expected       OER
C->D->B                B               7      18.92%     8.70%    2.1736
C->D->B                C               5      13.51%    15.47%    0.8733
C->D->B                D               4      10.81%    18.43%    0.5867
C->D->B                N              20      54.05%    56.88%    0.9503
C->D->C                A               1       1.64%     0.51%    3.1936
C->D->C                B              16      26.23%     8.70%    3.0135
C->D->C                C              14      22.95%    15.47%    1.4832
C->D->C                D               3       4.92%    18.43%    0.2669
C->D->C                N              27      44.26%    56.88%    0.7781
C->D->D                A               1       3.57%     0.51%    6.9574
C->D->D                B               1       3.57%     8.70%    0.4103
C->D->D                C               4      14.29%    15.47%    0.9232
C->D->D                D               4      14.29%    18.43%    0.7753
C->D->D                N              18      64.29%    56.88%    1.1301
C->D->N                A               0       0.00%     0.51%    0.0000
C->D->N                B              12       5.61%     8.70%    0.6442
C->D->N                C              39      18.22%    15.47%    1.1778
C->D->N                D              45      21.03%    18.43%    1.1412
C->D->N                N             118      55.14%    56.88%    0.9694
C->N->A                A               0       0.00%     0.51%    0.0000
C->N->A                B               0       0.00%     8.70%    0.0000
C->N->A                C               5      41.67%    15.47%    2.6928
C->N->A                D               0       0.00%    18.43%    0.0000
C->N->A                N               7      58.33%    56.88%    1.0255
C->N->B                A               1       0.41%     0.51%    0.8083
C->N->B                B              25      10.37%     8.70%    1.1918
C->N->B                C              66      27.39%    15.47%    1.7698
C->N->B                D              27      11.20%    18.43%    0.6080
C->N->B                N             122      50.62%    56.88%    0.8899
C->N->C                A               5       1.03%     0.51%    2.0001
C->N->C                B              82      16.84%     8.70%    1.9345
C->N->C                C             105      21.56%    15.47%    1.3934
C->N->C                D              39       8.01%    18.43%    0.4346
C->N->C                N             256      52.57%    56.88%    0.9241
C->N->D                A               2       0.41%     0.51%    0.8083
C->N->D                B              44       9.13%     8.70%    1.0488
C->N->D                C              77      15.98%    15.47%    1.0324
C->N->D                D              46       9.54%    18.43%    0.5179
C->N->D                N             313      64.94%    56.88%    1.1416
C->N->N                A              12       0.83%     0.51%    1.6155
C->N->N                B              98       6.77%     8.70%    0.7781
C->N->N                C             224      15.48%    15.47%    1.0004
C->N->N                D             343      23.70%    18.43%    1.2865
C->N->N                N             770      53.21%    56.88%    0.9355
D->A->C                A               0       0.00%     0.51%    0.0000
D->A->C                B               0       0.00%     8.70%    0.0000
D->A->C                C               2      50.00%    15.47%    3.2313
D->A->C                D               0       0.00%    18.43%    0.0000
D->A->C                N               2      50.00%    56.88%    0.8790
D->A->D                A               0       0.00%     0.51%    0.0000
D->A->D                B               0       0.00%     8.70%    0.0000
D->A->D                C               1      20.00%    15.47%    1.2925
D->A->D                D               1      20.00%    18.43%    1.0854
D->A->D                N               3      60.00%    56.88%    1.0548
D->A->N                A               0       0.00%     0.51%    0.0000
D->A->N                B               0       0.00%     8.70%    0.0000
D->A->N                C               3      14.29%    15.47%    0.9232
D->A->N                D               5      23.81%    18.43%    1.2922
D->A->N                N              13      61.90%    56.88%    1.0883
D->B->A                A               0       0.00%     0.51%    0.0000
D->B->A                B               1      50.00%     8.70%    5.7445
D->B->A                C               0       0.00%    15.47%    0.0000
D->B->A                D               0       0.00%    18.43%    0.0000
D->B->A                N               1      50.00%    56.88%    0.8790
D->B->B                A               0       0.00%     0.51%    0.0000
D->B->B                B               4       7.02%     8.70%    0.8063
D->B->B                C              10      17.54%    15.47%    1.1338
D->B->B                D              11      19.30%    18.43%    1.0473
D->B->B                N              32      56.14%    56.88%    0.9869
D->B->C                A               2       2.53%     0.51%    4.9318
D->B->C                B              12      15.19%     8.70%    1.7452
D->B->C                C              17      21.52%    15.47%    1.3907
D->B->C                D               5       6.33%    18.43%    0.3435
D->B->C                N              43      54.43%    56.88%    0.9569
D->B->D                A               0       0.00%     0.51%    0.0000
D->B->D                B               3       5.36%     8.70%    0.6155
D->B->D                C              10      17.86%    15.47%    1.1540
D->B->D                D               4       7.14%    18.43%    0.3877
D->B->D                N              39      69.64%    56.88%    1.2243
D->B->N                A               1       0.41%     0.51%    0.7984
D->B->N                B              17       6.97%     8.70%    0.8005
D->B->N                C              41      16.80%    15.47%    1.0859
D->B->N                D              40      16.39%    18.43%    0.8897
D->B->N                N             145      59.43%    56.88%    1.0447
D->C->A                A               0       0.00%     0.51%    0.0000
D->C->A                B               4      33.33%     8.70%    3.8297
D->C->A                C               0       0.00%    15.47%    0.0000
D->C->A                D               1       8.33%    18.43%    0.4523
D->C->A                N               7      58.33%    56.88%    1.0255
D->C->B                A               0       0.00%     0.51%    0.0000
D->C->B                B              21      16.80%     8.70%    1.9302
D->C->B                C              31      24.80%    15.47%    1.6027
D->C->B                D              20      16.00%    18.43%    0.8683
D->C->B                N              53      42.40%    56.88%    0.7454
D->C->C                A               1       0.52%     0.51%    1.0199
D->C->C                B              40      20.94%     8.70%    2.4061
D->C->C                C              41      21.47%    15.47%    1.3873
D->C->C                D              10       5.24%    18.43%    0.2841
D->C->C                N              99      51.83%    56.88%    0.9112
D->C->D                A               0       0.00%     0.51%    0.0000
D->C->D                B               6      11.11%     8.70%    1.2766
D->C->D                C               8      14.81%    15.47%    0.9574
D->C->D                D               5       9.26%    18.43%    0.5025
D->C->D                N              35      64.81%    56.88%    1.1394
D->C->N                A               1       0.24%     0.51%    0.4683
D->C->N                B              40       9.62%     8.70%    1.1047
D->C->N                C              64      15.38%    15.47%    0.9942
D->C->N                D              77      18.51%    18.43%    1.0045
D->C->N                N             234      56.25%    56.88%    0.9889
D->D->A                A               0       0.00%     0.51%    0.0000
D->D->A                B               0       0.00%     8.70%    0.0000
D->D->A                C               1      25.00%    15.47%    1.6157
D->D->A                D               0       0.00%    18.43%    0.0000
D->D->A                N               3      75.00%    56.88%    1.3185
D->D->B                A               0       0.00%     0.51%    0.0000
D->D->B                B               6      11.76%     8.70%    1.3517
D->D->B                C              10      19.61%    15.47%    1.2672
D->D->B                D               5       9.80%    18.43%    0.5321
D->D->B                N              30      58.82%    56.88%    1.0341
D->D->C                A               1       1.15%     0.51%    2.2392
D->D->C                B               8       9.20%     8.70%    1.0565
D->D->C                C              24      27.59%    15.47%    1.7828
D->D->C                D               6       6.90%    18.43%    0.3743
D->D->C                N              48      55.17%    56.88%    0.9699
D->D->D                A               0       0.00%     0.51%    0.0000
D->D->D                B               5       6.85%     8.70%    0.7869
D->D->D                C              14      19.18%    15.47%    1.2394
D->D->D                D               7       9.59%    18.43%    0.5204
D->D->D                N              47      64.38%    56.88%    1.1319
D->D->N                A               5       0.92%     0.51%    1.7839
D->D->N                B              21       3.85%     8.70%    0.4419
D->D->N                C              61      11.17%    15.47%    0.7220
D->D->N                D             135      24.73%    18.43%    1.3419
D->D->N                N             324      59.34%    56.88%    1.0432
D->N->A                A               0       0.00%     0.51%    0.0000
D->N->A                B               2       9.52%     8.70%    1.0942
D->N->A                C               4      19.05%    15.47%    1.2310
D->N->A                D               2       9.52%    18.43%    0.5169
D->N->A                N              13      61.90%    56.88%    1.0883
D->N->B                A               0       0.00%     0.51%    0.0000
D->N->B                B              25      11.68%     8.70%    1.3422
D->N->B                C              32      14.95%    15.47%    0.9664
D->N->B                D              26      12.15%    18.43%    0.6594
D->N->B                N             131      61.21%    56.88%    1.0762
D->N->C                A               2       0.38%     0.51%    0.7393
D->N->C                B              92      17.46%     8.70%    2.0057
D->N->C                C             124      23.53%    15.47%    1.5206
D->N->C                D              29       5.50%    18.43%    0.2986
D->N->C                N             280      53.13%    56.88%    0.9340
D->N->D                A               3       0.27%     0.51%    0.5332
D->N->D                B              72       6.57%     8.70%    0.7548
D->N->D                C             104       9.49%    15.47%    0.6132
D->N->D                D             142      12.96%    18.43%    0.7031
D->N->D                N             775      70.71%    56.88%    1.2431
D->N->N                A               9       0.34%     0.51%    0.6712
D->N->N                B             125       4.79%     8.70%    0.5498
D->N->N                C             277      10.60%    15.47%    0.6854
D->N->N                D             714      27.34%    18.43%    1.4835
D->N->N                N            1487      56.93%    56.88%    1.0008
N->A->B                A               0       0.00%     0.51%    0.0000
N->A->B                B               0       0.00%     8.70%    0.0000
N->A->B                C               1      20.00%    15.47%    1.2925
N->A->B                D               0       0.00%    18.43%    0.0000
N->A->B                N               4      80.00%    56.88%    1.4064
N->A->C                A               0       0.00%     0.51%    0.0000
N->A->C                B               1       8.33%     8.70%    0.9574
N->A->C                C               4      33.33%    15.47%    2.1542
N->A->C                D               1       8.33%    18.43%    0.4523
N->A->C                N               6      50.00%    56.88%    0.8790
N->A->D                A               0       0.00%     0.51%    0.0000
N->A->D                B               1       7.14%     8.70%    0.8206
N->A->D                C               1       7.14%    15.47%    0.4616
N->A->D                D               0       0.00%    18.43%    0.0000
N->A->D                N              12      85.71%    56.88%    1.5068
N->A->N                A               0       0.00%     0.51%    0.0000
N->A->N                B               1       2.13%     8.70%    0.2444
N->A->N                C               8      17.02%    15.47%    1.1000
N->A->N                D               9      19.15%    18.43%    1.0392
N->A->N                N              29      61.70%    56.88%    1.0847
N->B->A                A               0       0.00%     0.51%    0.0000
N->B->A                B               0       0.00%     8.70%    0.0000
N->B->A                C               3      75.00%    15.47%    4.8470
N->B->A                D               0       0.00%    18.43%    0.0000
N->B->A                N               1      25.00%    56.88%    0.4395
N->B->B                A               3       2.11%     0.51%    4.1156
N->B->B                B              26      18.31%     8.70%    2.1036
N->B->B                C              34      23.94%    15.47%    1.5474
N->B->B                D              22      15.49%    18.43%    0.8408
N->B->B                N              57      40.14%    56.88%    0.7057
N->B->C                A               3       1.15%     0.51%    2.2306
N->B->C                B              52      19.85%     8.70%    2.2803
N->B->C                C              74      28.24%    15.47%    1.8253
N->B->C                D              11       4.20%    18.43%    0.2279
N->B->C                N             122      46.56%    56.88%    0.8186
N->B->D                A               2       1.24%     0.51%    2.4200
N->B->D                B              16       9.94%     8.70%    1.1418
N->B->D                C              30      18.63%    15.47%    1.2042
N->B->D                D              11       6.83%    18.43%    0.3708
N->B->D                N             102      63.35%    56.88%    1.1138
N->B->N                A               1       0.17%     0.51%    0.3370
N->B->N                B              47       8.13%     8.70%    0.9342
N->B->N                C              89      15.40%    15.47%    0.9951
N->B->N                D             140      24.22%    18.43%    1.3145
N->B->N                N             301      52.08%    56.88%    0.9155
N->C->A                A               0       0.00%     0.51%    0.0000
N->C->A                B               0       0.00%     8.70%    0.0000
N->C->A                C               3      15.79%    15.47%    1.0204
N->C->A                D               4      21.05%    18.43%    1.1426
N->C->A                N              12      63.16%    56.88%    1.1103
N->C->B                A               4       0.91%     0.51%    1.7710
N->C->B                B              70      15.91%     8.70%    1.8278
N->C->B                C             106      24.09%    15.47%    1.5569
N->C->B                D              50      11.36%    18.43%    0.6167
N->C->B                N             210      47.73%    56.88%    0.8390
N->C->C                A              11       1.85%     0.51%    3.6015
N->C->C                B             136      22.86%     8.70%    2.6261
N->C->C                C             154      25.88%    15.47%    1.6727
N->C->C                D              39       6.55%    18.43%    0.3557
N->C->C                N             255      42.86%    56.88%    0.7534
N->C->D                A               1       0.58%     0.51%    1.1326
N->C->D                B              19      11.05%     8.70%    1.2691
N->C->D                C              28      16.28%    15.47%    1.0521
N->C->D                D              12       6.98%    18.43%    0.3786
N->C->D                N             112      65.12%    56.88%    1.1447
N->C->N                A               6       0.46%     0.51%    0.8895
N->C->N                B             100       7.61%     8.70%    0.8744
N->C->N                C             221      16.82%    15.47%    1.0869
N->C->N                D             257      19.56%    18.43%    1.0615
N->C->N                N             730      55.56%    56.88%    0.9767
N->D->A                A               0       0.00%     0.51%    0.0000
N->D->A                B               0       0.00%     8.70%    0.0000
N->D->A                C               1       5.00%    15.47%    0.3231
N->D->A                D               3      15.00%    18.43%    0.8141
N->D->A                N              16      80.00%    56.88%    1.4064
N->D->B                A               1       0.32%     0.51%    0.6224
N->D->B                B              39      12.46%     8.70%    1.4315
N->D->B                C              54      17.25%    15.47%    1.1150
N->D->B                D              41      13.10%    18.43%    0.7109
N->D->B                N             178      56.87%    56.88%    0.9998
N->D->C                A               7       1.24%     0.51%    2.4178
N->D->C                B              86      15.25%     8.70%    1.7519
N->D->C                C             128      22.70%    15.47%    1.4667
N->D->C                D              39       6.91%    18.43%    0.3753
N->D->C                N             304      53.90%    56.88%    0.9476
N->D->D                A               3       0.48%     0.51%    0.9336
N->D->D                B              42       6.71%     8.70%    0.7708
N->D->D                C              65      10.38%    15.47%    0.6710
N->D->D                D              58       9.27%    18.43%    0.5028
N->D->D                N             458      73.16%    56.88%    1.2862
N->D->N                A              16       0.46%     0.51%    0.9032
N->D->N                B             165       4.78%     8.70%    0.5493
N->D->N                C             388      11.24%    15.47%    0.7266
N->D->N                D             856      24.80%    18.43%    1.3462
N->D->N                N            2026      58.71%    56.88%    1.0321
N->N->A                A               0       0.00%     0.51%    0.0000
N->N->A                B               3       7.50%     8.70%    0.8617
N->N->A                C               3       7.50%    15.47%    0.4847
N->N->A                D              11      27.50%    18.43%    1.4925
N->N->A                N              23      57.50%    56.88%    1.0108
N->N->B                A               3       0.52%     0.51%    1.0076
N->N->B                B              75      12.93%     8.70%    1.4857
N->N->B                C             135      23.28%    15.47%    1.5042
N->N->B                D              92      15.86%    18.43%    0.8609
N->N->B                N             275      47.41%    56.88%    0.8335
N->N->C                A               9       0.72%     0.51%    1.3948
N->N->C                B             224      17.82%     8.70%    2.0474
N->N->C                C             288      22.91%    15.47%    1.4807
N->N->C                D              86       6.84%    18.43%    0.3713
N->N->C                N             650      51.71%    56.88%    0.9091
N->N->D                A              14       0.46%     0.51%    0.8901
N->N->D                B             174       5.68%     8.70%    0.6524
N->N->D                C             339      11.06%    15.47%    0.7150
N->N->D                D             403      13.15%    18.43%    0.7138
N->N->D                N            2134      69.65%    56.88%    1.2244
N->N->N                A              15       0.24%     0.51%    0.4583
N->N->N                B             293       4.60%     8.70%    0.5280
N->N->N                C             631       9.90%    15.47%    0.6396
N->N->N                D            1809      28.37%    18.43%    1.5398
N->N->N                N            3628      56.90%    56.88%    1.0003

Section 8 - Path Convergence Tables
===================================
Pattern                Family      Count  Probability   Baseline      Lift
A->B                   A               0       0.00%     0.51%    0.0000
A->B                   B               2      16.67%     8.70%    1.9148
A->B                   C               5      41.67%    15.47%    2.6928
A->B                   D               0       0.00%    18.43%    0.0000
A->B                   N               5      41.67%    56.88%    0.7325
A->C                   A               0       0.00%     0.51%    0.0000
A->C                   B               5      15.15%     8.70%    1.7408
A->C                   C              12      36.36%    15.47%    2.3500
A->C                   D               4      12.12%    18.43%    0.6578
A->C                   N              12      36.36%    56.88%    0.6393
A->D                   A               0       0.00%     0.51%    0.0000
A->D                   B               2       7.69%     8.70%    0.8838
A->D                   C               5      19.23%    15.47%    1.2428
A->D                   D               5      19.23%    18.43%    1.0437
A->D                   N              14      53.85%    56.88%    0.9466
A->N                   A               0       0.00%     0.51%    0.0000
A->N                   B              10       9.09%     8.70%    1.0445
A->N                   C              32      29.09%    15.47%    1.8800
A->N                   D              21      19.09%    18.43%    1.0361
A->N                   N              47      42.73%    56.88%    0.7511
B->A                   A               1       5.26%     0.51%   10.2530
B->A                   B               5      26.32%     8.70%    3.0234
B->A                   C               7      36.84%    15.47%    2.3810
B->A                   D               2      10.53%    18.43%    0.5713
B->A                   N               4      21.05%    56.88%    0.3701
B->B                   A               3       0.67%     0.51%    1.2958
B->B                   B              78      17.29%     8.70%    1.9870
B->B                   C             171      37.92%    15.47%    2.4503
B->B                   D              57      12.64%    18.43%    0.6859
B->B                   N             142      31.49%    56.88%    0.5535
B->C                   A               2       0.28%     0.51%    0.5434
B->C                   B             111      15.48%     8.70%    1.7786
B->C                   C             263      36.68%    15.47%    2.3705
B->C                   D              79      11.02%    18.43%    0.5980
B->C                   N             262      36.54%    56.88%    0.6424
B->D                   A               0       0.00%     0.51%    0.0000
B->D                   B              64      16.28%     8.70%    1.8710
B->D                   C             112      28.50%    15.47%    1.8418
B->D                   D              56      14.25%    18.43%    0.7733
B->D                   N             161      40.97%    56.88%    0.7202
B->N                   A               6       0.40%     0.51%    0.7850
B->N                   B             193      12.96%     8.70%    1.4892
B->N                   C             468      31.43%    15.47%    2.0312
B->N                   D             244      16.39%    18.43%    0.8893
B->N                   N             578      38.82%    56.88%    0.6824
C->A                   A               0       0.00%     0.51%    0.0000
C->A                   B               8      14.81%     8.70%    1.7021
C->A                   C              15      27.78%    15.47%    1.7952
C->A                   D              12      22.22%    18.43%    1.2060
C->A                   N              19      35.19%    56.88%    0.6186
C->B                   A               7       0.69%     0.51%    1.3356
C->B                   B             143      14.01%     8.70%    1.6091
C->B                   C             306      29.97%    15.47%    1.9369
C->B                   D             125      12.24%    18.43%    0.6644
C->B                   N             440      43.10%    56.88%    0.7576
C->C                   A              10       0.73%     0.51%    1.4251
C->C                   B             207      15.14%     8.70%    1.7398
C->C                   C             364      26.63%    15.47%    1.7208
C->C                   D             191      13.97%    18.43%    0.7583
C->C                   N             595      43.53%    56.88%    0.7652
C->D                   A               1       0.29%     0.51%    0.5679
C->D                   B              34       9.91%     8.70%    1.1389
C->D                   C              82      23.91%    15.47%    1.5450
C->D                   D              54      15.74%    18.43%    0.8544
C->D                   N             172      50.15%    56.88%    0.8816
C->N                   A              15       0.56%     0.51%    1.0944
C->N                   B             325      12.17%     8.70%    1.3985
C->N                   C             600      22.47%    15.47%    1.4523
C->N                   D             416      15.58%    18.43%    0.8456
C->N                   N            1314      49.21%    56.88%    0.8652
D->A                   A               0       0.00%     0.51%    0.0000
D->A                   B               3      10.00%     8.70%    1.1489
D->A                   C               3      10.00%    15.47%    0.6463
D->A                   D               4      13.33%    18.43%    0.7236
D->A                   N              20      66.67%    56.88%    1.1720
D->B                   A               3       0.68%     0.51%    1.3343
D->B                   B              34       7.76%     8.70%    0.8918
D->B                   C              37       8.45%    15.47%    0.5459
D->B                   D              51      11.64%    18.43%    0.6319
D->B                   N             313      71.46%    56.88%    1.2563
D->C                   A               2       0.25%     0.51%    0.4882
D->C                   B              84      10.53%     8.70%    1.2094
D->C                   C              61       7.64%    15.47%    0.4940
D->C                   D              87      10.90%    18.43%    0.5917
D->C                   N             564      70.68%    56.88%    1.2425
D->D                   A               3       0.39%     0.51%    0.7680
D->D                   B              31       4.07%     8.70%    0.4680
D->D                   C              28       3.68%    15.47%    0.2378
D->D                   D              73       9.59%    18.43%    0.5206
D->D                   N             626      82.26%    56.88%    1.4461
D->N                   A              18       0.40%     0.51%    0.7845
D->N                   B             241       5.39%     8.70%    0.6194
D->N                   C             214       4.79%    15.47%    0.3094
D->N                   D             546      12.21%    18.43%    0.6629
D->N                   N            3451      77.20%    56.88%    1.3572
N->A                   A               0       0.00%     0.51%    0.0000
N->A                   B               5       6.41%     8.70%    0.7365
N->A                   C              12      15.38%    15.47%    0.9942
N->A                   D              21      26.92%    18.43%    1.4611
N->A                   N              40      51.28%    56.88%    0.9015
N->B                   A               2       0.17%     0.51%    0.3397
N->B                   B             110       9.59%     8.70%    1.1018
N->B                   C             241      21.01%    15.47%    1.3579
N->B                   D             214      18.66%    18.43%    1.0126
N->B                   N             580      50.57%    56.88%    0.8890
N->C                   A              17       0.67%     0.51%    1.3033
N->C                   B             252       9.92%     8.70%    1.1394
N->C                   C             488      19.21%    15.47%    1.2411
N->C                   D             527      20.74%    18.43%    1.1256
N->C                   N            1257      49.47%    56.88%    0.8697
N->D                   A              20       0.40%     0.51%    0.7833
N->D                   B             312       6.27%     8.70%    0.7207
N->D                   C             482       9.69%    15.47%    0.6263
N->D                   D            1096      22.03%    18.43%    1.1958
N->D                   N            3064      61.60%    56.88%    1.0829
N->N                   A              71       0.63%     0.51%    1.2223
N->N                   B             810       7.16%     8.70%    0.8224
N->N                   C            1447      12.79%    15.47%    0.8264
N->N                   D            2612      23.08%    18.43%    1.2527
N->N                   N            6376      56.34%    56.88%    0.9905
A->B->A                A               0       0.00%     0.51%    0.0000
A->B->A                B               1     100.00%     8.70%   11.4891
A->B->A                C               0       0.00%    15.47%    0.0000
A->B->A                D               0       0.00%    18.43%    0.0000
A->B->A                N               0       0.00%    56.88%    0.0000
A->B->B                A               0       0.00%     0.51%    0.0000
A->B->B                B               1      33.33%     8.70%    3.8297
A->B->B                C               2      66.67%    15.47%    4.3084
A->B->B                D               0       0.00%    18.43%    0.0000
A->B->B                N               0       0.00%    56.88%    0.0000
A->B->C                A               0       0.00%     0.51%    0.0000
A->B->C                B               0       0.00%     8.70%    0.0000
A->B->C                C               1      50.00%    15.47%    3.2313
A->B->C                D               0       0.00%    18.43%    0.0000
A->B->C                N               1      50.00%    56.88%    0.8790
A->B->N                A               0       0.00%     0.51%    0.0000
A->B->N                B               0       0.00%     8.70%    0.0000
A->B->N                C               2      33.33%    15.47%    2.1542
A->B->N                D               0       0.00%    18.43%    0.0000
A->B->N                N               4      66.67%    56.88%    1.1720
A->C->B                A               0       0.00%     0.51%    0.0000
A->C->B                B               1      14.29%     8.70%    1.6413
A->C->B                C               5      71.43%    15.47%    4.6161
A->C->B                D               0       0.00%    18.43%    0.0000
A->C->B                N               1      14.29%    56.88%    0.2511
A->C->C                A               0       0.00%     0.51%    0.0000
A->C->C                B               1      10.00%     8.70%    1.1489
A->C->C                C               3      30.00%    15.47%    1.9388
A->C->C                D               2      20.00%    18.43%    1.0854
A->C->C                N               4      40.00%    56.88%    0.7032
A->C->D                A               0       0.00%     0.51%    0.0000
A->C->D                B               0       0.00%     8.70%    0.0000
A->C->D                C               0       0.00%    15.47%    0.0000
A->C->D                D               0       0.00%    18.43%    0.0000
A->C->D                N               1     100.00%    56.88%    1.7580
A->C->N                A               0       0.00%     0.51%    0.0000
A->C->N                B               3      20.00%     8.70%    2.2978
A->C->N                C               4      26.67%    15.47%    1.7234
A->C->N                D               2      13.33%    18.43%    0.7236
A->C->N                N               6      40.00%    56.88%    0.7032
A->D->B                A               0       0.00%     0.51%    0.0000
A->D->B                B               1      33.33%     8.70%    3.8297
A->D->B                C               1      33.33%    15.47%    2.1542
A->D->B                D               0       0.00%    18.43%    0.0000
A->D->B                N               1      33.33%    56.88%    0.5860
A->D->C                A               0       0.00%     0.51%    0.0000
A->D->C                B               0       0.00%     8.70%    0.0000
A->D->C                C               0       0.00%    15.47%    0.0000
A->D->C                D               1      50.00%    18.43%    2.7136
A->D->C                N               1      50.00%    56.88%    0.8790
A->D->D                A               0       0.00%     0.51%    0.0000
A->D->D                B               1      33.33%     8.70%    3.8297
A->D->D                C               1      33.33%    15.47%    2.1542
A->D->D                D               1      33.33%    18.43%    1.8090
A->D->D                N               0       0.00%    56.88%    0.0000
A->D->N                A               0       0.00%     0.51%    0.0000
A->D->N                B               0       0.00%     8.70%    0.0000
A->D->N                C               3      16.67%    15.47%    1.0771
A->D->N                D               3      16.67%    18.43%    0.9045
A->D->N                N              12      66.67%    56.88%    1.1720
A->N->B                A               0       0.00%     0.51%    0.0000
A->N->B                B               0       0.00%     8.70%    0.0000
A->N->B                C               1      50.00%    15.47%    3.2313
A->N->B                D               0       0.00%    18.43%    0.0000
A->N->B                N               1      50.00%    56.88%    0.8790
A->N->C                A               0       0.00%     0.51%    0.0000
A->N->C                B               2      11.76%     8.70%    1.3517
A->N->C                C               4      23.53%    15.47%    1.5206
A->N->C                D               3      17.65%    18.43%    0.9577
A->N->C                N               8      47.06%    56.88%    0.8273
A->N->D                A               0       0.00%     0.51%    0.0000
A->N->D                B               2      10.00%     8.70%    1.1489
A->N->D                C               4      20.00%    15.47%    1.2925
A->N->D                D               5      25.00%    18.43%    1.3568
A->N->D                N               9      45.00%    56.88%    0.7911
A->N->N                A               0       0.00%     0.51%    0.0000
A->N->N                B               6       8.45%     8.70%    0.9709
A->N->N                C              23      32.39%    15.47%    2.0935
A->N->N                D              13      18.31%    18.43%    0.9937
A->N->N                N              29      40.85%    56.88%    0.7181
B->A->B                A               0       0.00%     0.51%    0.0000
B->A->B                B               1      50.00%     8.70%    5.7445
B->A->B                C               0       0.00%    15.47%    0.0000
B->A->B                D               1      50.00%    18.43%    2.7136
B->A->B                N               0       0.00%    56.88%    0.0000
B->A->C                A               0       0.00%     0.51%    0.0000
B->A->C                B               1      20.00%     8.70%    2.2978
B->A->C                C               1      20.00%    15.47%    1.2925
B->A->C                D               0       0.00%    18.43%    0.0000
B->A->C                N               3      60.00%    56.88%    1.0548
B->A->D                A               0       0.00%     0.51%    0.0000
B->A->D                B               1      50.00%     8.70%    5.7445
B->A->D                C               1      50.00%    15.47%    3.2313
B->A->D                D               0       0.00%    18.43%    0.0000
B->A->D                N               0       0.00%    56.88%    0.0000
B->A->N                A               1      10.00%     0.51%   19.4807
B->A->N                B               2      20.00%     8.70%    2.2978
B->A->N                C               5      50.00%    15.47%    3.2313
B->A->N                D               1      10.00%    18.43%    0.5427
B->A->N                N               1      10.00%    56.88%    0.1758
B->B->A                A               0       0.00%     0.51%    0.0000
B->B->A                B               1      20.00%     8.70%    2.2978
B->B->A                C               1      20.00%    15.47%    1.2925
B->B->A                D               0       0.00%    18.43%    0.0000
B->B->A                N               3      60.00%    56.88%    1.0548
B->B->B                A               1       1.28%     0.51%    2.4975
B->B->B                B              15      19.23%     8.70%    2.2094
B->B->B                C              32      41.03%    15.47%    2.6513
B->B->B                D               4       5.13%    18.43%    0.2783
B->B->B                N              26      33.33%    56.88%    0.5860
B->B->C                A               0       0.00%     0.51%    0.0000
B->B->C                B              19      17.12%     8.70%    1.9666
B->B->C                C              48      43.24%    15.47%    2.7946
B->B->C                D              10       9.01%    18.43%    0.4889
B->B->C                N              34      30.63%    56.88%    0.5385
B->B->D                A               0       0.00%     0.51%    0.0000
B->B->D                B              10      15.62%     8.70%    1.7952
B->B->D                C              21      32.81%    15.47%    2.1205
B->B->D                D              11      17.19%    18.43%    0.9328
B->B->D                N              22      34.38%    56.88%    0.6043
B->B->N                A               2       1.04%     0.51%    2.0187
B->B->N                B              33      17.10%     8.70%    1.9645
B->B->N                C              69      35.75%    15.47%    2.3105
B->B->N                D              32      16.58%    18.43%    0.8998
B->B->N                N              57      29.53%    56.88%    0.5192
B->C->A                A               0       0.00%     0.51%    0.0000
B->C->A                B               1      12.50%     8.70%    1.4361
B->C->A                C               2      25.00%    15.47%    1.6157
B->C->A                D               2      25.00%    18.43%    1.3568
B->C->A                N               3      37.50%    56.88%    0.6592
B->C->B                A               2       1.40%     0.51%    2.7246
B->C->B                B              22      15.38%     8.70%    1.7676
B->C->B                C              55      38.46%    15.47%    2.4856
B->C->B                D              12       8.39%    18.43%    0.4554
B->C->B                N              52      36.36%    56.88%    0.6393
B->C->C                A               0       0.00%     0.51%    0.0000
B->C->C                B              36      17.39%     8.70%    1.9981
B->C->C                C              80      38.65%    15.47%    2.4976
B->C->C                D              17       8.21%    18.43%    0.4457
B->C->C                N              74      35.75%    56.88%    0.6285
B->C->D                A               0       0.00%     0.51%    0.0000
B->C->D                B               5      14.71%     8.70%    1.6896
B->C->D                C              13      38.24%    15.47%    2.4710
B->C->D                D               5      14.71%    18.43%    0.7981
B->C->D                N              11      32.35%    56.88%    0.5688
B->C->N                A               0       0.00%     0.51%    0.0000
B->C->N                B              47      14.46%     8.70%    1.6615
B->C->N                C             113      34.77%    15.47%    2.2470
B->C->N                D              43      13.23%    18.43%    0.7180
B->C->N                N             122      37.54%    56.88%    0.6599
B->D->A                A               0       0.00%     0.51%    0.0000
B->D->A                B               0       0.00%     8.70%    0.0000
