APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: 6E
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv
Total rows: 35260
State counts: RecoveryResolution=1696, ExhaustionPersistence=1884, CompressionProcessing=6489, NeutralProcessing=16992, ReassertionProcessing=2011, DecayToNeutral=1486, DestructiveRotation=948, ConstructiveEmergence=83, MixedStructure=3671
Age counts: 1=18224, 2=6199, 3=3147, 4=2008, 5=1539, 6-10=3165, 11-20=896, 21+=82
Validated context counts: B=310, C=255, D=233
Candidate interpretation counts: ValidatedContext=798, PreviousDistinctContext=35256, CurrentStateAge=35260

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | CompressionProcessing->ReassertionProcessing+Age2 | 3 | 0.00% | 100.00% | 0.6365 | 0.9183 | CompressionProcessing | 66.67% | 0.0000
PreviousDistinctContext | CompressionProcessing->RecoveryResolution+Age1 | 285 | 0.00% | 100.00% | 0.2805 | 0.4046 | CompressionProcessing | 91.93% | 0.5147
PreviousDistinctContext | ConstructiveEmergence->CompressionProcessing+Age1 | 6 | 66.67% | 33.33% | 0.6365 | 0.9183 | CompressionProcessing | 66.67% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->CompressionProcessing+Age2 | 4 | 75.00% | 25.00% | 0.5623 | 0.8113 | CompressionProcessing | 75.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->CompressionProcessing+Age3 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->CompressionProcessing+Age4 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | CompressionProcessing | 66.67% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->CompressionProcessing+Age5 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->CompressionProcessing+Age6-10 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | CompressionProcessing | 66.67% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->DecayToNeutral+Age1 | 11 | 0.00% | 100.00% | 0.5860 | 0.8454 | NeutralProcessing | 72.73% | -0.1181
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age1 | 39 | 20.51% | 79.49% | 1.6498 | 0.8478 | NeutralProcessing | 35.90% | -0.2837
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age2 | 8 | 62.50% | 37.50% | 0.6616 | 0.9544 | MixedStructure | 62.50% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age3 | 5 | 20.00% | 80.00% | 0.9503 | 0.8650 | NeutralProcessing | 60.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age4 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age1 | 27 | 59.26% | 40.74% | 0.8691 | 0.7911 | NeutralProcessing | 59.26% | 0.3941
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age2 | 16 | 68.75% | 31.25% | 0.7775 | 0.7077 | NeutralProcessing | 68.75% | 0.6673
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age3 | 11 | 63.64% | 36.36% | 0.8600 | 0.7828 | NeutralProcessing | 63.64% | 0.4900
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age4 | 7 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age5 | 7 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age6-10 | 12 | 41.67% | 58.33% | 1.2367 | 0.8921 | NeutralProcessing | 41.67% | -0.0587
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age1 | 100 | 100.00% | 0.00% | -0.0000 | 0.0000 | CompressionProcessing | 100.00% | 2.0000
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age2 | 100 | 63.00% | 37.00% | 0.9442 | 0.6811 | CompressionProcessing | 63.00% | 0.5789
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age3 | 63 | 68.25% | 31.75% | 0.9457 | 0.6822 | CompressionProcessing | 68.25% | 0.6829
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age4 | 43 | 58.14% | 41.86% | 0.9539 | 0.6881 | CompressionProcessing | 58.14% | 0.4747
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age5 | 25 | 36.00% | 64.00% | 1.6069 | 0.8968 | CompressionProcessing | 36.00% | -0.1768
PreviousDistinctContext | DecayToNeutral->CompressionProcessing+Age6-10 | 16 | 43.75% | 56.25% | 1.4014 | 0.8707 | CompressionProcessing | 43.75% | 0.0043
PreviousDistinctContext | DecayToNeutral->ConstructiveEmergence+Age1 | 6 | 0.00% | 100.00% | 0.6931 | 1.0000 | DecayToNeutral | 50.00% | 0.0000
PreviousDistinctContext | DecayToNeutral->DestructiveRotation+Age1 | 127 | 13.39% | 86.61% | 1.1970 | 0.6681 | DecayToNeutral | 62.20% | 0.0878
