BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
667,"2026-05-11 09:40:00",29465,29468.5,29436.25,29438,2678,"LLLH","Red","Up",0.15,0.28,32.25,"Up",0.75,27,"Up",0.95,0.054264,0.217054,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorLow;AcceptanceAccepted"
668,"2026-05-11 09:45:00",29437.5,29439.75,29369,29414.5,10152,"LLLH","Red","Up",1,0.94,70.75,"Up",1,23,"Down",0.75,0.64311,0.04947,False,False,False,True,"Peak","Climactic","Absent","Absent","Accepted","Structural","VolumePeak20;RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
669,"2026-05-11 09:50:00",29413.5,29431,29406,29410.25,3662,"InsideBar","Red","Down",0.5,0.42,25,"Down",0.45,3.25,"Down",0.35,0.17,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
670,"2026-05-11 09:55:00",29411.25,29423.25,29398.5,29408,2879,"LLLH","Red","Down",0.25,0.28,24.75,"Down",0.45,3.25,"Flat",0.4,0.383838,0.69697,True,False,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
671,"2026-05-11 10:00:00",29408,29416,29396,29405,2970,"LLLH","Red","Up",0.3,0.28,20,"Down",0.3,3,"Down",0.25,0.45,0.875,True,False,False,True,"Rising","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
672,"2026-05-11 10:05:00",29404.5,29429,29404.5,29425.75,3030,"HHHL","Black","Up",0.35,0.3,24.5,"Up",0.5,21.25,"Up",0.8,0.867347,0.469388,False,False,True,False,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorHigh;AcceptanceAccepted"
673,"2026-05-11 10:10:00",29425.75,29432.5,29406.75,29419,2407,"HHHL","Red","Down",0.15,0.18,25.75,"Up",0.65,6.75,"Down",0.6,0.475728,0.864078,True,True,True,False,"Falling","Local","Local","Local","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
674,"2026-05-11 10:15:00",29419,29420,29382.75,29390.25,3315,"LLLH","Red","Up",0.6,0.38,37.25,"Up",0.95,28.75,"Up",1,0.201342,0.355705,False,False,False,True,"Rising","Climactic","Absent","Absent","Accepted","Structural","RangePeak20;RangeClimactic20;BreaksPriorLow;AcceptanceAccepted"
675,"2026-05-11 10:20:00",29389.5,29400.5,29377.25,29387.25,2854,"LLLH","Red","Down",0.3,0.2,23.25,"Down",0.45,2.25,"Down",0.2,0.430108,0.763441,True,False,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
676,"2026-05-11 10:25:00",29389,29423,29385,29419.5,3434,"HHHL","Black","Up",0.65,0.38,38,"Up",0.95,30.5,"Up",1,0.907895,0.407895,False,False,True,False,"Rising","Climactic","Absent","Absent","Accepted","Structural","RangePeak20;RangeClimactic20;BreaksPriorHigh;AcceptanceAccepted"
677,"2026-05-11 10:30:00",29420.25,29441,29416.5,29436.75,3212,"HHHL","Black","Down",0.55,0.3,24.5,"Down",0.55,16.5,"Down",0.65,0.826531,0.265306,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
678,"2026-05-11 10:35:00",29436.25,29453.5,29435.5,29448.5,3132,"HHHL","Black","Down",0.55,0.26,18,"Down",0.25,12.25,"Down",0.65,0.722222,0.305556,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
679,"2026-05-11 10:40:00",29448.25,29474,29444,29460,3363,"HHHL","Black","Up",0.75,0.36,30,"Up",0.8,11.75,"Down",0.6,0.533333,0.316667,False,False,True,False,"Rising","Strong","Absent","Absent","Accepted","Major","RangePeak20;BreaksPriorHigh;AcceptanceAccepted"
680,"2026-05-11 10:45:00",29460.75,29472,29455.75,29467.5,2235,"InsideBar","Black","Down",0.1,0.04,16.25,"Down",0.25,6.75,"Down",0.5,0.723077,1,True,False,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CompressionClustered"
681,"2026-05-11 10:50:00",29468.5,29476.5,29457.25,29459.25,3207,"HHHL","Red","Up",0.6,0.3,19.25,"Up",0.35,9.25,"Up",0.55,0.103896,0.766234,True,False,True,False,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorHigh;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
682,"2026-05-11 10:55:00",29458.5,29469,29453.5,29455.5,2887,"LLLH","Red","Down",0.4,0.18,15.5,"Down",0.1,3,"Down",0.25,0.129032,0.758065,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
683,"2026-05-11 11:00:00",29455,29463.5,29439.75,29441.5,2727,"LLLH","Red","Down",0.3,0.12,23.75,"Up",0.5,13.5,"Up",0.7,0.073684,0.421053,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
684,"2026-05-11 11:05:00",29442,29464,29440.75,29459,2866,"HHHL","Black","Up",0.4,0.18,23.25,"Down",0.45,17,"Up",0.75,0.784946,0.978495,True,False,True,False,"Rising","Absent","Clustered","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionClustered"
685,"2026-05-11 11:10:00",29459.25,29475,29456.25,29474,2268,"HHHL","Black","Down",0.1,0.06,18.75,"Down",0.25,14.75,"Down",0.65,0.946667,0.413333,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
686,"2026-05-11 11:15:00",29474.25,29475,29461.25,29464.25,2080,"InsideBar","Red","Down",0.05,0.02,13.75,"Down",0.05,10,"Down",0.45,0.218182,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
687,"2026-05-11 11:20:00",29463.25,29469,29457.25,29462.5,1966,"LLLH","Red","Down",0.05,0.02,11.75,"Down",0.05,0.75,"Down",0.05,0.446809,0.659574,True,False,False,True,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
688,"2026-05-11 11:25:00",29463,29469.5,29448.25,29465,3186,"OutsideBar","Black","Up",0.7,0.4,21.25,"Up",0.45,2,"Up",0.1,0.788235,0.552941,True,False,True,True,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorHigh;BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
