BarIndex,Time,Open,High,Low,Close,Volume,Geometry,VolumePolarity,VolumeDelta,VolumeRank20,VolumeRank50,Range,RangeDelta,RangeRank20,Body,BodyDelta,BodyRank20,CloseLocation,OverlapRatio,CloseInsidePriorRange,CloseInsidePriorBody,BreaksPriorHigh,BreaksPriorLow,ParticipationState,ExpansionState,CompressionState,DissipationState,AcceptanceState,SignificanceState,EvidenceFlags
9835,"2026-01-21 10:05:00",1.17825,1.17855,1.17805,1.17835,729,"HHHL","Black","Down",0.2,0.14,0.0005,"Up",0.4,0.0001,"Up",0.2,0.6,0.6,True,False,True,False,"Falling","Local","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;DissipationLocal;AcceptanceContained;CompressionLocal"
9836,"2026-01-21 10:10:00",1.17835,1.1788,1.17835,1.1788,600,"HHHL","Black","Down",0.1,0.08,0.00045,"Down",0.3,0.00045,"Up",0.7,1,0.444444,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9837,"2026-01-21 10:15:00",1.1788,1.1789,1.17855,1.1789,808,"HHHL","Black","Up",0.3,0.22,0.00035,"Down",0.25,0.0001,"Down",0.25,1,0.714286,False,False,True,False,"Rising","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9838,"2026-01-21 10:20:00",1.17885,1.179,1.17875,1.17885,649,"HHHL","Neutral","Down",0.2,0.14,0.00025,"Down",0.05,0,"Down",0.1,0.4,0.6,True,True,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9839,"2026-01-21 10:25:00",1.1789,1.17905,1.17875,1.17875,649,"OutsideBar","Red","Flat",0.25,0.14,0.0003,"Up",0.2,0.00015,"Up",0.45,0,0.833333,True,False,True,False,"Normal","Local","Local","Absent","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
9840,"2026-01-21 10:30:00",1.1788,1.179,1.1787,1.17875,342,"LLLH","Red","Down",0.05,0.02,0.0003,"Flat",0.25,0.00005,"Down",0.15,0.166667,0.833333,True,True,False,True,"Falling","Absent","Clustered","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionClustered"
9841,"2026-01-21 10:35:00",1.17865,1.17865,1.17795,1.17795,461,"LLLH","Red","Up",0.1,0.06,0.0007,"Up",0.8,0.0007,"Up",1,0,0,False,False,False,True,"Rising","Strong","Absent","Absent","Accepted","Major","RangePeak20;LowVolumeHighRange;BreaksPriorLow;AcceptanceAccepted"
9842,"2026-01-21 10:40:00",1.17795,1.1782,1.1778,1.178,534,"LLLH","Black","Up",0.2,0.1,0.0004,"Down",0.45,0.00005,"Down",0.15,0.5,0.625,True,True,False,True,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9843,"2026-01-21 10:45:00",1.17805,1.1782,1.1776,1.17775,1105,"OutsideBar","Red","Up",0.7,0.48,0.0006,"Up",0.7,0.0003,"Up",0.6,0.25,0.666667,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Moderate","BreaksPriorLow;AcceptanceAccepted"
9844,"2026-01-21 10:50:00",1.1778,1.1779,1.1776,1.17775,668,"InsideBar","Red","Down",0.4,0.2,0.0003,"Down",0.25,0.00005,"Down",0.2,0.5,1,True,True,False,False,"Falling","Absent","Clustered","Absent","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;CompressionClustered"
9845,"2026-01-21 10:55:00",1.17775,1.1782,1.17775,1.1782,291,"HHHL","Black","Down",0.05,0.02,0.00045,"Up",0.45,0.00045,"Up",0.65,1,0.333333,False,False,True,False,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
9846,"2026-01-21 11:00:00",1.1782,1.17835,1.1781,1.1782,365,"HHHL","Neutral","Up",0.15,0.06,0.00025,"Down",0.1,0,"Down",0.15,0.4,0.4,True,True,True,False,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9847,"2026-01-21 11:05:00",1.17825,1.17825,1.17785,1.17785,459,"LLLH","Red","Up",0.2,0.08,0.0004,"Up",0.5,0.0004,"Up",0.7,0,0.375,False,False,False,True,"Rising","Local","Absent","Absent","Accepted","Minor","BreaksPriorLow;AcceptanceAccepted"
9848,"2026-01-21 11:10:00",1.17785,1.17805,1.17775,1.17785,474,"LLLH","Neutral","Up",0.3,0.12,0.0003,"Down",0.35,0,"Down",0.2,0.333333,0.666667,True,True,False,True,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9849,"2026-01-21 11:15:00",1.1779,1.17795,1.17775,1.17785,496,"InsideBar","Red","Up",0.35,0.14,0.0002,"Down",0.05,0.00005,"Up",0.35,0.5,1,True,True,False,False,"Rising","Absent","Clustered","Local","Unresolved","Minor","CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;CompressionClustered"
9850,"2026-01-21 11:20:00",1.17785,1.17795,1.17765,1.17765,248,"OutsideBar","Red","Down",0.05,0.02,0.0003,"Up",0.45,0.0002,"Up",0.65,0,0.666667,False,False,False,True,"Falling","Local","Absent","Local","Accepted","Minor","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9851,"2026-01-21 11:25:00",1.17765,1.17795,1.1776,1.1779,339,"OutsideBar","Black","Up",0.15,0.06,0.00035,"Up",0.6,0.00025,"Up",0.7,0.857143,0.857143,True,False,False,True,"Rising","Local","Local","Absent","Contained","Moderate","BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
9852,"2026-01-21 11:30:00",1.1779,1.178,1.17785,1.1779,285,"HHHL","Neutral","Down",0.1,0.04,0.00015,"Down",0.05,0,"Down",0.25,0.333333,0.666667,True,True,True,False,"Falling","Absent","Local","Local","Contained","Minor","BreaksPriorHigh;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9853,"2026-01-21 11:35:00",1.17785,1.17815,1.17765,1.17785,644,"OutsideBar","Neutral","Up",0.65,0.3,0.0005,"Up",0.9,0,"Flat",0.3,0.4,0.3,True,False,True,True,"Rising","Strong","Local","Absent","Contained","Structural","RangePeak20;BreaksPriorHigh;BreaksPriorLow;CloseInsidePriorRange;AcceptanceContained;CompressionLocal"
9854,"2026-01-21 11:40:00",1.17785,1.1779,1.1775,1.1775,435,"LLLH","Red","Down",0.35,0.14,0.0004,"Down",0.7,0.00035,"Up",0.8,0,0.625,False,False,False,True,"Falling","Absent","Absent","Local","Accepted","Moderate","BreaksPriorLow;DissipationLocal;AcceptanceAccepted"
9855,"2026-01-21 11:45:00",1.1775,1.1776,1.1773,1.1776,475,"LLLH","Black","Up",0.55,0.22,0.0003,"Down",0.5,0.0001,"Down",0.55,1,0.333333,True,True,False,True,"Rising","Absent","Local","Local","Contained","Minor","BreaksPriorLow;CloseInsidePriorRange;CloseInsidePriorBody;DissipationLocal;AcceptanceContained;CompressionLocal"
9856,"2026-01-21 11:50:00",1.1776,1.17785,1.1776,1.1778,172,"HHHL","Black","Down",0.05,0.02,0.00025,"Down",0.25,0.0002,"Up",0.7,0.8,0,False,False,True,False,"Falling","Absent","Absent","Local","Accepted","Minor","BreaksPriorHigh;DissipationLocal;AcceptanceAccepted"
