APVA Minimal Engine Study v0.1 - Aggregate
====================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Hazard Table
State | AgeBucket | Horizon | Count_6E | ExitRate_6E | Entropy_6E | DominantDestination_6E | DominantProbability_6E | Count_CL | ExitRate_CL | Entropy_CL | DominantDestination_CL | DominantProbability_CL | Count_NQ | ExitRate_NQ | Entropy_NQ | DominantDestination_NQ | DominantProbability_NQ | ValidInstrumentCount | MeanExitRate | MeanEntropy | MeanDominantProbability
NeutralProcessing | 1 | t+1 | 5672 | 43.49% | 1.2623 | NeutralProcessing | 56.51% | 445 | 43.15% | 1.2605 | NeutralProcessing | 56.85% | 297 | 41.08% | 1.2465 | NeutralProcessing | 58.92% | 3 | 42.57% | 1.2564 | 57.43%
NeutralProcessing | 1 | t+2 | 5672 | 57.33% | 1.6700 | NeutralProcessing | 42.67% | 445 | 56.63% | 1.6554 | NeutralProcessing | 43.37% | 297 | 51.18% | 1.5758 | NeutralProcessing | 48.82% | 3 | 55.05% | 1.6338 | 44.95%
NeutralProcessing | 1 | t+3 | 5672 | 41.64% | 1.3942 | NeutralProcessing | 58.36% | 445 | 38.65% | 1.3721 | NeutralProcessing | 61.35% | 297 | 38.72% | 1.3235 | NeutralProcessing | 61.28% | 3 | 39.67% | 1.3633 | 60.33%
NeutralProcessing | 1 | t+5 | 5671 | 51.70% | 1.6090 | NeutralProcessing | 48.30% | 444 | 50.45% | 1.6019 | NeutralProcessing | 49.55% | 297 | 45.79% | 1.5446 | NeutralProcessing | 54.21% | 3 | 49.31% | 1.5852 | 50.69%
NeutralProcessing | 11-20 | t+1 | 891 | 22.78% | 0.8432 | NeutralProcessing | 77.22% | 30 | 36.67% | 1.1205 | NeutralProcessing | 63.33% | 37 | 32.43% | 1.0988 | NeutralProcessing | 67.57% | 3 | 30.63% | 1.0208 | 69.37%
NeutralProcessing | 11-20 | t+2 | 891 | 33.22% | 1.1916 | NeutralProcessing | 66.78% | 30 | 53.33% | 1.5605 | NeutralProcessing | 46.67% | 37 | 48.65% | 1.4766 | NeutralProcessing | 51.35% | 3 | 45.07% | 1.4096 | 54.93%
NeutralProcessing | 11-20 | t+3 | 891 | 36.48% | 1.2965 | NeutralProcessing | 63.52% | 30 | 53.33% | 1.5133 | NeutralProcessing | 46.67% | 37 | 48.65% | 1.4766 | NeutralProcessing | 51.35% | 3 | 46.15% | 1.4288 | 53.85%
NeutralProcessing | 11-20 | t+5 | 891 | 47.36% | 1.5130 | NeutralProcessing | 52.64% | 30 | 56.67% | 1.5872 | NeutralProcessing | 43.33% | 37 | 51.35% | 1.5162 | NeutralProcessing | 48.65% | 3 | 51.79% | 1.5388 | 48.21%
NeutralProcessing | 2 | t+1 | 3205 | 45.27% | 1.2354 | NeutralProcessing | 54.73% | 253 | 44.66% | 1.2109 | NeutralProcessing | 55.34% | 175 | 36.00% | 1.0659 | NeutralProcessing | 64.00% | 3 | 41.98% | 1.1707 | 58.02%
NeutralProcessing | 2 | t+2 | 3205 | 31.05% | 1.1168 | NeutralProcessing | 68.95% | 253 | 29.64% | 1.0588 | NeutralProcessing | 70.36% | 175 | 29.71% | 1.0119 | NeutralProcessing | 70.29% | 3 | 30.13% | 1.0625 | 69.87%
NeutralProcessing | 2 | t+3 | 3205 | 27.55% | 1.0446 | NeutralProcessing | 72.45% | 253 | 27.27% | 1.0031 | NeutralProcessing | 72.73% | 175 | 21.71% | 0.9019 | NeutralProcessing | 78.29% | 3 | 25.51% | 0.9832 | 74.49%
NeutralProcessing | 2 | t+5 | 3205 | 49.20% | 1.5807 | NeutralProcessing | 50.80% | 252 | 51.19% | 1.6167 | NeutralProcessing | 48.81% | 175 | 50.29% | 1.5736 | NeutralProcessing | 49.71% | 3 | 50.23% | 1.5903 | 49.77%
NeutralProcessing | 21+ | t+1 | 82 | 21.95% | 0.7959 | NeutralProcessing | 78.05% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 1 | 21.95% | 0.7959 | 78.05%
NeutralProcessing | 21+ | t+2 | 82 | 25.61% | 0.9431 | NeutralProcessing | 74.39% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 1 | 25.61% | 0.9431 | 74.39%
NeutralProcessing | 21+ | t+3 | 82 | 37.80% | 1.2570 | NeutralProcessing | 62.20% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 1 | 37.80% | 1.2570 | 62.20%
NeutralProcessing | 21+ | t+5 | 82 | 47.56% | 1.5595 | NeutralProcessing | 52.44% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 1 | 47.56% | 1.5595 | 52.44%
NeutralProcessing | 3 | t+1 | 1754 | 25.20% | 0.8439 | NeutralProcessing | 74.80% | 140 | 24.29% | 0.7992 | NeutralProcessing | 75.71% | 112 | 25.89% | 0.8115 | NeutralProcessing | 74.11% | 3 | 25.13% | 0.8182 | 74.87%
NeutralProcessing | 3 | t+2 | 1754 | 15.74% | 0.6911 | NeutralProcessing | 84.26% | 140 | 17.14% | 0.7218 | NeutralProcessing | 82.86% | 112 | 10.71% | 0.5154 | NeutralProcessing | 89.29% | 3 | 14.53% | 0.6428 | 85.47%
NeutralProcessing | 3 | t+3 | 1754 | 25.77% | 0.9872 | NeutralProcessing | 74.23% | 139 | 29.50% | 1.0731 | NeutralProcessing | 70.50% | 112 | 23.21% | 0.8277 | NeutralProcessing | 76.79% | 3 | 26.16% | 0.9627 | 73.84%
NeutralProcessing | 3 | t+5 | 1754 | 49.94% | 1.5830 | NeutralProcessing | 50.06% | 139 | 53.24% | 1.6877 | NeutralProcessing | 46.76% | 111 | 53.15% | 1.6804 | NeutralProcessing | 46.85% | 3 | 52.11% | 1.6504 | 47.89%
NeutralProcessing | 4 | t+1 | 1312 | 9.15% | 0.4516 | NeutralProcessing | 90.85% | 106 | 10.38% | 0.4644 | NeutralProcessing | 89.62% | 83 | 3.61% | 0.1952 | NeutralProcessing | 96.39% | 3 | 7.71% | 0.3704 | 92.29%
NeutralProcessing | 4 | t+2 | 1312 | 20.35% | 0.8342 | NeutralProcessing | 79.65% | 106 | 23.58% | 0.9034 | NeutralProcessing | 76.42% | 83 | 14.46% | 0.5761 | NeutralProcessing | 85.54% | 3 | 19.46% | 0.7712 | 80.54%
NeutralProcessing | 4 | t+3 | 1312 | 33.46% | 1.2224 | NeutralProcessing | 66.54% | 106 | 35.85% | 1.1811 | NeutralProcessing | 64.15% | 83 | 37.35% | 1.2064 | NeutralProcessing | 62.65% | 3 | 35.55% | 1.2033 | 64.45%
NeutralProcessing | 4 | t+5 | 1312 | 47.41% | 1.5312 | NeutralProcessing | 52.59% | 106 | 58.49% | 1.7302 | NeutralProcessing | 41.51% | 82 | 51.22% | 1.5787 | NeutralProcessing | 48.78% | 3 | 52.37% | 1.6134 | 47.63%
NeutralProcessing | 5 | t+1 | 1192 | 18.79% | 0.7665 | NeutralProcessing | 81.21% | 95 | 21.05% | 0.7551 | NeutralProcessing | 78.95% | 80 | 12.50% | 0.4947 | NeutralProcessing | 87.50% | 3 | 17.45% | 0.6721 | 82.55%
NeutralProcessing | 5 | t+2 | 1192 | 30.62% | 1.1342 | NeutralProcessing | 69.38% | 95 | 30.53% | 1.0240 | NeutralProcessing | 69.47% | 80 | 35.00% | 1.1637 | NeutralProcessing | 65.00% | 3 | 32.05% | 1.1073 | 67.95%
NeutralProcessing | 5 | t+3 | 1192 | 44.30% | 1.4619 | NeutralProcessing | 55.70% | 95 | 49.47% | 1.6058 | NeutralProcessing | 50.53% | 79 | 49.37% | 1.5367 | NeutralProcessing | 50.63% | 3 | 47.71% | 1.5348 | 52.29%
NeutralProcessing | 5 | t+5 | 1192 | 48.66% | 1.5698 | NeutralProcessing | 51.34% | 95 | 48.42% | 1.5437 | NeutralProcessing | 51.58% | 79 | 48.10% | 1.6481 | NeutralProcessing | 51.90% | 3 | 48.39% | 1.5872 | 51.61%
NeutralProcessing | 6-10 | t+1 | 2884 | 25.90% | 0.9239 | NeutralProcessing | 74.10% | 208 | 30.77% | 1.0049 | NeutralProcessing | 69.23% | 191 | 29.84% | 1.0297 | NeutralProcessing | 70.16% | 3 | 28.84% | 0.9862 | 71.16%
NeutralProcessing | 6-10 | t+2 | 2884 | 35.19% | 1.2425 | NeutralProcessing | 64.81% | 208 | 44.71% | 1.4341 | NeutralProcessing | 55.29% | 190 | 44.21% | 1.4320 | NeutralProcessing | 55.79% | 3 | 41.37% | 1.3695 | 58.63%
NeutralProcessing | 6-10 | t+3 | 2884 | 39.32% | 1.3691 | NeutralProcessing | 60.68% | 208 | 49.52% | 1.5831 | NeutralProcessing | 50.48% | 190 | 48.42% | 1.6006 | NeutralProcessing | 51.58% | 3 | 45.75% | 1.5176 | 54.25%
NeutralProcessing | 6-10 | t+5 | 2884 | 48.51% | 1.5760 | NeutralProcessing | 51.49% | 208 | 53.85% | 1.7240 | NeutralProcessing | 46.15% | 190 | 57.37% | 1.7318 | NeutralProcessing | 42.63% | 3 | 53.24% | 1.6772 | 46.76%
ReassertionProcessing | 1 | t+1 | 1759 | 86.53% | 1.3784 | NeutralProcessing | 41.39% | 174 | 81.61% | 1.3656 | MixedStructure | 37.93% | 147 | 78.91% | 1.3282 | NeutralProcessing | 39.46% | 3 | 82.35% | 1.3574 | 39.59%
ReassertionProcessing | 1 | t+2 | 1759 | 82.55% | 1.5261 | NeutralProcessing | 51.96% | 174 | 79.31% | 1.5030 | NeutralProcessing | 50.00% | 147 | 78.91% | 1.4314 | NeutralProcessing | 51.02% | 3 | 80.26% | 1.4868 | 50.99%
ReassertionProcessing | 1 | t+3 | 1759 | 84.88% | 1.7391 | NeutralProcessing | 36.67% | 174 | 86.78% | 1.7021 | NeutralProcessing | 41.38% | 147 | 80.27% | 1.6395 | NeutralProcessing | 38.78% | 3 | 83.98% | 1.6936 | 38.94%
ReassertionProcessing | 1 | t+5 | 1759 | 93.29% | 1.5219 | NeutralProcessing | 53.21% | 174 | 93.68% | 1.5734 | NeutralProcessing | 54.02% | 147 | 87.76% | 1.5188 | NeutralProcessing | 54.42% | 3 | 91.57% | 1.5380 | 53.89%
ReassertionProcessing | 2 | t+1 | 237 | 93.67% | 1.0276 | DestructiveRotation | 45.99% | 32 | 96.88% | 0.9081 | DestructiveRotation | 56.25% | 31 | 96.77% | 0.9467 | DestructiveRotation | 61.29% | 3 | 95.77% | 0.9608 | 54.51%
ReassertionProcessing | 2 | t+2 | 237 | 81.01% | 1.4034 | NeutralProcessing | 50.63% | 32 | 84.38% | 1.6265 | NeutralProcessing | 43.75% | 31 | 90.32% | 1.6169 | NeutralProcessing | 41.94% | 3 | 85.24% | 1.5489 | 45.44%
ReassertionProcessing | 2 | t+3 | 237 | 82.28% | 1.6077 | NeutralProcessing | 33.33% | 32 | 75.00% | 1.6393 | NeutralProcessing | 34.38% | 31 | 83.87% | 1.5980 | DestructiveRotation | 32.26% | 3 | 80.38% | 1.6150 | 33.32%
ReassertionProcessing | 2 | t+5 | 237 | 93.67% | 1.5150 | NeutralProcessing | 53.59% | 32 | 90.62% | 1.3652 | NeutralProcessing | 59.38% | 31 | 90.32% | 1.6596 | NeutralProcessing | 48.39% | 3 | 91.54% | 1.5133 | 53.78%
ReassertionProcessing | 3 | t+1 | 15 | 100.00% | 0.2449 | DestructiveRotation | 93.33% | 1 | 100.00% | -0.0000 | DestructiveRotation | 100.00% | 1 | 100.00% | -0.0000 | DestructiveRotation | 100.00% | 0 | 0.00% | 0.0000 | 0.00%
ReassertionProcessing | 3 | t+2 | 15 | 66.67% | 1.6746 | ReassertionProcessing | 33.33% | 1 | 100.00% | -0.0000 | DestructiveRotation | 100.00% | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | 0.00% | 0.0000 | 0.00%
ReassertionProcessing | 3 | t+3 | 15 | 86.67% | 1.8414 | CompressionProcessing | 26.67% | 1 | 100.00% | -0.0000 | ExhaustionPersistence | 100.00% | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | 0.00% | 0.0000 | 0.00%
ReassertionProcessing | 3 | t+5 | 15 | 100.00% | 1.1369 | NeutralProcessing | 53.33% | 1 | 100.00% | -0.0000 | RecoveryResolution | 100.00% | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 1 | t+1 | 1079 | 68.58% | 0.9454 | CompressionProcessing | 56.26% | 94 | 59.57% | 0.9542 | CompressionProcessing | 48.94% | 46 | 71.74% | 0.9661 | CompressionProcessing | 56.52% | 3 | 66.63% | 0.9553 | 53.90%
RecoveryResolution | 1 | t+2 | 1079 | 73.03% | 1.2239 | CompressionProcessing | 41.71% | 94 | 68.09% | 1.2006 | CompressionProcessing | 36.17% | 46 | 78.26% | 1.1500 | CompressionProcessing | 39.13% | 3 | 73.13% | 1.1915 | 39.00%
RecoveryResolution | 1 | t+3 | 1079 | 96.11% | 0.9655 | CompressionProcessing | 62.84% | 94 | 95.74% | 1.0541 | CompressionProcessing | 56.38% | 46 | 97.83% | 0.8471 | CompressionProcessing | 58.70% | 3 | 96.56% | 0.9555 | 59.30%
RecoveryResolution | 1 | t+5 | 1079 | 92.59% | 1.6413 | NeutralProcessing | 41.89% | 94 | 89.36% | 1.6795 | NeutralProcessing | 40.43% | 46 | 97.83% | 1.5675 | NeutralProcessing | 50.00% | 3 | 93.26% | 1.6294 | 44.11%
RecoveryResolution | 2 | t+1 | 339 | 25.96% | 0.5726 | RecoveryResolution | 74.04% | 38 | 28.95% | 0.6017 | RecoveryResolution | 71.05% | 13 | 30.77% | 0.6172 | RecoveryResolution | 69.23% | 2 | 27.45% | 0.5872 | 72.55%
RecoveryResolution | 2 | t+2 | 339 | 95.28% | 1.0028 | CompressionProcessing | 61.95% | 38 | 97.37% | 1.0245 | CompressionProcessing | 55.26% | 13 | 100.00% | 0.6663 | CompressionProcessing | 61.54% | 2 | 96.32% | 1.0136 | 58.61%
RecoveryResolution | 2 | t+3 | 339 | 93.81% | 1.0874 | CompressionProcessing | 53.10% | 38 | 97.37% | 0.9589 | CompressionProcessing | 60.53% | 13 | 92.31% | 0.8981 | CompressionProcessing | 53.85% | 2 | 95.59% | 1.0232 | 56.81%
RecoveryResolution | 2 | t+5 | 339 | 92.33% | 1.7185 | NeutralProcessing | 40.12% | 38 | 100.00% | 1.2981 | NeutralProcessing | 55.26% | 13 | 100.00% | 0.9372 | NeutralProcessing | 69.23% | 2 | 96.17% | 1.5083 | 47.69%
RecoveryResolution | 3 | t+1 | 251 | 93.63% | 0.9486 | CompressionProcessing | 68.92% | 27 | 96.30% | 1.0085 | CompressionProcessing | 62.96% | 9 | 100.00% | 0.5297 | CompressionProcessing | 77.78% | 2 | 94.96% | 0.9786 | 65.94%
RecoveryResolution | 3 | t+2 | 251 | 92.43% | 1.0841 | CompressionProcessing | 58.17% | 27 | 96.30% | 0.9488 | CompressionProcessing | 66.67% | 9 | 88.89% | 0.9369 | CompressionProcessing | 55.56% | 2 | 94.36% | 1.0164 | 62.42%
RecoveryResolution | 3 | t+3 | 251 | 90.44% | 1.7053 | CompressionProcessing | 32.27% | 27 | 92.59% | 1.4379 | NeutralProcessing | 48.15% | 9 | 100.00% | 1.4271 | NeutralProcessing | 44.44% | 2 | 91.52% | 1.5716 | 40.21%
RecoveryResolution | 3 | t+5 | 251 | 91.63% | 1.6839 | NeutralProcessing | 41.43% | 27 | 100.00% | 1.2521 | NeutralProcessing | 59.26% | 9 | 88.89% | 1.3031 | NeutralProcessing | 55.56% | 2 | 95.82% | 1.4680 | 50.35%
RecoveryResolution | 4 | t+1 | 16 | 62.50% | 0.6616 | CompressionProcessing | 62.50% | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 4 | t+2 | 16 | 62.50% | 1.1627 | CompressionProcessing | 43.75% | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 4 | t+3 | 16 | 93.75% | 0.9869 | CompressionProcessing | 62.50% | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 4 | t+5 | 16 | 100.00% | 1.1901 | NeutralProcessing | 56.25% | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 5 | t+1 | 6 | 16.67% | 0.4506 | RecoveryResolution | 83.33% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 5 | t+2 | 6 | 100.00% | 0.6365 | CompressionProcessing | 66.67% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 5 | t+3 | 6 | 83.33% | 0.8676 | NeutralProcessing | 66.67% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 5 | t+5 | 6 | 100.00% | 0.6931 | CompressionProcessing | 50.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 6-10 | t+1 | 5 | 100.00% | 0.6730 | CompressionProcessing | 60.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 6-10 | t+2 | 5 | 80.00% | 0.9503 | NeutralProcessing | 60.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 6-10 | t+3 | 5 | 100.00% | 1.0549 | CompressionProcessing | 40.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
RecoveryResolution | 6-10 | t+5 | 5 | 100.00% | 0.5004 | NeutralProcessing | 80.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%

Aggregate Survival Curve Table
State | Survival1_6E | Survival2_6E | Survival3_6E | Survival5_6E | Survival10_6E | Survival20_6E | Survival1_CL | Survival2_CL | Survival3_CL | Survival5_CL | Survival10_CL | Survival20_CL | Survival1_NQ | Survival2_NQ | Survival3_NQ | Survival5_NQ | Survival10_NQ | Survival20_NQ | ValidInstrumentCount | MeanSurvival1 | MeanSurvival2 | MeanSurvival3 | MeanSurvival5 | MeanSurvival10 | MeanSurvival20
RecoveryResolution | 36.38% | 16.39% | 1.59% | 0.29% | 0.00% | 0.00% | 41.25% | 17.50% | 0.62% | 0.00% | 0.00% | 0.00% | 32.35% | 13.24% | 0.00% | 0.00% | 0.00% | 0.00% | 3 | 36.66% | 15.71% | 0.74% | 0.10% | 0.00% | 0.00%
ExhaustionPersistence | 40.76% | 24.63% | 12.21% | 1.54% | 0.00% | 0.00% | 44.89% | 27.27% | 15.34% | 1.70% | 0.00% | 0.00% | 52.34% | 34.58% | 21.50% | 5.61% | 0.00% | 0.00% | 3 | 46.00% | 28.83% | 16.35% | 2.95% | 0.00% | 0.00%
CompressionProcessing | 54.88% | 29.31% | 16.37% | 3.88% | 0.08% | 0.00% | 49.43% | 23.21% | 11.46% | 1.72% | 0.00% | 0.00% | 56.59% | 31.71% | 17.07% | 4.39% | 0.00% | 0.00% | 3 | 53.63% | 28.08% | 14.97% | 3.33% | 0.03% | 0.00%
NeutralProcessing | 66.62% | 47.76% | 37.44% | 22.70% | 5.73% | 0.48% | 65.15% | 45.34% | 34.40% | 18.68% | 2.36% | 0.00% | 69.64% | 51.75% | 40.29% | 23.58% | 3.83% | 0.00% | 3 | 67.14% | 48.28% | 37.38% | 21.66% | 3.97% | 0.16%
ReassertionProcessing | 12.53% | 0.75% | 0.00% | 0.00% | 0.00% | 0.00% | 15.94% | 0.48% | 0.00% | 0.00% | 0.00% | 0.00% | 17.88% | 0.56% | 0.00% | 0.00% | 0.00% | 0.00% | 3 | 15.45% | 0.60% | 0.00% | 0.00% | 0.00% | 0.00%
DecayToNeutral | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 3 | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00%
DestructiveRotation | 11.81% | 1.27% | 0.11% | 0.00% | 0.00% | 0.00% | 15.48% | 1.19% | 0.00% | 0.00% | 0.00% | 0.00% | 20.25% | 6.33% | 0.00% | 0.00% | 0.00% | 0.00% | 3 | 15.85% | 2.93% | 0.04% | 0.00% | 0.00% | 0.00%
ConstructiveEmergence | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 1 | 0.00% | 0.00% | 0.00% | 0.00% | 0.00% | 0.00%
MixedStructure | 11.06% | 1.39% | 0.25% | 0.00% | 0.00% | 0.00% | 11.15% | 2.23% | 0.64% | 0.00% | 0.00% | 0.00% | 15.28% | 2.78% | 0.93% | 0.00% | 0.00% | 0.00% | 3 | 12.50% | 2.13% | 0.60% | 0.00% | 0.00% | 0.00%

Aggregate Age Effect Table
State | MinExitAge_6E | MinExitRate_6E | MaxExitAge_6E | MaxExitRate_6E | ExitRateSpread_6E | EntropySpread_6E | AgeEffectStrength_6E | MinExitAge_CL | MinExitRate_CL | MaxExitAge_CL | MaxExitRate_CL | ExitRateSpread_CL | EntropySpread_CL | AgeEffectStrength_CL | MinExitAge_NQ | MinExitRate_NQ | MaxExitAge_NQ | MaxExitRate_NQ | ExitRateSpread_NQ | EntropySpread_NQ | AgeEffectStrength_NQ | MeanExitRateSpread | MeanEntropySpread | MeanAgeEffectStrength
RecoveryResolution | 2 | 25.96% | 3 | 93.63% | 0.6767 | 0.3760 | 1.0527 | 2 | 28.95% | 3 | 96.30% | 0.6735 | 0.4069 | 1.0804 | 1 | 71.74% | 1 | 71.74% | 0.0000 | 0.0000 | 0.0000 | 0.4501 | 0.2609 | 0.7110
ExhaustionPersistence | 2 | 23.03% | 1 | 72.76% | 0.4973 | 1.1042 | 1.6016 | 3 | 23.81% | 1 | 68.04% | 0.4423 | 0.9985 | 1.4408 | 1 | 62.75% | 1 | 62.75% | 0.0000 | 0.0000 | 0.0000 | 0.3132 | 0.7009 | 1.0141
CompressionProcessing | 3 | 37.14% | 5 | 54.96% | 0.1782 | 0.4325 | 0.6107 | 4 | 45.45% | 2 | 55.43% | 0.0998 | 0.1301 | 0.2299 | 3 | 40.00% | 1 | 42.70% | 0.0270 | 0.0890 | 0.1160 | 0.1017 | 0.2172 | 0.3189
NeutralProcessing | 4 | 9.15% | 2 | 45.27% | 0.3613 | 0.8108 | 1.1720 | 4 | 10.38% | 2 | 44.66% | 0.3429 | 0.7961 | 1.1390 | 4 | 3.61% | 1 | 41.08% | 0.3746 | 1.0513 | 1.4259 | 0.3596 | 0.8860 | 1.2456
ReassertionProcessing | 1 | 86.53% | 2 | 93.67% | 0.0714 | 0.3507 | 0.4222 | 1 | 81.61% | 2 | 96.88% | 0.1527 | 0.4576 | 0.6102 | 1 | 78.91% | 2 | 96.77% | 0.1786 | 0.3815 | 0.5601 | 0.1342 | 0.3966 | 0.5308
DecayToNeutral | 1 | 100.00% | 1 | 100.00% | 0.0000 | 0.0000 | 0.0000 | 1 | 100.00% | 1 | 100.00% | 0.0000 | 0.0000 | 0.0000 | 1 | 100.00% | 1 | 100.00% | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
DestructiveRotation | 1 | 88.04% | 2 | 89.00% | 0.0096 | 0.1323 | 0.1419 | 1 | 83.10% | 1 | 83.10% | 0.0000 | 0.0000 | 0.0000 | 1 | 82.54% | 1 | 82.54% | 0.0000 | 0.0000 | 0.0000 | 0.0032 | 0.0441 | 0.0473
ConstructiveEmergence | 1 | 100.00% | 1 | 100.00% | 0.0000 | 0.0000 | 0.0000 | 1 | 100.00% | 1 | 100.00% | 0.0000 | 0.0000 | 0.0000 | 1 | 100.00% | 1 | 100.00% | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000 | 0.0000
MixedStructure | 3 | 80.95% | 1 | 89.12% | 0.0817 | 0.2318 | 0.3135 | 2 | 82.14% | 1 | 89.96% | 0.0782 | 0.0701 | 0.1483 | 2 | 85.19% | 1 | 85.25% | 0.0006 | 0.1639 | 0.1645 | 0.0535 | 0.1553 | 0.2088

Aggregate State vs State+Age Table
Horizon | StateOnlyEntropy_6E | StateAgeEntropy_6E | EntropyReduction_6E | PercentReduction_6E | StateOnlyEntropy_CL | StateAgeEntropy_CL | EntropyReduction_CL | PercentReduction_CL | StateOnlyEntropy_NQ | StateAgeEntropy_NQ | EntropyReduction_NQ | PercentReduction_NQ | ValidInstrumentCount | MeanEntropyReduction | MeanPercentReduction | MeanSparseRateIncrease
t+1 | 1.2522 | 1.1919 | 0.0603 | 4.82% | 1.2712 | 1.1845 | 0.0867 | 6.82% | 1.2295 | 1.1314 | 0.0981 | 7.98% | 3 | 0.0817 | 6.54% | 27.02%
t+2 | 1.4438 | 1.3994 | 0.0444 | 3.08% | 1.4807 | 1.4001 | 0.0807 | 5.45% | 1.4306 | 1.3429 | 0.0877 | 6.13% | 3 | 0.0709 | 4.88% | 27.02%
t+3 | 1.4823 | 1.4605 | 0.0218 | 1.47% | 1.5221 | 1.4675 | 0.0547 | 3.59% | 1.4938 | 1.4144 | 0.0794 | 5.31% | 3 | 0.0519 | 3.46% | 27.02%
t+5 | 1.6009 | 1.5971 | 0.0038 | 0.24% | 1.6472 | 1.6116 | 0.0356 | 2.16% | 1.6022 | 1.5510 | 0.0511 | 3.19% | 3 | 0.0302 | 1.86% | 27.02%

Aggregate Zone Table
State | Zone | Count_6E | ExitRate_6E | Entropy_6E | Count_CL | ExitRate_CL | Entropy_CL | Count_NQ | ExitRate_NQ | Entropy_NQ | ValidInstrumentCount | MeanExitRate | MeanEntropy
CompressionProcessing | Late | 252 | 50.40% | 1.4405 | 6 | 83.33% | 1.2425 | 9 | 33.33% | 0.8487 | 1 | 50.40% | 1.4405
CompressionProcessing | Middle | 1650 | 43.21% | 1.2809 | 75 | 48.00% | 1.3679 | 56 | 48.21% | 1.5254 | 3 | 46.48% | 1.3914
CompressionProcessing | Young | 4587 | 45.52% | 1.1654 | 269 | 50.56% | 1.2188 | 140 | 42.14% | 1.1382 | 3 | 46.07% | 1.1741
ConstructiveEmergence | Young | 83 | 100.00% | 1.1780 | 12 | 100.00% | 1.0776 | 14 | 100.00% | 0.8305 | 1 | 100.00% | 1.1780
DecayToNeutral | Young | 1486 | 100.00% | 1.1580 | 103 | 100.00% | 1.0086 | 86 | 100.00% | 0.9062 | 3 | 100.00% | 1.0243
DestructiveRotation | Middle | 12 | 91.67% | 0.9831 | 1 | 100.00% | -0.0000 | 5 | 100.00% | 0.5004 | 0 | 0.00% | 0.0000
DestructiveRotation | Young | 936 | 88.14% | 1.8122 | 83 | 84.34% | 1.6722 | 74 | 78.38% | 1.7958 | 3 | 83.62% | 1.7601
