APVA Minimal Engine Study v0.1 - Aggregate
====================================================================================================
Instruments: 6E, CL, NQ

Aggregate Transition Hazard Table
State | AgeBucket | Horizon | Count_6E | ExitRate_6E | Entropy_6E | DominantDestination_6E | DominantProbability_6E | Count_CL | ExitRate_CL | Entropy_CL | DominantDestination_CL | DominantProbability_CL | Count_NQ | ExitRate_NQ | Entropy_NQ | DominantDestination_NQ | DominantProbability_NQ | ValidInstrumentCount | MeanExitRate | MeanEntropy | MeanDominantProbability
CompressionProcessing | 2 | t+3 | 1659 | 60.76% | 1.5317 | CompressionProcessing | 39.24% | 92 | 68.48% | 1.5752 | NeutralProcessing | 36.96% | 51 | 68.63% | 1.6389 | NeutralProcessing | 33.33% | 3 | 65.96% | 1.5820 | 36.51%
CompressionProcessing | 2 | t+5 | 1659 | 77.58% | 1.6134 | NeutralProcessing | 45.57% | 92 | 88.04% | 1.6274 | NeutralProcessing | 48.91% | 51 | 80.39% | 1.5546 | NeutralProcessing | 47.06% | 3 | 82.00% | 1.5985 | 47.18%
CompressionProcessing | 3 | t+1 | 840 | 37.14% | 1.1341 | CompressionProcessing | 62.86% | 41 | 46.34% | 1.2311 | CompressionProcessing | 53.66% | 30 | 40.00% | 1.1965 | CompressionProcessing | 60.00% | 3 | 41.16% | 1.1872 | 58.84%
CompressionProcessing | 3 | t+2 | 840 | 53.93% | 1.4366 | CompressionProcessing | 46.07% | 41 | 60.98% | 1.6246 | CompressionProcessing | 39.02% | 30 | 60.00% | 1.5632 | CompressionProcessing | 40.00% | 3 | 58.30% | 1.5415 | 41.70%
CompressionProcessing | 3 | t+3 | 840 | 70.00% | 1.7254 | NeutralProcessing | 34.05% | 41 | 78.05% | 1.7279 | NeutralProcessing | 26.83% | 30 | 83.33% | 1.6397 | NeutralProcessing | 40.00% | 3 | 77.13% | 1.6977 | 33.63%
CompressionProcessing | 3 | t+5 | 840 | 77.74% | 1.6471 | NeutralProcessing | 43.93% | 41 | 85.37% | 1.6473 | NeutralProcessing | 46.34% | 30 | 86.67% | 1.7189 | NeutralProcessing | 46.67% | 3 | 83.26% | 1.6711 | 45.65%
CompressionProcessing | 4 | t+1 | 528 | 46.59% | 1.3071 | CompressionProcessing | 53.41% | 22 | 45.45% | 1.2438 | CompressionProcessing | 54.55% | 18 | 55.56% | 1.6581 | CompressionProcessing | 44.44% | 2 | 46.02% | 1.2755 | 53.98%
CompressionProcessing | 4 | t+2 | 528 | 64.58% | 1.6954 | CompressionProcessing | 35.42% | 22 | 68.18% | 1.5905 | CompressionProcessing | 31.82% | 18 | 77.78% | 1.6188 | NeutralProcessing | 33.33% | 2 | 66.38% | 1.6430 | 33.62%
CompressionProcessing | 4 | t+3 | 528 | 71.40% | 1.6945 | NeutralProcessing | 36.36% | 22 | 86.36% | 1.6919 | NeutralProcessing | 31.82% | 18 | 77.78% | 1.4750 | NeutralProcessing | 44.44% | 2 | 78.88% | 1.6932 | 34.09%
CompressionProcessing | 4 | t+5 | 528 | 79.73% | 1.6196 | NeutralProcessing | 46.59% | 22 | 90.91% | 1.7035 | NeutralProcessing | 40.91% | 18 | 77.78% | 1.3006 | NeutralProcessing | 50.00% | 2 | 85.32% | 1.6616 | 43.75%
CompressionProcessing | 5 | t+1 | 282 | 54.96% | 1.5435 | CompressionProcessing | 45.04% | 12 | 58.33% | 1.3522 | CompressionProcessing | 41.67% | 8 | 62.50% | 1.2555 | CompressionProcessing | 37.50% | 1 | 54.96% | 1.5435 | 45.04%
CompressionProcessing | 5 | t+2 | 282 | 61.70% | 1.6236 | CompressionProcessing | 38.30% | 12 | 83.33% | 1.7046 | ExhaustionPersistence | 25.00% | 8 | 62.50% | 1.2555 | CompressionProcessing | 37.50% | 1 | 61.70% | 1.6236 | 38.30%
CompressionProcessing | 5 | t+3 | 282 | 71.99% | 1.7334 | NeutralProcessing | 33.33% | 12 | 83.33% | 1.8637 | NeutralProcessing | 25.00% | 8 | 75.00% | 1.2130 | NeutralProcessing | 50.00% | 1 | 71.99% | 1.7334 | 33.33%
CompressionProcessing | 5 | t+5 | 282 | 78.72% | 1.6308 | NeutralProcessing | 45.04% | 12 | 83.33% | 1.8637 | NeutralProcessing | 25.00% | 8 | 75.00% | 0.9003 | NeutralProcessing | 62.50% | 1 | 78.72% | 1.6308 | 45.04%
CompressionProcessing | 6-10 | t+1 | 247 | 50.20% | 1.4301 | CompressionProcessing | 49.80% | 6 | 83.33% | 1.2425 | NeutralProcessing | 50.00% | 9 | 33.33% | 0.8487 | CompressionProcessing | 66.67% | 1 | 50.20% | 1.4301 | 49.80%
CompressionProcessing | 6-10 | t+2 | 247 | 62.35% | 1.6054 | CompressionProcessing | 37.65% | 6 | 66.67% | 1.0986 | CompressionProcessing | 33.33% | 9 | 55.56% | 1.2149 | CompressionProcessing | 44.44% | 1 | 62.35% | 1.6054 | 37.65%
CompressionProcessing | 6-10 | t+3 | 247 | 72.06% | 1.7004 | NeutralProcessing | 36.03% | 6 | 83.33% | 1.5607 | NeutralProcessing | 33.33% | 9 | 66.67% | 0.9369 | NeutralProcessing | 55.56% | 1 | 72.06% | 1.7004 | 36.03%
CompressionProcessing | 6-10 | t+5 | 247 | 80.16% | 1.7193 | NeutralProcessing | 39.68% | 6 | 83.33% | 0.8676 | NeutralProcessing | 66.67% | 9 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 1 | 80.16% | 1.7193 | 39.68%
ConstructiveEmergence | 1 | t+1 | 83 | 100.00% | 1.1780 | MixedStructure | 46.99% | 12 | 100.00% | 1.0776 | MixedStructure | 41.67% | 14 | 100.00% | 0.8305 | MixedStructure | 64.29% | 1 | 100.00% | 1.1780 | 46.99%
ConstructiveEmergence | 1 | t+2 | 83 | 100.00% | 1.4544 | NeutralProcessing | 48.19% | 12 | 100.00% | 1.0776 | MixedStructure | 41.67% | 14 | 100.00% | 1.1710 | NeutralProcessing | 50.00% | 1 | 100.00% | 1.4544 | 48.19%
ConstructiveEmergence | 1 | t+3 | 83 | 100.00% | 1.5104 | NeutralProcessing | 43.37% | 12 | 100.00% | 0.9596 | MixedStructure | 58.33% | 14 | 100.00% | 1.2154 | NeutralProcessing | 57.14% | 1 | 100.00% | 1.5104 | 43.37%
ConstructiveEmergence | 1 | t+5 | 83 | 100.00% | 1.5056 | NeutralProcessing | 53.01% | 12 | 91.67% | 1.0986 | NeutralProcessing | 66.67% | 14 | 100.00% | 0.6560 | NeutralProcessing | 78.57% | 1 | 100.00% | 1.5056 | 53.01%
DecayToNeutral | 1 | t+1 | 1486 | 100.00% | 1.1580 | NeutralProcessing | 54.58% | 103 | 100.00% | 1.0086 | NeutralProcessing | 61.17% | 86 | 100.00% | 0.9062 | NeutralProcessing | 66.28% | 3 | 100.00% | 1.0243 | 60.67%
DecayToNeutral | 1 | t+2 | 1485 | 81.35% | 1.8321 | NeutralProcessing | 29.02% | 103 | 82.52% | 1.8503 | NeutralProcessing | 29.13% | 86 | 84.88% | 1.6340 | NeutralProcessing | 43.02% | 3 | 82.92% | 1.7721 | 33.72%
DecayToNeutral | 1 | t+3 | 1485 | 95.29% | 1.6314 | NeutralProcessing | 44.92% | 103 | 93.20% | 1.6188 | NeutralProcessing | 44.66% | 86 | 94.19% | 1.3974 | NeutralProcessing | 54.65% | 3 | 94.23% | 1.5492 | 48.08%
DecayToNeutral | 1 | t+5 | 1485 | 95.22% | 1.6658 | NeutralProcessing | 45.86% | 103 | 95.15% | 1.6347 | NeutralProcessing | 47.57% | 86 | 94.19% | 1.4913 | NeutralProcessing | 59.30% | 3 | 94.85% | 1.5973 | 50.91%
DestructiveRotation | 1 | t+1 | 836 | 88.04% | 1.8149 | DecayToNeutral | 29.78% | 71 | 83.10% | 1.6276 | NeutralProcessing | 35.21% | 63 | 82.54% | 1.7980 | DecayToNeutral | 26.98% | 3 | 84.56% | 1.7468 | 30.66%
DestructiveRotation | 1 | t+2 | 836 | 89.71% | 1.8555 | NeutralProcessing | 36.60% | 71 | 95.77% | 1.7022 | NeutralProcessing | 40.85% | 63 | 84.13% | 1.8074 | NeutralProcessing | 38.10% | 3 | 89.87% | 1.7884 | 38.51%
DestructiveRotation | 1 | t+3 | 836 | 92.94% | 1.8859 | NeutralProcessing | 33.73% | 71 | 98.59% | 1.8427 | NeutralProcessing | 38.03% | 63 | 96.83% | 1.8206 | NeutralProcessing | 38.10% | 3 | 96.12% | 1.8497 | 36.62%
DestructiveRotation | 1 | t+5 | 835 | 96.89% | 1.6432 | NeutralProcessing | 47.07% | 71 | 94.37% | 1.7701 | NeutralProcessing | 40.85% | 63 | 95.24% | 1.6707 | NeutralProcessing | 49.21% | 3 | 95.50% | 1.6947 | 45.71%
DestructiveRotation | 2 | t+1 | 100 | 89.00% | 1.6826 | DecayToNeutral | 45.00% | 12 | 91.67% | 1.6326 | DecayToNeutral | 33.33% | 11 | 54.55% | 1.4143 | DestructiveRotation | 45.45% | 1 | 89.00% | 1.6826 | 45.00%
DestructiveRotation | 2 | t+2 | 100 | 90.00% | 1.8191 | NeutralProcessing | 34.00% | 12 | 91.67% | 1.6326 | NeutralProcessing | 33.33% | 11 | 100.00% | 1.2945 | DecayToNeutral | 54.55% | 1 | 90.00% | 1.8191 | 34.00%
DestructiveRotation | 2 | t+3 | 100 | 89.00% | 1.8781 | NeutralProcessing | 35.00% | 12 | 100.00% | 1.8637 | NeutralProcessing | 25.00% | 11 | 90.91% | 1.0336 | NeutralProcessing | 63.64% | 1 | 89.00% | 1.8781 | 35.00%
DestructiveRotation | 2 | t+5 | 100 | 96.00% | 1.4459 | NeutralProcessing | 55.00% | 12 | 100.00% | 1.4677 | NeutralProcessing | 41.67% | 11 | 100.00% | 1.4143 | NeutralProcessing | 45.45% | 1 | 96.00% | 1.4459 | 55.00%
DestructiveRotation | 3 | t+1 | 11 | 90.91% | 1.0336 | DecayToNeutral | 63.64% | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 5 | 100.00% | 0.5004 | DecayToNeutral | 80.00% | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 3 | t+2 | 11 | 54.55% | 1.3667 | DestructiveRotation | 45.45% | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 5 | 100.00% | 0.9503 | NeutralProcessing | 60.00% | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 3 | t+3 | 11 | 90.91% | 1.5942 | NeutralProcessing | 36.36% | 1 | 100.00% | -0.0000 | ExhaustionPersistence | 100.00% | 5 | 100.00% | 1.3322 | NeutralProcessing | 40.00% | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 3 | t+5 | 11 | 100.00% | 0.7595 | NeutralProcessing | 72.73% | 1 | 100.00% | -0.0000 | ExhaustionPersistence | 100.00% | 5 | 80.00% | 0.5004 | NeutralProcessing | 80.00% | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 4 | t+1 | 1 | 100.00% | -0.0000 | DecayToNeutral | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 4 | t+2 | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 4 | t+3 | 1 | 100.00% | -0.0000 | CompressionProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
DestructiveRotation | 4 | t+5 | 1 | 100.00% | -0.0000 | NeutralProcessing | 100.00% | 0 | N/A | N/A | N/A | N/A | 0 | N/A | N/A | N/A | N/A | 0 | 0.00% | 0.0000 | 0.00%
ExhaustionPersistence | 1 | t+1 | 1116 | 72.76% | 1.6846 | ExhaustionPersistence | 27.24% | 97 | 68.04% | 1.5473 | ExhaustionPersistence | 31.96% | 51 | 62.75% | 1.6073 | ExhaustionPersistence | 37.25% | 3 | 67.85% | 1.6131 | 32.15%
ExhaustionPersistence | 1 | t+2 | 1116 | 79.03% | 1.6364 | RecoveryResolution | 27.24% | 97 | 78.35% | 1.4720 | RecoveryResolution | 39.18% | 51 | 72.55% | 1.5883 | ExhaustionPersistence | 27.45% | 3 | 76.64% | 1.5656 | 31.29%
ExhaustionPersistence | 1 | t+3 | 1116 | 84.23% | 1.7049 | RecoveryResolution | 25.90% | 97 | 80.41% | 1.5430 | RecoveryResolution | 31.96% | 51 | 74.51% | 1.6406 | NeutralProcessing | 27.45% | 3 | 79.72% | 1.6295 | 28.44%
ExhaustionPersistence | 1 | t+5 | 1116 | 92.20% | 1.6453 | NeutralProcessing | 40.41% | 97 | 93.81% | 1.5831 | NeutralProcessing | 41.24% | 51 | 90.20% | 1.5325 | NeutralProcessing | 49.02% | 3 | 92.07% | 1.5870 | 43.56%
