APVA Destination Robustness Study v0.1 - Aggregate
================================================================================================
Instrument: Aggregate
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv, .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv, .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 868

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
DecayToNeutral | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DestructiveRotation | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DestructiveRotation | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DestructiveRotation | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DestructiveRotation | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DestructiveRotation | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DestructiveRotation | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DestructiveRotation | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DestructiveRotation | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DestructiveRotation | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DestructiveRotation | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DestructiveRotation | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DestructiveRotation | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DestructiveRotation | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DestructiveRotation | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
DestructiveRotation | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DestructiveRotation | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DestructiveRotation | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DestructiveRotation | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DestructiveRotation | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DestructiveRotation | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DestructiveRotation | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DestructiveRotation | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DestructiveRotation | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DestructiveRotation | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DestructiveRotation | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DestructiveRotation | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DestructiveRotation | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DestructiveRotation | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DestructiveRotation | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DestructiveRotation | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DestructiveRotation | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
DestructiveRotation | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
ExhaustionPersistence | TrueRangeRelativeToPrevious | t-1 | 1.5878 | 3 | Positive | 1
ExhaustionPersistence | RangeRelativeToPrevious | t-1 | 1.5025 | 3 | Positive | 2
ExhaustionPersistence | VolumeRelativeToRollingMean | t-1 | 1.3300 | 3 | Positive | 3
ExhaustionPersistence | BodyRelativeToPrevious | t-1 | 1.1362 | 3 | Positive | 4
ExhaustionPersistence | VolumeRelativeToSessionMean | t-1 | 1.0117 | 3 | Positive | 5
