ValidationMode,Cohort,Proxy,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
Spacing_20,PriorSlope_Q3,RelativeVolume,390,156,1.1352648466884614,0.8710614385,1.1413397640682275,0.61252741575,1.245779773675,1.0
Spacing_20,PriorSlope_Q3,VolumeZScore,390,156,0.03389926958269233,-0.28471404945,1.123824401177672,-0.720542504825,0.4104001815,0.3974358974358974
Spacing_20,PriorSlope_Q3,SignedVolume,390,156,1927.923076923077,72.5,21110.12872304956,-2187.75,4436.0,0.5192307692307693
Spacing_20,PriorSlope_Q3,UpVolume,390,156,5258.365384615385,72.5,18492.740123936182,0.0,4436.0,0.5192307692307693
Spacing_20,PriorSlope_Q3,DownVolume,390,156,3330.4423076923076,0.0,8270.717152850566,0.0,2187.75,0.42948717948717946
Spacing_20,PriorSlope_Q3,FlatVolume,390,156,235.69871794871796,0.0,1472.906428580303,0.0,0.0,0.05128205128205128
Spacing_20,PriorSlope_Q3,UpDownVolumeDelta,390,156,1927.923076923077,72.5,21110.12872304956,-2187.75,4436.0,0.5192307692307693
Spacing_20,PriorSlope_Q3,SpyderDominantVolume,390,156,5789.790261712387,2504.17204968945,13356.126142801262,377.6911764706,5981.58260869565,1.0
Spacing_20,PriorSlope_Q3,SpyderNonDominantVolume,390,156,3034.716148544027,1491.30357142855,6598.96936914485,223.42000000000002,3474.316666666675,0.9871794871794872
Spacing_20,PriorSlope_Q3,SpyderDominantVolumeShare,390,156,0.6271913638346154,0.6,0.13294365559691002,0.5351190476000001,0.722517730475,1.0
Spacing_20,PriorSlope_Q3,SpyderNonDominantVolumeShare,390,156,0.3728086361653846,0.4,0.13294365559691002,0.277482269525,0.4648809524,0.9871794871794872
Spacing_20,Base_NotPriorSlope_Q3,DominantPressureValue,1625,1625,0.6752065452687797,0.6810304299093731,0.09700183253101184,0.6412558569575977,0.7365859854649287,1.0
Spacing_20,Base_NotPriorSlope_Q3,PriorSlope_DominantPressureValue,1625,1625,-0.07367953157456454,-0.0225602529651399,0.23033776799093178,-0.1666666666666666,0.0766022383680066,0.376
Spacing_20,Base_NotPriorSlope_Q3,RollingEntropy,1625,1625,1.1220012586055077,1.1567796494427114,0.17203320548260037,0.9219280948830342,1.2954618442339936,1.0
Spacing_20,Base_NotPriorSlope_Q3,RollingDirectionalPresence,1625,1625,0.0,0.0,0.0,0.0,0.0,0.0
Spacing_20,Base_NotPriorSlope_Q3,SponsorConfidence,1625,1625,0.3949846153846155,0.2,0.2130756829963244,0.2,0.6,1.0
Spacing_20,Base_NotPriorSlope_Q3,DominanceScore,1625,1625,0.16741353846153847,0.151,0.13405957819660766,0.064,0.246,0.8707692307692307
Spacing_20,Base_NotPriorSlope_Q3,DegradationScore,1625,1625,0.7622110769230769,0.779,0.1807738098303401,0.631,0.92,1.0
Spacing_20,Base_NotPriorSlope_Q3,BalanceScore,1625,1625,0.5376984615384616,0.542,0.1150457829356513,0.473,0.592,1.0
Spacing_20,Base_NotPriorSlope_Q3,TransitionScore,1625,1625,0.17585476923076923,0.171,0.06191766007389286,0.131,0.217,0.9938461538461538
Spacing_20,Base_NotPriorSlope_Q3,AmbiguityScore,1625,1625,0.5141716923076923,0.497,0.1450802884091448,0.417,0.621,1.0
Spacing_20,Base_NotPriorSlope_Q3,Volume,1625,638,7273.586206896552,4050.0,11388.387771435784,458.0,9339.0,1.0
Spacing_20,Base_NotPriorSlope_Q3,VolumeSMA,1625,638,7506.28526645768,5239.075,7492.3601329958965,893.4125,11758.025000000001,1.0
Spacing_20,Base_NotPriorSlope_Q3,RelativeVolume,1625,638,0.9934140996880877,0.8278135555,0.8123488117201414,0.573078771725,1.214082191325,1.0
