DataScope,Analysis,ValidationMode,Regime,Instrument,Field,Count,PearsonCorrelation,SpearmanCorrelation
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,RelativeVolume,43,0.08429578634489852,0.14484674835265687
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,VolumeZScore,43,0.00023741604179557073,0.038292818530012734
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,SignedVolume,43,0.16297107126469804,0.43759517026848693
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,UpVolume,43,0.12847101422688548,0.4403485520092026
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,DownVolume,43,-0.11890897249187345,-0.3876559359315929
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,FlatVolume,43,0.08446884473891132,-0.007340296144895464
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,UpDownVolumeDelta,43,0.16297107126469804,0.43759517026848693
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,SpyderDominantVolume,43,0.05996131814482423,0.10700799486450199
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,SpyderNonDominantVolume,43,0.041390011370479,-0.029518685726634845
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,SpyderDominantVolumeShare,43,0.10994603811269682,-0.05030403502123809
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,ES,SpyderNonDominantVolumeShare,43,-0.10994603811269679,0.05030403502123809
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,Volume,137,-0.05007205340508215,-0.12234540312414871
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,VolumeSMA,137,-0.06967956870055328,-0.06225850772092839
VolumeAvailableSubset,OutcomeWithinPriorSlope_Q3,Reference,2017 | 2017 observed regime,NQ,RelativeVolume,137,-0.038266620603231306,-0.04683773131685371
