Analysis,ValidationMode,Instrument,Proxy,Count,PearsonCorrelation,SpearmanCorrelation
OutcomeWithinPriorSlope_Q3,Spacing_20,All,BalanceScore,570,0.019734137524065828,-0.02046150866607149
OutcomeWithinPriorSlope_Q3,Spacing_20,All,TransitionScore,570,-0.011781333704983707,-0.0162555251352534
OutcomeWithinPriorSlope_Q3,Spacing_20,All,AmbiguityScore,570,-0.0022388990231373487,-0.020005318774016987
OutcomeWithinPriorSlope_Q3,Spacing_20,All,Volume,32,-0.1038674525824563,-0.16125853458956754
OutcomeWithinPriorSlope_Q3,Spacing_20,All,VolumeSMA,32,-0.11791487786588109,-0.02702965174990471
OutcomeWithinPriorSlope_Q3,Spacing_20,All,RelativeVolume,32,-0.0761202103165443,-0.09248921653198687
OutcomeWithinPriorSlope_Q3,Spacing_20,All,VolumeZScore,32,-0.07222506910286701,-0.05056567504233874
OutcomeWithinPriorSlope_Q3,Spacing_20,All,SignedVolume,32,0.04491498101682066,-0.027765152477793275
OutcomeWithinPriorSlope_Q3,Spacing_20,All,UpVolume,32,-0.011923167497359178,-0.029093245759611225
OutcomeWithinPriorSlope_Q3,Spacing_20,All,DownVolume,32,-0.09220169534352046,0.08535640051052941
OutcomeWithinPriorSlope_Q3,Spacing_20,All,FlatVolume,32,-0.11258822793798617,-0.18539287600541346
OutcomeWithinPriorSlope_Q3,Spacing_20,All,UpDownVolumeDelta,32,0.04491498101682066,-0.027765152477793275
OutcomeWithinPriorSlope_Q3,Spacing_20,All,SpyderDominantVolume,32,-0.08901645403559558,-0.13294175656585785
OutcomeWithinPriorSlope_Q3,Spacing_20,All,SpyderNonDominantVolume,32,-0.08923459030180428,-0.22892460155531535
OutcomeWithinPriorSlope_Q3,Spacing_20,All,SpyderDominantVolumeShare,32,-0.017638761351590312,0.09995448318428438
OutcomeWithinPriorSlope_Q3,Spacing_20,All,SpyderNonDominantVolumeShare,32,0.01763876135159029,-0.09995448318428438
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,DominantPressureValue,206,-0.09740835305670842,-0.01929533951839102
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,PriorSlope_DominantPressureValue,206,-0.04759586712617637,-0.04311071419055238
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,RollingEntropy,206,0.009136864497249438,0.0035556841924457793
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,RollingDirectionalPresence,206,,
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,SponsorConfidence,206,-0.041397983320150204,0.02188799463308637
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,DominanceScore,206,-0.01877718672374174,-0.021259155740977913
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,DegradationScore,206,0.0721769379374805,0.01719129429230473
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,BalanceScore,206,0.07177587332072922,0.06409069464961703
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,TransitionScore,206,-0.01176673076303009,0.005980701777845395
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,AmbiguityScore,206,0.034751123556729865,0.05583046580214261
OutcomeWithinPriorSlope_Q3,Spacing_20,ES,Volume,15,-0.07416717285290886,-0.04647008111181005
