DataScope,Breakdown,ValidationMode,Regime,Instrument,Cohort,Field,Count,AvailableCount,Mean,Median,Std,Q25,Q75,PositiveFraction
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,RelativeVolume,931,931,1.0392889339639098,0.8455611719,0.9159465024756267,0.57225390965,1.24927981845,1.0
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,VolumeZScore,931,931,-0.05869142869871107,-0.3039302124,1.0678696270568868,-0.8197371442000001,0.44691670215,0.3770139634801289
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,SignedVolume,931,931,-97.07303974221267,0.0,4960.109714472625,-933.0,1142.5,0.4908700322234157
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,UpVolume,931,931,1378.6509129967776,0.0,3004.5716087656783,0.0,1142.5,0.4908700322234157
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,DownVolume,931,931,1475.7239527389904,0.0,3391.43718671862,0.0,933.0,0.44575725026852847
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,FlatVolume,931,931,37.58539205155746,0.0,315.4508089411837,0.0,0.0,0.06337271750805586
VolumeAvailableSubset,ByInstrument,Reference,All,NQ,Base_NotPriorSlope_Q3,UpDownVolumeDelta,931,931,-97.07303974221267,0.0,4960.109714472625,-933.0,1142.5,0.4908700322234157
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,Volume,43,43,19371.883720930233,9568.0,35167.161157351184,5374.0,16253.5,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,VolumeSMA,43,43,12715.369767441858,10945.45,7819.171642272993,6399.475,17522.875,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,RelativeVolume,43,43,1.3250871935418604,0.9376849915,1.6473804315991067,0.70250740225,1.2499037328,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,VolumeZScore,43,43,0.2180540051488372,-0.0733307078,1.1786767953499027,-0.45245026330000004,0.4299673447,0.4418604651162791
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,SignedVolume,43,43,1999.2558139534883,989.0,40081.2153580185,-7641.5,9102.0,0.5116279069767442
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,UpVolume,43,43,10164.53488372093,989.0,31900.08527556063,0.0,9102.0,0.5116279069767442
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,DownVolume,43,43,8165.279069767442,0.0,20468.113080182135,0.0,7641.5,0.37209302325581395
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,FlatVolume,43,43,1042.0697674418604,0.0,3037.4857820192333,0.0,0.0,0.11627906976744186
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,PriorSlope_Q3,UpDownVolumeDelta,43,43,1999.2558139534883,989.0,40081.2153580185,-7641.5,9102.0,0.5116279069767442
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,Volume,206,206,11807.893203883496,7969.0,12851.680998836535,4682.75,14186.25,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,VolumeSMA,206,206,12028.103155339806,11330.55,6682.670560554712,6728.625,15378.0625,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,RelativeVolume,206,206,0.9583840525155339,0.78212608235,0.7050423400597523,0.521613467025,1.1882151596250001,1.0
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,VolumeZScore,206,206,-0.16325750397766992,-0.3544899748,0.9385868853038526,-0.7776699133,0.2852508985,0.3300970873786408
VolumeAvailableSubset,ByRegimeInstrument,Reference,2017 | 2017 observed regime,ES,Base_NotPriorSlope_Q3,SignedVolume,206,206,-1110.4708737864078,0.0,17126.229506203268,-7344.75,6895.5,0.4029126213592233
