ValidationMode,SponsorState,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,EntryShareWithinMode
Spacing_10,ReclaimAttempt,185,0.21606583106887142,0.0809248554913294,1.5368398036916369,0.5243243243243243,1.4002142233214077,-2.0,-0.8297501452643812,1.0058055152394776,2.062784996001206,12.237037037037036,39.97217874774121,0.1837837837837838,0.1712962962962963
Spacing_10,Unknown,1,0.9529702970297028,0.9529702970297028,,1.0,inf,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.0,0.000925925925925926
Spacing_10,Unresolved,590,0.1834566677854123,0.0624640583791072,1.9472071308661236,0.5101694915254237,1.3248342214743858,-2.0,-1.0591098940613504,0.957539028536576,1.9264367816091952,31.769230769230766,108.23943399339326,0.1847457627118644,0.5462962962962963
Spacing_20,Balance,9,-0.5375341288871303,-0.5143992055610724,-1.2268909122416873,0.3333333333333333,0.36264423925949896,-2.0,-2.0,0.4381223328591749,0.9325668127330924,1.5317286652078774,-4.837807159984172,0.3333333333333333,0.009164969450101833
Spacing_20,Challenged,26,-0.16245736115589876,-0.3674573344169037,-0.5662974035706707,0.4230769230769231,0.72915345720605,-2.0,-0.9247468643139449,0.3367245085995086,1.1618323276784994,5.105882352941176,-4.2238913900533674,0.15384615384615385,0.026476578411405296
Spacing_20,Dominant,1,-0.5139860139860141,-0.5139860139860141,,0.0,0.0,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,-0.5139860139860141,0.0,0.0010183299389002036
Spacing_20,FailedReclaim,198,0.05694315400382346,0.05318258560729585,0.49671521770638855,0.51010101010101,1.0991633654717898,-2.0,-0.9334649382980174,0.9473940566989894,1.9191584852734924,7.601637107776263,11.274744492757044,0.20707070707070707,0.20162932790224034
Spacing_20,Failing,17,0.28460001083739217,0.455363321799308,0.6391319003769296,0.5294117647058824,1.4514316224370647,-2.0,-1.2352941176470589,1.8606158833063209,2.8238866688677136,3.2869565217391306,4.838200184235667,0.11764705882352941,0.017311608961303463
Spacing_20,Pressured,6,1.1248576785240056,0.892156862745098,3.0904318816692,1.0,inf,0.0797396257119609,0.5942939264287592,1.6426310719272255,2.164508976793369,2.497297297297297,6.749146071144034,0.0,0.006109979633401222
Spacing_20,Reasserting,13,-0.2485834811034103,-0.1666666666666666,-0.8529493247536449,0.38461538461538464,0.48315436223130387,-2.0,-0.5116751269035533,0.1590909090909091,0.2786069651741293,2.1818181818181817,-3.231585254344334,0.15384615384615385,0.013238289205702648
Spacing_20,ReclaimAttempt,167,0.26532043763116914,0.1193181818181818,1.7459473611087712,0.5449101796407185,1.5076376564945906,-2.0,-0.7414634146341463,0.9035069356455824,2.337363793651356,12.237037037037036,44.30851308440525,0.18562874251497005,0.17006109979633402
Spacing_20,Unknown,1,0.9529702970297028,0.9529702970297028,,1.0,inf,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.9529702970297028,0.0,0.0010183299389002036
Spacing_20,Unresolved,544,0.1790320967778969,0.04184303006638025,1.786085810107575,0.5036764705882353,1.3139468722205534,-2.0,-1.0443946560451414,0.9406392694063926,1.9108275739854679,31.769230769230766,97.39346064717591,0.18566176470588236,0.5539714867617108
