Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.8,ge,2026-W17,196,0.23979591836734693,-0.625,0.3337318626323953,0.45408163265306123
0.8,ge,2026-W18,140,-0.4375,1.75,-0.5159243869567682,0.5857142857142857
0.8,ge,2026-W19,197,-0.7182741116751269,-0.25,-0.7781427222077044,0.48223350253807107
0.8,ge,2026-W20,160,1.7359375,0.875,1.5710181787940891,0.54375
0.8,ge,2026-W21,160,1.103125,1.625,1.0217636253614535,0.56875
0.85,ge,2026-W15,158,3.1867088607594938,-1.75,1.3899455755932066,0.3924050632911392
0.85,ge,2026-W16,150,1.4616666666666667,0.5,1.9759533267813623,0.52
0.85,ge,2026-W17,196,0.23979591836734693,-0.625,0.3337318626323953,0.45408163265306123
0.85,ge,2026-W18,140,-0.4375,1.75,-0.5159243869567682,0.5857142857142857
0.85,ge,2026-W19,197,-0.7182741116751269,-0.25,-0.7781427222077044,0.48223350253807107
0.85,ge,2026-W20,160,1.7359375,0.875,1.5710181787940891,0.54375
0.85,ge,2026-W21,160,1.103125,1.625,1.0217636253614535,0.56875
0.9,ge,2026-W15,149,3.216442953020134,-1.75,1.3271223466855655,0.3825503355704698
0.9,ge,2026-W16,143,1.5909090909090908,0.5,2.0666186434718035,0.5314685314685315
0.9,ge,2026-W17,184,0.3328804347826087,-0.5,0.44516699165351464,0.45652173913043476
0.9,ge,2026-W18,130,-0.7807692307692308,1.5,-0.8752578265310478,0.5692307692307692
0.9,ge,2026-W19,187,-0.6270053475935828,-0.25,-0.6535082992337268,0.48663101604278075
0.9,ge,2026-W20,137,2.178832116788321,1.5,1.7532544296197066,0.5401459854014599
0.9,ge,2026-W21,148,1.260135135135135,1.625,1.1001266584453235,0.5743243243243243
0.95,ge,2026-W15,147,3.312925170068027,-1.75,1.349275373240035,0.38095238095238093
0.95,ge,2026-W16,139,1.5,0.5,1.9275999705564184,0.5323741007194245
0.95,ge,2026-W17,180,0.3194444444444444,-0.5,0.418942442678417,0.45555555555555555
0.95,ge,2026-W18,128,-0.689453125,1.5,-0.7630484303532797,0.578125
0.95,ge,2026-W19,183,-0.6912568306010929,-0.5,-0.7054843397447051,0.47540983606557374
0.95,ge,2026-W20,137,2.178832116788321,1.5,1.7532544296197066,0.5401459854014599
0.95,ge,2026-W21,145,1.4965517241379311,1.75,1.2991763853848304,0.5793103448275863
1.0,ge,2026-W15,137,3.6313868613138687,-1.75,1.3823877714140416,0.3722627737226277
1.0,ge,2026-W16,129,1.4050387596899225,0.5,1.75454818924554,0.5348837209302325
1.0,ge,2026-W17,168,0.31845238095238093,-0.5,0.3960169225587017,0.4523809523809524
1.0,ge,2026-W18,120,-1.1479166666666667,1.5,-1.3760596853975005,0.5666666666666667
1.0,ge,2026-W19,170,-0.6808823529411765,-0.25,-0.6527399473489842,0.4823529411764706
1.0,ge,2026-W20,125,2.686,1.75,2.03775876363156,0.56
1.0,ge,2026-W21,132,1.433712121212121,1.75,1.1802330858892587,0.5984848484848485
1.05,ge,2026-W15,137,3.6313868613138687,-1.75,1.3823877714140416,0.3722627737226277
1.05,ge,2026-W16,129,1.4050387596899225,0.5,1.75454818924554,0.5348837209302325
1.05,ge,2026-W17,168,0.31845238095238093,-0.5,0.3960169225587017,0.4523809523809524
1.05,ge,2026-W18,120,-1.1479166666666667,1.5,-1.3760596853975005,0.5666666666666667
1.05,ge,2026-W19,170,-0.6808823529411765,-0.25,-0.6527399473489842,0.4823529411764706
1.05,ge,2026-W20,125,2.686,1.75,2.03775876363156,0.56
1.05,ge,2026-W21,132,1.433712121212121,1.75,1.1802330858892587,0.5984848484848485
1.1,ge,2026-W15,137,3.6313868613138687,-1.75,1.3823877714140416,0.3722627737226277
1.1,ge,2026-W16,129,1.4050387596899225,0.5,1.75454818924554,0.5348837209302325
1.1,ge,2026-W17,168,0.31845238095238093,-0.5,0.3960169225587017,0.4523809523809524
1.1,ge,2026-W18,120,-1.1479166666666667,1.5,-1.3760596853975005,0.5666666666666667
1.1,ge,2026-W19,170,-0.6808823529411765,-0.25,-0.6527399473489842,0.4823529411764706
1.1,ge,2026-W20,125,2.686,1.75,2.03775876363156,0.56
1.1,ge,2026-W21,132,1.433712121212121,1.75,1.1802330858892587,0.5984848484848485
1.15,ge,2026-W15,137,3.6313868613138687,-1.75,1.3823877714140416,0.3722627737226277
1.15,ge,2026-W16,129,1.4050387596899225,0.5,1.75454818924554,0.5348837209302325
1.15,ge,2026-W17,168,0.31845238095238093,-0.5,0.3960169225587017,0.4523809523809524
1.15,ge,2026-W18,120,-1.1479166666666667,1.5,-1.3760596853975005,0.5666666666666667
1.15,ge,2026-W19,170,-0.6808823529411765,-0.25,-0.6527399473489842,0.4823529411764706
1.15,ge,2026-W20,125,2.686,1.75,2.03775876363156,0.56
1.15,ge,2026-W21,132,1.433712121212121,1.75,1.1802330858892587,0.5984848484848485
1.2,ge,2026-W15,124,4.298387096774194,-1.75,1.4865744023014196,0.3709677419354839
1.2,ge,2026-W16,122,1.2950819672131149,0.5,1.5456786462017242,0.5245901639344263
1.2,ge,2026-W17,155,0.8596774193548387,-0.25,1.0356782263504127,0.47096774193548385
1.2,ge,2026-W18,116,-1.1099137931034482,1.5,-1.3341561302453893,0.5689655172413793
1.2,ge,2026-W19,162,-0.6265432098765432,0.0,-0.573608290126026,0.49382716049382713
1.2,ge,2026-W20,116,2.7435344827586206,1.75,1.9531965615341056,0.5517241379310345
1.2,ge,2026-W21,127,1.2913385826771653,1.75,1.0278383330982754,0.5905511811023622
1.25,ge,2026-W15,124,4.298387096774194,-1.75,1.4865744023014196,0.3709677419354839
1.25,ge,2026-W16,122,1.2950819672131149,0.5,1.5456786462017242,0.5245901639344263
1.25,ge,2026-W17,155,0.8596774193548387,-0.25,1.0356782263504127,0.47096774193548385
1.25,ge,2026-W18,116,-1.1099137931034482,1.5,-1.3341561302453893,0.5689655172413793
1.25,ge,2026-W19,162,-0.6265432098765432,0.0,-0.573608290126026,0.49382716049382713
1.25,ge,2026-W20,116,2.7435344827586206,1.75,1.9531965615341056,0.5517241379310345
1.25,ge,2026-W21,127,1.2913385826771653,1.75,1.0278383330982754,0.5905511811023622
1.3,ge,2026-W15,80,-1.6125,-1.75,-1.7310911405121998,0.3875
1.3,ge,2026-W16,92,1.516304347826087,0.75,1.5278126232302027,0.5543478260869565
1.3,ge,2026-W17,109,0.8440366972477065,-0.75,0.7837091880796169,0.44036697247706424
1.3,ge,2026-W18,83,-0.4578313253012048,1.5,-0.5248937492194639,0.5783132530120482
1.3,ge,2026-W19,122,0.6290983606557377,0.625,0.5406730042895564,0.5327868852459017
1.3,ge,2026-W20,91,3.2225274725274726,1.75,1.8425766262705006,0.5494505494505495
1.3,ge,2026-W21,100,0.4675,1.375,0.33144543991156317,0.57
1.35,ge,2026-W15,80,-1.6125,-1.75,-1.7310911405121998,0.3875
1.35,ge,2026-W16,92,1.516304347826087,0.75,1.5278126232302027,0.5543478260869565
1.35,ge,2026-W17,109,0.8440366972477065,-0.75,0.7837091880796169,0.44036697247706424
1.35,ge,2026-W18,83,-0.4578313253012048,1.5,-0.5248937492194639,0.5783132530120482
1.35,ge,2026-W19,122,0.6290983606557377,0.625,0.5406730042895564,0.5327868852459017
1.35,ge,2026-W20,91,3.2225274725274726,1.75,1.8425766262705006,0.5494505494505495
1.35,ge,2026-W21,100,0.4675,1.375,0.33144543991156317,0.57
1.4,ge,2026-W15,53,-2.141509433962264,-1.75,-1.9607513002128605,0.33962264150943394
1.4,ge,2026-W16,71,1.6514084507042253,0.5,1.4170294784364357,0.5492957746478874
1.4,ge,2026-W17,71,0.27816901408450706,-0.5,0.2135489036586783,0.4225352112676056
1.4,ge,2026-W18,55,-0.6590909090909091,1.5,-0.5511549350986332,0.5818181818181818
1.4,ge,2026-W19,83,-0.33433734939759036,0.25,-0.2979191419949898,0.5060240963855421
1.4,ge,2026-W20,73,3.404109589041096,1.75,1.6146434351386134,0.5616438356164384
1.4,ge,2026-W21,71,0.7922535211267606,1.25,0.44293717065708454,0.5492957746478874
1.45,ge,2026-W15,53,-2.141509433962264,-1.75,-1.9607513002128605,0.33962264150943394
1.45,ge,2026-W16,71,1.6514084507042253,0.5,1.4170294784364357,0.5492957746478874
1.45,ge,2026-W17,71,0.27816901408450706,-0.5,0.2135489036586783,0.4225352112676056
1.45,ge,2026-W18,55,-0.6590909090909091,1.5,-0.5511549350986332,0.5818181818181818
1.45,ge,2026-W19,83,-0.33433734939759036,0.25,-0.2979191419949898,0.5060240963855421
1.45,ge,2026-W20,73,3.404109589041096,1.75,1.6146434351386134,0.5616438356164384
1.45,ge,2026-W21,71,0.7922535211267606,1.25,0.44293717065708454,0.5492957746478874
1.5,ge,2026-W15,36,-0.7569444444444444,-1.625,-0.6049128436999992,0.4166666666666667
1.5,ge,2026-W16,51,2.2450980392156863,0.75,1.5328665353459685,0.5686274509803921
1.5,ge,2026-W17,44,0.6136363636363636,-0.75,0.40436638175654005,0.4090909090909091
1.5,ge,2026-W18,40,-0.78125,1.625,-0.5508933013692258,0.575
1.5,ge,2026-W19,54,-0.5740740740740741,0.25,-0.3517297175368758,0.5
1.5,ge,2026-W20,45,5.133333333333334,1.75,1.560116014305003,0.5555555555555556
1.5,ge,2026-W21,30,-2.0083333333333333,0.375,-0.6991420114411742,0.5333333333333333
1.55,ge,2026-W15,31,-0.5806451612903226,-1.75,-0.4569836870519354,0.41935483870967744
1.55,ge,2026-W16,48,2.78125,2.25,1.8312519661301085,0.6041666666666666
1.55,ge,2026-W17,34,0.34558823529411764,-1.25,0.19813956793458398,0.35294117647058826
