APVA Family B Resolution Study v0.1B - Aggregate
================================================
Instruments: 6E, NQ, CL
Family B resolution uses the existing Study 30 family projection.

Aggregate Resolution Counts
===========================
Resolution           6E_Count     6E_Pct    6E_Med     NQ_Count     NQ_Pct    NQ_Med     CL_Count     CL_Pct    CL_Med ValidN    MeanPct  MeanMedian
B->A                       25     0.81%    1.0000            0     0.00%    0.0000            4     2.07%    1.0000      1     0.81%      1.0000
B->C                      853    27.79%    1.0000           18    20.45%    1.0000           53    27.46%    1.0000      2    27.63%      1.0000
B->D                      468    15.25%    1.0000           16    18.18%    1.0000           28    14.51%    1.0000      2    14.88%      1.0000
B->N                     1722    56.11%    1.0000           54    61.36%    1.0000          108    55.96%    1.0000      3    57.81%      1.0000
B->B_Persist                1     0.03%    5.0000            0     0.00%    0.0000            0     0.00%    0.0000      0     0.00%      0.0000

Aggregate Branch Predictors
===========================
Category                 Feature                                     6E_Effect    NQ_Effect    CL_Effect ValidN  PosN  NegN  MeanEffect
B->C                     Prev20CompressedCount                       -0.057363     0.201436    -0.145785      2     0     2   -0.101574
B->C                     Prev20DissipatingCount                      -0.018292    -0.447214     0.231083      2     1     1    0.106395
B->C                     Prev20Dominance                              0.033557    -0.315628     0.219283      2     2     0    0.126420
B->C                     Prev20ExpandingCount                        -0.014383     0.253261    -0.114199      2     0     2   -0.064291
B->C                     Prev20NetAcceptance                         -0.024260    -0.416339     0.211250      2     1     1    0.093495
B->C                     Prev20PeakCount                              0.069472     0.337068    -0.135665      2     1     1   -0.033096
B->C                     Prev5AcceptedCount                           0.019521     0.361057     0.226020      2     2     0    0.122770
B->C                     Prev5ClimacticCount                          0.093162    -0.415675    -0.189454      2     1     1   -0.048146
B->C                     Prev5CompressedCount                        -0.024465    -0.238889    -0.245477      2     0     2   -0.134971
B->C                     Prev5DissipatingCount                        0.012783    -0.155009     0.081733      2     2     0    0.047258
B->C                     Prev5Dominance                               0.024437     0.212884     0.246651      2     2     0    0.135544
B->C                     Prev5ExpandingCount                          0.109138    -0.099687     0.304844      2     2     0    0.206991
B->C                     Prev5NetAcceptance                          -0.107733     0.070855    -0.057120      2     0     2   -0.082427
B->C                     Prev5PeakCount                               0.155010     0.274258     0.279599      2     2     0    0.217305
B->C                     VolumePolarity_Black                        -0.012551     0.481369    -0.069982      2     0     2   -0.041266
B->C                     VolumePolarity_Neutral                       0.019476    -0.190091     0.202451      2     2     0    0.110963
B->C                     VolumePolarity_Red                          -0.002320    -0.425204    -0.000537      2     0     2   -0.001429
B->D                     AcceptanceState_Accepted                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     AcceptanceState_Contained                   -0.165643     0.027238     0.009393      2     1     1   -0.078125
B->D                     AcceptanceState_Rejected                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     AcceptanceState_Unknown                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     AcceptanceState_Unresolved                   0.165643    -0.027238    -0.009393      2     1     1    0.078125
B->D                     CompressionOn                                0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CompressionState_Absent                      0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CompressionState_Clustered                   0.142670    -0.232166    -0.172639      2     1     1   -0.014985
B->D                     CompressionState_FailedResolution            0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CompressionState_Lateral                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CompressionState_Local                      -0.142670     0.232166     0.172639      2     1     1    0.014985
B->D                     CompressionState_Resolving                   0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CompressionState_Unknown                     0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CurrentFlag_Accepted                         0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CurrentFlag_Climactic                        0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CurrentFlag_Compressed                       0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     CurrentFlag_Dissipating                      0.188590     0.100680    -0.160463      2     1     1    0.014064
B->D                     CurrentFlag_Expanding                       -0.300655    -0.279137     0.014511      2     1     1   -0.143072
B->D                     CurrentFlag_Peak                             0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     DissipationOn                                0.188590     0.100680    -0.160463      2     1     1    0.014064
B->D                     DissipationState_Absent                     -0.188590    -0.100680     0.160463      2     1     1   -0.014064
B->D                     DissipationState_Climactic                   0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     DissipationState_Local                       0.188590     0.100680    -0.160463      2     1     1    0.014064
B->D                     DissipationState_Repeated                    0.000000     0.000000     0.000000      2     0     0    0.000000
B->D                     DissipationState_Strong                      0.000000     0.000000     0.000000      2     0     0    0.000000
