BarIndex,Time,ResolvedArchetype,Quadruplet,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,RollingMeanFailure,RollingMeanContinuation,RollingMeanMigrationProbability,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue
1233,2026-04-23 11:50:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.5709505944488977,0.4444444444444444,0.6,0.0,0.0,11.361999999999998,0.0,0.5660799095833398,0.0644463173347285,0.09613412698412697,0.6240378100691661,0.5265435377737916,CompressionPressure,0.6240378100691661
1234,2026-04-23 11:55:00,Unstable Rotational Balance,Unresolved->Unresolved->Unresolved->Balance,1.5709505944488977,0.5555555555555556,0.6,0.0,0.0,17.677999999999997,0.0,0.5688232805348032,0.05229353955695071,0.13258015873015871,0.14626003229138834,0.8272330615833153,RotationalPressure,0.8272330615833153
1235,2026-04-23 12:00:00,Stable Compression Basin,Unresolved->Unresolved->Balance->Unresolved,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,19.782999999999998,0.0,0.574442284846015,0.09567016920065352,0.14009801587301587,0.6638123830209416,0.489640310220355,CompressionPressure,0.6638123830209416
1236,2026-04-23 12:05:00,Stable Compression Basin,Unresolved->Balance->Unresolved->Unresolved,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,16.842000000000002,0.0,0.574442284846015,0.09567016920065352,0.12959444444444446,0.6638123830209416,0.48543888164892646,CompressionPressure,0.6638123830209416
1237,2026-04-23 12:10:00,Stable Compression Basin,Balance->Unresolved->Unresolved->Unresolved,1.1567796494427114,0.5555555555555556,0.7,0.0,0.0,16.842,0.0,0.574442284846015,0.09567016920065352,0.12959444444444446,0.6638123830209416,0.48543888164892646,CompressionPressure,0.6638123830209416
1238,2026-04-23 12:15:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.3709505944503406,0.5555555555555556,0.6,0.0,0.0,16.842,0.0,0.6100064869410275,0.06760603955684023,0.12959444444444446,0.6087600322912982,0.5322887758693453,CompressionPressure,0.6087600322912982
1239,2026-04-23 12:20:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.4444444444444444,0.6,0.0,0.0,10.526,0.0,0.6484463223957884,0.08553842477305709,0.0931484126984127,0.6412558569575977,0.46508608794999556,CompressionPressure,0.6412558569575977
1240,2026-04-23 12:25:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.4444444444444444,0.5,0.0,0.0,8.421,0.0,0.6840105244908008,0.0688567456734801,0.08563055555555554,0.595495302590596,0.4764075520440251,CompressionPressure,0.595495302590596
1241,2026-04-23 12:30:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.360964047439353,0.4444444444444444,0.5,0.0,0.0,8.421,0.0,0.7195747265858132,0.0688567456734801,0.08563055555555554,0.595495302590596,0.4764075520440251,CompressionPressure,0.595495302590596
1242,2026-04-23 12:35:00,Pure Unresolved Compression Equilibrium,Unresolved->Unresolved->Unresolved->Unresolved,1.2954618442339936,0.3333333333333333,0.6,0.0,0.0,8.421,0.0,0.7551389286808258,0.09769120255083487,0.07174166666666666,0.6690336347353755,0.42041227842618606,CompressionPressure,0.6690336347353755
