Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplitMode,Count_Train,MeanSignedReturn_Train,MedianSignedReturn_Train,StdSignedReturn_Train,DirectionalHitRate_Train,MeanDirectionalMFE_Train,MeanDirectionalMAE_Train,Count_Validation,MeanSignedReturn_Validation,MedianSignedReturn_Validation,StdSignedReturn_Validation,DirectionalHitRate_Validation,MeanDirectionalMFE_Validation,MeanDirectionalMAE_Validation,Supported,ReturnSignAgreement,HitRateDelta,ReturnDelta,ValidationRetainsPositiveEdge,ValidationFlipsNegative,TrainTStat,ValidationTStat,GeneralizationClass
6E,20,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,1521,0.12898603885039867,-0.0,3.8206456845805876,0.4888304862023653,2.8687447865823077,-2.663071173310212,1003,-0.23582142909481152,0.0,3.8799975079047737,0.47058823529411764,2.6533145430052136,-2.6542835065872947,True,False,-0.01824225090824766,-0.3648074679452102,False,True,1.3166506215081726,-1.9248739130787738,FailedPositive
6E,20,Pure Unresolved Compression Equilibrium,RotationalPressure,BarIndexFallback,52,1.0973343457790012,0.2166069295103698,5.079933802688701,0.5576923076923077,3.668165064295251,-2.190272239314034,60,0.6393604336127,0.8044871794869346,2.8102779440185404,0.55,2.5993026472261205,-2.122606867934677,True,True,-0.007692307692307665,-0.45797391216630123,True,False,1.5576955935684955,1.7622686160821988,WeakPositive
6E,20,Sponsor Exhaustion Collapse,CompressionPressure,BarIndexFallback,79,0.006899830952931372,0.3255813953480974,4.6885154535193605,0.5316455696202531,3.055821711428307,-2.882297077995128,58,-0.6480203550973738,-0.5870175438596095,4.11619120838632,0.3793103448275862,2.121859956469815,-2.945346970474613,True,False,-0.15233522479266692,-0.6549201860503051,False,True,0.013080268064432151,-1.1989666520709827,FailedPositive
6E,20,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,405,-0.5788990588482281,-0.2352941176470281,4.570514581827338,0.45098039215686275,2.5137375591852957,-3.4320418121714815,285,-0.33264359794167303,0.0,4.733968052659563,0.4982456140350877,2.841126865857841,-3.2046683178531743,True,True,0.04726522187822496,0.2462554609065551,False,False,-2.548973123415738,-1.1862501399810357,WeakNegative
6E,20,Stable Compression Basin,CompressionPressure,BarIndexFallback,740,-0.4753343139694829,-0.36681922196790384,4.069904331764007,0.4214765100671141,2.560372663651991,-3.1043954767430724,498,-0.2711419077298153,-0.15823754789270855,4.191699875742063,0.46987951807228917,2.713609971404653,-2.9617874809251634,True,True,0.04840300800517505,0.2041924062396676,False,False,-3.1770995710081977,-1.443514461150532,WeakNegative
6E,20,Stable Compression Basin,RotationalPressure,BarIndexFallback,197,-0.2612575049067313,-0.5526315789468625,3.623843012952381,0.40609137055837563,2.7202115719163573,-2.792435065319724,138,-0.03889663597363796,0.0,4.470002739371811,0.4855072463768116,2.8573208460170423,-2.657240810724143,True,True,0.07941587581843595,0.22236086893309331,False,False,-1.0118881556732746,-0.10222186408419595,NegativeButWeak
6E,20,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,254,-0.47857231710942555,-0.22952361755044845,3.3527201218818643,0.4409448818897638,2.2604955216511953,-2.9522296068007208,161,-0.5521659548707988,-0.3500000000006605,3.335154265378507,0.40372670807453415,2.15152384068265,-2.7969040470681876,True,True,-0.03721817381522963,-0.07359363776137323,False,False,-2.2749252481166278,-2.1007125836139835,ConfirmedNegative
ES,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,77,-0.1850782574670244,-0.175438596491228,1.533913870951288,0.41975308641975306,1.0260610620319293,-1.3170895296417418,50,0.8228405779428003,0.5637554030002543,1.7640406263745514,0.7,1.7560738700527971,-0.7808497681332837,True,False,0.2802469135802469,1.0079188354098247,False,False,-1.058765520613317,3.298314924269058,FailedNegative
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,BarIndexFallback,849,0.09487832143446868,-0.0528301886792452,2.42862490211049,0.47820965842167257,1.3420412344683885,-1.209356795164796,559,-0.08308308597417426,-0.0916230366492146,2.1033743222306334,0.4669051878354204,1.252429202756545,-1.2878579112991948,True,False,-0.011304470586252169,-0.17796140740864294,False,True,1.1383095881517287,-0.9339033976321379,FailedPositive
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,BarIndexFallback,165,-0.017402324775439026,0.0806916426512968,1.4835214352852824,0.5178571428571429,1.169876859476757,-1.2651587880723008,132,-0.039149441834290255,0.0315030658395752,1.1576412564655298,0.5075757575757576,1.0217105070675265,-1.0329651170610143,True,True,-0.010281385281385336,-0.02174711705885123,False,False,-0.15067993210829095,-0.38854251252365174,NegativeButWeak
ES,5,Stable Compression Basin,CompressionPressure,BarIndexFallback,307,0.30992465902770217,-0.0371352785145888,2.615636313592148,0.4840764331210191,1.5070468231429608,-1.0733455406280175,235,0.36745534210934583,0.21875,3.08877924526321,0.5659574468085107,1.5293582065694653,-1.156577484309509,True,True,0.08188101368749157,0.05753068308164366,True,False,2.0760985334099753,1.8236925597858598,WeakPositive
ES,5,Stable Compression Basin,RotationalPressure,BarIndexFallback,118,-0.026785975598212844,-0.12221494927116634,1.884102707319712,0.4067796610169492,1.1598202278956176,-1.0913785498116482,63,0.31335442300746846,0.1734513274336283,2.885415713665073,0.5555555555555556,1.5214788163255908,-0.8499118065385273,True,False,0.1487758945386064,0.3401403986056813,False,False,-0.1544343479979178,0.8619810361192186,FailedNegative
ES,5,Unstable Rotational Balance,RotationalPressure,BarIndexFallback,203,-0.13165809860370134,-0.1944444444444444,1.9374314820576364,0.4482758620689655,1.2222020405019256,-1.325121496184948,119,0.23410157375489066,-0.0481927710843373,3.3094042936226225,0.46218487394957986,1.5954409432146084,-1.2841192353982136,True,False,0.01390901188061433,0.36575967235859197,False,False,-0.9682092896468723,0.7716635524394682,FailedNegative
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,BarIndexFallback,77,0.07545793505632999,0.330188679245283,2.638300183473475,0.5061728395061729,1.8020187957003782,-1.7096276408867963,50,1.6371413215107395,0.8788461538461538,4.009720307144555,0.62,2.8915285565127085,-1.0815666492218898,True,True,0.11382716049382713,1.5616833864544095,True,False,0.25097246212282665,2.8870685272942054,ConfirmedPositive
