Instrument,HorizonBars,ResolvedArchetype,DominantPressure,WalkForwardSplit,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE
ES,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,8,2.534154319086135,0.8120301404587045,6.614231080285841,0.625,4.227111650339272,-1.3933901911240245
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,Train,165,-0.11211995112859124,-0.0406976744186046,2.2325255081884654,0.48214285714285715,1.6350454817898068,-1.7575875969699624
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,Validation,132,0.3125396503619928,0.3057592621487144,1.99255592097124,0.5909090909090909,1.7119091961032202,-1.527376889882929
ES,10,Stable Compression Basin,CompressionPressure,Train,307,0.3711634144590751,0.0526315789473684,3.4713729623708156,0.5095541401273885,2.1139142835423086,-1.6550284193571028
ES,10,Stable Compression Basin,CompressionPressure,Validation,232,0.39869030327287114,0.17824030528607132,3.6320389530040385,0.5431034482758621,2.253738581349406,-1.7027904442444042
ES,10,Stable Compression Basin,RotationalPressure,Train,118,0.20867997037008293,0.01741293532338305,3.3157147987938305,0.5,1.9269538085887665,-1.7498151213866155
ES,10,Stable Compression Basin,RotationalPressure,Validation,63,0.43446059809718524,0.2397260273972602,2.6887937738926255,0.5396825396825397,2.124141577748569,-1.214344344888384
ES,10,Unstable Rotational Balance,CompressionPressure,Train,2,-1.1188405797101448,-1.1188405797101448,0.2623468637445741,0.0,1.1125,-1.2715579710144929
ES,10,Unstable Rotational Balance,CompressionPressure,Validation,8,0.7049046989342915,1.358251633986928,2.7160402863951623,0.75,2.957977708088835,-1.460436780094018
ES,10,Unstable Rotational Balance,RotationalPressure,Train,203,-0.06196273993300492,-0.106060606060606,3.386062401326324,0.46798029556650245,2.027520228480142,-1.9755775781377003
ES,10,Unstable Rotational Balance,RotationalPressure,Validation,117,0.6949731109128382,0.2568807339449541,4.018623588486674,0.5641025641025641,2.4979562611708355,-1.7499169520468005
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,77,0.48234270843510263,0.5137614678899083,3.7851136127093286,0.5679012345679012,2.5261137368477606,-2.1800067236346274
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,50,0.9198779837144319,1.051918296444937,3.4378228251801706,0.64,3.429000715901807,-1.5582746082531758
ES,20,Directional Continuation / Sponsor Release,RotationalPressure,Train,49,-0.011582311661801414,0.2776203966005666,4.564766242146433,0.5510204081632653,2.546463818381609,-2.3811795084286134
ES,20,Directional Continuation / Sponsor Release,RotationalPressure,Validation,32,-0.7671529582149759,-1.263825634352635,3.0740985848224986,0.34375,2.0434117002646754,-2.966554869086696
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,849,0.23367030422220847,0.0786516853932584,5.195161575575337,0.5076560659599529,2.948158609016994,-2.8263335875972966
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,559,0.258548177609794,0.0746666666666666,5.1738817171207625,0.5098389982110912,3.012386835836611,-2.74739354127495
ES,20,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,45,0.6487768949548857,0.5833333333333334,4.259910341145953,0.5777777777777777,3.0550951580763854,-2.4478245985892078
ES,20,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,21,-0.2998427205429694,-0.7256097560975611,3.2777049868136303,0.47619047619047616,2.414507092950809,-2.6772240490095722
ES,20,Sponsor Exhaustion Collapse,CompressionPressure,Train,39,-0.2872740697921541,0.2493638676844783,3.6078224625689055,0.5384615384615384,2.318180003084844,-2.7675433323367096
ES,20,Sponsor Exhaustion Collapse,CompressionPressure,Validation,33,0.09861023464584973,0.8082474226804123,3.6968491988340806,0.6060606060606061,2.8354130826595463,-2.681863454792598
ES,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,12,-0.786498671156748,-0.13841681930397395,3.135273187084633,0.5,1.7007840686984157,-2.376587970582619
ES,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,8,1.1936955737419381,0.15587317486612476,5.26969232198627,0.5,4.285581792300433,-1.8111275303195955
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,Train,165,-0.023962796471723388,-0.0936454849498327,4.154808963214594,0.5,2.537001393730676,-2.5982937567461506
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,Validation,132,0.008957594039538485,0.2380053421163617,4.1229404136053205,0.5227272727272727,2.610058680331733,-2.6364753579997697
ES,20,Stable Compression Basin,CompressionPressure,Train,307,0.2657619081234028,0.1337579617834395,4.783836781219635,0.5095541401273885,2.9095088107528264,-2.5857671013937784
ES,20,Stable Compression Basin,CompressionPressure,Validation,228,0.24966123550084945,0.3222286134279232,5.06646534999335,0.5482456140350878,3.081048878102475,-2.61181462435554
ES,20,Stable Compression Basin,RotationalPressure,Train,118,0.14928073679506249,-0.17376252843878742,4.926694902364745,0.4661016949152542,2.7560046078604885,-2.8216877263143343
ES,20,Stable Compression Basin,RotationalPressure,Validation,63,0.30931446470653495,-0.185022026431718,3.47461208088415,0.4444444444444444,2.6860482222705584,-1.894853248413877
ES,20,Unstable Rotational Balance,CompressionPressure,Train,2,-1.0467391304347826,-1.0467391304347826,0.004611565964260145,0.0,1.1125,-1.5844202898550726
ES,20,Unstable Rotational Balance,CompressionPressure,Validation,8,-0.5653705406464872,0.4068627450980392,2.7933155863055594,0.75,3.2770334709412396,-2.218384773273228
ES,20,Unstable Rotational Balance,RotationalPressure,Train,203,-0.05763915339643397,-0.0673076923076923,5.496356127388897,0.49261083743842365,2.9447456587668093,-3.2117078632645972
ES,20,Unstable Rotational Balance,RotationalPressure,Validation,111,0.905290781915705,0.5218800648298217,4.3431219213411865,0.6126126126126126,3.3432318154192218,-2.278450570428729
NQ,5,Directional Continuation / Sponsor Release,CompressionPressure,Train,1,1.439252336448598,1.439252336448598,,1.0,1.8841121495327104,-0.1831775700934579
NQ,5,Directional Continuation / Sponsor Release,CompressionPressure,Validation,1,0.2299679487179487,0.2299679487179487,,1.0,0.4487179487179487,-1.3349358974358976
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Train,224,0.26033666015746104,0.2017215477547378,1.4102100712346692,0.5758928571428571,1.3334379732015196,-0.9489383887672797
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,Validation,128,-0.1539557520261757,-0.4050627248161206,1.6156834802694546,0.4296875,1.1340355715356012,-1.2547524404955956
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,Train,138,0.0817403555462548,-0.0273899609030142,1.6009860379517644,0.4927536231884058,1.3058436002033975,-1.2253863257253108
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,Validation,102,-0.044221813206076564,-0.15011796788822157,1.3107749751371678,0.46078431372549017,1.1185167442611406,-1.1758442942349203
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,Train,2279,0.027523285149355814,0.0844730490748189,1.845060358909915,0.5197368421052632,1.2765047162407988,-1.2255859860278369
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,Validation,1527,-0.14055519674288583,-0.0663956639566395,1.6692504380888802,0.4793713163064833,1.1722329975431958,-1.3136557649714549
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,Train,113,-0.18034688384548941,-0.1596244131455399,1.3774013155838007,0.4247787610619469,1.2919766629154485,-1.22233500365483
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,Validation,80,0.21803198023809958,0.14724093770897206,1.5360948140803574,0.5875,1.2546010744157752,-1.100032588079148
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,Train,69,-0.3768568294115905,-0.1658206429780034,1.4656253336782565,0.42028985507246375,1.015856500560713,-1.4231809199792658
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,Validation,75,0.057653288324216484,-0.1458333333333333,2.1138166505266653,0.44,1.4411234922259917,-1.2479321122786773
NQ,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Train,24,0.1337505210982386,0.012769506855955307,2.093031062607293,0.5,1.4756293834962726,-1.1049005393882385
NQ,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,Validation,14,0.8366290554821602,0.40473507566670297,1.4844762509937186,0.7142857142857143,1.702113227643059,-0.7383496573539963
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,Train,733,-0.09643400923665549,-0.059322033898305,1.5708278368323665,0.4747612551159618,1.1641928400559354,-1.2546448722830041
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,Validation,478,-0.020787793816612738,-0.0194870334973633,1.5379032873574228,0.4916317991631799,1.221665381600765,-1.160871105684201
NQ,5,Stable Compression Basin,CompressionPressure,Train,1166,-0.058764396963782606,-0.0198323286421529,1.9996453067187228,0.48346055979643765,1.1724536408523831,-1.3128568187092968
NQ,5,Stable Compression Basin,CompressionPressure,Validation,758,0.15449318042014842,0.11780795269997435,1.515536160064865,0.5329815303430079,1.3227881824149172,-1.097028429018875
NQ,5,Stable Compression Basin,RotationalPressure,Train,353,-0.07936401114544966,-0.0783216783216783,1.8735996572985605,0.45609065155807366,1.1724072062183224,-1.3773021996512003
NQ,5,Stable Compression Basin,RotationalPressure,Validation,234,0.16240407220718434,0.07526103146980795,1.5249729954006965,0.5213675213675214,1.3065107250646033,-1.0652366286194521
NQ,5,Unstable Rotational Balance,CompressionPressure,Train,16,0.07566190749950559,0.00730688935281835,1.5086808332685029,0.5,1.246023893169871,-0.9077610818881472
NQ,5,Unstable Rotational Balance,CompressionPressure,Validation,25,-0.21781692530896224,-0.4502923976608187,1.485002241694881,0.48,1.171100650033134,-1.4924488499310147
