Quadruplet,TrajectoryCluster,Archetype,ExpectancyFamily,Count,ConditionalProbability,FinalTransition,MeanNextRunLength,ImmediateFailurePct,DirectionalContinuationPct,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop
Unresolved->Degrading->Directional->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,1,100.0,Directional->Degrading,2.2,70.0,0.0,1,1,2,0,3,0,1,0,0,0,0,0,0,0,1,0,1
Balance->Unresolved->Degrading->Degrading,0,Sponsor Exhaustion Collapse,RotationalChurn,1,100.0,Degrading->Degrading,0.0,0.0,0.0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,0,1,1
Balance->Degrading->Balance->Degrading,0,Sponsor Exhaustion Collapse,DegradationCycle,1,100.0,Balance->Degrading,1.5,50.0,0.0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0
Directional->Degrading->Directional->Degrading,0,Sponsor Exhaustion Collapse,ImmediateFailure,1,100.0,Directional->Degrading,2.2,70.0,0.0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,1,0,0
Balance->Balance->Degrading->Balance,1,Unstable Rotational Balance,ImmediateFailure,1,100.0,Degrading->Balance,1.0,100.0,0.0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0
Unresolved->Unresolved->Unknown->Unknown,2,Stable Compression Basin,Mixed,1,100.0,Unknown->Unknown,0.0,0.0,0.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unresolved->Unknown->Unknown->Unknown,2,Stable Compression Basin,Mixed,1,100.0,Unknown->Unknown,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Degrading->Unresolved->Balance->Unresolved,2,Stable Compression Basin,PersistentNonDirectional,1,100.0,Balance->Unresolved,7.26,21.05,0.0,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,1
Balance->Degrading->Unresolved->Unresolved,2,Stable Compression Basin,DegradationCycle,1,100.0,Unresolved->Unresolved,0.0,0.0,0.0,2,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1
Directional->Directional->Unresolved->Unresolved,2,Stable Compression Basin,Mixed,1,100.0,Unresolved->Unresolved,0.0,0.0,0.0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Degrading->Unresolved->Directional->Directional,3,Directional Continuation / Sponsor Release,DegradationCycle,1,100.0,Directional->Directional,0.0,0.0,0.0,1,2,1,0,2,1,0,0,0,0,0,0,0,1,0,0,1
Degrading->Degrading->Directional->Directional,3,Directional Continuation / Sponsor Release,Mixed,1,100.0,Directional->Directional,0.0,0.0,0.0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Degrading->Directional->Directional->Directional,3,Directional Continuation / Sponsor Release,Mixed,1,100.0,Directional->Directional,0.0,0.0,0.0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
