Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure,BaselineFutureDirectionalProbability,DirectionalLift,DirectionalEdge,ForecastQuality
ES,5,Unstable Rotational Balance,RotationalPressure,322,0.0248447204968944,0.0779289854803223,0.0596100759144236,0.1393624018470506,0.7372876666892221,0.06815286624203817,0.36454402972078725,-0.04330814574514377,StrongNegativeLift
ES,5,Sponsor Exhaustion Collapse,RotationalPressure,300,0.0166666666666666,0.0970404624061355,0.1558888888888888,0.1409341442703903,0.4843554950536338,0.06815286624203817,0.24454828660436057,-0.05148619957537157,StrongNegativeLift
ES,10,Directional Continuation / Sponsor Release,RotationalPressure,81,0.1604938271604938,0.2422630639520636,0.251954732510288,0.1314755138628471,0.4882410512742737,0.06730462519936199,2.3845883798490446,0.0931892019611318,StrongPositiveLift
ES,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.1145038167938931,0.5777225704857408,0.2196576245001817,0.3639332991195866,0.2280887127849888,0.06730462519936199,1.7012770883831996,0.047199191594531106,ModeratePositiveLift
ES,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,20,0.1,0.385627380944826,0.129861111111111,0.3205097789088664,0.3118963293745229,0.06730462519936199,1.485781990521328,0.032695374800638013,Unsupported
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.0823863636363636,0.1935709720787437,0.0186631944444444,0.8360563854863585,0.1941220557851186,0.06730462519936199,1.2240817535545028,0.015081738437001613,Neutral
ES,10,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.0606060606060606,0.0418153618624542,0.0757996632996632,0.5124033875438712,0.5747910055493132,0.06730462519936199,0.9004739336492897,-0.006698564593301391,Neutral
ES,10,Stable Compression Basin,CompressionPressure,546,0.0567765567765567,0.0957587625459609,0.0499592999592999,0.6351881668021412,0.437314045415135,0.06730462519936199,0.8435758554241961,-0.010528068422805292,Neutral
ES,10,Stable Compression Basin,RotationalPressure,181,0.0386740331491712,0.0467584068148836,0.0797421731123388,0.5172649533336109,0.5793977093728775,0.06730462519936199,0.5746118195386342,-0.028630592050190792,ModerateNegativeLift
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,300,0.0366666666666666,0.0970404624061355,0.1558888888888888,0.1409341442703903,0.4843554950536338,0.06730462519936199,0.5447867298578193,-0.030637958532695395,ModerateNegativeLift
ES,10,Unstable Rotational Balance,RotationalPressure,320,0.034375,0.0777641202117892,0.0595920138888888,0.138998111101219,0.7378338680901776,0.06730462519936199,0.5107375592417066,-0.03292962519936199,ModerateNegativeLift
ES,10,Sponsor Exhaustion Collapse,CompressionPressure,72,0.0138888888888888,0.2033252855984555,0.1150462962962963,0.397338951962458,0.1885382051684338,0.06730462519936199,0.20635860979462758,-0.053415736310473194,StrongNegativeLift
ES,10,Unstable Rotational Balance,CompressionPressure,10,0.0,0.2381911562951179,0.0097222222222221,0.480870331669484,0.3509816169345835,0.06730462519936199,0.0,-0.06730462519936199,Unsupported
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.0774147727272727,0.1935709720787437,0.0186631944444444,0.8360563854863585,0.1941220557851186,0.06719999999999997,1.1520055465367967,0.010214772727272725,Neutral
ES,20,Unstable Rotational Balance,RotationalPressure,314,0.0732484076433121,0.0772058574093866,0.0594922151450813,0.1374831153267976,0.7392133780264134,0.06719999999999997,1.0900060661207163,0.006048407643312131,Neutral
ES,20,Stable Compression Basin,RotationalPressure,181,0.0662983425414364,0.0467584068148836,0.0797421731123388,0.5172649533336109,0.5793977093728775,0.06719999999999997,0.9865824782951851,-0.0009016574585635623,Neutral
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,300,0.0633333333333333,0.0970404624061355,0.1558888888888888,0.1409341442703903,0.4843554950536338,0.06719999999999997,0.9424603174603173,-0.003866666666666671,Neutral
ES,20,Directional Continuation / Sponsor Release,RotationalPressure,81,0.0617283950617283,0.2422630639520636,0.251954732510288,0.1314755138628471,0.4882410512742737,0.06719999999999997,0.9185773074661954,-0.005471604938271667,Neutral
ES,20,Stable Compression Basin,CompressionPressure,542,0.0608856088560885,0.0958770415729635,0.0497642476424763,0.635376048720632,0.4370207503469964,0.06719999999999997,0.906035846072746,-0.006314391143911469,Neutral
ES,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,20,0.05,0.385627380944826,0.129861111111111,0.3205097789088664,0.3118963293745229,0.06719999999999997,0.7440476190476194,-0.017199999999999965,Unsupported
ES,20,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.0454545454545454,0.0418153618624542,0.0757996632996632,0.5124033875438712,0.5747910055493132,0.06719999999999997,0.6764069264069259,-0.021745454545454568,ModerateNegativeLift
ES,20,Sponsor Exhaustion Collapse,CompressionPressure,72,0.0277777777777777,0.2033252855984555,0.1150462962962963,0.397338951962458,0.1885382051684338,0.06719999999999997,0.4133597883597874,-0.03942222222222227,StrongNegativeLift
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.0229007633587786,0.5777225704857408,0.2196576245001817,0.3639332991195866,0.2280887127849888,0.06719999999999997,0.3407851690294436,-0.044299236641221366,StrongNegativeLift
ES,20,Unstable Rotational Balance,CompressionPressure,10,0.0,0.2381911562951179,0.0097222222222221,0.480870331669484,0.3509816169345835,0.06719999999999997,0.0,-0.06719999999999997,Unsupported
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.1580381471389645,0.5630372549423475,0.2165758401453224,0.3628537252345985,0.2223371206253175,0.06223939794569302,2.5391978771526786,0.09579874919327147,StrongPositiveLift
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,3869,0.1013181700697854,0.1851063785518912,0.0205335860543924,0.8191357158401458,0.2143318926956716,0.06223939794569302,1.6278783763009816,0.03907877212409238,ModeratePositiveLift
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,243,0.0699588477366255,0.2335600842569547,0.2528692272519433,0.1349179778093816,0.4893382893726967,0.06223939794569302,1.124028349336992,0.0077194497909324825,Neutral
NQ,5,Unstable Rotational Balance,CompressionPressure,41,0.048780487804878,0.2421243924624762,0.0088075880758807,0.4873738196308915,0.3414816041916087,0.06223939794569302,0.7837557787342578,-0.013458910140815017,Unsupported
NQ,5,Stable Compression Basin,CompressionPressure,1968,0.0386178861788617,0.0947431657307725,0.0517092931345979,0.6352782956944036,0.4407084402276722,0.06223939794569302,0.6204733248312867,-0.02362151176683132,ModerateNegativeLift
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.0310880829015544,0.0415346086122888,0.0739061600460563,0.5192499924380745,0.5671601444863134,0.06223939794569302,0.4994920247891907,-0.03115131504413862,StrongNegativeLift
NQ,5,Unstable Rotational Balance,RotationalPressure,1147,0.029642545771578,0.079835409893473,0.0588225322096289,0.1521001852476201,0.7252355668808351,0.06223939794569302,0.4762665891698149,-0.032596852174115024,StrongNegativeLift
NQ,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,39,0.0256410256410256,0.3888689433275994,0.1295584045584045,0.320255391847769,0.3119408863675661,0.06223939794569302,0.41197419138595576,-0.03659837230466742,Unsupported
NQ,5,Stable Compression Basin,RotationalPressure,597,0.0234505862646566,0.0426650499947149,0.0794249022892238,0.5170602256754585,0.5786895451442704,0.06223939794569302,0.3767804162424323,-0.038788811681036414,StrongNegativeLift
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.0098119378577269,0.0883275093606374,0.1564004724266375,0.1418429300305204,0.4833205725483068,0.06223939794569302,0.15764834142978545,-0.052427460087966116,StrongNegativeLift
NQ,5,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.3058122087569482,0.2138888888888889,0.3185063422114016,0.2442555800378718,0.06223939794569302,0.0,-0.06223939794569302,Unsupported
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,144,0.0,0.2041412948240749,0.1178433641975308,0.4000586533711269,0.1911238027072285,0.06223939794569302,0.0,-0.06223939794569302,StrongNegativeLift
NQ,10,Pure Unresolved Compression Equilibrium,CompressionPressure,3864,0.1037784679089026,0.1850962336696797,0.0205421842650103,0.8190999275150299,0.2143646688112668,0.062271062271062216,1.6665601023017904,0.04150740563784039,ModeratePositiveLift
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,243,0.0534979423868312,0.2335600842569547,0.2528692272519433,0.1349179778093816,0.4893382893726967,0.062271062271062216,0.8591140159767606,-0.008773119884231018,Neutral
NQ,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,39,0.0512820512820512,0.3888689433275994,0.1295584045584045,0.320255391847769,0.3119408863675661,0.062271062271062216,0.8235294117647053,-0.01098901098901102,Unsupported
NQ,10,Unstable Rotational Balance,CompressionPressure,41,0.048780487804878,0.2421243924624762,0.0088075880758807,0.4873738196308915,0.3414816041916087,0.062271062271062216,0.7833572453371592,-0.013490574466184214,Unsupported
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.0435967302452316,0.5630372549423475,0.2165758401453224,0.3628537252345985,0.2223371206253175,0.062271062271062216,0.7001121974675434,-0.018674332025830617,Neutral
NQ,10,Stable Compression Basin,CompressionPressure,1968,0.0426829268292682,0.0947431657307725,0.0517092931345979,0.6352782956944036,0.4407084402276722,0.062271062271062216,0.6854375896700134,-0.019588135441794018,Neutral
NQ,10,Unstable Rotational Balance,RotationalPressure,1147,0.03487358326068,0.079835409893473,0.0588225322096289,0.1521001852476201,0.7252355668808351,0.062271062271062216,0.5600287194215087,-0.02739747901038222,ModerateNegativeLift
NQ,10,Sponsor Exhaustion Collapse,CompressionPressure,144,0.0347222222222222,0.2041412948240749,0.1178433641975308,0.4000586533711269,0.1911238027072285,0.062271062271062216,0.5575980392156864,-0.027548840048840013,ModerateNegativeLift
NQ,10,Stable Compression Basin,RotationalPressure,597,0.0318257956448911,0.0426650499947149,0.0794249022892238,0.5170602256754585,0.5786895451442704,0.062271062271062216,0.5110848359444281,-0.030445266626171114,ModerateNegativeLift
NQ,10,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.0310880829015544,0.0415346086122888,0.0739061600460563,0.5192499924380745,0.5671601444863134,0.062271062271062216,0.4992380371837858,-0.031182979369507816,StrongNegativeLift
NQ,10,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.0196238757154538,0.0883275093606374,0.1564004724266375,0.1418429300305204,0.4833205725483068,0.062271062271062216,0.31513635707758186,-0.04264718655560842,StrongNegativeLift
