Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,FutureDirectionalProbability,MeanDirectionalReleasePressure,MeanExhaustionPressure,MeanCompressionPressure,MeanRotationalPressure
ES,10,Sponsor Exhaustion Collapse,CompressionPressure,72,0.013888888888888888,0.2033252855984555,0.1150462962962963,0.397338951962458,0.18853820516843386
ES,10,Unstable Rotational Balance,CompressionPressure,10,0.0,0.23819115629511795,0.00972222222222216,0.48087033166948406,0.3509816169345835
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.07741477272727272,0.19357097207874377,0.01866319444444441,0.8360563854863585,0.19412205578511868
ES,20,Unstable Rotational Balance,RotationalPressure,314,0.0732484076433121,0.07720585740938665,0.05949221514508134,0.13748311532679763,0.7392133780264134
ES,20,Stable Compression Basin,RotationalPressure,181,0.06629834254143646,0.04675840681488368,0.07974217311233882,0.5172649533336109,0.5793977093728775
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,300,0.06333333333333334,0.09704046240613552,0.15588888888888883,0.1409341442703903,0.48435549505363384
ES,20,Directional Continuation / Sponsor Release,RotationalPressure,81,0.06172839506172839,0.24226306395206365,0.25195473251028805,0.1314755138628471,0.4882410512742737
ES,20,Stable Compression Basin,CompressionPressure,542,0.06088560885608856,0.09587704157296352,0.04976424764247636,0.635376048720632,0.4370207503469964
ES,20,Sponsor Exhaustion Collapse,DirectionalReleasePressure,20,0.05,0.38562738094482607,0.12986111111111104,0.3205097789088664,0.3118963293745229
ES,20,Pure Unresolved Compression Equilibrium,RotationalPressure,66,0.045454545454545456,0.0418153618624542,0.07579966329966327,0.5124033875438712,0.5747910055493132
ES,20,Sponsor Exhaustion Collapse,CompressionPressure,72,0.027777777777777776,0.2033252855984555,0.1150462962962963,0.397338951962458,0.18853820516843386
ES,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,131,0.022900763358778626,0.5777225704857408,0.21965762450018175,0.3639332991195866,0.22808871278498888
ES,20,Unstable Rotational Balance,CompressionPressure,10,0.0,0.23819115629511795,0.00972222222222216,0.48087033166948406,0.3509816169345835
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.15803814713896458,0.5630372549423475,0.21657584014532244,0.3628537252345985,0.2223371206253175
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,3869,0.10131817006978547,0.18510637855189122,0.020533586054392428,0.8191357158401458,0.21433189269567168
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,243,0.06995884773662552,0.23356008425695474,0.2528692272519433,0.13491797780938164,0.48933828937269674
NQ,5,Unstable Rotational Balance,CompressionPressure,41,0.04878048780487805,0.2421243924624762,0.008807588075880703,0.4873738196308915,0.3414816041916087
NQ,5,Stable Compression Basin,CompressionPressure,1968,0.03861788617886179,0.09474316573077256,0.051709293134597954,0.6352782956944036,0.4407084402276722
NQ,5,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.031088082901554404,0.041534608612288845,0.07390616004605638,0.5192499924380745,0.5671601444863134
NQ,5,Unstable Rotational Balance,RotationalPressure,1147,0.02964254577157803,0.07983540989347307,0.058822532209628936,0.1521001852476201,0.7252355668808351
NQ,5,Sponsor Exhaustion Collapse,DirectionalReleasePressure,39,0.02564102564102564,0.38886894332759947,0.1295584045584045,0.320255391847769,0.3119408863675661
NQ,5,Stable Compression Basin,RotationalPressure,597,0.023450586264656615,0.04266504999471497,0.07942490228922386,0.5170602256754585,0.5786895451442704
NQ,5,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.009811937857726901,0.08832750936063741,0.15640047242663754,0.14184293003052045,0.4833205725483068
NQ,5,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.30581220875694826,0.2138888888888889,0.3185063422114016,0.2442555800378718
NQ,5,Sponsor Exhaustion Collapse,CompressionPressure,144,0.0,0.2041412948240749,0.11784336419753084,0.4000586533711269,0.1911238027072285
NQ,10,Pure Unresolved Compression Equilibrium,CompressionPressure,3864,0.10377846790890269,0.1850962336696797,0.02054218426501031,0.8190999275150299,0.21436466881126684
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,243,0.053497942386831275,0.23356008425695474,0.2528692272519433,0.13491797780938164,0.48933828937269674
NQ,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,39,0.05128205128205128,0.38886894332759947,0.1295584045584045,0.320255391847769,0.3119408863675661
NQ,10,Unstable Rotational Balance,CompressionPressure,41,0.04878048780487805,0.2421243924624762,0.008807588075880703,0.4873738196308915,0.3414816041916087
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.043596730245231606,0.5630372549423475,0.21657584014532244,0.3628537252345985,0.2223371206253175
NQ,10,Stable Compression Basin,CompressionPressure,1968,0.042682926829268296,0.09474316573077256,0.051709293134597954,0.6352782956944036,0.4407084402276722
NQ,10,Unstable Rotational Balance,RotationalPressure,1147,0.03487358326068003,0.07983540989347307,0.058822532209628936,0.1521001852476201,0.7252355668808351
NQ,10,Sponsor Exhaustion Collapse,CompressionPressure,144,0.034722222222222224,0.2041412948240749,0.11784336419753084,0.4000586533711269,0.1911238027072285
NQ,10,Stable Compression Basin,RotationalPressure,597,0.031825795644891124,0.04266504999471497,0.07942490228922386,0.5170602256754585,0.5786895451442704
NQ,10,Pure Unresolved Compression Equilibrium,RotationalPressure,193,0.031088082901554404,0.041534608612288845,0.07390616004605638,0.5192499924380745,0.5671601444863134
NQ,10,Sponsor Exhaustion Collapse,RotationalPressure,1223,0.019623875715453803,0.08832750936063741,0.15640047242663754,0.14184293003052045,0.4833205725483068
NQ,10,Directional Continuation / Sponsor Release,CompressionPressure,2,0.0,0.30581220875694826,0.2138888888888889,0.3185063422114016,0.2442555800378718
NQ,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,367,0.07629427792915532,0.5630372549423475,0.21657584014532244,0.3628537252345985,0.2223371206253175
