Instrument,HorizonBars,ResolvedArchetype,DominantPressure,Count,MeanSignedReturn,MedianSignedReturn,MeanDirectionalMFE,MeanDirectionalMAE,DirectionalHitRate,StdSignedReturn,BaselineMeanSignedReturn,BaselineDirectionalHitRate,SignedReturnEdge,DirectionalHitLift,SignedReturnTStat,SignedReturnSignificance
6E,5,Unstable Rotational Balance,RotationalPressure,415,-0.28755524489670403,-0.19718309859194394,1.1176695302298,-1.401990403878297,0.40240963855421685,1.778602314708089,-0.0926879020375817,0.4570494060939921,-0.19486734285912233,0.8804510698159871,-3.293566893544502,SignificantNegativeSignedReturn
6E,10,Directional Continuation / Sponsor Release,CompressionPressure,1,-0.10852713178317364,-0.10852713178317364,1.7364341085269226,-2.0620155038759616,0.0,,-0.09266427729912766,0.4751895244658856,-0.01586285448404598,0.0,0.0,Unsupported
6E,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,-0.050382780597294174,-0.23140495867765623,1.7044664485794863,-1.7027669325180421,0.4041095890410959,2.5162778120850877,-0.09266427729912766,0.4751895244658856,0.04228149670183348,0.8504177138486296,-0.2377568840909119,NotSignificant
6E,10,Directional Continuation / Sponsor Release,RotationalPressure,135,0.6565411513342264,0.45454545454522643,2.2292523159942164,-1.5473192239956208,0.5925925925925926,2.6035004575749676,-0.09266427729912766,0.4751895244658856,0.749205428633354,1.2470657749845566,2.9300240042044434,SignificantPositiveSignedReturn
6E,10,Pure Unresolved Compression Equilibrium,CompressionPressure,2533,0.06378980011801,0.0,1.8945636017635068,-1.7744390234131733,0.4980268350434096,2.530457924519517,-0.09266427729912766,0.4751895244658856,0.15645407741713765,1.048059372948495,1.2687314799718128,WeakEvidence
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,113,0.3006511407145813,0.1505376344089328,1.8623062662642231,-1.6461544311048193,0.5132743362831859,2.3921184273216523,-0.09266427729912766,0.4751895244658856,0.39331541801370895,1.0801465728018893,1.336039816448127,WeakEvidence
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,137,-0.007758404111467131,0.1029411764708101,1.8559170339035245,-1.7895638323534149,0.5036496350364964,2.352585946557194,-0.09266427729912766,0.4751895244658856,0.08490587318766052,1.0598921253632434,-0.03859998910718156,NotSignificant
6E,10,Sponsor Exhaustion Collapse,DirectionalReleasePressure,29,-0.27874654053137066,-0.40000000000071056,2.0117540914259306,-2.4876640770120217,0.4482758620689655,3.9195121489239027,-0.09266427729912766,0.4751895244658856,-0.186082263232243,0.9433622565077143,-0.3829803310067945,Unsupported
6E,10,Sponsor Exhaustion Collapse,RotationalPressure,690,-0.4447476045411229,-0.11296934990563386,1.7326974159253927,-2.2458940661473785,0.46176046176046176,3.209559941753924,-0.09266427729912766,0.4751895244658856,-0.3520833272419952,0.9717395649230313,-3.639926984766709,SignificantNegativeSignedReturn
6E,10,Stable Compression Basin,CompressionPressure,1238,-0.2490548561489496,-0.13930693069305713,1.8076194739076021,-2.062373106523399,0.4481094127111826,2.984857657677699,-0.09266427729912766,0.4751895244658856,-0.15639057884982194,0.9430119765684205,-2.9358354566977725,SignificantNegativeSignedReturn
6E,10,Stable Compression Basin,RotationalPressure,335,-0.048700453216689074,-0.0,1.7758855311229764,-1.945750471621624,0.4716417910447761,2.7331365845491886,-0.09266427729912766,0.4751895244658856,0.04396382408243858,0.9925340664336043,-0.326132493476379,NotSignificant
6E,10,Unstable Rotational Balance,CompressionPressure,23,0.20503047359194432,0.24561403508823598,2.0547475357007148,-2.193805123157521,0.5652173913043478,3.302877801541159,-0.09266427729912766,0.4751895244658856,0.297694750891072,1.1894567582053788,0.29770753493609964,Unsupported
6E,10,Unstable Rotational Balance,RotationalPressure,415,-0.4278279599429005,-0.24561403508827423,1.523770072438765,-2.078996033548618,0.4072289156626506,2.416942650276815,-0.09266427729912766,0.4751895244658856,-0.33516368264377283,0.856982098080502,-3.6060095003162442,SignificantNegativeSignedReturn
6E,20,Directional Continuation / Sponsor Release,CompressionPressure,1,1.9534883720927878,1.9534883720927878,2.3875968992245187,-2.0620155038759616,1.0,,-0.18198148449675652,0.4665170866413531,2.1354698565895442,2.143544210136885,0.0,Unsupported
6E,20,Directional Continuation / Sponsor Release,DirectionalReleasePressure,141,0.04874799702118101,-0.16867469879477462,2.6901856991701436,-2.6955020320576653,0.5,3.914535106728348,-0.18198148449675652,0.4665170866413531,0.23072948151793754,1.0717721050684426,0.14787206575117284,NotSignificant
6E,20,Directional Continuation / Sponsor Release,RotationalPressure,135,0.2922737437917733,-0.0,3.2032843550508536,-2.367902846413297,0.4962962962962963,3.4508086733103855,-0.18198148449675652,0.4665170866413531,0.47425522828852984,1.063833052438306,0.9840922369828082,NotSignificant
