Instrument,HorizonBars,NonOverlapOffset,ResolvedArchetype,DominantPressure,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,DirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,TStat
NQ,20,2,Pure Unresolved Compression Equilibrium,RotationalPressure,10,-0.6487729768752235,-0.5481444747499793,5.413411129793478,0.5,2.6776294547358748,-3.279600883542384,-0.37898475510241264
NQ,20,2,Sponsor Exhaustion Collapse,CompressionPressure,8,0.9766477814715921,1.50561856626677,2.3563265615855844,0.625,2.5183385812867978,-2.206126443820478,1.1723235316664355
NQ,20,2,Sponsor Exhaustion Collapse,DirectionalReleasePressure,1,1.65814266487214,1.65814266487214,,1.0,3.2220726783310902,-1.1493943472409152,0.0
NQ,20,2,Sponsor Exhaustion Collapse,RotationalPressure,56,0.2577565530437663,0.5668765639178376,2.8844229776714982,0.5892857142857143,2.840155956445106,-2.403662198261281,0.6687207237990845
NQ,20,2,Stable Compression Basin,CompressionPressure,105,0.41478430368283586,0.0921052631578947,3.484565616244224,0.5188679245283019,3.1564052780756175,-2.2799377598026918,1.2197429483081264
NQ,20,2,Stable Compression Basin,RotationalPressure,27,-0.2975778088852696,-0.1018922852983988,2.596639577026002,0.4444444444444444,2.158960634203562,-2.5764812469503036,-0.5954848975820879
NQ,20,2,Unstable Rotational Balance,CompressionPressure,3,-0.9296951939953968,-1.3363636363636362,2.7072211983988237,0.3333333333333333,1.4007792598056288,-3.1327821828836027,-0.5948089179063111
NQ,20,2,Unstable Rotational Balance,RotationalPressure,58,-0.4555372902513162,-0.3301167967945477,4.986400225574066,0.4482758620689655,2.6767020620303663,-3.6021129279523607,-0.6957461268393657
NQ,20,3,Directional Continuation / Sponsor Release,DirectionalReleasePressure,17,0.2319394066130771,-0.1411764705882353,2.2286863351318273,0.4117647058823529,1.9645623516907502,-2.5867561103883334,0.4290916389327771
NQ,20,3,Directional Continuation / Sponsor Release,RotationalPressure,15,0.6448732012497841,1.3905817174515236,3.9879257056973727,0.6666666666666666,3.567587660748731,-2.0804741611632678,0.6262862834399576
NQ,20,3,Pure Unresolved Compression Equilibrium,CompressionPressure,181,0.2708379952703879,-0.043159922928709,3.521784899301151,0.49171270718232046,2.88162799545303,-2.400563343363967,1.0346323441712688
NQ,20,3,Pure Unresolved Compression Equilibrium,RotationalPressure,14,-0.07008452065220193,-1.6839071999940374,4.355910020428498,0.35714285714285715,2.737976078821468,-2.667456264658541,-0.06020148790195304
NQ,20,3,Sponsor Exhaustion Collapse,CompressionPressure,7,-0.04296877312128679,1.1267916207276736,2.967872385378253,0.5714285714285714,2.562705378345074,-2.6041388185428183,-0.03830511324562644
NQ,20,3,Sponsor Exhaustion Collapse,DirectionalReleasePressure,3,-0.32098288534792635,-0.9418960244648318,1.677967948902419,0.3333333333333333,1.8667453547221775,-1.8298594345190191,-0.33132853708339544
NQ,20,3,Sponsor Exhaustion Collapse,RotationalPressure,53,-0.0447795165881772,-0.2026315789473684,3.4065112188365627,0.4528301886792453,2.6423242813009047,-2.9646993552524092,-0.09569902478176182
NQ,20,3,Stable Compression Basin,CompressionPressure,103,0.07834252234023467,0.1960999725350178,4.087331424793346,0.5288461538461539,3.083767810592204,-2.6003606652807556,0.19452539604298316
NQ,20,3,Stable Compression Basin,RotationalPressure,29,-0.7600434025778328,-0.6007802340702211,3.453340221025704,0.4482758620689655,2.1822373467835674,-2.8694140623073165,-1.185217418931641
NQ,20,3,Unstable Rotational Balance,CompressionPressure,3,-1.610566469822427,-1.2144578313253012,1.4342024860719176,0.0,0.7178200050429036,-3.642342440218394,-1.9450412210200336
