Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
ES,xApvaV01StateLog_ES092020.csv,2976,2020-09-03 13:15:00,Degrading,Unresolved->Unresolved->Directional->Degrading,Sponsor Exhaustion Collapse,Exact,1.0,0.9219280948830342,0.2222222222222222,0.8,0.2,1.0,0.4017736945065802,0.12777777777777777,0.35349060518092146,0.28500510408899704,DirectionalReleasePressure,0.4017736945065802,3466.5,3468.0,3459.25,3459.5,Up,1,3466.5,8.75,12.428571428571429,5,3462.25,2.75,0.22126436781609196,2.75,0.22126436781609196,3.0,-3.5,0.24137931034482757,-0.28160919540229884,1,1
ES,xApvaV01StateLog_ES092020.csv,2977,2020-09-03 13:35:00,Unresolved,Unresolved->Directional->Degrading->Unresolved,Stable Compression Basin,Exact,1.0,1.3567796494412687,0.3333333333333333,0.7,0.3,1.0,0.28723022801444464,0.041666666666666664,0.7068679385765874,0.4217955483152775,CompressionPressure,0.7068679385765874,3460.0,3461.25,3456.0,3457.25,Down,-1,3459.5,5.25,11.982142857142858,5,3462.5,5.25,0.4381520119225037,-5.25,-0.4381520119225037,1.25,-6.5,0.10432190760059612,-0.5424739195230999,0,1
ES,xApvaV01StateLog_ES092020.csv,2978,2020-09-03 13:40:00,Unresolved,Directional->Degrading->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.5709505944488977,0.3333333333333333,0.6,0.4,0.0,0.10459909511250629,0.041666666666666664,0.6518155878469439,0.46864544253569634,CompressionPressure,0.6518155878469439,3457.5,3458.5,3456.0,3458.5,Down,-1,3457.25,2.5,11.357142857142858,5,3473.75,15.25,1.3427672955974843,-15.25,-1.3427672955974843,4.5,-17.25,0.3962264150943396,-1.5188679245283019,0,1
ES,xApvaV01StateLog_ES092020.csv,2979,2020-09-03 13:45:00,Unresolved,Degrading->Unresolved->Unresolved->Unresolved,Stable Compression Basin,Exact,1.0,1.6854752972215634,0.3333333333333333,0.5,0.4,0.0,0.09070833333333332,0.041666666666666664,0.6083333333333334,0.475,CompressionPressure,0.6083333333333334,3458.25,3459.5,3456.75,3457.75,Down,-1,3458.5,2.75,11.0,5,3463.75,6.0,0.5454545454545454,-6.0,-0.5454545454545454,3.75,-19.5,0.3409090909090909,-1.7727272727272727,0,1
ES,xApvaV01StateLog_ES092020.csv,2980,2020-09-03 13:50:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.6854752972215634,0.4444444444444444,0.5,0.4,0.0,0.07855555555555556,0.05555555555555555,0.5805555555555556,0.5166666666666666,CompressionPressure,0.5805555555555556,3457.75,3460.0,3457.75,3459.0,Down,-1,3457.75,2.25,10.375,5,3461.0,2.0,0.1927710843373494,-2.0,-0.1927710843373494,5.0,-18.25,0.4819277108433735,-1.7590361445783131,0,1
ES,xApvaV01StateLog_ES092020.csv,2981,2020-09-03 13:55:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.6854752972215634,0.4444444444444444,0.5,0.4,0.0,0.07855555555555556,0.05555555555555555,0.5805555555555556,0.5166666666666666,CompressionPressure,0.5805555555555556,3458.75,3462.5,3458.5,3462.25,Up,1,3459.0,4.0,9.928571428571429,5,3447.75,-14.5,-1.460431654676259,-14.5,-1.460431654676259,15.0,-16.5,1.5107913669064748,-1.6618705035971222,0,1
ES,xApvaV01StateLog_ES092020.csv,2982,2020-09-03 14:00:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.6854752972215634,0.4444444444444444,0.5,0.4,0.0,0.07855555555555556,0.05555555555555555,0.5805555555555556,0.5166666666666666,CompressionPressure,0.5805555555555556,3462.25,3463.75,3461.5,3462.5,Up,1,3462.25,2.25,9.357142857142858,5,3436.5,-26.0,-2.778625954198473,-26.0,-2.778625954198473,14.75,-27.5,1.5763358778625953,-2.9389312977099236,0,1
ES,xApvaV01StateLog_ES092020.csv,2983,2020-09-04 06:35:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.6854752972215634,0.4444444444444444,0.5,0.4,0.0,0.07855555555555556,0.05555555555555555,0.5805555555555556,0.5166666666666666,CompressionPressure,0.5805555555555556,3460.25,3475.75,3454.0,3473.75,Up,1,3462.5,21.75,9.589285714285714,5,3434.75,-39.0,-4.067039106145252,-39.0,-4.067039106145252,3.5,-44.0,0.3649906890130354,-4.588454376163874,0,1
ES,xApvaV01StateLog_ES092020.csv,2984,2020-09-04 06:40:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.6854752972215634,0.3333333333333333,0.5,0.4,0.0,0.09070833333333332,0.041666666666666664,0.6083333333333334,0.475,CompressionPressure,0.6083333333333334,3473.75,3477.25,3463.25,3463.75,Up,1,3473.75,14.0,9.678571428571429,5,3441.0,-22.75,-2.3505535055350553,-22.75,-2.3505535055350553,6.25,-34.0,0.6457564575645757,-3.5129151291512914,0,1
ES,xApvaV01StateLog_ES092020.csv,2985,2020-09-04 06:45:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,1.2954618442339936,0.2222222222222222,0.6,0.3,0.0,0.13084398032861264,0.027777777777777776,0.6968114125131533,0.3667156117595194,CompressionPressure,0.6968114125131533,3464.0,3470.0,3458.75,3461.0,Down,-1,3463.75,11.25,9.446428571428571,5,3437.5,-23.5,-2.4877126654064274,23.5,2.4877126654064274,31.25,-2.0,3.3081285444234405,-0.21172022684310018,1,1
