Quadruplet,Count,FirstState,SecondState,ThirdState,FourthState,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,UnknownCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,ConditionalProbability,TrajectoryCluster,PC1,PC2,PC3
Degrading->Unresolved->Degrading->Unresolved,2,Degrading,Unresolved,Degrading,Unresolved,2,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,66.67,2,-0.27913859182232836,-0.008298369136195834,2.2164422698797424
Unresolved->Balance->Balance->Balance,2,Unresolved,Balance,Balance,Balance,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,28.57,1,-2.70086410465313,-1.6453878086379599,-2.4341989068420613
Unresolved->Balance->Unresolved->Balance,2,Unresolved,Balance,Unresolved,Balance,2,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,16.67,1,-2.4712762958625194,-1.7340478260926941,-1.4705879681013094
Unresolved->Unresolved->Degrading->Degrading,2,Unresolved,Unresolved,Degrading,Degrading,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28.57,0,0.7109706840898073,-0.5155168035307605,1.5686102721554382
Unresolved->Unresolved->Directional->Degrading,2,Unresolved,Unresolved,Directional,Degrading,2,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,28.57,0,2.1590293393847824,0.33076193115163965,0.051765936101986834
Unresolved->Unresolved->Unresolved->Unknown,1,Unresolved,Unresolved,Unresolved,Unknown,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.48,2,-0.8181441744743329,0.7139578267449364,-0.12981745617879717
Directional->Directional->Degrading->Balance,1,Directional,Directional,Degrading,Balance,0,2,1,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,16.67,1,0.919698568734135,-1.2363826498313981,-1.805802750577717
Unresolved->Unresolved->Unknown->Unknown,1,Unresolved,Unresolved,Unknown,Unknown,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2,-0.6383374525441257,1.035696114196655,-0.21263098004901826
Unresolved->Unknown->Unknown->Unknown,1,Unresolved,Unknown,Unknown,Unknown,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2,-0.3495471909660302,0.7674560621882969,-0.4352711470546943
Directional->Degrading->Balance->Degrading,1,Directional,Degrading,Balance,Degrading,0,1,2,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,50.0,0,2.038193452306986,-1.5814132214225045,0.3182806556531342
Degrading->Unresolved->Directional->Directional,1,Degrading,Unresolved,Directional,Directional,1,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,100.0,3,2.2546089150396353,1.9252652877221696,-1.014288940072156
Degrading->Directional->Degrading->Unresolved,1,Degrading,Directional,Degrading,Unresolved,1,1,2,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,50.0,2,1.127190739359289,-0.2937860411150525,1.7671601504422902
Directional->Degrading->Unresolved->Directional,1,Directional,Degrading,Unresolved,Directional,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,1,25.0,3,3.14273034227361,1.0522111860632042,-0.7860761506432139
Unresolved->Degrading->Directional->Degrading,1,Unresolved,Degrading,Directional,Degrading,1,1,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,100.0,0,2.1837910513963665,-0.8743015681623668,1.7176165214265573
Unresolved->Unresolved->Degrading->Directional,1,Unresolved,Unresolved,Degrading,Directional,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,14.29,3,1.0067114052835555,0.8302909248882229,-0.1792502519773476
Unresolved->Directional->Degrading->Unresolved,1,Unresolved,Directional,Degrading,Unresolved,2,1,1,0,0,3,0,0,0,1,0,0,0,0,1,1,0,1,50.0,2,1.2612847637470377,0.8512115190472874,1.2553719273489063
Directional->Degrading->Unresolved->Degrading,1,Directional,Degrading,Unresolved,Degrading,1,1,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1,25.0,0,2.26592293919371,-1.3189194887763729,1.6122407353015682
Unresolved->Degrading->Degrading->Unresolved,1,Unresolved,Degrading,Degrading,Unresolved,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,25.0,2,-0.30616119763388716,0.02348807399277442,1.9138292778694295
Degrading->Degrading->Unresolved->Degrading,1,Degrading,Degrading,Unresolved,Degrading,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,16.67,0,1.3672399345269202,-1.4239102799186154,1.8540404390957597
Balance->Balance->Unresolved->Degrading,1,Balance,Balance,Unresolved,Degrading,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,16.67,0,-0.6689171020123442,-1.903868140848977,0.4332255193679842
Balance->Unresolved->Degrading->Degrading,1,Balance,Unresolved,Degrading,Degrading,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,100.0,0,-0.15365940262436015,-1.3534956699072958,1.127837712641757
