Instrument,File,BarIndex,Time,MacroState,Quadruplet,ResolvedArchetype,ResolutionMethod,Similarity,RollingEntropy,RollingVelocity,RollingDominantFraction,RollingDirectionalPresence,CurrentDirectionalEmergence,DirectionalReleasePressure,ExhaustionPressure,CompressionPressure,RotationalPressure,DominantPressure,DominantPressureValue,Open,High,Low,Close,ActiveDirection,DirectionSign,PrevClose,TR,ATR14,HorizonBars,FutureClose,RawReturn,NormalizedReturn,SignedReturn,SignedNormalizedReturn,DirectionalMFE,DirectionalMAE,DirectionalNormalizedMFE,DirectionalNormalizedMAE,DirectionalHit,HasDirection
NQ,xApvaV01StateLog_NQ092024.csv,2107,2024-08-19 10:20:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,19681.75,19692.25,19674.0,19688.5,Down,-1,19682.25,18.25,15.214285714285714,5,19706.5,18.0,1.1830985915492958,-18.0,-1.1830985915492958,4.0,-20.25,0.26291079812206575,-1.3309859154929577,0,1
NQ,xApvaV01StateLog_NQ092024.csv,2108,2024-08-19 10:25:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,19688.75,19693.75,19684.5,19690.25,Up,1,19688.5,9.25,14.928571428571429,5,19708.75,18.5,1.2392344497607655,18.5,1.2392344497607655,21.5,-5.5,1.4401913875598087,-0.3684210526315789,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2109,2024-08-19 10:30:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,19690.5,19703.75,19687.75,19692.75,Up,1,19690.25,16.0,14.517857142857142,5,19713.0,20.25,1.3948339483394834,20.25,1.3948339483394834,21.75,-8.0,1.4981549815498156,-0.5510455104551045,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2110,2024-08-19 10:35:00,Unresolved,Unresolved->Unresolved->Unresolved->Unresolved,Pure Unresolved Compression Equilibrium,Exact,1.0,-1.4428232973175175e-12,0.0,1.0,0.0,0.0,0.27999999999999997,0.0,0.9999999999999999,0.0,CompressionPressure,0.9999999999999999,19693.25,19702.25,19684.75,19700.75,Up,1,19692.75,17.5,15.125,5,19721.25,20.5,1.3553719008264462,20.5,1.3553719008264462,22.0,-2.75,1.4545454545454546,-0.18181818181818182,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2111,2024-08-19 10:40:00,Degrading,Unresolved->Unresolved->Unresolved->Degrading,Sponsor Exhaustion Collapse,Exact,1.0,0.4689955935863958,0.1111111111111111,0.9,0.0,0.0,0.2202730804215971,0.1138888888888889,0.4512433309564058,0.14425945276369073,CompressionPressure,0.4512433309564058,19700.25,19706.0,19698.0,19702.5,Up,1,19700.75,8.0,15.017857142857142,5,19726.0,23.5,1.5648038049940547,23.5,1.5648038049940547,28.5,-4.0,1.8977407847800238,-0.26634958382877527,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2112,2024-08-19 10:45:00,Balance,Unresolved->Unresolved->Degrading->Balance,Unstable Rotational Balance,Soft,0.5,0.9219280948830342,0.2222222222222222,0.8,0.0,0.0,0.16177599134662882,0.027777777777777776,0.35349060518092146,0.535005104088997,RotationalPressure,0.535005104088997,19702.75,19708.75,19698.5,19706.5,Up,1,19702.5,10.25,14.5,5,19729.0,22.5,1.5517241379310345,22.5,1.5517241379310345,26.75,-4.0,1.8448275862068966,-0.27586206896551724,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2113,2024-08-19 10:50:00,Balance,Unresolved->Degrading->Balance->Balance,Unstable Rotational Balance,Soft,0.4142135623730951,1.1567796494427114,0.2222222222222222,0.7,0.0,0.0,0.13212850253398684,0.027777777777777776,0.297145716354275,0.5863788816489264,RotationalPressure,0.5863788816489264,19706.5,19711.75,19702.5,19708.75,Up,1,19706.5,9.25,14.0,5,19727.25,18.5,1.3214285714285714,18.5,1.3214285714285714,24.5,-4.0,1.75,-0.2857142857142857,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2114,2024-08-19 10:55:00,Degrading,Degrading->Balance->Balance->Degrading,Sponsor Exhaustion Collapse,Soft,0.5,1.3709505944503406,0.3333333333333333,0.6,0.0,0.0,0.0919115951123958,0.14166666666666666,0.21431558784685373,0.42489544253601197,RotationalPressure,0.42489544253601197,19708.75,19714.5,19704.75,19713.0,Up,1,19708.75,9.75,13.75,5,19728.75,15.75,1.1454545454545455,15.75,1.1454545454545455,20.25,-2.5,1.4727272727272727,-0.18181818181818182,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2115,2024-08-19 11:00:00,Degrading,Balance->Balance->Degrading->Degrading,Sponsor Exhaustion Collapse,Soft,0.4142135623730951,1.4854752972230063,0.3333333333333333,0.5,0.0,0.0,0.07147663088969691,0.14166666666666666,0.16549112725689544,0.44994772126753263,RotationalPressure,0.44994772126753263,19712.75,19722.75,19710.5,19721.25,Up,1,19713.0,12.25,13.964285714285714,5,19732.0,10.75,0.7698209718670077,10.75,0.7698209718670077,13.25,-2.25,0.948849104859335,-0.16112531969309463,1,1
NQ,xApvaV01StateLog_NQ092024.csv,2116,2024-08-19 11:05:00,Degrading,Balance->Degrading->Degrading->Degrading,Sponsor Exhaustion Collapse,Soft,0.5,1.5219280948830343,0.3333333333333333,0.4,0.0,0.0,0.05701904690218436,0.14166666666666666,0.12154616073647705,0.4579217707556637,RotationalPressure,0.4579217707556637,19721.75,19731.0,19719.25,19726.0,Up,1,19721.25,11.75,12.892857142857142,5,19743.0,17.0,1.3185595567867037,17.0,1.3185595567867037,18.5,-7.0,1.4349030470914128,-0.5429362880886427,1,1
