CurrentQuadruplet,DominantNextState,DominantNextStateCount,TotalCount,DominantNextStateProbability,NextStateEntropy,DistinctNextStates,PredictabilityClass
Directional->Directional->Unresolved->Unresolved,Directional,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Directional->Unresolved->Unresolved->Degrading,Balance,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Directional->Unresolved->Unresolved->Directional,Directional,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Degrading->Balance->Degrading,Balance,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Degrading->Balance->Unresolved,Balance,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Degrading->Degrading->Balance,Degrading,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Degrading->Degrading->Unresolved,Unresolved,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Degrading->Directional->Degrading,Unresolved,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Degrading->Unresolved->Degrading,Degrading,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Directional->Degrading->Degrading,Degrading,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Directional->Degrading->Unresolved,Unresolved,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Directional->Unresolved->Unresolved,Degrading,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unknown->Unknown->Unknown,Unresolved,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unresolved->Degrading->Balance,Degrading,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unresolved->Degrading->Directional,Degrading,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unresolved->Directional->Unresolved,Unresolved,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unresolved->Unknown->Unknown,Unknown,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unresolved->Unresolved->Unknown,Unknown,1,1,1.0,-1.4428232973175175e-12,1,Highly Predictable
Unresolved->Unresolved->Balance->Unresolved,Unresolved,11,12,0.9166666666666666,0.41381685030074833,2,Highly Predictable
Unresolved->Unresolved->Unresolved->Unresolved,Unresolved,178,197,0.9035532994923858,0.6272116183282224,5,Moderately Predictable
Unresolved->Balance->Unresolved->Unresolved,Unresolved,10,12,0.8333333333333334,0.6500224216454688,2,Moderately Predictable
Unresolved->Degrading->Unresolved->Unresolved,Unresolved,4,5,0.8,0.7219280948844771,2,Moderately Predictable
Directional->Directional->Directional->Directional,Directional,6,8,0.75,0.8112781244562475,2,Moderately Predictable
Unresolved->Unresolved->Degrading->Unresolved,Unresolved,3,4,0.75,0.8112781244562475,2,Moderately Predictable
Unresolved->Unresolved->Balance->Balance,Unresolved,5,7,0.7142857142857143,0.8631205685637456,2,Moderately Predictable
Balance->Unresolved->Unresolved->Unresolved,Unresolved,10,15,0.6666666666666666,1.158938532345949,3,Mixed
Degrading->Degrading->Degrading->Degrading,Degrading,6,9,0.6666666666666666,0.9182958340516041,2,Moderately Predictable
Directional->Degrading->Degrading->Degrading,Degrading,2,3,0.6666666666666666,0.9182958340516041,2,Moderately Predictable
Unresolved->Directional->Directional->Degrading,Unresolved,2,3,0.6666666666666666,0.9182958340516041,2,Moderately Predictable
Unresolved->Directional->Directional->Directional,Directional,2,3,0.6666666666666666,0.9182958340516041,2,Moderately Predictable
Balance->Unresolved->Unresolved->Balance,Unresolved,3,5,0.6,0.9709505944517833,2,Mixed
Unresolved->Unresolved->Directional->Directional,Degrading,3,5,0.6,0.9709505944517833,2,Mixed
Balance->Balance->Unresolved->Unresolved,Unresolved,4,7,0.5714285714285714,0.9852281360313662,2,Mixed
Unresolved->Balance->Balance->Unresolved,Unresolved,4,7,0.5714285714285714,1.3787834934818475,3,Mixed
Unresolved->Unresolved->Unresolved->Directional,Directional,4,7,0.5714285714285714,1.3787834934818475,3,Mixed
Unresolved->Unresolved->Unresolved->Balance,Unresolved,6,11,0.5454545454545454,0.9940302114740711,2,Mixed
Balance->Unresolved->Balance->Balance,Balance,2,4,0.5,0.9999999999971146,2,Mixed
Degrading->Degrading->Unresolved->Unresolved,Unresolved,2,4,0.5,1.499999999995672,3,Mixed
Unresolved->Balance->Balance->Balance,Balance,2,4,0.5,0.9999999999971146,2,Mixed
Balance->Balance->Unresolved->Degrading,Balance,1,2,0.5,0.9999999999971146,2,Mixed
Directional->Degrading->Unresolved->Unresolved,Balance,1,2,0.5,0.9999999999971146,2,Mixed
Directional->Directional->Degrading->Unresolved,Directional,1,2,0.5,0.9999999999971146,2,Mixed
Unresolved->Balance->Unresolved->Balance,Balance,1,2,0.5,0.9999999999971146,2,Mixed
Unresolved->Degrading->Degrading->Degrading,Balance,1,2,0.5,0.9999999999971146,2,Mixed
Unresolved->Unresolved->Degrading->Degrading,Balance,1,2,0.5,0.9999999999971146,2,Mixed
Unresolved->Unresolved->Directional->Degrading,Degrading,1,2,0.5,0.9999999999971146,2,Mixed
Unresolved->Unresolved->Unresolved->Degrading,Degrading,2,5,0.4,1.5219280948830343,3,Chaotic
Balance->Balance->Balance->Balance,Balance,1,3,0.3333333333333333,1.584962500716828,3,Chaotic
Degrading->Degrading->Degrading->Unresolved,Balance,1,3,0.3333333333333333,1.584962500716828,3,Chaotic
Directional->Directional->Directional->Degrading,Balance,1,3,0.3333333333333333,1.584962500716828,3,Chaotic
