Instrument,HorizonBars,ResolvedArchetype,DominantPressure,InSampleSupport,InSampleMeanReturn,InSampleMedianReturn,InSampleHitRate,InSampleMFE,InSampleMAE,InSampleTStat,InSampleSignificance,WFTrainSupport,WFTrainMeanReturn,WFTrainHitRate,WFTrainTStat,WFValidationSupport,WFValidationMeanReturn,WFValidationHitRate,WFValidationTStat,WFGeneralizationClass,ValidationRetainsPositiveEdge,ValidationFlipsNegative,NOOffsetCount,NOTotalSupport,NOMeanReturn,NOMedianReturn,NOMeanTStat,NOMaxTStat,NOMinTStat,NOHitRate,NOMFE,NOMAE,NOPositiveOffsetFraction,NONegativeOffsetFraction,NORobustnessClass,InSampleComponent,WalkForwardComponent,NonOverlapComponent,FailurePenalty,SurvivorshipScore,SurvivorshipClass
NQ,20,Pure Unresolved Compression Equilibrium,CompressionPressure,3791,0.0888220995361717,0.1135401974612129,0.5187236286919831,2.7062508706313806,-2.6091725452715493,1.4548362402346762,WeakEvidence,2279.0,0.1714366138985394,0.5350877192982456,2.110530395898885,1512.0,-0.0357007035272119,0.494047619047619,-0.3888071416880849,FailedPositive,False,True,20.0,3791.0,0.0940742143827339,0.1092417496457707,0.3605254994647033,1.762233755628691,-1.0827665921304608,0.5187035459915765,2.7081141076547257,-2.6035709226995456,0.65,0.35,NotRobust,1.363709060058669,-4.194403570844043,0.6453941245985275,-4.0,-4.904872081714344,HighConvictionNegative
NQ,10,Directional Continuation / Sponsor Release,RotationalPressure,240,0.1396008377301817,0.1545040724670777,0.5291666666666667,1.887514907368668,-1.7090086975755576,0.9408060145432596,NotSignificant,138.0,0.3050673425264829,0.5869565217391305,1.5360370459107866,102.0,-0.0842656099354022,0.4509803921568627,-0.3793536168590593,FailedPositive,False,True,10.0,240.0,0.1409842196068896,0.1473959159170879,0.3028637658305883,2.1011751231635656,-1.1183721835026292,0.528598502946329,1.8880114649155384,-1.715384085942936,0.7,0.3,NotRobust,0.6763422840154419,-3.9352168849386118,0.7271478243729412,-4.0,-4.9148409319576025,HighConvictionNegative
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,352,0.1096848739088658,0.0513607909513446,0.5227272727272727,1.2609280089593673,-1.0601434984866671,1.3725794611612263,WeakEvidence,224.0,0.260336660157461,0.5758928571428571,2.762965908117176,128.0,-0.1539557520261757,0.4296875,-1.0780641885845397,FailedPositive,False,True,5.0,352.0,0.0974809332117989,0.1962800574972431,0.475012371687194,1.788121384311356,-0.9337776290366112,0.5209748656746432,1.246522468740907,-1.065570964536612,0.6,0.4,NotRobust,1.31498335413308,-4.3207789711795765,0.6062592787653955,-4.0,-4.976459293641808,HighConvictionNegative
6E,5,Sponsor Exhaustion Collapse,CompressionPressure,137,0.0836124284395968,-0.0,0.4817518248175182,1.2581995005182829,-1.1611313837249886,0.652396867427771,NotSignificant,79.0,0.2125501086730797,0.5569620253164557,1.306647779426925,58.0,-0.092009584292216,0.3793103448275862,-0.4473004225989339,FailedPositive,False,True,5.0,137.0,0.080035397724597,0.067421427030207,0.285148152423608,1.2499703516297294,-0.238792495935076,0.4851834784092849,1.2683533098329949,-1.1748138670985366,0.6,0.4,NotRobust,0.5593969398458053,-3.8795607479497054,0.46386111431770605,-4.0,-5.037229372370268,HighConvictionNegative
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,240,0.0282064338265139,-0.0538994278831677,0.4791666666666667,1.2262296864279385,-1.2043309623418947,0.2946586545724918,NotSignificant,138.0,0.0817403555462548,0.4927536231884058,0.5997752233526682,102.0,-0.0442218132060765,0.4607843137254901,-0.3407285226904478,FailedPositive,False,True,5.0,240.0,0.0227432677060218,0.0114001891827666,0.04494326671396,1.1561030150946838,-1.624634413385157,0.4760199534359198,1.2222912973433095,-1.2059127460527486,0.6,0.4,NotRobust,0.51480544402275,-3.9159043378543057,0.28370745003547004,-4.0,-5.139937076928495,HighConvictionNegative
6E,10,Pure Unresolved Compression Equilibrium,RotationalPressure,113,0.3006511407145813,0.1505376344089328,0.5132743362831859,1.8623062662642231,-1.6461544311048193,1.336039816448127,WeakEvidence,52.0,0.9026978186194418,0.5769230769230769,2.686767971045903,61.0,-0.2125689781551358,0.4590163934426229,-0.7344224136383026,FailedPositive,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,1.2149411544632958,-4.031099881432919,0.0,-4.0,-5.167896727608863,HighConvictionNegative
ES,5,Pure Unresolved Compression Equilibrium,CompressionPressure,1408,0.0242246092601565,-0.0615530303030303,0.4737215909090909,1.3064637304009734,-1.2405230763573594,0.3942063491492391,NotSignificant,849.0,0.0948783214344686,0.4782096584216725,1.138309588151729,559.0,-0.0830830859741742,0.4669051878354204,-0.933903397632138,FailedPositive,False,True,5.0,1408.0,0.0233187240093955,0.0069631575591302,0.1395769353536169,1.102682711009207,-0.4888088779394922,0.4736346840079535,1.3062134681024191,-1.2414368864303555,0.6,0.4,NotRobust,0.5985515872873097,-4.466951698816069,0.35468270151521264,-4.0,-5.284115561446317,HighConvictionNegative
NQ,20,Directional Continuation / Sponsor Release,RotationalPressure,240,0.1467607574973359,0.3715389719577088,0.55,2.7243391610446923,-2.4928105310450324,0.7369763081510723,NotSignificant,138.0,0.4749225227724472,0.5652173913043478,1.7443196295605432,102.0,-0.2972228072866383,0.5294117647058824,-1.0419900230432169,FailedPositive,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,0.625384857417395,-4.2665350880306905,0.0,-4.0,-5.368210309327263,HighConvictionNegative
NQ,10,Directional Continuation / Sponsor Release,DirectionalReleasePressure,352,0.088015632212235,0.0603528012684989,0.5113636363636364,1.8209146253979789,-1.659932194125477,0.6770186137736492,NotSignificant,224.0,0.335483951996924,0.5580357142857143,2.151948462675361,128.0,-0.3450539274109705,0.4296875,-1.521185348669179,FailedPositive,False,True,10.0,352.0,0.0895767264161433,0.0983928337572689,0.1843487089997342,1.2900939123679631,-1.3583741832017189,0.5204666863548588,1.820064185909611,-1.650036112991645,0.5,0.5,NotRobust,0.6410931422861857,-4.542339551221897,0.1382615317498006,-4.0,-5.399382525183016,HighConvictionNegative
6E,10,Sponsor Exhaustion Collapse,CompressionPressure,137,-0.0077584041114671,0.1029411764708101,0.5036496350364964,1.8559170339035245,-1.7895638323534149,-0.0385999891071815,NotSignificant,79.0,0.1038105738233571,0.5569620253164557,0.4121968878775878,58.0,-0.1597230464709692,0.4310344827586206,-0.4843248892897,FailedPositive,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Missing,-0.40594772026565795,-3.8980729812950883,0.0,-4.0,-5.445515087506412,HighConvictionNegative
