Instrument,HorizonBars,ResolvedArchetype,DominantPressure,OffsetCount,TotalSupport,MeanOfOffsetReturns,MedianOfOffsetReturns,StdOfOffsetReturns,MeanOffsetTStat,MaxOffsetTStat,MinOffsetTStat,MeanDirectionalHitRate,MeanDirectionalMFE,MeanDirectionalMAE,PositiveOffsetFraction,NegativeOffsetFraction,NonOverlapRobustnessClass
ES,10,Pure Unresolved Compression Equilibrium,CompressionPressure,10,1408,0.09286660954091315,0.07654538000044231,0.21835982068305354,0.30247900523257304,1.4733932626718866,-0.6781517866182809,0.4708875869198496,1.9170840305708101,-1.8337597809907742,0.7,0.3,NotRobust
ES,10,Sponsor Exhaustion Collapse,RotationalPressure,10,297,0.09705442947775483,0.10493147877928755,0.44627643143531803,0.2528117650722419,2.6107315448254864,-1.6200765561039807,0.5338782812169909,1.6854710593222346,-1.644563494322902,0.6,0.4,NotRobust
ES,10,Stable Compression Basin,CompressionPressure,10,539,0.3773787585315417,0.4659951323683046,0.3867474071409371,0.7816468209433278,1.5666750855081395,-0.5686322003825532,0.5257746350139627,2.1748923646881475,-1.684579942947439,0.8,0.2,NotRobust
ES,10,Stable Compression Basin,RotationalPressure,3,65,0.5108433061250194,0.47945373718800444,0.38870326889808177,0.6385656895081057,1.034249337533999,0.27136230520494276,0.5086266390614217,2.101539331534672,-1.5550480031988725,1.0,0.0,NotRobust
ES,10,Unstable Rotational Balance,RotationalPressure,10,320,0.23108916288456505,0.24924117580786861,0.6325891337954491,0.3135687969723612,1.8009545300597045,-1.5693064625876008,0.4993748031745103,2.214124809007689,-1.8684683684444998,0.6,0.4,NotRobust
ES,20,Pure Unresolved Compression Equilibrium,CompressionPressure,20,1408,0.25202134066724013,0.336854829719642,0.5758084614434679,0.38671594748631455,1.939034637593841,-1.5096435482857031,0.5091007118429742,2.9807743072080477,-2.792126077935216,0.65,0.35,NotRobust
ES,20,Sponsor Exhaustion Collapse,RotationalPressure,2,41,-0.3128405208871978,-0.3128405208871978,0.9442018733478157,-0.46769755661987944,0.41661529366011174,-1.3520104068998706,0.4523809523809524,2.4906026508555987,-2.4277819259677096,0.5,0.5,Unsupported
ES,20,Stable Compression Basin,CompressionPressure,19,517,0.3394460460602112,0.2668106181800912,0.9034569101480389,0.3530947793024753,2.049048432888043,-2.288077001971804,0.5282077270239556,3.0186718784485844,-2.527964685566644,0.5789473684210527,0.42105263157894735,NotRobust
ES,20,Unstable Rotational Balance,RotationalPressure,1,20,1.765315936025334,1.765315936025334,,2.22247200453787,2.22247200453787,2.22247200453787,0.65,3.1215464105139477,-2.030605301915918,1.0,0.0,Unsupported
NQ,5,Directional Continuation / Sponsor Release,DirectionalReleasePressure,5,352,0.09748093321179899,0.19628005749724312,0.2152041706042117,0.475012371687194,1.788121384311356,-0.9337776290366112,0.5209748656746432,1.2465224687409073,-1.065570964536612,0.6,0.4,NotRobust
NQ,5,Directional Continuation / Sponsor Release,RotationalPressure,5,240,0.02274326770602184,0.011400189182766621,0.2143505146337508,0.04494326671396009,1.1561030150946838,-1.624634413385157,0.4760199534359198,1.2222912973433095,-1.2059127460527486,0.6,0.4,NotRobust
NQ,5,Pure Unresolved Compression Equilibrium,CompressionPressure,5,3806,-0.039409590236299676,-0.036814933861523,0.08284070291989308,-0.59870594387379,0.9598945229121422,-2.069782214407771,0.5036488474596788,1.235024798424251,-1.2605239511527377,0.4,0.6,NotRobust
