Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.62,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.62,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.62,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.64,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.64,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.64,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.64,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.64,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.64,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.64,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.66,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.66,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.66,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.66,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.66,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.66,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.66,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.68,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.68,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.68,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.68,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.68,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.68,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.68,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.7,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.7,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.7,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.7,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.7,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.7,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.7,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.72,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
0.72,le,2026-W16,103,3.6771844660194173,1.0,2.7404290133903655,0.5436893203883495
0.72,le,2026-W17,88,-0.5852272727272727,-0.125,-0.5433843889699658,0.4772727272727273
0.72,le,2026-W18,139,-0.10611510791366907,-1.0,-0.1254921051839276,0.43884892086330934
0.72,le,2026-W19,76,-2.3453947368421053,-0.5,-1.528171276715829,0.4605263157894737
0.72,le,2026-W20,134,0.30783582089552236,-0.25,0.40473022158234045,0.4626865671641791
0.72,le,2026-W21,118,-1.7605932203389831,-0.625,-1.8020095900918567,0.4661016949152542
0.74,le,2026-W15,148,-0.6503378378378378,-0.75,-0.7428329621350206,0.46621621621621623
0.74,le,2026-W16,111,3.4662162162162162,0.75,2.7354625242854316,0.5495495495495496
0.74,le,2026-W17,103,-0.558252427184466,-0.25,-0.5371302351525857,0.47572815533980584
0.74,le,2026-W18,151,0.12417218543046357,-0.75,0.1563034218438044,0.44370860927152317
0.74,le,2026-W19,84,-1.7261904761904763,-0.25,-1.1924985747700438,0.47619047619047616
0.74,le,2026-W20,151,-0.15562913907284767,-0.75,-0.20511488038608194,0.44370860927152317
0.74,le,2026-W21,130,-1.7692307692307692,-1.25,-1.9057633904315494,0.43846153846153846
0.76,le,2026-W15,148,-0.6503378378378378,-0.75,-0.7428329621350206,0.46621621621621623
0.76,le,2026-W16,111,3.4662162162162162,0.75,2.7354625242854316,0.5495495495495496
0.76,le,2026-W17,103,-0.558252427184466,-0.25,-0.5371302351525857,0.47572815533980584
0.76,le,2026-W18,151,0.12417218543046357,-0.75,0.1563034218438044,0.44370860927152317
0.76,le,2026-W19,84,-1.7261904761904763,-0.25,-1.1924985747700438,0.47619047619047616
0.76,le,2026-W20,151,-0.15562913907284767,-0.75,-0.20511488038608194,0.44370860927152317
0.76,le,2026-W21,130,-1.7692307692307692,-1.25,-1.9057633904315494,0.43846153846153846
0.78,le,2026-W15,148,-0.6503378378378378,-0.75,-0.7428329621350206,0.46621621621621623
0.78,le,2026-W16,111,3.4662162162162162,0.75,2.7354625242854316,0.5495495495495496
0.78,le,2026-W17,103,-0.558252427184466,-0.25,-0.5371302351525857,0.47572815533980584
0.78,le,2026-W18,151,0.12417218543046357,-0.75,0.1563034218438044,0.44370860927152317
0.78,le,2026-W19,84,-1.7261904761904763,-0.25,-1.1924985747700438,0.47619047619047616
0.78,le,2026-W20,151,-0.15562913907284767,-0.75,-0.20511488038608194,0.44370860927152317
0.78,le,2026-W21,130,-1.7692307692307692,-1.25,-1.9057633904315494,0.43846153846153846
0.8,le,2026-W15,148,-0.6503378378378378,-0.75,-0.7428329621350206,0.46621621621621623
0.8,le,2026-W16,111,3.4662162162162162,0.75,2.7354625242854316,0.5495495495495496
0.8,le,2026-W17,103,-0.558252427184466,-0.25,-0.5371302351525857,0.47572815533980584
0.8,le,2026-W18,151,0.12417218543046357,-0.75,0.1563034218438044,0.44370860927152317
0.8,le,2026-W19,84,-1.7261904761904763,-0.25,-1.1924985747700438,0.47619047619047616
0.8,le,2026-W20,151,-0.15562913907284767,-0.75,-0.20511488038608194,0.44370860927152317
0.8,le,2026-W21,130,-1.7692307692307692,-1.25,-1.9057633904315494,0.43846153846153846
0.82,le,2026-W15,148,-0.6503378378378378,-0.75,-0.7428329621350206,0.46621621621621623
0.82,le,2026-W16,111,3.4662162162162162,0.75,2.7354625242854316,0.5495495495495496
0.82,le,2026-W17,103,-0.558252427184466,-0.25,-0.5371302351525857,0.47572815533980584
0.82,le,2026-W18,151,0.12417218543046357,-0.75,0.1563034218438044,0.44370860927152317
0.82,le,2026-W19,84,-1.7261904761904763,-0.25,-1.1924985747700438,0.47619047619047616
0.82,le,2026-W20,151,-0.15562913907284767,-0.75,-0.20511488038608194,0.44370860927152317
0.82,le,2026-W21,130,-1.7692307692307692,-1.25,-1.9057633904315494,0.43846153846153846
0.84,le,2026-W15,148,-0.6503378378378378,-0.75,-0.7428329621350206,0.46621621621621623
0.84,le,2026-W16,111,3.4662162162162162,0.75,2.7354625242854316,0.5495495495495496
0.84,le,2026-W17,103,-0.558252427184466,-0.25,-0.5371302351525857,0.47572815533980584
0.84,le,2026-W18,151,0.12417218543046357,-0.75,0.1563034218438044,0.44370860927152317
