APVA Excursion Destinations Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Destination event count: 64

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
RecoveryResolution | RangeRelativeToPrevious | t-5 | 1.2500 | 1.2500 | 0.0000
RecoveryResolution | BodyRelativeToPrevious | t-1 | 1.8750 | 1.8750 | 0.0000
RecoveryResolution | BodyRelativeToPrevious | t-2 | 0.8889 | 0.8889 | 0.0000
RecoveryResolution | BodyRelativeToPrevious | t-3 | 1.0000 | 1.0000 | 0.0000
RecoveryResolution | BodyRelativeToPrevious | t-5 | 6.5000 | 6.5000 | 0.0000
RecoveryResolution | TrueRangeRelativeToPrevious | t-1 | 3.2308 | 3.2308 | 0.0000
RecoveryResolution | TrueRangeRelativeToPrevious | t-2 | 0.7647 | 0.7647 | 0.0000
RecoveryResolution | TrueRangeRelativeToPrevious | t-3 | 0.6800 | 0.6800 | 0.0000
RecoveryResolution | TrueRangeRelativeToPrevious | t-5 | 1.2500 | 1.2500 | 0.0000
RecoveryResolution | VolumeRelativeToPrevious | t-1 | 3.0000 | 3.0000 | 0.0000
RecoveryResolution | VolumeRelativeToPrevious | t-2 | 0.6139 | 0.6139 | 0.0000
RecoveryResolution | VolumeRelativeToPrevious | t-3 | 0.6647 | 0.6647 | 0.0000
RecoveryResolution | VolumeRelativeToPrevious | t-5 | 1.1179 | 1.1179 | 0.0000
RecoveryResolution | VolumeRelativeToRollingMean | t-1 | 1.3394 | 1.3394 | 0.0000
RecoveryResolution | VolumeRelativeToRollingMean | t-2 | 0.4224 | 0.4224 | 0.0000
RecoveryResolution | VolumeRelativeToRollingMean | t-3 | 0.6361 | 0.6361 | 0.0000
RecoveryResolution | VolumeRelativeToRollingMean | t-5 | 0.4506 | 0.4506 | 0.0000
RecoveryResolution | VolumeRelativeToSessionMean | t-1 | 0.7453 | 0.7453 | 0.0000
RecoveryResolution | VolumeRelativeToSessionMean | t-2 | 0.2474 | 0.2474 | 0.0000
RecoveryResolution | VolumeRelativeToSessionMean | t-3 | 0.3977 | 0.3977 | 0.0000
RecoveryResolution | VolumeRelativeToSessionMean | t-5 | 0.2961 | 0.2961 | 0.0000
RecoveryResolution | EfficiencyRatio | t-1 | 0.3571 | 0.3571 | 0.0000
RecoveryResolution | EfficiencyRatio | t-2 | 0.6154 | 0.6154 | 0.0000
RecoveryResolution | EfficiencyRatio | t-3 | 0.5294 | 0.5294 | 0.0000
RecoveryResolution | EfficiencyRatio | t-5 | 0.6500 | 0.6500 | 0.0000
RecoveryResolution | CloseLocation | t-1 | 0.5714 | 0.5714 | 0.0000
RecoveryResolution | CloseLocation | t-2 | 0.0769 | 0.0769 | 0.0000
RecoveryResolution | CloseLocation | t-3 | 0.6471 | 0.6471 | 0.0000
RecoveryResolution | CloseLocation | t-5 | 0.1000 | 0.1000 | 0.0000
RecoveryResolution | MemoryStrength | t-1 | 0.2169 | 0.2169 | 0.0000
RecoveryResolution | MemoryStrength | t-2 | 0.2169 | 0.2169 | 0.0000
RecoveryResolution | MemoryStrength | t-3 | 0.3357 | 0.3357 | 0.0000
RecoveryResolution | MemoryStrength | t-5 | 0.3509 | 0.3509 | 0.0000
RecoveryResolution | BranchEntropy | t-1 | 1.1917 | 1.1917 | 0.0000
RecoveryResolution | BranchEntropy | t-2 | 1.1917 | 1.1917 | 0.0000
RecoveryResolution | BranchEntropy | t-3 | 0.7551 | 0.7551 | 0.0000
RecoveryResolution | BranchEntropy | t-5 | 0.7992 | 0.7992 | 0.0000
RecoveryResolution | PolarityFlipFlag | t-1 | 0.0000 | 0.0000 | 0.0000
