APVA State Grammar Study v0.1 - CL
==================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Valid polarity rows: 2625
State encoding precedence: A Accepted, C Compression, D Dissipation, E Expansion, P Peak, K Climactic, N None.
OER is a crude independence baseline: observed raw windows divided by expected windows.

Section 1 - Diagnostics
=======================
State           Count    Frequency
A Accepted       1241      46.36%
C Compression       1436      53.64%
D Dissipation          0       0.00%
E Expansion          0       0.00%
P Peak              0       0.00%
K Climactic          0       0.00%
N None              0       0.00%

Total Windows
-------------
Length 3: 2675
Length 4: 2674
Length 5: 2673
Length 6: 2672

Section 2 - Sequence Consequence Tables
=======================================

Length 3 Sequences (Count >= 20)
--------------------------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
  25 C->C->A->C->C->C                     48        47    0.8725    -0.407660    46.81%    51.06%

Highest Continuation
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->A->A->C->C->A                     43        43    1.0465     0.270000    65.12%    34.88%
   2 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
   3 C->C->C->A->C->C                     44        42    0.7998     0.785238    59.52%    40.48%
   4 C->A->C->C->C->A                     44        44    0.9254     0.276818    59.09%    40.91%
   5 C->A->C->A->C->C                     46        46    0.9675     0.170217    58.70%    41.30%
   6 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
   7 C->A->A->A->A->C                     31        30    0.8730     0.220333    56.67%    43.33%
   8 C->A->A->C->A->C                     52        49    1.2655    -0.026327    55.10%    42.86%
   9 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  10 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
  11 C->A->C->C->A->A                     42        42    1.0222     0.053810    52.38%    47.62%
  12 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%
  13 C->A->A->C->A->A                     45        45    1.2673     0.081333    51.11%    46.67%
  14 C->A->A->C->C->C                     53        51    1.1147    -0.037843    50.98%    49.02%
  15 C->C->C->C->A->C                     51        48    0.9270     0.390000    50.00%    50.00%
  16 C->C->C->C->C->A                     49        49    0.8906     0.000000    48.98%    51.02%
  17 C->A->A->A->C->A                     35        35    0.9857    -0.200571    48.57%    51.43%
  18 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
  19 C->A->C->C->C->C                     48        46    0.8725     0.388478    47.83%    52.17%
  20 C->C->A->C->C->C                     48        47    0.8725    -0.407660    46.81%    51.06%
  21 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
  22 C->C->C->C->A->A                     48        48    1.0096    -0.091458    45.83%    52.08%
  23 C->C->A->A->A->C                     32        31    0.7788    -0.108710    45.16%    51.61%
  24 C->C->A->C->C->A                     49        49    1.0306    -0.050816    44.90%    55.10%
  25 C->C->C->A->A->C                     55        52    1.1568    -0.032308    44.23%    50.00%

Highest Failure
---------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->C->A->A->A                     27        27    0.6571    -0.164815    22.22%    77.78%
   2 C->A->A->A->C->C                     35        33    0.8518    -0.282424    33.33%    63.64%
   3 C->A->A->A->A->A                     24        24    0.7821     0.028750    37.50%    62.50%
   4 C->C->A->C->A->A                     42        42    1.0222    -0.222619    38.10%    61.90%
   5 C->C->A->A->A->A                     23        23    0.6477    -0.128696    39.13%    60.87%
   6 C->A->C->A->A->A                     40        40    1.1265    -0.195000    42.50%    57.50%
   7 C->C->C->C->C->C                     52        51    0.8168    -0.034902    43.14%    56.86%
   8 C->C->A->C->C->A                     49        49    1.0306    -0.050816    44.90%    55.10%
   9 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
  10 C->A->C->C->C->C                     48        46    0.8725     0.388478    47.83%    52.17%
  11 C->C->C->C->A->A                     48        48    1.0096    -0.091458    45.83%    52.08%
  12 C->C->A->A->A->C                     32        31    0.7788    -0.108710    45.16%    51.61%
  13 C->A->A->A->C->A                     35        35    0.9857    -0.200571    48.57%    51.43%
  14 C->C->A->C->C->C                     48        47    0.8725    -0.407660    46.81%    51.06%
  15 C->C->C->C->C->A                     49        49    0.8906     0.000000    48.98%    51.02%
  16 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
  17 C->C->C->A->A->C                     55        52    1.1568    -0.032308    44.23%    50.00%
  18 C->C->C->C->A->C                     51        48    0.9270     0.390000    50.00%    50.00%
  19 C->A->A->C->C->C                     53        51    1.1147    -0.037843    50.98%    49.02%
  20 C->A->C->C->A->A                     42        42    1.0222     0.053810    52.38%    47.62%
  21 C->A->A->C->A->A                     45        45    1.2673     0.081333    51.11%    46.67%
  22 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
  23 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  24 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%
  25 C->A->A->A->A->C                     31        30    0.8730     0.220333    56.67%    43.33%

Highest Positive Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->C->A->C->C                     44        42    0.7998     0.785238    59.52%    40.48%
   2 C->C->C->C->A->C                     51        48    0.9270     0.390000    50.00%    50.00%
   3 C->A->C->C->C->C                     48        46    0.8725     0.388478    47.83%    52.17%
   4 C->A->C->C->C->A                     44        44    0.9254     0.276818    59.09%    40.91%
   5 C->A->A->C->C->A                     43        43    1.0465     0.270000    65.12%    34.88%
   6 C->A->A->A->A->C                     31        30    0.8730     0.220333    56.67%    43.33%
   7 C->A->C->A->C->C                     46        46    0.9675     0.170217    58.70%    41.30%
   8 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%
   9 C->A->A->C->A->A                     45        45    1.2673     0.081333    51.11%    46.67%
  10 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  11 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
  12 C->A->C->C->A->A                     42        42    1.0222     0.053810    52.38%    47.62%
  13 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
  14 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
  15 C->A->A->A->A->A                     24        24    0.7821     0.028750    37.50%    62.50%
  16 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
  17 C->C->C->C->C->A                     49        49    0.8906     0.000000    48.98%    51.02%
  18 C->A->A->C->A->C                     52        49    1.2655    -0.026327    55.10%    42.86%
  19 C->C->C->A->A->C                     55        52    1.1568    -0.032308    44.23%    50.00%
  20 C->C->C->C->C->C                     52        51    0.8168    -0.034902    43.14%    56.86%
  21 C->A->A->C->C->C                     53        51    1.1147    -0.037843    50.98%    49.02%
  22 C->C->A->C->C->A                     49        49    1.0306    -0.050816    44.90%    55.10%
  23 C->C->C->C->A->A                     48        48    1.0096    -0.091458    45.83%    52.08%
  24 C->C->A->A->A->C                     32        31    0.7788    -0.108710    45.16%    51.61%
  25 C->C->A->A->A->A                     23        23    0.6477    -0.128696    39.13%    60.87%

Highest Negative Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->A->C->C->C                     48        47    0.8725    -0.407660    46.81%    51.06%
   2 C->A->A->A->C->C                     35        33    0.8518    -0.282424    33.33%    63.64%
   3 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
   4 C->C->A->C->A->A                     42        42    1.0222    -0.222619    38.10%    61.90%
   5 C->A->A->A->C->A                     35        35    0.9857    -0.200571    48.57%    51.43%
   6 C->A->C->A->A->A                     40        40    1.1265    -0.195000    42.50%    57.50%
   7 C->C->C->A->A->A                     27        27    0.6571    -0.164815    22.22%    77.78%
   8 C->C->A->A->A->A                     23        23    0.6477    -0.128696    39.13%    60.87%
   9 C->C->A->A->A->C                     32        31    0.7788    -0.108710    45.16%    51.61%
  10 C->C->C->C->A->A                     48        48    1.0096    -0.091458    45.83%    52.08%
  11 C->C->A->C->C->A                     49        49    1.0306    -0.050816    44.90%    55.10%
  12 C->A->A->C->C->C                     53        51    1.1147    -0.037843    50.98%    49.02%
  13 C->C->C->C->C->C                     52        51    0.8168    -0.034902    43.14%    56.86%
  14 C->C->C->A->A->C                     55        52    1.1568    -0.032308    44.23%    50.00%
  15 C->A->A->C->A->C                     52        49    1.2655    -0.026327    55.10%    42.86%
  16 C->C->C->C->C->A                     49        49    0.8906     0.000000    48.98%    51.02%
  17 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
  18 C->A->A->A->A->A                     24        24    0.7821     0.028750    37.50%    62.50%
  19 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
  20 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
  21 C->A->C->C->A->A                     42        42    1.0222     0.053810    52.38%    47.62%
  22 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
  23 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  24 C->A->A->C->A->A                     45        45    1.2673     0.081333    51.11%    46.67%
  25 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%

Section 6 - Research Notes
==========================
- Most common reported motif: C->C->C, Count=381.
- Most overrepresented reported motif: A->C->A->C->A->A, OER=1.3518.
- A->A->A: Count=225, OER=0.8443, ContinuationRate5=42.22%, FailureRate5=57.33%.
- A->C->A: Count=341, OER=1.1058, ContinuationRate5=50.88%, FailureRate5=48.53%.
- A->A->A->C->C: Count=68, OER=0.8874, ContinuationRate5=49.21%, FailureRate5=49.21%.
- OER is descriptive only and should not be overinterpreted.
