APVA Process Graph Study v0.1
============================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Edge count: 157

1. Directed Graph Summary
SourceNode | DestinationNode | TransitionCount | TransitionProbability
ReassertionProcessing_Age1 | 174 | MixedStructure_Age1 | 37.93% | NeutralProcessing_Age1 | 33.33% | 4.60%
ReassertionProcessing_Age2 | 32 | DestructiveRotation_Age1 | 56.25% | NeutralProcessing_Age1 | 37.50% | 18.75%
ReassertionProcessing_Age3 | 1 | DestructiveRotation_Age1 | 100.00% | N/A | 0.00% | 100.00%
RecoveryResolution_Age1 | 94 | CompressionProcessing_Age1 | 48.94% | RecoveryResolution_Age2 | 40.43% | 8.51%
RecoveryResolution_Age2 | 38 | RecoveryResolution_Age3 | 71.05% | NeutralProcessing_Age1 | 28.95% | 42.11%
RecoveryResolution_Age3 | 27 | CompressionProcessing_Age1 | 62.96% | NeutralProcessing_Age1 | 18.52% | 44.44%
RecoveryResolution_Age4 | 1 | CompressionProcessing_Age1 | 100.00% | N/A | 0.00% | 100.00%

3. Process Chains
Depth | Chain | ChainProbability | ChainSupport
2 | NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 | 70.75% | 75
2 | NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 67.86% | 95
2 | MixedStructure_Age4 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 56.85% | 1
2 | DestructiveRotation_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 51.98% | 1
2 | RecoveryResolution_Age4 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 51.98% | 1
2 | ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 | 51.61% | 16
2 | NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 50.48% | 56
2 | RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 | 44.74% | 17
2 | ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 | 44.44% | 1
2 | NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 41.90% | 106
2 | NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 40.89% | 77
2 | NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 | 40.11% | 11
2 | ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 | 38.10% | 8
2 | ReassertionProcessing_Age3 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 | 35.21% | 0
2 | DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 34.77% | 30
2 | RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 32.73% | 11
2 | NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 31.46% | 140
2 | CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 29.27% | 12
2 | CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 28.43% | 1
2 | RecoveryResolution_Age1 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 25.44% | 31
2 | CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 23.91% | 22
2 | MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 23.43% | 79
2 | CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 | 23.16% | 41
2 | CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 | 22.73% | 5
2 | ExhaustionPersistence_Age1 -> ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 | 21.65% | 21
2 | ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 21.32% | 2
2 | CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 | 20.83% | 2
2 | DestructiveRotation_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 20.39% | 2
2 | DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 20.02% | 12
2 | ReassertionProcessing_Age2 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 | 19.81% | 7
2 | ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 | 18.75% | 3
2 | MixedStructure_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 | 17.48% | 6
2 | ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 | 17.17% | 1
2 | MixedStructure_Age3 -> ConstructiveEmergence_Age1 -> MixedStructure_Age1 | 16.67% | 2
2 | ReassertionProcessing_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 | 15.63% | 36
3 | NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 | 53.57% | 75
3 | NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 45.24% | 56
3 | NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 37.55% | 95
3 | NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 32.28% | 37
3 | MixedStructure_Age4 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 31.46% | 0
3 | ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 | 29.63% | 0
3 | NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 26.14% | 40
3 | ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 | 25.81% | 8
3 | NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 | 25.40% | 6
3 | NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 23.82% | 106
3 | RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 | 23.25% | 11
3 | DestructiveRotation_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 | 23.16% | 0
3 | RecoveryResolution_Age4 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 | 23.16% | 1
3 | ReassertionProcessing_Age3 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 20.02% | 0
3 | DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 19.24% | 15
3 | ExhaustionPersistence_Age1 -> ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 | 16.49% | 16
3 | CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 15.73% | 0
3 | RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 | 14.58% | 3
