APVA Destination Robustness Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Destination event count: 64

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 37
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 38
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 39
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 40
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 41
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 42
ConstructiveEmergence | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
ConstructiveEmergence | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
DecayToNeutral | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DecayToNeutral | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DecayToNeutral | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DecayToNeutral | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DecayToNeutral | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DecayToNeutral | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DecayToNeutral | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DecayToNeutral | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DecayToNeutral | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DecayToNeutral | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DecayToNeutral | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DecayToNeutral | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DecayToNeutral | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DecayToNeutral | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DecayToNeutral | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DecayToNeutral | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DecayToNeutral | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DecayToNeutral | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DecayToNeutral | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DecayToNeutral | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DecayToNeutral | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DecayToNeutral | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DecayToNeutral | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DecayToNeutral | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DecayToNeutral | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DecayToNeutral | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
DecayToNeutral | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DecayToNeutral | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DecayToNeutral | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DecayToNeutral | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DecayToNeutral | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DecayToNeutral | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DecayToNeutral | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DecayToNeutral | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DecayToNeutral | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DecayToNeutral | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DecayToNeutral | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DecayToNeutral | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
DecayToNeutral | BranchEntropy | t-3 | 0.0000 | 0 | Flat | 39
DecayToNeutral | BranchEntropy | t-5 | 0.0000 | 0 | Flat | 40
DecayToNeutral | PolarityFlipFlag | t-1 | 0.0000 | 0 | Flat | 41
DecayToNeutral | PolarityFlipFlag | t-2 | 0.0000 | 0 | Flat | 42
DecayToNeutral | PolarityFlipFlag | t-3 | 0.0000 | 0 | Flat | 43
DecayToNeutral | PolarityFlipFlag | t-5 | 0.0000 | 0 | Flat | 44
DestructiveRotation | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DestructiveRotation | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DestructiveRotation | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DestructiveRotation | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
DestructiveRotation | BodyRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 5
DestructiveRotation | BodyRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 6
DestructiveRotation | BodyRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 7
DestructiveRotation | BodyRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 8
DestructiveRotation | TrueRangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 9
DestructiveRotation | TrueRangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 10
DestructiveRotation | TrueRangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 11
DestructiveRotation | TrueRangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 12
DestructiveRotation | VolumeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 13
DestructiveRotation | VolumeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 14
DestructiveRotation | VolumeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 15
DestructiveRotation | VolumeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 16
DestructiveRotation | VolumeRelativeToRollingMean | t-1 | 0.0000 | 0 | Flat | 17
DestructiveRotation | VolumeRelativeToRollingMean | t-2 | 0.0000 | 0 | Flat | 18
DestructiveRotation | VolumeRelativeToRollingMean | t-3 | 0.0000 | 0 | Flat | 19
DestructiveRotation | VolumeRelativeToRollingMean | t-5 | 0.0000 | 0 | Flat | 20
DestructiveRotation | VolumeRelativeToSessionMean | t-1 | 0.0000 | 0 | Flat | 21
DestructiveRotation | VolumeRelativeToSessionMean | t-2 | 0.0000 | 0 | Flat | 22
DestructiveRotation | VolumeRelativeToSessionMean | t-3 | 0.0000 | 0 | Flat | 23
DestructiveRotation | VolumeRelativeToSessionMean | t-5 | 0.0000 | 0 | Flat | 24
DestructiveRotation | EfficiencyRatio | t-1 | 0.0000 | 0 | Flat | 25
DestructiveRotation | EfficiencyRatio | t-2 | 0.0000 | 0 | Flat | 26
DestructiveRotation | EfficiencyRatio | t-3 | 0.0000 | 0 | Flat | 27
DestructiveRotation | EfficiencyRatio | t-5 | 0.0000 | 0 | Flat | 28
DestructiveRotation | CloseLocation | t-1 | 0.0000 | 0 | Flat | 29
DestructiveRotation | CloseLocation | t-2 | 0.0000 | 0 | Flat | 30
DestructiveRotation | CloseLocation | t-3 | 0.0000 | 0 | Flat | 31
DestructiveRotation | CloseLocation | t-5 | 0.0000 | 0 | Flat | 32
DestructiveRotation | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 33
DestructiveRotation | MemoryStrength | t-2 | 0.0000 | 0 | Flat | 34
DestructiveRotation | MemoryStrength | t-3 | 0.0000 | 0 | Flat | 35
DestructiveRotation | MemoryStrength | t-5 | 0.0000 | 0 | Flat | 36
DestructiveRotation | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 37
DestructiveRotation | BranchEntropy | t-2 | 0.0000 | 0 | Flat | 38
