APVA Harmful Node Heterogeneity Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Harmful node count: 8

1. Harmful Node Inventory
Node | Count | ReplicationCount | ContributionScore | Top1Loss | BrierWorsening
RecoveryResolution_Age1 | ExhaustionPersistence_Age2 | 9 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age2 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | DestructiveRotation_Age1 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | MixedStructure_Age2 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age3 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age6-10 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | DestructiveRotation_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | ExhaustionPersistence_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | MixedStructure_Age3 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | NeutralProcessing_Age6-10 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000

4. Next Node Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
ExhaustionPersistence_Age1 | ExhaustionPersistence_Age2 | 31 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | RecoveryResolution_Age1 | 29 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | DecayToNeutral_Age1 | 17 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | NeutralProcessing_Age1 | 11 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | CompressionProcessing_Age1 | 7 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age1 | DestructiveRotation_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | ExhaustionPersistence_Age5 | 8 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | NeutralProcessing_Age1 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | DestructiveRotation_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | CompressionProcessing_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | DecayToNeutral_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ExhaustionPersistence_Age4 | RecoveryResolution_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | NeutralProcessing_Age1 | 115 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | DecayToNeutral_Age1 | 44 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | ExhaustionPersistence_Age1 | 39 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | MixedStructure_Age2 | 28 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | RecoveryResolution_Age1 | 25 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | ReassertionProcessing_Age1 | 17 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | CompressionProcessing_Age1 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | ConstructiveEmergence_Age1 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
MixedStructure_Age1 | DestructiveRotation_Age1 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | NeutralProcessing_Age2 | 253 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | MixedStructure_Age1 | 66 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 63 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | CompressionProcessing_Age1 | 45 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | DestructiveRotation_Age1 | 15 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 19 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | MixedStructure_Age1 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | ReassertionProcessing_Age1 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | CompressionProcessing_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | ExhaustionPersistence_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age2 | NeutralProcessing_Age3 | 140 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age2 | MixedStructure_Age1 | 54 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age2 | ReassertionProcessing_Age1 | 30 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age2 | CompressionProcessing_Age1 | 24 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age2 | DestructiveRotation_Age1 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 133 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | ReassertionProcessing_Age1 | 31 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | MixedStructure_Age1 | 20 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | NeutralProcessing_Age11-20 | 11 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | CompressionProcessing_Age1 | 7 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | ExhaustionPersistence_Age1 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | ConstructiveEmergence_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age6-10 | RecoveryResolution_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 46 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | RecoveryResolution_Age2 | 38 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | NeutralProcessing_Age1 | 10 | 100.00% | 0.0000 | 100.00% | 0.0000

5. Memory Class Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
ExhaustionPersistence_Age1 | LowMemory | 97 | 73.20% | 0.3924 | 46.39% | 0.5813
ExhaustionPersistence_Age4 | MediumMemory | 16 | 56.25% | 0.4922 | 12.50% | 0.6853
MixedStructure_Age1 | LowMemory | 279 | 50.18% | 0.5000 | 0.36% | 0.6931
NeutralProcessing_Age1 | MediumMemory | 445 | 56.85% | 0.4906 | 13.71% | 0.6837
NeutralProcessing_Age11-20 | LowMemory | 30 | 63.33% | 0.5267 | 40.00% | 0.8975
NeutralProcessing_Age2 | HighMemory | 253 | 55.34% | 0.4943 | 10.67% | 0.6874
NeutralProcessing_Age6-10 | MediumMemory | 208 | 63.94% | 0.4645 | 28.37% | 0.6793
RecoveryResolution_Age1 | MediumMemory | 94 | 59.57% | 0.4817 | 19.15% | 0.6747

6. Forecast Confidence Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
ExhaustionPersistence_Age1 | Low | 97 | 73.20% | 0.3924 | 46.39% | 0.5813
ExhaustionPersistence_Age4 | Medium | 16 | 56.25% | 0.4922 | 12.50% | 0.6853
MixedStructure_Age1 | Low | 279 | 50.18% | 0.5000 | 0.36% | 0.6931
NeutralProcessing_Age1 | High | 445 | 56.85% | 0.4906 | 13.71% | 0.6837
NeutralProcessing_Age11-20 | High | 30 | 63.33% | 0.5267 | 40.00% | 0.8975
NeutralProcessing_Age2 | Medium | 253 | 55.34% | 0.4943 | 10.67% | 0.6874
NeutralProcessing_Age6-10 | High | 208 | 63.94% | 0.4645 | 28.37% | 0.6793
RecoveryResolution_Age1 | Low | 94 | 59.57% | 0.4817 | 19.15% | 0.6747

7. Entropy Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
ExhaustionPersistence_Age1 | Low | 97 | 73.20% | 0.3924 | 46.39% | 0.5813
ExhaustionPersistence_Age4 | Low | 16 | 56.25% | 0.4922 | 12.50% | 0.6853
MixedStructure_Age1 | Low | 279 | 50.18% | 0.5000 | 0.36% | 0.6931
NeutralProcessing_Age1 | Low | 445 | 56.85% | 0.4906 | 13.71% | 0.6837
NeutralProcessing_Age11-20 | High | 30 | 63.33% | 0.5267 | 40.00% | 0.8975
NeutralProcessing_Age2 | Medium | 253 | 55.34% | 0.4943 | 10.67% | 0.6874
NeutralProcessing_Age6-10 | Medium | 208 | 63.94% | 0.4645 | 28.37% | 0.6793
RecoveryResolution_Age1 | High | 94 | 59.57% | 0.4817 | 19.15% | 0.6747

8. Node Category Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
ExhaustionPersistence_Age1 | Weak Node | 97 | 73.20% | 0.3924 | 46.39% | 0.5813
ExhaustionPersistence_Age4 | Insufficient Node | 16 | 56.25% | 0.4922 | 12.50% | 0.6853
MixedStructure_Age1 | Secondary Node | 279 | 50.18% | 0.5000 | 0.36% | 0.6931
NeutralProcessing_Age1 | Core Node | 445 | 56.85% | 0.4906 | 13.71% | 0.6837
NeutralProcessing_Age11-20 | Insufficient Node | 30 | 63.33% | 0.5267 | 40.00% | 0.8975
NeutralProcessing_Age2 | Secondary Node | 253 | 55.34% | 0.4943 | 10.67% | 0.6874
NeutralProcessing_Age6-10 | Secondary Node | 208 | 63.94% | 0.4645 | 28.37% | 0.6793
RecoveryResolution_Age1 | Secondary Node | 94 | 59.57% | 0.4817 | 19.15% | 0.6747

9. Single-Factor Heterogeneity Score
Node | Dimension | HeterogeneityScore
ExhaustionPersistence_Age1 | PreviousNode | 0.1588
MixedStructure_Age1 | PreviousNode | 0.0791
NeutralProcessing_Age1 | PreviousNode | 0.0506
NeutralProcessing_Age6-10 | PreviousNode | 0.0289
NeutralProcessing_Age11-20 | PreviousNode | 0.0225
ExhaustionPersistence_Age1 | ConfidenceBucket | 0.0000
ExhaustionPersistence_Age1 | EntropyBucket | 0.0000
ExhaustionPersistence_Age1 | MemoryClass | 0.0000
ExhaustionPersistence_Age1 | NextNode | 0.0000
ExhaustionPersistence_Age1 | NodeCategory | 0.0000
ExhaustionPersistence_Age4 | ConfidenceBucket | 0.0000
ExhaustionPersistence_Age4 | EntropyBucket | 0.0000
ExhaustionPersistence_Age4 | MemoryClass | 0.0000
ExhaustionPersistence_Age4 | NextNode | 0.0000
ExhaustionPersistence_Age4 | NodeCategory | 0.0000
ExhaustionPersistence_Age4 | PreviousNode | 0.0000
MixedStructure_Age1 | ConfidenceBucket | 0.0000
MixedStructure_Age1 | EntropyBucket | 0.0000
MixedStructure_Age1 | MemoryClass | 0.0000
MixedStructure_Age1 | NextNode | 0.0000
MixedStructure_Age1 | NodeCategory | 0.0000
NeutralProcessing_Age1 | ConfidenceBucket | 0.0000
NeutralProcessing_Age1 | EntropyBucket | 0.0000
NeutralProcessing_Age1 | MemoryClass | 0.0000
NeutralProcessing_Age1 | NextNode | 0.0000
NeutralProcessing_Age1 | NodeCategory | 0.0000
NeutralProcessing_Age11-20 | ConfidenceBucket | 0.0000
NeutralProcessing_Age11-20 | EntropyBucket | 0.0000
NeutralProcessing_Age11-20 | MemoryClass | 0.0000
NeutralProcessing_Age11-20 | NextNode | 0.0000
NeutralProcessing_Age11-20 | NodeCategory | 0.0000
NeutralProcessing_Age2 | ConfidenceBucket | 0.0000
NeutralProcessing_Age2 | EntropyBucket | 0.0000
NeutralProcessing_Age2 | MemoryClass | 0.0000
NeutralProcessing_Age2 | NextNode | 0.0000
NeutralProcessing_Age2 | NodeCategory | 0.0000
NeutralProcessing_Age2 | PreviousNode | 0.0000
NeutralProcessing_Age6-10 | ConfidenceBucket | 0.0000
NeutralProcessing_Age6-10 | EntropyBucket | 0.0000
NeutralProcessing_Age6-10 | MemoryClass | 0.0000
NeutralProcessing_Age6-10 | NextNode | 0.0000
NeutralProcessing_Age6-10 | NodeCategory | 0.0000
RecoveryResolution_Age1 | ConfidenceBucket | 0.0000
RecoveryResolution_Age1 | EntropyBucket | 0.0000
RecoveryResolution_Age1 | MemoryClass | 0.0000
RecoveryResolution_Age1 | NextNode | 0.0000
RecoveryResolution_Age1 | NodeCategory | 0.0000
RecoveryResolution_Age1 | PreviousNode | 0.0000

10. Useful Split Test
Node | Dimension | Top1Gain | Top2Gain | BrierImprovement | CalibrationImprovement | ForecastEntropy
MixedStructure_Age1 | NextNode | 49.82% | 0.00% | 0.5000 | 0.00% | 0.6931
NeutralProcessing_Age2 | NextNode | 44.66% | 0.00% | 0.4943 | 0.00% | 0.6874
ExhaustionPersistence_Age4 | NextNode | 43.75% | 0.00% | 0.4922 | 0.00% | 0.6853
NeutralProcessing_Age1 | NextNode | 43.15% | 0.00% | 0.4906 | 0.00% | 0.6837
RecoveryResolution_Age1 | PreviousNode | 40.43% | 0.00% | 0.4817 | 0.00% | 0.6747
RecoveryResolution_Age1 | NextNode | 40.43% | 0.00% | 0.4817 | 0.00% | 0.6747
NeutralProcessing_Age11-20 | NextNode | 36.67% | 13.33% | 0.5267 | 0.00% | 0.8975
NeutralProcessing_Age6-10 | NextNode | 36.06% | 0.48% | 0.4645 | 0.00% | 0.6793
ExhaustionPersistence_Age1 | NextNode | 26.80% | 0.00% | 0.3924 | 0.00% | 0.5813
MixedStructure_Age1 | PreviousNode | 20.07% | 0.00% | 0.1126 | -0.00% | 0.1285
NeutralProcessing_Age1 | PreviousNode | 4.94% | 0.00% | 0.0412 | -0.00% | 0.0481
ExhaustionPersistence_Age1 | PreviousNode | 0.00% | 0.00% | 0.0538 | 0.00% | 0.0905
ExhaustionPersistence_Age1 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age1 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age1 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age1 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age4 | PreviousNode | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age4 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age4 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age4 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
ExhaustionPersistence_Age4 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
MixedStructure_Age1 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
MixedStructure_Age1 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
MixedStructure_Age1 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
MixedStructure_Age1 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age1 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age1 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age1 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age1 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age11-20 | PreviousNode | 0.00% | 0.00% | 0.0077 | 0.00% | 0.0115
NeutralProcessing_Age11-20 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age11-20 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age11-20 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age11-20 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age2 | PreviousNode | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age2 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age2 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age2 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age2 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age6-10 | PreviousNode | 0.00% | 0.00% | 0.0124 | 0.00% | 0.0159
NeutralProcessing_Age6-10 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age6-10 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age6-10 | EntropyBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
NeutralProcessing_Age6-10 | NodeCategory | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
RecoveryResolution_Age1 | MemoryClass | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
RecoveryResolution_Age1 | ConfidenceBucket | 0.00% | 0.00% | 0.0000 | 0.00% | 0.0000
