APVA Phase Transition Matrix Study v0.1 - CL
=============================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Structural state counts: {'MixedStructure': 314, 'NeutralProcessing': 1278, 'ReassertionProcessing': 207, 'CompressionProcessing': 350, 'DecayToNeutral': 103, 'ExhaustionPersistence': 176, 'DestructiveRotation': 84, 'RecoveryResolution': 160, 'ConstructiveEmergence': 12}
Lifecycle phase counts: {'Terminal': 542, 'Maturity': 256, 'Insufficient': 79, 'Birth': 988, 'Growth': 516, 'Decay': 303}
Valid phase observations: 2605

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth                988     36.81%
Growth               516     19.23%
Maturity             256      9.54%
Decay                303     11.29%
Terminal             542     20.19%
Insufficient          79      2.94%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Insufficient    2 MixedStructure                      13       16.46%     1.415
Birth           3 RecoveryResolution                  75        7.61%     1.275
Birth           3 ExhaustionPersistence               77        7.81%     1.190
Birth           3 CompressionProcessing              162       16.43%     1.259
Birth           3 NeutralProcessing                  459       46.55%     0.977
Birth           3 ReassertionProcessing               52        5.27%     0.683
Birth           3 DecayToNeutral                      34        3.45%     0.898
Birth           3 DestructiveRotation                 31        3.14%     1.003
Birth           3 ConstructiveEmergence                3        0.30%     0.680
Birth           3 MixedStructure                      93        9.43%     0.813
Growth          3 RecoveryResolution                  27        5.24%     0.878
Growth          3 ExhaustionPersistence               25        4.85%     0.739
Growth          3 CompressionProcessing               47        9.13%     0.699
Growth          3 NeutralProcessing                  325       63.11%     1.324
Growth          3 ReassertionProcessing               41        7.96%     1.031
Growth          3 DecayToNeutral                       4        0.78%     0.202
Growth          3 DestructiveRotation                  8        1.55%     0.496
Growth          3 ConstructiveEmergence                1        0.19%     0.434
Growth          3 MixedStructure                      37        7.18%     0.619
Maturity        3 RecoveryResolution                  13        5.08%     0.851
Maturity        3 ExhaustionPersistence               20        7.81%     1.190
Maturity        3 CompressionProcessing               49       19.14%     1.466
Maturity        3 NeutralProcessing                  114       44.53%     0.934
Maturity        3 ReassertionProcessing               15        5.86%     0.759
Maturity        3 DecayToNeutral                      12        4.69%     1.220
Maturity        3 DestructiveRotation                  6        2.34%     0.748
Maturity        3 MixedStructure                      27       10.55%     0.909
Decay           3 RecoveryResolution                  11        3.63%     0.608
Decay           3 ExhaustionPersistence               11        3.63%     0.553
Decay           3 CompressionProcessing               26        8.58%     0.657
Decay           3 NeutralProcessing                  153       50.50%     1.059
Decay           3 ReassertionProcessing               38       12.54%     1.624
Decay           3 DecayToNeutral                      10        3.30%     0.859
Decay           3 DestructiveRotation                  8        2.64%     0.843
Decay           3 ConstructiveEmergence                4        1.32%     2.949
Decay           3 MixedStructure                      42       13.86%     1.195
Terminal        3 RecoveryResolution                  29        5.35%     0.897
Terminal        3 ExhaustionPersistence               32        5.90%     0.899
Terminal        3 CompressionProcessing               59       10.89%     0.834
Terminal        3 NeutralProcessing                  201       37.08%     0.778
Terminal        3 ReassertionProcessing               56       10.33%     1.338
Terminal        3 DecayToNeutral                      39        7.20%     1.873
Terminal        3 DestructiveRotation                 28        5.17%     1.649
Terminal        3 ConstructiveEmergence                4        0.74%     1.649
Terminal        3 MixedStructure                      94       17.34%     1.495
Insufficient    3 RecoveryResolution                   5        6.33%     1.061
Insufficient    3 ExhaustionPersistence               11       13.92%     2.121
Insufficient    3 CompressionProcessing                7        8.86%     0.679
Insufficient    3 NeutralProcessing                   26       32.91%     0.690
Insufficient    3 ReassertionProcessing                5        6.33%     0.820
Insufficient    3 DecayToNeutral                       4        5.06%     1.318
Insufficient    3 DestructiveRotation                  3        3.80%     1.212
Insufficient    3 MixedStructure                      18       22.78%     1.964
Birth           5 RecoveryResolution                  74        7.51%     1.258
Birth           5 ExhaustionPersistence               79        8.02%     1.221
Birth           5 CompressionProcessing              147       14.92%     1.142
Birth           5 NeutralProcessing                  446       45.28%     0.950
Birth           5 ReassertionProcessing               60        6.09%     0.788
Birth           5 DecayToNeutral                      32        3.25%     0.845
Birth           5 DestructiveRotation                 28        2.84%     0.907
Birth           5 ConstructiveEmergence                4        0.41%     0.907
Birth           5 MixedStructure                     115       11.68%     1.009
Growth          5 RecoveryResolution                  25        4.86%     0.814
Growth          5 ExhaustionPersistence               30        5.84%     0.888
Growth          5 CompressionProcessing               64       12.45%     0.953
Growth          5 NeutralProcessing                  247       48.05%     1.008
Growth          5 ReassertionProcessing               52       10.12%     1.309
Growth          5 DecayToNeutral                      17        3.31%     0.860
Growth          5 DestructiveRotation                 18        3.50%     1.117
Growth          5 ConstructiveEmergence                2        0.39%     0.869
Growth          5 MixedStructure                      59       11.48%     0.992
Maturity        5 RecoveryResolution                  17        6.64%     1.112
Maturity        5 ExhaustionPersistence               14        5.47%     0.832
Maturity        5 CompressionProcessing               35       13.67%     1.046
Maturity        5 NeutralProcessing                  112       43.75%     0.918
Maturity        5 ReassertionProcessing               26       10.16%     1.314
Maturity        5 DecayToNeutral                      14        5.47%     1.422
Maturity        5 DestructiveRotation                  7        2.73%     0.872
Maturity        5 ConstructiveEmergence                1        0.39%     0.872
Maturity        5 MixedStructure                      30       11.72%     1.013
Decay           5 RecoveryResolution                  12        3.96%     0.663
Decay           5 ExhaustionPersistence               14        4.62%     0.703
Decay           5 CompressionProcessing               27        8.91%     0.682
Decay           5 NeutralProcessing                  145       47.85%     1.004
Decay           5 ReassertionProcessing               31       10.23%     1.324
Decay           5 DecayToNeutral                      17        5.61%     1.459
Decay           5 DestructiveRotation                 14        4.62%     1.474
Decay           5 ConstructiveEmergence                2        0.66%     1.474
Decay           5 MixedStructure                      41       13.53%     1.169
Terminal        5 RecoveryResolution                  25        4.61%     0.772
Terminal        5 ExhaustionPersistence               32        5.90%     0.899
Terminal        5 CompressionProcessing               69       12.73%     0.974
Terminal        5 NeutralProcessing                  289       53.32%     1.119
Terminal        5 ReassertionProcessing               34        6.27%     0.812
Terminal        5 DecayToNeutral                      21        3.87%     1.008
Terminal        5 DestructiveRotation                 15        2.77%     0.883
Terminal        5 ConstructiveEmergence                2        0.37%     0.824
Terminal        5 MixedStructure                      55       10.15%     0.877
Insufficient    5 RecoveryResolution                   7        8.86%     1.484
Insufficient    5 ExhaustionPersistence                7        8.86%     1.349
Insufficient    5 CompressionProcessing                8       10.13%     0.775
Insufficient    5 NeutralProcessing                   38       48.10%     1.009
Insufficient    5 ReassertionProcessing                4        5.06%     0.655
Insufficient    5 DecayToNeutral                       2        2.53%     0.658
Insufficient    5 DestructiveRotation                  2        2.53%     0.807
Insufficient    5 ConstructiveEmergence                1        1.27%     2.826
Insufficient    5 MixedStructure                      10       12.66%     1.094

Section 3 - Phase -> Phase Tables
=================================
Phase           H NextPhase                        Count  Probability      Lift
Birth           1 Birth                              395       40.02%     1.087
Birth           1 Growth                             376       38.10%     1.981
Birth           1 Maturity                            38        3.85%     0.404
Birth           1 Terminal                           162       16.41%     0.814
Birth           1 Insufficient                        16        1.62%     0.551
Growth          1 Birth                               94       18.22%     0.495
Growth          1 Growth                             140       27.13%     1.411
Growth          1 Maturity                           168       32.56%     3.412
Growth          1 Terminal                           114       22.09%     1.096
Maturity        1 Birth                               67       26.17%     0.711
Maturity        1 Maturity                            22        8.59%     0.901
Maturity        1 Decay                               95       37.11%     3.286
Maturity        1 Terminal                            38       14.84%     0.736
Maturity        1 Insufficient                        34       13.28%     4.511
Decay           1 Birth                               16        5.28%     0.143
Decay           1 Decay                              208       68.65%     6.079
Decay           1 Terminal                            78       25.74%     1.277
Decay           1 Insufficient                         1        0.33%     0.112
Terminal        1 Birth                              366       67.53%     1.834
Terminal        1 Maturity                            28        5.17%     0.541
Terminal        1 Terminal                           142       26.20%     1.299
Terminal        1 Insufficient                         6        1.11%     0.376
Insufficient    1 Birth                               50       63.29%     1.719
Insufficient    1 Terminal                             7        8.86%     0.439
Insufficient    1 Insufficient                        22       27.85%     9.458
Birth           2 Birth                              374       37.93%     1.030
Birth           2 Growth                             283       28.70%     1.492
Birth           2 Maturity                            98        9.94%     1.045
Birth           2 Terminal                           220       22.31%     1.106
Birth           2 Insufficient                        11        1.12%     0.379
Growth          2 Birth                              164       31.78%     0.863
Growth          2 Growth                              34        6.59%     0.342
Growth          2 Maturity                           145       28.10%     2.956
Growth          2 Decay                               95       18.41%     1.630
Growth          2 Terminal                            60       11.63%     0.576
Growth          2 Insufficient                        18        3.49%     1.184
Maturity        2 Birth                               98       38.28%     1.039
Maturity        2 Growth                              24        9.38%     0.487
Maturity        2 Decay                               75       29.30%     2.593
Maturity        2 Terminal                            29       11.33%     0.562
Maturity        2 Insufficient                        30       11.72%     3.978
Decay           2 Birth                               64       21.12%     0.573
Decay           2 Growth                               6        1.98%     0.103
Decay           2 Maturity                             3        0.99%     0.104
Decay           2 Decay                              133       43.89%     3.885
Decay           2 Terminal                            95       31.35%     1.554
Decay           2 Insufficient                         2        0.66%     0.224
Terminal        2 Birth                              248       45.76%     1.242
Terminal        2 Growth                             150       27.68%     1.438
Terminal        2 Maturity                             7        1.29%     0.136
Terminal        2 Terminal                           125       23.06%     1.143
Terminal        2 Insufficient                        12        2.21%     0.752
Insufficient    2 Birth                               40       50.63%     1.374
Insufficient    2 Growth                              19       24.05%     1.250
Insufficient    2 Maturity                             2        2.53%     0.266
Insufficient    2 Terminal                            12       15.19%     0.753
Insufficient    2 Insufficient                         6        7.59%     2.578
Birth           3 Birth                              444       45.03%     1.222
Birth           3 Growth                             178       18.05%     0.938
Birth           3 Maturity                           186       18.86%     1.983
Birth           3 Terminal                           150       15.21%     0.754
Birth           3 Insufficient                        28        2.84%     0.976
Growth          3 Birth                              143       27.77%     0.753
Growth          3 Growth                              90       17.48%     0.908
Growth          3 Maturity                             7        1.36%     0.143
Growth          3 Decay                              170       33.01%     2.921
Growth          3 Terminal                            82       15.92%     0.789
Growth          3 Insufficient                        23        4.47%     1.535
Maturity        3 Birth                               94       36.72%     0.996
Maturity        3 Growth                              47       18.36%     0.954
Maturity        3 Maturity                            13        5.08%     0.534
Maturity        3 Decay                               56       21.88%     1.936
Maturity        3 Terminal                            39       15.23%     0.755
Maturity        3 Insufficient                         7        2.73%     0.940
Decay           3 Birth                               89       29.37%     0.797
Decay           3 Growth                              23        7.59%     0.394
Decay           3 Maturity                             9        2.97%     0.312
Decay           3 Decay                               77       25.41%     2.249
Decay           3 Terminal                           101       33.33%     1.652
Decay           3 Insufficient                         4        1.32%     0.454
Terminal        3 Birth                              183       33.76%     0.916
Terminal        3 Growth                             163       30.07%     1.563
Terminal        3 Maturity                            31        5.72%     0.601
Terminal        3 Terminal                           152       28.04%     1.390
Terminal        3 Insufficient                        13        2.40%     0.824
Insufficient    3 Birth                               35       44.30%     1.202
Insufficient    3 Growth                              15       18.99%     0.987
Insufficient    3 Maturity                             9       11.39%     1.198
Insufficient    3 Terminal                            17       21.52%     1.066
Insufficient    3 Insufficient                         3        3.80%     1.305
Birth           5 Birth                              350       35.53%     0.964
Birth           5 Growth                             219       22.23%     1.154
Birth           5 Maturity                           100       10.15%     1.067
Birth           5 Decay                              101       10.25%     0.907
Birth           5 Terminal                           176       17.87%     0.885
Birth           5 Insufficient                        39        3.96%     1.378
Growth          5 Birth                              179       34.82%     0.945
Growth          5 Growth                              66       12.84%     0.667
Growth          5 Maturity                            46        8.95%     0.940
Growth          5 Decay                              106       20.62%     1.823
Growth          5 Terminal                           107       20.82%     1.031
Growth          5 Insufficient                        10        1.95%     0.677
Maturity        5 Birth                               92       35.94%     0.975
Maturity        5 Growth                              46       17.97%     0.933
Maturity        5 Maturity                            23        8.98%     0.944
Maturity        5 Decay                               32       12.50%     1.105
Maturity        5 Terminal                            56       21.88%     1.083
Maturity        5 Insufficient                         7        2.73%     0.951
Decay           5 Birth                              123       40.59%     1.102
Decay           5 Growth                              44       14.52%     0.754
Decay           5 Maturity                            19        6.27%     0.659
Decay           5 Decay                               17        5.61%     0.496
Decay           5 Terminal                            96       31.68%     1.569
Decay           5 Insufficient                         4        1.32%     0.459
Terminal        5 Birth                              212       39.11%     1.062
Terminal        5 Growth                             122       22.51%     1.169
Terminal        5 Maturity                            57       10.52%     1.105
Terminal        5 Decay                               44        8.12%     0.718
Terminal        5 Terminal                            92       16.97%     0.841
Terminal        5 Insufficient                        15        2.77%     0.963
Insufficient    5 Birth                               31       39.24%     1.065
Insufficient    5 Growth                              19       24.05%     1.249
Insufficient    5 Maturity                            10       12.66%     1.330
Insufficient    5 Decay                                3        3.80%     0.336
Insufficient    5 Terminal                            14       17.72%     0.878
Insufficient    5 Insufficient                         2        2.53%     0.881

Section 4 - State + Phase -> NextState Tables
=============================================
CurrentState                 Phase           H NextState                        Count  Probability      Lift
RecoveryResolution           Birth           1 RecoveryResolution                  38       40.43%     6.779
RecoveryResolution           Birth           1 CompressionProcessing               46       48.94%     3.751
RecoveryResolution           Birth           1 NeutralProcessing                   10       10.64%     0.223
RecoveryResolution           Maturity        1 RecoveryResolution                  27       71.05%    11.915
RecoveryResolution           Maturity        1 NeutralProcessing                   11       28.95%     0.608
RecoveryResolution           Terminal        1 RecoveryResolution                   1        3.70%     0.621
RecoveryResolution           Terminal        1 ExhaustionPersistence                4       14.81%     2.258
RecoveryResolution           Terminal        1 CompressionProcessing               17       62.96%     4.827
RecoveryResolution           Terminal        1 NeutralProcessing                    5       18.52%     0.389
RecoveryResolution           Insufficient    1 CompressionProcessing                1      100.00%     7.666
ExhaustionPersistence        Birth           1 RecoveryResolution                  29       29.90%     5.013
ExhaustionPersistence        Birth           1 ExhaustionPersistence               31       31.96%     4.872
ExhaustionPersistence        Birth           1 CompressionProcessing                7        7.22%     0.553
ExhaustionPersistence        Birth           1 NeutralProcessing                   11       11.34%     0.238
ExhaustionPersistence        Birth           1 DecayToNeutral                      17       17.53%     4.565
ExhaustionPersistence        Birth           1 DestructiveRotation                  2        2.06%     0.659
ExhaustionPersistence        Growth          1 RecoveryResolution                   9       29.03%     4.868
ExhaustionPersistence        Growth          1 ExhaustionPersistence               21       67.74%    10.327
ExhaustionPersistence        Growth          1 NeutralProcessing                    1        3.23%     0.068
ExhaustionPersistence        Maturity        1 ExhaustionPersistence               16       76.19%    11.615
ExhaustionPersistence        Maturity        1 NeutralProcessing                    5       23.81%     0.500
ExhaustionPersistence        Insufficient    1 RecoveryResolution                   1        3.70%     0.621
ExhaustionPersistence        Insufficient    1 ExhaustionPersistence               11       40.74%     6.211
ExhaustionPersistence        Insufficient    1 CompressionProcessing                2        7.41%     0.568
ExhaustionPersistence        Insufficient    1 NeutralProcessing                    7       25.93%     0.544
ExhaustionPersistence        Insufficient    1 DecayToNeutral                       3       11.11%     2.894
ExhaustionPersistence        Insufficient    1 DestructiveRotation                  3       11.11%     3.549
CompressionProcessing        Birth           1 RecoveryResolution                  13        7.34%     1.232
CompressionProcessing        Birth           1 ExhaustionPersistence               13        7.34%     1.120
CompressionProcessing        Birth           1 CompressionProcessing               92       51.98%     3.984
CompressionProcessing        Birth           1 NeutralProcessing                   56       31.64%     0.664
CompressionProcessing        Birth           1 MixedStructure                       3        1.69%     0.145
CompressionProcessing        Growth          1 RecoveryResolution                   4        4.35%     0.729
CompressionProcessing        Growth          1 ExhaustionPersistence               10       10.87%     1.657
CompressionProcessing        Growth          1 CompressionProcessing               41       44.57%     3.416
CompressionProcessing        Growth          1 NeutralProcessing                   33       35.87%     0.753
CompressionProcessing        Growth          1 DecayToNeutral                       2        2.17%     0.566
CompressionProcessing        Growth          1 DestructiveRotation                  1        1.09%     0.347
CompressionProcessing        Growth          1 MixedStructure                       1        1.09%     0.093
CompressionProcessing        Maturity        1 RecoveryResolution                   1        1.59%     0.266
CompressionProcessing        Maturity        1 ExhaustionPersistence                8       12.70%     1.936
CompressionProcessing        Maturity        1 CompressionProcessing               34       53.97%     4.137
CompressionProcessing        Maturity        1 NeutralProcessing                   15       23.81%     0.500
CompressionProcessing        Maturity        1 ReassertionProcessing                2        3.17%     0.411
CompressionProcessing        Maturity        1 DecayToNeutral                       2        3.17%     0.827
CompressionProcessing        Maturity        1 MixedStructure                       1        1.59%     0.136
CompressionProcessing        Insufficient    1 RecoveryResolution                   1        5.56%     0.932
CompressionProcessing        Insufficient    1 ExhaustionPersistence                4       22.22%     3.388
CompressionProcessing        Insufficient    1 CompressionProcessing                6       33.33%     2.555
CompressionProcessing        Insufficient    1 NeutralProcessing                    4       22.22%     0.467
CompressionProcessing        Insufficient    1 DestructiveRotation                  1        5.56%     1.774
CompressionProcessing        Insufficient    1 MixedStructure                       2       11.11%     0.952
NeutralProcessing            Birth           1 CompressionProcessing               45       10.11%     0.775
NeutralProcessing            Birth           1 NeutralProcessing                  253       56.85%     1.194
NeutralProcessing            Birth           1 ReassertionProcessing               63       14.16%     1.835
NeutralProcessing            Birth           1 DestructiveRotation                 15        3.37%     1.077
NeutralProcessing            Birth           1 ConstructiveEmergence                3        0.67%     1.507
NeutralProcessing            Birth           1 MixedStructure                      66       14.83%     1.271
NeutralProcessing            Growth          1 CompressionProcessing               29        7.38%     0.566
NeutralProcessing            Growth          1 NeutralProcessing                  246       62.60%     1.314
NeutralProcessing            Growth          1 ReassertionProcessing               44       11.20%     1.451
NeutralProcessing            Growth          1 DestructiveRotation                  5        1.27%     0.406
NeutralProcessing            Growth          1 MixedStructure                      69       17.56%     1.505
NeutralProcessing            Maturity        1 ExhaustionPersistence                2        1.89%     0.288
NeutralProcessing            Maturity        1 NeutralProcessing                   95       89.62%     1.882
NeutralProcessing            Maturity        1 ReassertionProcessing                4        3.77%     0.489
NeutralProcessing            Maturity        1 ConstructiveEmergence                1        0.94%     2.109
NeutralProcessing            Maturity        1 MixedStructure                       4        3.77%     0.323
NeutralProcessing            Decay           1 RecoveryResolution                   1        0.33%     0.055
NeutralProcessing            Decay           1 ExhaustionPersistence                5        1.65%     0.252
NeutralProcessing            Decay           1 CompressionProcessing               10        3.30%     0.253
NeutralProcessing            Decay           1 NeutralProcessing                  219       72.28%     1.517
NeutralProcessing            Decay           1 ReassertionProcessing               37       12.21%     1.583
NeutralProcessing            Decay           1 ConstructiveEmergence                1        0.33%     0.738
NeutralProcessing            Decay           1 MixedStructure                      30        9.90%     0.849
NeutralProcessing            Terminal        1 ExhaustionPersistence                1        3.33%     0.508
NeutralProcessing            Terminal        1 CompressionProcessing                2        6.67%     0.511
NeutralProcessing            Terminal        1 NeutralProcessing                   19       63.33%     1.330
NeutralProcessing            Terminal        1 ReassertionProcessing                4       13.33%     1.728
NeutralProcessing            Terminal        1 MixedStructure                       4       13.33%     1.143
ReassertionProcessing        Terminal        1 CompressionProcessing                7        3.40%     0.260
ReassertionProcessing        Terminal        1 NeutralProcessing                   70       33.98%     0.713
ReassertionProcessing        Terminal        1 ReassertionProcessing               33       16.02%     2.076
ReassertionProcessing        Terminal        1 DestructiveRotation                 29       14.08%     4.496
ReassertionProcessing        Terminal        1 ConstructiveEmergence                1        0.49%     1.085
ReassertionProcessing        Terminal        1 MixedStructure                      66       32.04%     2.746
ReassertionProcessing        Insufficient    1 DestructiveRotation                  1      100.00%    31.940
DecayToNeutral               Birth           1 CompressionProcessing                2        1.94%     0.149
DecayToNeutral               Birth           1 NeutralProcessing                   63       61.17%     1.284
DecayToNeutral               Birth           1 DestructiveRotation                 11       10.68%     3.411
DecayToNeutral               Birth           1 ConstructiveEmergence                1        0.97%     2.171
DecayToNeutral               Birth           1 MixedStructure                      26       25.24%     2.164
DestructiveRotation          Birth           1 RecoveryResolution                   4        5.63%     0.945
DestructiveRotation          Birth           1 ExhaustionPersistence                5        7.04%     1.074
DestructiveRotation          Birth           1 CompressionProcessing                1        1.41%     0.108
DestructiveRotation          Birth           1 NeutralProcessing                   25       35.21%     0.739
DestructiveRotation          Birth           1 ReassertionProcessing                3        4.23%     0.548
DestructiveRotation          Birth           1 DecayToNeutral                      20       28.17%     7.338
DestructiveRotation          Birth           1 DestructiveRotation                 12       16.90%     5.398
DestructiveRotation          Birth           1 MixedStructure                       1        1.41%     0.121
DestructiveRotation          Insufficient    1 RecoveryResolution                   1        7.69%     1.290
DestructiveRotation          Insufficient    1 ExhaustionPersistence                3       23.08%     3.518
DestructiveRotation          Insufficient    1 CompressionProcessing                2       15.38%     1.179
DestructiveRotation          Insufficient    1 NeutralProcessing                    2       15.38%     0.323
DestructiveRotation          Insufficient    1 DecayToNeutral                       4       30.77%     8.015
DestructiveRotation          Insufficient    1 DestructiveRotation                  1        7.69%     2.457
ConstructiveEmergence        Insufficient    1 NeutralProcessing                    4       33.33%     0.700
ConstructiveEmergence        Insufficient    1 DecayToNeutral                       3       25.00%     6.512
ConstructiveEmergence        Insufficient    1 MixedStructure                       5       41.67%     3.572
MixedStructure               Maturity        1 RecoveryResolution                   4       14.29%     2.396
MixedStructure               Maturity        1 ExhaustionPersistence                3       10.71%     1.633
MixedStructure               Maturity        1 CompressionProcessing                1        3.57%     0.274
MixedStructure               Maturity        1 NeutralProcessing                    7       25.00%     0.525
MixedStructure               Maturity        1 DecayToNeutral                       8       28.57%     7.442
MixedStructure               Maturity        1 MixedStructure                       5       17.86%     1.531
MixedStructure               Terminal        1 RecoveryResolution                  25        8.96%     1.503
MixedStructure               Terminal        1 ExhaustionPersistence               39       13.98%     2.131
