APVA Stage + Alignment Interaction Study v0.1
=============================================
Input: Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
SequenceStage logic reuses APVA_PostBreakoutOOE_10.py.
Alignment logic reuses APVA_BreakoutAlignment_09.py.
This is not true PVA OOE.
Each source-specific segment-bar observation is counted; overlapping segments may include the same bar.
SequenceStage progression is direction-aware, so Stage and Alignment are descriptive interacting factors.
Ranked comparisons require both sides Count >= 30.

Diagnostics
===========
Total stage-alignment observations: 2247
Stage0 observations: 170
Stage1 observations: 591
Stage2 observations: 506
Stage3 observations: 367
Stage4 observations: 613
Aligned observations: 1136
Opposed observations: 1111

Stage x Alignment Counts
========================
Stage       Aligned    Opposed
Stage0           0        170
Stage1         445        146
Stage2         240        266
Stage3          84        283
Stage4         367        246

Event Counts by Stage x Alignment
=================================
Event                        S0A     S0O     S1A     S1O     S2A     S2O     S3A     S3O     S4A     S4O
AllBars                        0     170     445     146     240     266      84     283     367     246
DissipationAny                 0      87     216      97     109      89      59     170     156     122
DissipationContained           0      41     118      65      58      52      38     104      75      74
DissipationAccepted            0      43      96      32      48      28      21      61      80      44
ParticipationPeak              0      31      83       0      49     104       0      31      79      40
ParticipationClimactic         0       2      37       0      10      25       0       9      38      16
PeakContained                  0       9      24       0      16      39       0       7      21      19
PeakAccepted                   0      16      56       0      26      60       0      22      48      20
ClimacticContained             0       0       3       0       2       6       0       2       7       4
ClimacticAccepted              0       2      34       0       8      18       0       7      29      12

Event x Stage x Alignment DRFwd5 Table
=====================================
Event                      Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
Event                    LeftCount   LeftMean5  LeftCont5 RightCount  RightMean5  RightCont5  DeltaMean5 DeltaCont5
AllBars                        367   -0.066812    48.77%        246   -0.102033     48.37%    0.035221     0.40%
DissipationAny                 156   -0.037308    51.92%        122   -0.128197     46.72%    0.090889     5.20%
DissipationContained            75    0.227067    56.00%         74   -0.009054     54.05%    0.236121     1.95%
DissipationAccepted             80   -0.278750    48.75%         44   -0.361136     29.55%    0.082386    19.20%
ParticipationPeak               79   -0.100380    51.90%         40    0.123750     55.00%   -0.224130    -3.10%
ParticipationClimactic          38    0.022895    44.74%         16    0.379375     50.00%   -0.356480    -5.26%
PeakContained                   21    0.240952    57.14%         19    0.375789     63.16%   -0.134837    -6.02%
PeakAccepted                    48   -0.300208    50.00%         20   -0.110000     45.00%   -0.190208     5.00%
ClimacticContained               7    0.740000    57.14%          4   -0.365000     50.00%    1.105000     7.14%
ClimacticAccepted               29   -0.122414    44.83%         12    0.627500     50.00%   -0.749914    -5.17%

Immature Aligned vs Immature Opposed
====================================
Event                    LeftCount   LeftMean5  LeftCont5 RightCount  RightMean5  RightCont5  DeltaMean5 DeltaCont5
AllBars                        443    0.038217    45.15%        314    0.073280     51.59%   -0.035064    -6.45%
DissipationAny                 214    0.091869    46.26%        182    0.103846     52.75%   -0.011977    -6.49%
DissipationContained           116    0.167931    50.86%        106   -0.010566     44.34%    0.178497     6.52%
DissipationAccepted             96    0.008750    41.67%         73    0.249726     63.01%   -0.240976   -21.35%
ParticipationPeak               82    0.112073    43.90%         31   -0.067742     45.16%    0.179815    -1.26%
ParticipationClimactic          37    0.360811    56.76%          2   -0.490000     50.00%    0.850811     6.76%
PeakContained                   23    0.978261    47.83%          9   -0.470000     33.33%    1.448261    14.49%
PeakAccepted                    56   -0.223036    41.07%         16   -0.116250     37.50%   -0.106786     3.57%
ClimacticContained               3    6.946667   100.00%          0    0.000000      0.00%    6.946667   100.00%
ClimacticAccepted               34   -0.220294    52.94%          2   -0.490000     50.00%    0.269706     2.94%

Aligned Mature vs Aligned Immature
==================================
Event                    LeftCount   LeftMean5  LeftCont5 RightCount  RightMean5  RightCont5  DeltaMean5 DeltaCont5
AllBars                        367   -0.066812    48.77%        443    0.038217     45.15%   -0.105029     3.63%
DissipationAny                 156   -0.037308    51.92%        214    0.091869     46.26%   -0.129177     5.66%
DissipationContained            75    0.227067    56.00%        116    0.167931     50.86%    0.059136     5.14%
DissipationAccepted             80   -0.278750    48.75%         96    0.008750     41.67%   -0.287500     7.08%
ParticipationPeak               79   -0.100380    51.90%         82    0.112073     43.90%   -0.212453     8.00%
ParticipationClimactic          38    0.022895    44.74%         37    0.360811     56.76%   -0.337916   -12.02%
PeakContained                   21    0.240952    57.14%         23    0.978261     47.83%   -0.737308     9.32%
PeakAccepted                    48   -0.300208    50.00%         56   -0.223036     41.07%   -0.077173     8.93%
ClimacticContained               7    0.740000    57.14%          3    6.946667    100.00%   -6.206667   -42.86%
ClimacticAccepted               29   -0.122414    44.83%         34   -0.220294     52.94%    0.097880    -8.11%

Opposed Mature vs Opposed Immature
==================================
Event                    LeftCount   LeftMean5  LeftCont5 RightCount  RightMean5  RightCont5  DeltaMean5 DeltaCont5
AllBars                        246   -0.102033    48.37%        314    0.073280     51.59%   -0.175313    -3.22%
DissipationAny                 122   -0.128197    46.72%        182    0.103846     52.75%   -0.232043    -6.03%
DissipationContained            74   -0.009054    54.05%        106   -0.010566     44.34%    0.001512     9.71%
DissipationAccepted             44   -0.361136    29.55%         73    0.249726     63.01%   -0.610862   -33.47%
ParticipationPeak               40    0.123750    55.00%         31   -0.067742     45.16%    0.191492     9.84%
ParticipationClimactic          16    0.379375    50.00%          2   -0.490000     50.00%    0.869375     0.00%
PeakContained                   19    0.375789    63.16%          9   -0.470000     33.33%    0.845789    29.82%
PeakAccepted                    20   -0.110000    45.00%         16   -0.116250     37.50%    0.006250     7.50%
ClimacticContained               4   -0.365000    50.00%          0    0.000000      0.00%   -0.365000    50.00%
ClimacticAccepted               12    0.627500    50.00%          2   -0.490000     50.00%    1.117500     0.00%

Top 25 Mature Aligned Events by MeanDRFwd5
==========================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 DissipationContained            75         74    0.227067   -0.009054    0.236121     1.95%
   2 DissipationAny                 156        122   -0.037308   -0.128197    0.090889     5.20%
   3 AllBars                        367        246   -0.066812   -0.102033    0.035221     0.40%
   4 ParticipationPeak               79         40   -0.100380    0.123750   -0.224130    -3.10%
   5 DissipationAccepted             80         44   -0.278750   -0.361136    0.082386    19.20%

Top 25 Mature Opposed Events by MeanDRFwd5
==========================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 ParticipationPeak               79         40   -0.100380    0.123750   -0.224130    -3.10%
   2 DissipationContained            75         74    0.227067   -0.009054    0.236121     1.95%
   3 AllBars                        367        246   -0.066812   -0.102033    0.035221     0.40%
   4 DissipationAny                 156        122   -0.037308   -0.128197    0.090889     5.20%
   5 DissipationAccepted             80         44   -0.278750   -0.361136    0.082386    19.20%

Largest Alignment Advantages inside Mature
==========================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 DissipationAccepted             80         44   -0.278750   -0.361136    0.082386    19.20%
   2 DissipationAny                 156        122   -0.037308   -0.128197    0.090889     5.20%
   3 DissipationContained            75         74    0.227067   -0.009054    0.236121     1.95%
   4 AllBars                        367        246   -0.066812   -0.102033    0.035221     0.40%
   5 ParticipationPeak               79         40   -0.100380    0.123750   -0.224130    -3.10%

Largest Alignment Advantages inside Immature
============================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 DissipationContained           116        106    0.167931   -0.010566    0.178497     6.52%
   2 ParticipationPeak               82         31    0.112073   -0.067742    0.179815    -1.26%
   3 AllBars                        443        314    0.038217    0.073280   -0.035064    -6.45%
   4 DissipationAny                 214        182    0.091869    0.103846   -0.011977    -6.49%
   5 DissipationAccepted             96         73    0.008750    0.249726   -0.240976   -21.35%

Largest Maturity Improvements for Aligned Events
================================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 PeakAccepted                    48         56   -0.300208   -0.223036   -0.077173     8.93%
   2 ParticipationPeak               79         82   -0.100380    0.112073   -0.212453     8.00%
   3 DissipationAccepted             80         96   -0.278750    0.008750   -0.287500     7.08%
   4 DissipationAny                 156        214   -0.037308    0.091869   -0.129177     5.66%
   5 DissipationContained            75        116    0.227067    0.167931    0.059136     5.14%
   6 AllBars                        367        443   -0.066812    0.038217   -0.105029     3.63%
   7 ParticipationClimactic          38         37    0.022895    0.360811   -0.337916   -12.02%

Largest Maturity Improvements for Opposed Events
================================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 ParticipationPeak               40         31    0.123750   -0.067742    0.191492     9.84%
   2 DissipationContained            74        106   -0.009054   -0.010566    0.001512     9.71%
   3 AllBars                        246        314   -0.102033    0.073280   -0.175313    -3.22%
   4 DissipationAny                 122        182   -0.128197    0.103846   -0.232043    -6.03%
   5 DissipationAccepted             44         73   -0.361136    0.249726   -0.610862   -33.47%

Largest Maturity Deteriorations for Aligned Events
==================================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 ParticipationClimactic          38         37    0.022895    0.360811   -0.337916   -12.02%
   2 AllBars                        367        443   -0.066812    0.038217   -0.105029     3.63%
   3 DissipationContained            75        116    0.227067    0.167931    0.059136     5.14%
   4 DissipationAny                 156        214   -0.037308    0.091869   -0.129177     5.66%
   5 DissipationAccepted             80         96   -0.278750    0.008750   -0.287500     7.08%
   6 ParticipationPeak               79         82   -0.100380    0.112073   -0.212453     8.00%
   7 PeakAccepted                    48         56   -0.300208   -0.223036   -0.077173     8.93%

Largest Maturity Deteriorations for Opposed Events
==================================================
Rank Event                    LeftCount RightCount   LeftMean5  RightMean5  DeltaMean5 DeltaCont5
   1 DissipationAccepted             44         73   -0.361136    0.249726   -0.610862   -33.47%
   2 DissipationAny                 122        182   -0.128197    0.103846   -0.232043    -6.03%
   3 AllBars                        246        314   -0.102033    0.073280   -0.175313    -3.22%
   4 DissipationContained            74        106   -0.009054   -0.010566    0.001512     9.71%
   5 ParticipationPeak               40         31    0.123750   -0.067742    0.191492     9.84%

Research Notes
==============
- Mean aligned-minus-opposed DeltaContinuationRate5: Stage4=1.93%; Immature=9.87%.
- PeakContained alignment advantage: Stage4=-6.02%; Immature=14.49%.
- DissipationContained Stage4 alignment advantage=1.95%; Aligned Mature-minus-Immature advantage=5.14%.
- Mean Stage4 alignment advantage: climactic-named events=-1.10%; other events=3.23%.
- Strongest mature continuation combination by MeanDRFwd5: ClimacticContained Mature Aligned (0.740000, n=7).
- Strongest mature failure combination by MeanDRFwd5: ClimacticContained Mature Opposed (-0.365000, n=4).
- Comparison entries skipped from ranked tables because one side has Count < 30: 18.
