APVA Neutral Failure Timing Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
ReferenceFailureCount: 166
StableControlCount: 852
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
AllFailureNodes | 2 | t-5 | VolumeRelativeToSessionMean | 1.0561 | 1.5228 | -0.4416 | 0
AllFailureNodes | 5 | t-5 | RangeRelativeToPrevious | 1.0309 | 0.8412 | 0.4403 | 0
AllFailureNodes | 6-10 | t-1 | RangeRelativeToPrevious | 1.3032 | 1.0388 | 0.4369 | 0
AllFailureNodes | 3 | t-5 | BodyRelativeToPrevious | 1.3982 | 0.5749 | 0.4341 | 0
AllFailureNodes | 6-10 | t-1 | TrueRangeRelativeToPrevious | 1.3020 | 1.0394 | 0.4337 | 0
AllFailureNodes | 6-10 | t-1 | EfficiencyRatio | 0.4651 | 0.3568 | 0.4280 | 0
AllFailureNodes | 5 | t-1 | EfficiencyRatio | 0.3842 | 0.2877 | 0.4247 | 0
AllFailureNodes | 6-10 | t-3 | BodyRelativeToPrevious | 4.1435 | 2.2884 | 0.4075 | 0
AllFailureNodes | All | t-2 | VolumeRelativeToRollingMean | 0.9314 | 0.7208 | 0.4073 | 0
AllFailureNodes | 5 | t-0 | EfficiencyRatio | 0.5277 | 0.4244 | 0.4017 | 0
AllFailureNodes | 3 | t-2 | BodyRelativeToPrevious | 0.7012 | 1.3886 | -0.3984 | 0
AllFailureNodes | All | t-3 | VolumeRelativeToRollingMean | 1.0581 | 0.8210 | 0.3957 | 0
AllFailureNodes | All | t-3 | VolumeRelativeToPrevious | 1.3730 | 1.0811 | 0.3833 | 0
AllFailureNodes | 6-10 | t-3 | VolumeRelativeToSessionMean | 0.7289 | 0.6069 | 0.3781 | 0
AllFailureNodes | 6-10 | t-3 | EfficiencyRatio | 0.3974 | 0.3049 | 0.3773 | 0
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToSessionMean | 0.7415 | 0.5855 | 0.3768 | 0
AllFailureNodes | 6-10 | t-3 | VolumeRelativeToRollingMean | 0.7131 | 0.6146 | 0.3766 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToPrevious | 1.2475 | 1.0363 | 0.3727 | 0
AllFailureNodes | 2 | t-0 | VolumeRelativeToPrevious | 0.8861 | 1.0352 | -0.3716 | 0
AllFailureNodes | 5 | t-2 | VolumeRelativeToPrevious | 0.8654 | 0.9878 | -0.3706 | 0
AllFailureNodes | 4 | t-3 | PolarityFlipFlag | 0.6250 | 0.7907 | -0.3706 | 0
AllFailureNodes | 3 | t-0 | VolumeRelativeToRollingMean | 0.7301 | 0.6483 | 0.3696 | 0
AllFailureNodes | 6-10 | t-5 | PolarityFlipFlag | 0.5250 | 0.7000 | -0.3651 | 0
AllFailureNodes | All | t-3 | RangeRelativeToPrevious | 1.3639 | 1.0993 | 0.3643 | 0
AllFailureNodes | All | t-3 | TrueRangeRelativeToPrevious | 1.3633 | 1.0998 | 0.3629 | 0

3. Warning Score Distribution
Score | FailureCount | ControlCount | FailurePercent | ControlPercent
0 | 17 | 6 | 10.24% | 7.50%
1 | 36 | 14 | 21.69% | 17.50%
2 | 31 | 13 | 18.67% | 16.25%
3 | 29 | 22 | 17.47% | 27.50%
4 | 27 | 15 | 16.27% | 18.75%
5 | 21 | 9 | 12.65% | 11.25%
6 | 5 | 1 | 3.01% | 1.25%

4. Threshold Performance Table
Threshold | DetectionAtFailure | EarlyDetection1 | EarlyDetection2 | EarlyDetection3 | FalsePositiveRate | Precision | Recall
>=1 | 89.76% | 99.40% | 100.00% | 100.00% | 38.46% | 31.77% | 89.76%
>=2 | 68.07% | 95.18% | 98.19% | 100.00% | 30.53% | 30.79% | 68.07%
>=3 | 49.40% | 80.12% | 92.77% | 100.00% | 21.51% | 31.42% | 49.40%
>=4 | 31.93% | 51.81% | 70.48% | 92.77% | 12.62% | 33.54% | 31.93%

5. Warning Score by Neutral Age Table
AgeBucket | Threshold | DetectionRate | FalsePositiveRate | Precision | Recall
2 | >=1 | 87.50% | 59.68% | 31.67% | 87.50%
2 | >=2 | 66.25% | 44.27% | 32.12% | 66.25%
2 | >=3 | 42.50% | 26.88% | 33.33% | 42.50%
2 | >=4 | 21.25% | 10.28% | 39.53% | 21.25%
3 | >=1 | 89.47% | 81.43% | 12.98% | 89.47%
3 | >=2 | 73.68% | 69.29% | 12.61% | 73.68%
3 | >=3 | 57.89% | 50.71% | 13.41% | 57.89%
3 | >=4 | 31.58% | 29.29% | 12.77% | 31.58%
4 | >=1 | 100.00% | 90.57% | 7.69% | 100.00%
4 | >=2 | 100.00% | 75.47% | 9.09% | 100.00%
4 | >=3 | 100.00% | 57.55% | 11.59% | 100.00%
4 | >=4 | 87.50% | 34.91% | 15.91% | 87.50%
5 | >=1 | 92.86% | 77.89% | 14.94% | 92.86%
5 | >=2 | 78.57% | 64.21% | 15.28% | 78.57%
5 | >=3 | 71.43% | 53.68% | 16.39% | 71.43%
5 | >=4 | 64.29% | 37.89% | 20.00% | 64.29%
6-10 | >=1 | 90.00% | 54.33% | 24.16% | 90.00%
6-10 | >=2 | 60.00% | 44.71% | 20.51% | 60.00%
6-10 | >=3 | 45.00% | 31.25% | 21.69% | 45.00%
6-10 | >=4 | 32.50% | 21.63% | 22.41% | 32.50%
11-20 | >=1 | 100.00% | 66.67% | 20.00% | 100.00%
11-20 | >=2 | 60.00% | 46.67% | 17.65% | 60.00%
11-20 | >=3 | 20.00% | 30.00% | 10.00% | 20.00%
11-20 | >=4 | 20.00% | 23.33% | 12.50% | 20.00%

6. Hard vs Warning Table
Method | DetectionRate | FalsePositiveRate | Precision | Recall | PhaseAgreement
HardNeutralFailurePhase | 28.92% | 2.05% | 59.26% | 28.92% | 66.48%
FailureWarningScore>=3 | 49.40% | 21.51% | 31.42% | 49.40% | 66.48%

7. Destination Conditioning Table
DestinationFamily | MeanWarningScore | DetectionRate | TopSignal
CompressionProcessing | 2.8148 | 48.15% | EfficiencyRatio
MixedStructure | 2.3553 | 46.05% | EfficiencyRatio
ReassertionProcessing | 2.5273 | 49.09% | EfficiencyRatio
RecoveryResolution | 0.0000 | 0.00% | N/A
ExhaustionPersistence | 4.6000 | 100.00% | EfficiencyRatio
ConstructiveEmergence | 5.0000 | 100.00% | EfficiencyRatio
DestructiveRotation | 3.0000 | 50.00% | EfficiencyRatio
DecayToNeutral | 0.0000 | 0.00% | N/A

8. False Positive Anatomy Table
AgeBucket | SignalPattern | Count | SubsequentPhase
2 | RangePressure+VolumePressure+PolarityInstability | 5 | NeutralProcessing_Age3
3 | RangePressure+VolumePressure+PolarityInstability | 5 | NeutralProcessing_Age4
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 5 | NeutralProcessing_Age6-10
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 4 | NeutralProcessing_Age5
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 4 | NeutralProcessing_Age6-10
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 4 | NeutralProcessing_Age5
3 | RangePressure+VolumePressure+CloseExtremePressure+PolarityInstability | 4 | NeutralProcessing_Age4
3 | BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 4 | NeutralProcessing_Age4
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
6-10 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
5 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
2 | EfficiencyPressure+CloseExtremePressure+PolarityInstability | 3 | NeutralProcessing_Age3
6-10 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
