APVA Loop Closure Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Loop candidates: 167

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
Aggregate | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.60% | 1 | 10.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.60% | 1 | 15.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.60% | 1 | 12.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 1 | 0.60% | 1 | 4.0000
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> RecoveryResolution -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 18.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> DecayToNeutral -> DestructiveRotation -> DecayToNeutral -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 14.0000
NeutralStart -> Age5 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 9.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 14.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 13.0000
NeutralStart -> Age4 -> MixedStructure -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.60% | 1 | 17.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 13.0000

4. Neutral Maturation Table
MaxNeutralAgeReached | Count | Probability | TopDestinationFamily
2 | 80 | 48.19% | MixedStructure
6-10 | 40 | 24.10% | ReassertionProcessing
3 | 19 | 11.45% | MixedStructure
5 | 14 | 8.43% | MixedStructure
4 | 8 | 4.82% | ReassertionProcessing
11-20 | 5 | 3.01% | CompressionProcessing

5. Failure Node Table
FailureNode | Count | Probability | TopDestinationFamily | TopReturnFamily
NeutralProcessing_Age2 | 80 | 48.19% | MixedStructure | MixedStructure
NeutralProcessing_Age6-10 | 40 | 24.10% | ReassertionProcessing | CompressionProcessing
NeutralProcessing_Age3 | 19 | 11.45% | MixedStructure | MixedStructure
