APVA Transition Context Matrix Study v0.1
Research only. No trades, entries/exits, optimization, fitting, or machine learning.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Valid context observations: 2683
Structural state counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age counts: CompressionProcessing+Age1=177, CompressionProcessing+Age2=92, CompressionProcessing+Age3=41, CompressionProcessing+Age4=22, CompressionProcessing+Age5=12, CompressionProcessing+Age6-10=6, ConstructiveEmergence+Age1=12, DecayToNeutral+Age1=103, DestructiveRotation+Age1=71, DestructiveRotation+Age2=12, DestructiveRotation+Age3=1, ExhaustionPersistence+Age1=97, ExhaustionPersistence+Age2=31, ExhaustionPersistence+Age3=21, ExhaustionPersistence+Age4=16, ExhaustionPersistence+Age5=8, ExhaustionPersistence+Age6-10=3, MixedStructure+Age1=279, MixedStructure+Age2=28, MixedStructure+Age3=5, MixedStructure+Age4=2, NeutralProcessing+Age1=446, NeutralProcessing+Age2=253, NeutralProcessing+Age3=140, NeutralProcessing+Age4=106, NeutralProcessing+Age5=95, NeutralProcessing+Age6-10=208, NeutralProcessing+Age11-20=30, ReassertionProcessing+Age1=174, ReassertionProcessing+Age2=32, ReassertionProcessing+Age3=1, RecoveryResolution+Age1=94, RecoveryResolution+Age2=38, RecoveryResolution+Age3=27, RecoveryResolution+Age4=1

1. Baseline State+Age transition table
CurrentState | AgeBucket | Horizon | NextState | SourceCount | Count | Probability | Lift | Entropy | NormalizedEntropy
CompressionProcessing | 3 | t+1 | ExhaustionPersistence | 41 | 6 | 14.63% | 2.2309 | 1.2311 | 0.6871
CompressionProcessing | 3 | t+1 | MixedStructure | 41 | 1 | 2.44% | 0.2091 | 1.2311 | 0.6871
CompressionProcessing | 3 | t+1 | NeutralProcessing | 41 | 10 | 24.39% | 0.5120 | 1.2311 | 0.6871
CompressionProcessing | 3 | t+1 | ReassertionProcessing | 41 | 1 | 2.44% | 0.3161 | 1.2311 | 0.6871
CompressionProcessing | 3 | t+1 | RecoveryResolution | 41 | 1 | 2.44% | 0.4090 | 1.2311 | 0.6871
CompressionProcessing | 3 | t+2 | CompressionProcessing | 41 | 16 | 39.02% | 2.9904 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+2 | DecayToNeutral | 41 | 3 | 7.32% | 1.9053 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+2 | ExhaustionPersistence | 41 | 4 | 9.76% | 1.4867 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+2 | MixedStructure | 41 | 2 | 4.88% | 0.4193 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+2 | NeutralProcessing | 41 | 11 | 26.83% | 0.5630 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+2 | ReassertionProcessing | 41 | 2 | 4.88% | 0.6320 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+2 | RecoveryResolution | 41 | 3 | 7.32% | 1.2265 | 1.6246 | 0.8349
CompressionProcessing | 3 | t+3 | CompressionProcessing | 41 | 9 | 21.95% | 1.6815 | 1.7279 | 0.9644
CompressionProcessing | 3 | t+3 | DestructiveRotation | 41 | 5 | 12.20% | 3.8923 | 1.7279 | 0.9644
CompressionProcessing | 3 | t+3 | ExhaustionPersistence | 41 | 7 | 17.07% | 2.6007 | 1.7279 | 0.9644
CompressionProcessing | 3 | t+3 | MixedStructure | 41 | 4 | 9.76% | 0.8410 | 1.7279 | 0.9644
CompressionProcessing | 3 | t+3 | NeutralProcessing | 41 | 11 | 26.83% | 0.5628 | 1.7279 | 0.9644
CompressionProcessing | 3 | t+3 | RecoveryResolution | 41 | 5 | 12.20% | 2.0434 | 1.7279 | 0.9644
CompressionProcessing | 3 | t+5 | CompressionProcessing | 41 | 6 | 14.63% | 1.1201 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | DecayToNeutral | 41 | 1 | 2.44% | 0.6344 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | DestructiveRotation | 41 | 2 | 4.88% | 1.5557 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | ExhaustionPersistence | 41 | 4 | 9.76% | 1.4850 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | MixedStructure | 41 | 4 | 9.76% | 0.8431 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | NeutralProcessing | 41 | 19 | 46.34% | 0.9722 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | ReassertionProcessing | 41 | 1 | 2.44% | 0.3157 | 1.6473 | 0.7922
CompressionProcessing | 3 | t+5 | RecoveryResolution | 41 | 4 | 9.76% | 1.6335 | 1.6473 | 0.7922
CompressionProcessing | 4 | t+1 | CompressionProcessing | 22 | 12 | 54.55% | 4.1813 | 1.2438 | 0.7728
CompressionProcessing | 4 | t+1 | DecayToNeutral | 22 | 2 | 9.09% | 2.3680 | 1.2438 | 0.7728
CompressionProcessing | 4 | t+1 | ExhaustionPersistence | 22 | 2 | 9.09% | 1.3858 | 1.2438 | 0.7728
CompressionProcessing | 4 | t+1 | NeutralProcessing | 22 | 5 | 22.73% | 0.4771 | 1.2438 | 0.7728
CompressionProcessing | 4 | t+1 | ReassertionProcessing | 22 | 1 | 4.55% | 0.5892 | 1.2438 | 0.7728
CompressionProcessing | 4 | t+2 | CompressionProcessing | 22 | 7 | 31.82% | 2.4382 | 1.5905 | 0.8877
CompressionProcessing | 4 | t+2 | DestructiveRotation | 22 | 3 | 13.64% | 4.3539 | 1.5905 | 0.8877
CompressionProcessing | 4 | t+2 | ExhaustionPersistence | 22 | 5 | 22.73% | 3.4633 | 1.5905 | 0.8877
CompressionProcessing | 4 | t+2 | MixedStructure | 22 | 1 | 4.55% | 0.3907 | 1.5905 | 0.8877
CompressionProcessing | 4 | t+2 | NeutralProcessing | 22 | 5 | 22.73% | 0.4770 | 1.5905 | 0.8877
CompressionProcessing | 4 | t+2 | RecoveryResolution | 22 | 1 | 4.55% | 0.7619 | 1.5905 | 0.8877
CompressionProcessing | 4 | t+3 | CompressionProcessing | 22 | 3 | 13.64% | 1.0445 | 1.6919 | 0.9443
CompressionProcessing | 4 | t+3 | DecayToNeutral | 22 | 2 | 9.09% | 2.3663 | 1.6919 | 0.9443
CompressionProcessing | 4 | t+3 | ExhaustionPersistence | 22 | 4 | 18.18% | 2.7696 | 1.6919 | 0.9443
CompressionProcessing | 4 | t+3 | MixedStructure | 22 | 2 | 9.09% | 0.7837 | 1.6919 | 0.9443
CompressionProcessing | 4 | t+3 | NeutralProcessing | 22 | 7 | 31.82% | 0.6675 | 1.6919 | 0.9443
CompressionProcessing | 4 | t+3 | RecoveryResolution | 22 | 4 | 18.18% | 3.0466 | 1.6919 | 0.9443
CompressionProcessing | 4 | t+5 | CompressionProcessing | 22 | 2 | 9.09% | 0.6958 | 1.7035 | 0.8754
CompressionProcessing | 4 | t+5 | DecayToNeutral | 22 | 2 | 9.09% | 2.3645 | 1.7035 | 0.8754
CompressionProcessing | 4 | t+5 | ExhaustionPersistence | 22 | 2 | 9.09% | 1.3838 | 1.7035 | 0.8754
CompressionProcessing | 4 | t+5 | MixedStructure | 22 | 3 | 13.64% | 1.1784 | 1.7035 | 0.8754
CompressionProcessing | 4 | t+5 | NeutralProcessing | 22 | 9 | 40.91% | 0.8582 | 1.7035 | 0.8754
CompressionProcessing | 4 | t+5 | ReassertionProcessing | 22 | 1 | 4.55% | 0.5883 | 1.7035 | 0.8754
CompressionProcessing | 4 | t+5 | RecoveryResolution | 22 | 3 | 13.64% | 2.2832 | 1.7035 | 0.8754
CompressionProcessing | 5 | t+1 | CompressionProcessing | 12 | 5 | 41.67% | 3.1940 | 1.3522 | 0.8402
CompressionProcessing | 5 | t+1 | DestructiveRotation | 12 | 1 | 8.33% | 2.6617 | 1.3522 | 0.8402
CompressionProcessing | 5 | t+1 | ExhaustionPersistence | 12 | 4 | 33.33% | 5.0814 | 1.3522 | 0.8402
CompressionProcessing | 5 | t+1 | MixedStructure | 12 | 1 | 8.33% | 0.7143 | 1.3522 | 0.8402
CompressionProcessing | 5 | t+1 | NeutralProcessing | 12 | 1 | 8.33% | 0.1749 | 1.3522 | 0.8402
CompressionProcessing | 5 | t+2 | CompressionProcessing | 12 | 2 | 16.67% | 1.2771 | 1.7046 | 0.9513
CompressionProcessing | 5 | t+2 | DecayToNeutral | 12 | 1 | 8.33% | 2.1699 | 1.7046 | 0.9513
CompressionProcessing | 5 | t+2 | ExhaustionPersistence | 12 | 3 | 25.00% | 3.8097 | 1.7046 | 0.9513
CompressionProcessing | 5 | t+2 | MixedStructure | 12 | 1 | 8.33% | 0.7163 | 1.7046 | 0.9513
CompressionProcessing | 5 | t+2 | NeutralProcessing | 12 | 3 | 25.00% | 0.5246 | 1.7046 | 0.9513
CompressionProcessing | 5 | t+2 | RecoveryResolution | 12 | 2 | 16.67% | 2.7937 | 1.7046 | 0.9513
CompressionProcessing | 5 | t+3 | CompressionProcessing | 12 | 2 | 16.67% | 1.2767 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+3 | DestructiveRotation | 12 | 1 | 8.33% | 2.6597 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+3 | ExhaustionPersistence | 12 | 2 | 16.67% | 2.5388 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+3 | MixedStructure | 12 | 1 | 8.33% | 0.7184 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+3 | NeutralProcessing | 12 | 3 | 25.00% | 0.5245 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+3 | ReassertionProcessing | 12 | 1 | 8.33% | 1.0793 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+3 | RecoveryResolution | 12 | 2 | 16.67% | 2.7927 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | CompressionProcessing | 12 | 2 | 16.67% | 1.2757 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | DestructiveRotation | 12 | 1 | 8.33% | 2.6577 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | ExhaustionPersistence | 12 | 1 | 8.33% | 1.2685 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | MixedStructure | 12 | 2 | 16.67% | 1.4403 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | NeutralProcessing | 12 | 3 | 25.00% | 0.5245 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | ReassertionProcessing | 12 | 2 | 16.67% | 2.1570 | 1.8637 | 0.9577
CompressionProcessing | 5 | t+5 | RecoveryResolution | 12 | 1 | 8.33% | 1.3953 | 1.8637 | 0.9577
CompressionProcessing | 6-10 | t+1 | CompressionProcessing | 6 | 1 | 16.67% | 1.2776 | 1.2425 | 0.8962
CompressionProcessing | 6-10 | t+1 | MixedStructure | 6 | 1 | 16.67% | 1.4286 | 1.2425 | 0.8962
CompressionProcessing | 6-10 | t+1 | NeutralProcessing | 6 | 3 | 50.00% | 1.0497 | 1.2425 | 0.8962
CompressionProcessing | 6-10 | t+1 | RecoveryResolution | 6 | 1 | 16.67% | 2.7948 | 1.2425 | 0.8962
CompressionProcessing | 6-10 | t+2 | CompressionProcessing | 6 | 2 | 33.33% | 2.5543 | 1.0986 | 1.0000
CompressionProcessing | 6-10 | t+2 | MixedStructure | 6 | 2 | 33.33% | 2.8654 | 1.0986 | 1.0000
