APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age4 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age1 | 107 | 54.21% | 45.79% | 1.2272 | 0.6849 | NeutralProcessing | 54.21% | 0.3992
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | 15 | 73.33% | 26.67% | 0.7299 | 0.6644 | NeutralProcessing | 73.33% | 0.8023
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age2 | 58 | 56.90% | 43.10% | 1.0984 | 0.7923 | NeutralProcessing | 56.90% | 0.3456
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | 33 | 87.88% | 12.12% | 0.4534 | 0.4127 | NeutralProcessing | 87.88% | 1.3449
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | 29 | 89.66% | 10.34% | 0.4462 | 0.3219 | NeutralProcessing | 89.66% | 1.4712
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | 26 | 73.08% | 26.92% | 0.8398 | 0.6058 | NeutralProcessing | 73.08% | 0.8558
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age6-10 | 58 | 74.14% | 25.86% | 0.8745 | 0.5433 | NeutralProcessing | 74.14% | 0.9394
PreviousDistinctContext | CompressionProcessing->ReassertionProcessing+Age1 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | DestructiveRotation | 50.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ReassertionProcessing+Age2 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DestructiveRotation | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->RecoveryResolution+Age1 | 19 | 0.00% | 100.00% | 0.3365 | 0.4855 | CompressionProcessing | 89.47% | 0.4093
