APVA Minimal Engine Study v0.1
================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age key count: 35

1. Transition Hazard Table
State | AgeBucket | Horizon | Count | NextStateDistribution | PersistenceRate | ExitRate | Entropy | NormalizedEntropy | DominantDestination | DominantProbability
DecayToNeutral | 1 | t+1 | 103 | NeutralProcessing:61.17%, MixedStructure:25.24%, DestructiveRotation:10.68%, CompressionProcessing:1.94%, ConstructiveEmergence:0.97% | 0.00% | 100.00% | 1.0086 | 0.6267 | NeutralProcessing | 61.17%
DecayToNeutral | 1 | t+2 | 103 | NeutralProcessing:29.13%, MixedStructure:24.27%, DecayToNeutral:17.48%, DestructiveRotation:8.74%, ExhaustionPersistence:6.80%, CompressionProcessing:4.85%, ReassertionProcessing:4.85%, ConstructiveEmergence:1.94%, RecoveryResolution:1.94% | 17.48% | 82.52% | 1.8503 | 0.8421 | NeutralProcessing | 29.13%
DecayToNeutral | 1 | t+3 | 103 | NeutralProcessing:44.66%, MixedStructure:20.39%, ExhaustionPersistence:10.68%, CompressionProcessing:8.74%, DecayToNeutral:6.80%, RecoveryResolution:4.85%, DestructiveRotation:1.94%, ReassertionProcessing:1.94% | 6.80% | 93.20% | 1.6188 | 0.7785 | NeutralProcessing | 44.66%
DecayToNeutral | 1 | t+5 | 103 | NeutralProcessing:47.57%, MixedStructure:15.53%, ExhaustionPersistence:10.68%, CompressionProcessing:7.77%, ReassertionProcessing:5.83%, RecoveryResolution:5.83%, DecayToNeutral:4.85%, DestructiveRotation:1.94% | 4.85% | 95.15% | 1.6347 | 0.7861 | NeutralProcessing | 47.57%
DestructiveRotation | 1 | t+1 | 71 | NeutralProcessing:35.21%, DecayToNeutral:28.17%, DestructiveRotation:16.90%, ExhaustionPersistence:7.04%, RecoveryResolution:5.63%, ReassertionProcessing:4.23%, CompressionProcessing:1.41%, MixedStructure:1.41% | 16.90% | 83.10% | 1.6276 | 0.7827 | NeutralProcessing | 35.21%
DestructiveRotation | 1 | t+2 | 71 | NeutralProcessing:40.85%, MixedStructure:18.31%, ExhaustionPersistence:12.68%, ReassertionProcessing:11.27%, CompressionProcessing:5.63%, DecayToNeutral:5.63%, DestructiveRotation:4.23%, RecoveryResolution:1.41% | 4.23% | 95.77% | 1.7022 | 0.8186 | NeutralProcessing | 40.85%
DestructiveRotation | 1 | t+3 | 71 | NeutralProcessing:38.03%, MixedStructure:14.08%, ExhaustionPersistence:11.27%, DecayToNeutral:9.86%, CompressionProcessing:8.45%, ReassertionProcessing:8.45%, RecoveryResolution:7.04%, ConstructiveEmergence:1.41%, DestructiveRotation:1.41% | 1.41% | 98.59% | 1.8427 | 0.8386 | NeutralProcessing | 38.03%
DestructiveRotation | 1 | t+5 | 71 | NeutralProcessing:40.85%, MixedStructure:14.08%, RecoveryResolution:14.08%, CompressionProcessing:11.27%, DestructiveRotation:5.63%, ExhaustionPersistence:5.63%, ReassertionProcessing:5.63%, ConstructiveEmergence:1.41%, DecayToNeutral:1.41% | 5.63% | 94.37% | 1.7701 | 0.8056 | NeutralProcessing | 40.85%
DestructiveRotation | 2 | t+1 | 12 | DecayToNeutral:33.33%, ExhaustionPersistence:25.00%, NeutralProcessing:16.67%, CompressionProcessing:8.33%, DestructiveRotation:8.33%, RecoveryResolution:8.33% | 8.33% | 91.67% | 1.6326 | 0.9112 | DecayToNeutral | 33.33%
DestructiveRotation | 2 | t+2 | 12 | NeutralProcessing:33.33%, CompressionProcessing:25.00%, ExhaustionPersistence:16.67%, ConstructiveEmergence:8.33%, DecayToNeutral:8.33%, DestructiveRotation:8.33% | 8.33% | 91.67% | 1.6326 | 0.9112 | NeutralProcessing | 33.33%
