APVA Node Flow Study v0.1
========================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Category count: 4

1. Node Category Assignment
StateAgeNode | NodeCategory | ImportanceScore | ReliabilityScore
3 | Core -> Secondary -> Secondary | 218 | 8.13%
3 | Core -> Secondary -> Core | 193 | 7.20%
3 | Weak -> Core -> Secondary | 127 | 4.74%
3 | Secondary -> Secondary -> Core | 120 | 4.47%
3 | Secondary -> Core -> Core | 106 | 3.95%
3 | Core -> Core -> Secondary | 103 | 3.84%
3 | Secondary -> Weak -> Secondary | 92 | 3.43%
3 | Core -> Secondary -> Weak | 84 | 3.13%
3 | Secondary -> Weak -> Core | 74 | 2.76%
3 | Weak -> Secondary -> Insufficient | 74 | 2.76%
3 | Secondary -> Secondary -> Weak | 64 | 2.39%
3 | Secondary -> Insufficient -> Insufficient | 63 | 2.35%
3 | Insufficient -> Insufficient -> Insufficient | 61 | 2.27%
3 | Insufficient -> Core -> Secondary | 56 | 2.09%
3 | Secondary -> Secondary -> Insufficient | 47 | 1.75%
3 | Weak -> Secondary -> Weak | 47 | 1.75%
3 | Insufficient -> Insufficient -> Weak | 43 | 1.60%
3 | Secondary -> Insufficient -> Core | 42 | 1.57%
3 | Secondary -> Insufficient -> Weak | 39 | 1.45%
3 | Weak -> Secondary -> Core | 39 | 1.45%
3 | Insufficient -> Weak -> Secondary | 34 | 1.27%
3 | Secondary -> Weak -> Weak | 32 | 1.19%
3 | Core -> Weak -> Secondary | 29 | 1.08%
3 | Weak -> Weak -> Core | 29 | 1.08%
3 | Insufficient -> Insufficient -> Core | 28 | 1.04%
3 | Insufficient -> Weak -> Core | 27 | 1.01%
3 | Core -> Weak -> Core | 25 | 0.93%
3 | Weak -> Core -> Weak | 25 | 0.93%
3 | Weak -> Insufficient -> Insufficient | 22 | 0.82%
3 | Secondary -> Core -> Weak | 21 | 0.78%
3 | Weak -> Weak -> Weak | 20 | 0.75%
3 | Core -> Secondary -> Insufficient | 19 | 0.71%
3 | Insufficient -> Core -> Weak | 19 | 0.71%
3 | Insufficient -> Secondary -> Weak | 16 | 0.60%
3 | Insufficient -> Weak -> Insufficient | 16 | 0.60%
3 | Weak -> Weak -> Secondary | 16 | 0.60%
3 | Insufficient -> Weak -> Weak | 15 | 0.56%
3 | Insufficient -> Insufficient -> Secondary | 14 | 0.52%
3 | Insufficient -> Secondary -> Insufficient | 14 | 0.52%
3 | Secondary -> Weak -> Insufficient | 13 | 0.48%
3 | Weak -> Weak -> Insufficient | 13 | 0.48%
3 | Core -> Weak -> Weak | 11 | 0.41%
3 | Secondary -> Insufficient -> Secondary | 11 | 0.41%
3 | Weak -> Secondary -> Secondary | 11 | 0.41%
3 | Weak -> Insufficient -> Secondary | 10 | 0.37%
