APVA Context Disambiguation Study v0.1
Frozen candidate validation. Research only. No trades, optimization, fitting, machine learning, or parameter search.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Distinct context count: 156

1. Candidate summary
Candidate | Description | Count | DirectionAgreement
A | NeutralProcessing -> CompressionProcessing Age 3 | 13 | Positive
B | RecoveryResolution -> CompressionProcessing Age 3 | 20 | Negative
C | RecoveryResolution -> NeutralProcessing Age 1 | 25 | Positive
D | DecayToNeutral -> NeutralProcessing Age 4 | 15 | Positive
E | Baseline CompressionProcessing Age 3 | 41 | Positive
F | Baseline NeutralProcessing Age 1 | 430 | Positive
G | Baseline NeutralProcessing Age 4 | 104 | Positive

2. Outcome validation
Candidate | Count | MeanDRFwd5 | MedianDRFwd5 | ContinuationRate5 | FailureRate5 | FlatRate5 | OutcomeSkew | StdDevDRFwd5 | MaxFavorableDRFwd5 | MaxAdverseDRFwd5
E | t+1 | ExhaustionPersistence | 6 | 14.63% | 2.2309 | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
E | t+1 | MixedStructure | 1 | 2.44% | 0.2091 | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
E | t+1 | RecoveryResolution | 1 | 2.44% | 0.4090 | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
E | t+1 | ReassertionProcessing | 1 | 2.44% | 0.3161 | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
E | t+2 | CompressionProcessing | 16 | 39.02% | 2.9904 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+2 | NeutralProcessing | 11 | 26.83% | 0.5630 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+2 | ExhaustionPersistence | 4 | 9.76% | 1.4867 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+2 | DecayToNeutral | 3 | 7.32% | 1.9053 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+2 | RecoveryResolution | 3 | 7.32% | 1.2265 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+2 | ReassertionProcessing | 2 | 4.88% | 0.6320 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+2 | MixedStructure | 2 | 4.88% | 0.4193 | 1.6246 | 0.8349 | CompressionProcessing | 39.02%
E | t+3 | NeutralProcessing | 11 | 26.83% | 0.5628 | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
E | t+3 | CompressionProcessing | 9 | 21.95% | 1.6815 | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
E | t+3 | ExhaustionPersistence | 7 | 17.07% | 2.6007 | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
E | t+3 | DestructiveRotation | 5 | 12.20% | 3.8923 | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
E | t+3 | RecoveryResolution | 5 | 12.20% | 2.0434 | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
E | t+3 | MixedStructure | 4 | 9.76% | 0.8410 | 1.7279 | 0.9644 | NeutralProcessing | 26.83%
E | t+5 | NeutralProcessing | 19 | 46.34% | 0.9722 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | CompressionProcessing | 6 | 14.63% | 1.1201 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | MixedStructure | 4 | 9.76% | 0.8431 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | RecoveryResolution | 4 | 9.76% | 1.6335 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | ExhaustionPersistence | 4 | 9.76% | 1.4850 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | DestructiveRotation | 2 | 4.88% | 1.5557 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | DecayToNeutral | 1 | 2.44% | 0.6344 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
E | t+5 | ReassertionProcessing | 1 | 2.44% | 0.3157 | 1.6473 | 0.7922 | NeutralProcessing | 46.34%
F | t+1 | NeutralProcessing | 253 | 56.85% | 1.1936 | 1.2605 | 0.7035 | NeutralProcessing | 56.85%
F | t+1 | MixedStructure | 66 | 14.83% | 1.2713 | 1.2605 | 0.7035 | NeutralProcessing | 56.85%
F | t+1 | ReassertionProcessing | 63 | 14.16% | 1.8350 | 1.2605 | 0.7035 | NeutralProcessing | 56.85%
F | t+1 | CompressionProcessing | 45 | 10.11% | 0.7752 | 1.2605 | 0.7035 | NeutralProcessing | 56.85%
F | t+1 | DestructiveRotation | 15 | 3.37% | 1.0766 | 1.2605 | 0.7035 | NeutralProcessing | 56.85%
F | t+1 | ConstructiveEmergence | 3 | 0.67% | 1.5073 | 1.2605 | 0.7035 | NeutralProcessing | 56.85%
F | t+2 | NeutralProcessing | 193 | 43.37% | 0.9102 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | MixedStructure | 93 | 20.90% | 1.7965 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | CompressionProcessing | 45 | 10.11% | 0.7749 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | ReassertionProcessing | 40 | 8.99% | 1.1646 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | ExhaustionPersistence | 28 | 6.29% | 0.9588 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | DecayToNeutral | 21 | 4.72% | 1.2288 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | DestructiveRotation | 15 | 3.37% | 1.0762 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+2 | RecoveryResolution | 10 | 2.25% | 0.3767 | 1.6554 | 0.7961 | NeutralProcessing | 43.37%
F | t+3 | NeutralProcessing | 273 | 61.35% | 1.2870 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | MixedStructure | 45 | 10.11% | 0.8717 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | ReassertionProcessing | 41 | 9.21% | 1.1933 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | CompressionProcessing | 31 | 6.97% | 0.5336 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | RecoveryResolution | 21 | 4.72% | 0.7907 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | ExhaustionPersistence | 13 | 2.92% | 0.4450 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | DestructiveRotation | 11 | 2.47% | 0.7890 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | DecayToNeutral | 8 | 1.80% | 0.4679 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+3 | ConstructiveEmergence | 2 | 0.45% | 1.0041 | 1.3721 | 0.6245 | NeutralProcessing | 61.35%
F | t+5 | NeutralProcessing | 220 | 49.55% | 1.0395 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | MixedStructure | 60 | 13.51% | 1.1678 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | CompressionProcessing | 52 | 11.71% | 0.8964 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | ReassertionProcessing | 36 | 8.11% | 1.0494 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | RecoveryResolution | 30 | 6.76% | 1.1313 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | ExhaustionPersistence | 25 | 5.63% | 0.8571 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | DecayToNeutral | 10 | 2.25% | 0.5858 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | DestructiveRotation | 10 | 2.25% | 0.7183 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
F | t+5 | ConstructiveEmergence | 1 | 0.23% | 0.5028 | 1.6019 | 0.7291 | NeutralProcessing | 49.55%
G | t+1 | NeutralProcessing | 95 | 89.62% | 1.8815 | 0.4644 | 0.2886 | NeutralProcessing | 89.62%
G | t+1 | ReassertionProcessing | 4 | 3.77% | 0.4891 | 0.4644 | 0.2886 | NeutralProcessing | 89.62%
G | t+1 | MixedStructure | 4 | 3.77% | 0.3235 | 0.4644 | 0.2886 | NeutralProcessing | 89.62%
G | t+1 | ExhaustionPersistence | 2 | 1.89% | 0.2876 | 0.4644 | 0.2886 | NeutralProcessing | 89.62%
G | t+1 | ConstructiveEmergence | 1 | 0.94% | 2.1093 | 0.4644 | 0.2886 | NeutralProcessing | 89.62%
G | t+2 | NeutralProcessing | 81 | 76.42% | 1.6036 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+2 | MixedStructure | 10 | 9.43% | 0.8110 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+2 | ReassertionProcessing | 6 | 5.66% | 0.7334 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+2 | RecoveryResolution | 4 | 3.77% | 0.6325 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+2 | CompressionProcessing | 3 | 2.83% | 0.2169 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+2 | DestructiveRotation | 1 | 0.94% | 0.3012 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+2 | ExhaustionPersistence | 1 | 0.94% | 0.1438 | 0.9034 | 0.4642 | NeutralProcessing | 76.42%
G | t+3 | NeutralProcessing | 68 | 64.15% | 1.3458 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+3 | ReassertionProcessing | 14 | 13.21% | 1.7106 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+3 | MixedStructure | 12 | 11.32% | 0.9759 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+3 | CompressionProcessing | 6 | 5.66% | 0.4336 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+3 | DecayToNeutral | 3 | 2.83% | 0.7367 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+3 | ExhaustionPersistence | 2 | 1.89% | 0.2874 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+3 | RecoveryResolution | 1 | 0.94% | 0.1581 | 1.1811 | 0.6070 | NeutralProcessing | 64.15%
G | t+5 | NeutralProcessing | 44 | 41.51% | 0.8708 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | ReassertionProcessing | 18 | 16.98% | 2.1977 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | MixedStructure | 12 | 11.32% | 0.9783 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | CompressionProcessing | 12 | 11.32% | 0.8665 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | DecayToNeutral | 7 | 6.60% | 1.7176 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | RecoveryResolution | 5 | 4.72% | 0.7898 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | ExhaustionPersistence | 4 | 3.77% | 0.5744 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%
G | t+5 | DestructiveRotation | 4 | 3.77% | 1.2035 | 1.7302 | 0.8320 | NeutralProcessing | 41.51%

4. Baseline comparison
Candidate | Baseline | DeltaContinuationRate | DeltaFailureRate | DeltaOutcomeSkew | DeltaMeanDR | DeltaEntropy | DeltaDominantDestinationProbability
A | E | 15.95% | -18.76% | 34.71% | -0.0117 | -0.0525 | 7.88%
