APVA Memory Forecast Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35

1. Memory Stream Reconstruction
Bar | StateAgeNode | NodeCategory | MemoryStrength | HalfLife | ForecastConfidence | EntropyGrowth | AttentionCategory
110 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 0.0704 | 1.2713 | Weak Node
111 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
112 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
113 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
114 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
115 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 0.6500 | 2.1063 | Core Node
116 | NeutralProcessing_Age4 | Core Node | 0.3265 | 5.00 | 0.8585 | 2.4430 | Core Node
117 | NeutralProcessing_Age5 | Secondary Node | 0.3357 | 3.00 | 0.6842 | 2.1524 | Secondary Node
118 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 0.4904 | 1.7158 | Secondary Node
119 | NeutralProcessing_Age6-10 | Secondary Node | 0.2169 | 3.00 | 0.4904 | 1.7158 | Secondary Node
120 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
121 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 0.3592 | 1.8881 | Weak Node
122 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
123 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 0.3592 | 1.8881 | Weak Node
124 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
125 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
126 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
127 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
128 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 0.3592 | 1.8881 | Weak Node
129 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
130 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 0.0206 | 1.3577 | Weak Node
131 | ExhaustionPersistence_Age2 | Insufficient Node | 0.2760 | 3.00 | 0.3871 | 2.1685 | Insufficient Node
132 | ExhaustionPersistence_Age3 | Insufficient Node | 0.1799 | 2.00 | 0.5238 | 2.3520 | Insufficient Node
133 | ExhaustionPersistence_Age4 | Insufficient Node | 0.2118 | 2.00 | 0.3125 | 1.4612 | Insufficient Node
134 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 0.0704 | 1.2713 | Weak Node
135 | DecayToNeutral_Age1 | Weak Node | 0.1769 | 2.00 | 0.3592 | 1.8881 | Weak Node
136 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
137 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 0.2034 | 1.7443 | Weak Node
138 | CompressionProcessing_Age2 | Secondary Node | 0.2168 | 3.00 | 0.0870 | 1.6136 | Secondary Node
139 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
140 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
141 | NeutralProcessing_Age3 | Core Node | 0.3509 | 5.00 | 0.6500 | 2.1063 | Core Node
142 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
143 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
144 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
145 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
146 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
147 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
148 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 0.2034 | 1.7443 | Weak Node
149 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
150 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 0.2034 | 1.7443 | Weak Node
151 | RecoveryResolution_Age1 | Secondary Node | 0.2234 | 5.00 | 0.0851 | 1.9470 | Secondary Node
152 | CompressionProcessing_Age1 | Weak Node | 0.1697 | 2.00 | 0.2034 | 1.7443 | Weak Node
153 | CompressionProcessing_Age2 | Secondary Node | 0.2168 | 3.00 | 0.0870 | 1.6136 | Secondary Node
154 | CompressionProcessing_Age3 | Insufficient Node | 0.1992 | 3.00 | 0.2927 | 1.6727 | Insufficient Node
155 | CompressionProcessing_Age4 | Insufficient Node | 0.2803 | 2.00 | 0.3182 | 1.6596 | Insufficient Node
156 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
157 | DestructiveRotation_Age1 | Weak Node | 0.1768 | 3.00 | 0.0704 | 1.2713 | Weak Node
158 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
159 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
160 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
161 | ReassertionProcessing_Age2 | Insufficient Node | 0.2188 | 2.00 | 0.1875 | 1.9893 | Insufficient Node
162 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
163 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
164 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
165 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
166 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
167 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
168 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
169 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
170 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
171 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
172 | NeutralProcessing_Age2 | Secondary Node | 0.2734 | 5.00 | 0.3399 | 1.6917 | Secondary Node
173 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
174 | NeutralProcessing_Age1 | Core Node | 0.2042 | 3.00 | 0.4202 | 1.6396 | Core Node
175 | ReassertionProcessing_Age1 | Secondary Node | 0.1925 | 3.00 | 0.0460 | 1.5318 | Secondary Node
176 | MixedStructure_Age1 | Secondary Node | 0.1956 | 3.00 | 0.2545 | 1.1813 | Secondary Node
177 | MixedStructure_Age2 | Insufficient Node | 0.1567 | 5.00 | 0.0357 | 1.2510 | Insufficient Node
178 | ExhaustionPersistence_Age1 | Weak Node | 0.1833 | 3.00 | 0.0206 | 1.3577 | Weak Node
179 | ExhaustionPersistence_Age2 | Insufficient Node | 0.2760 | 3.00 | 0.3871 | 2.1685 | Insufficient Node
180 | ExhaustionPersistence_Age3 | Insufficient Node | 0.1799 | 2.00 | 0.5238 | 2.3520 | Insufficient Node
181 | ExhaustionPersistence_Age4 | Insufficient Node | 0.2118 | 2.00 | 0.3125 | 1.4612 | Insufficient Node
182 | RecoveryResolution_Age1 | Secondary Node | 0.2234 | 5.00 | 0.0851 | 1.9470 | Secondary Node
