APVA Stage + Alignment + Breakout Type Study v0.1 - CL
======================================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Total stage-alignment-breakout observations: 2247
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             495
Lateral          1752

Observation Counts by Stage
===========================
Stage0       170
Stage1       591
Stage2       506
Stage3       367
Stage4       613

Observation Counts by Alignment
===============================
Aligned          1136
Opposed          1111

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
PeakContained            IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage3 Opposed         2     0.305000     0.305000    50.00%    50.00%     0.00%
PeakContained            IBSYM     Stage4 Aligned         5     0.380000     0.670000    60.00%    40.00%     0.00%
PeakContained            IBSYM     Stage4 Opposed         8     0.815000     0.410000    62.50%    37.50%     0.00%
PeakContained            Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage0 Opposed         6    -0.425000     0.065000    50.00%    50.00%     0.00%
PeakContained            Lateral   Stage1 Aligned        22     1.033636     0.080000    50.00%    50.00%     0.00%
PeakContained            Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage2 Aligned        12    -0.394167    -0.080000    41.67%    50.00%     8.33%
PeakContained            Lateral   Stage2 Opposed        32    -0.214062    -0.080000    46.88%    53.12%     0.00%
PeakContained            Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            Lateral   Stage3 Opposed         5     0.312000     0.270000    60.00%    40.00%     0.00%
PeakContained            Lateral   Stage4 Aligned        16     0.197500     0.135000    56.25%    43.75%     0.00%
PeakContained            Lateral   Stage4 Opposed        11     0.056364     0.290000    63.64%    36.36%     0.00%
PeakAccepted             IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage0 Opposed         3     0.030000    -0.130000    33.33%    66.67%     0.00%
PeakAccepted             IBSYM     Stage1 Aligned         8    -0.333750    -0.165000    37.50%    62.50%     0.00%
PeakAccepted             IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage2 Aligned         6     0.095000     0.130000    66.67%    33.33%     0.00%
PeakAccepted             IBSYM     Stage2 Opposed        15     0.242667     0.020000    53.33%    46.67%     0.00%
PeakAccepted             IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             IBSYM     Stage3 Opposed         5    -0.020000    -0.420000    40.00%    60.00%     0.00%
PeakAccepted             IBSYM     Stage4 Aligned        17    -0.799412    -0.090000    35.29%    64.71%     0.00%
PeakAccepted             IBSYM     Stage4 Opposed         7     0.315714     0.030000    57.14%    42.86%     0.00%
PeakAccepted             Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage0 Opposed        13    -0.150000    -0.130000    38.46%    61.54%     0.00%
PeakAccepted             Lateral   Stage1 Aligned        48    -0.204583    -0.235000    41.67%    58.33%     0.00%
PeakAccepted             Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage2 Aligned        20    -0.034000    -0.000000    50.00%    50.00%     0.00%
PeakAccepted             Lateral   Stage2 Opposed        45    -0.103556    -0.070000    44.44%    55.56%     0.00%
PeakAccepted             Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted             Lateral   Stage3 Opposed        17     0.883529    -0.230000    47.06%    52.94%     0.00%
PeakAccepted             Lateral   Stage4 Aligned        31    -0.026452     0.210000    58.06%    41.94%     0.00%
PeakAccepted             Lateral   Stage4 Opposed        13    -0.339231    -0.160000    38.46%    61.54%     0.00%
ClimacticContained       IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage0 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage1 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained       IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
