Path,Candidate,AvailableForCheck,Count,ES_Count,NQ_Count,BothESAndNQNonzero
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_entries.csv,RRCCC,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_policy_rows.csv,Base_ES_NQ,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_policy_rows.csv,CCRRR,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_policy_rows.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_policy_rows.csv,RRCCC,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_scorecard.csv,Base_ES_NQ,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_scorecard.csv,CCRRR,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_scorecard.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_scorecard.csv,RRCCC,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_summary.csv,Base_ES_NQ,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_summary.csv,CCRRR,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_summary.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_summary.csv,RRCCC,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_week_summary.csv,Base_ES_NQ,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_week_summary.csv,CCRRR,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_week_summary.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_week_summary.csv,RRCCC,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_by_week.csv,Base_ES_NQ,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_by_week.csv,CCRRR,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_by_week.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_by_week.csv,RRCCC,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_profile_summary.csv,Base_ES_NQ,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_profile_summary.csv,CCRRR,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_profile_summary.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_profile_summary.csv,RRCCC,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_scorecard.csv,Base_ES_NQ,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_scorecard.csv,CCRRR,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_scorecard.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/excursion_scorecard.csv,RRCCC,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/selected_excursion_rows.csv,Base_ES_NQ,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/selected_excursion_rows.csv,CCRRR,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/selected_excursion_rows.csv,PriorSlope_DominantPressureValue_Q3,True,0,0,0,False
outputs/excursion_profile_es_compression_entropy_mid_presence_zero/selected_excursion_rows.csv,RRCCC,True,0,0,0,False
