Path,Location,RowCount,RequiredColumnsPresent,MissingRequiredColumns,OptionalTimePresent,OptionalDominantPressureValuePresent,InstrumentList,ES_RowCount,NQ_RowCount,TimeMin,TimeMax,BarIndexMin,BarIndexMax,HorizonBarsValues,DominantPressureValues,SignedNormalizedReturnExists,DirectionalNormalizedMAEExists,BaseCandidateRowsPresent,CCRRRCandidateRowsPresent,RRCCCCandidateRowsPresent,PriorSlopeQ3CandidateRowsPresent,AnyNonBaseFrozenCandidateRowsPresent,AnyCandidateBothESAndNQNonzero,DuplicateRowKeyCount,DerivedOutputExcluded,IntendedExtensionOverride,IndependenceStatus,ReadinessStatus,ReadinessReason
outputs/precursor_sequence_es_compression_entropy_mid_presence_zero/precursor_sequence_summary.csv,outputs,2.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/regime_stability_es_compression_pressure/column_mapping.csv,outputs,1.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/regime_stability_es_compression_pressure/regime_file_summary.csv,outputs,1.0,False,"Instrument,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/regime_stability_es_compression_pressure/regime_week_summary.csv,outputs,7.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/regime_stability_es_compression_pressure/rolling_edge_summary.csv,outputs,3.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/regime_stability_es_compression_pressure/selected_candidate_rows.csv,outputs,2039.0,True,,True,True,ES,2039,0,2026-04-06 06:55:00,2026-05-22 13:25:00,4.0,3142.0,5,CompressionPressure,True,True,True,False,False,True,True,False,0.0,True,False,ExcludedDerivedOutput,NOT_READY,not independent of reference; prior output artifact excluded from readiness
outputs/regime_stability_es_compression_pressure/stability_scorecard.csv,outputs,17.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/safe_regime_gating/safe_regime_gating_entries.csv,outputs,256.0,True,,True,True,"ES,NQ",47,209,2026-04-02 20:15:00,2026-05-22 09:45:00,50.0,9645.0,5,CompressionPressure,True,True,False,False,False,False,False,False,0.0,True,False,ExcludedDerivedOutput,NOT_READY,no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/safe_regime_gating/safe_regime_gating_feature_summary.csv,outputs,67.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/safe_regime_gating/safe_regime_gating_scorecard.csv,outputs,19.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_entry_transition_es_compression_entropy_mid_presence_zero/entry_transition_by_week.csv,outputs,8.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_entry_transition_es_compression_entropy_mid_presence_zero/entry_transition_scorecard.csv,outputs,19.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/state_entry_transition_es_compression_entropy_mid_presence_zero/entry_transition_summary.csv,outputs,3.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
